"Date","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
2015-06-26,1076.80005,1099.80005,1060,1087.15002,672200,506.09458
2015-06-29,1046.01001,1094,1044.21997,1091.06995,593400,507.9194
2015-06-30,1081.19995,1092,1076,1088.68005,285500,506.80684
2015-07-01,1090,1113.01001,1086,1099.64001,575100,511.90897
2015-07-02,1100,1116.40002,1082.19995,1090.12,494800,507.47717
2015-07-03,1091.02002,1118,1091.02002,1112.21997,521900,517.76524
2015-07-06,1102.19995,1125.01001,1091.98999,1112.84998,506300,518.05852
2015-07-07,1123.69995,1132,1106.43005,1111.59998,511200,517.47662
2015-07-08,1111,1113.97998,1035.5,1045.18005,1227300,486.55654
2015-07-09,1041.40002,1053.97998,994.12,1004.27002,1885000,484.18926
2015-07-10,1000.59998,1015.71997,990.23999,1004.94,669100,484.51228
2015-07-13,1010,1028,1008.04999,1019.07001,957300,491.32479
2015-07-14,1020.23999,1024.80005,1000,1016.45001,664500,490.06161
2015-07-15,1017.48999,1035.80005,1016.45001,1031.55005,479200,497.3418
2015-07-16,1034,1056.55005,1033,1049.78003,721600,506.13103
2015-07-17,1048.35999,1061.79004,1032,1035.77002,808400,499.37638
2015-07-20,1043.95996,1053.69995,1022.63,1034.30005,294100,498.66766
2015-07-21,1034,1045.89001,1016.40002,1021.34998,427500,492.42403
2015-07-22,1034,1042,995.09998,1026.26001,1854000,494.79131
2015-07-23,1034,1045,1020,1028.04004,916700,495.64952
2015-07-24,1030,1042,1027.19995,1034.02002,306600,498.53265
2015-07-27,1034,1050.10999,1020.15002,1045.64001,716800,504.135
2015-07-28,1046,1071.73999,1044.98999,1067.87,806200,514.85276
2015-07-29,1073.90002,1100,1068.23999,1087.91003,551700,524.51467
2015-07-30,1089,1099.91003,1073.38,1088.12,361600,524.6159
2015-07-31,1081,1109.45996,1076.10999,1102.26001,629600,531.43323
2015-08-03,1104.97998,1140,1091,1136.46997,417000,547.9269
2015-08-04,1140,1141.59998,1100.27002,1125.38,456300,542.58009
2015-08-05,1130,1144.04004,1106.18005,1112.41003,559600,536.32687
2015-08-06,1114,1120,1078.42004,1092.08997,316300,526.52994
2015-08-07,1095,1114.96997,1088,1096.53003,406200,528.67063
2015-08-10,1106,1115,1083.28003,1087.73999,428500,524.43269
2015-08-11,1088,1097.18005,1080.76001,1090.45996,353000,525.74407
2015-08-12,1100,1100,1054,1062.38,440400,512.20586
2015-08-13,1064,1082.40002,1062.38,1071.19995,389100,516.45823
2015-08-14,1079.78003,1089.40002,1063.76001,1082.34998,653900,521.834
2015-08-17,1085.97998,1085.97998,1054.02002,1079.98999,836200,520.69618
2015-08-18,1080,1084.01001,1076.05005,1079.51001,368000,520.46476
2015-08-19,1079.51001,1082,1072.01001,1078.19995,617800,519.83314
2015-08-20,1077.09998,1080,1056.01001,1061.56006,531600,511.81054
2015-08-21,1042.40002,1079.68005,1041.40002,1068.87,497000,515.33489
2015-08-24,1011,1050,950.25,974.15997,1446900,469.67229
2015-08-25,982.90997,1016.56,971.81,983.10999,2491000,473.98737
2015-08-26,989.79999,1013,978.40002,993.45001,1104000,478.97261
2015-08-27,1000.29999,1029.19995,1000.29999,1019.98999,620100,491.76834
2015-08-28,1021.03998,1025.78003,977.40002,1010.5,2069400,487.19293
2015-08-31,1012.46997,1013.89001,999.79999,1004.23999,448400,484.17479
2015-09-01,1004.23999,1015,977,987.01001,640600,475.86769
2015-09-02,994.20001,1011,993.60999,1004.39001,420100,484.24712
2015-09-03,1014.14001,1048.31995,1014.14001,1040.43994,1417700,501.62789
2015-09-04,1050.76001,1050.76001,1002.46002,1015.12,673600,489.42037
2015-09-07,1032.40002,1032.40002,996.95001,1007.81,527700,485.896
2015-09-08,1011.20001,1019.96002,991.15997,1002.32001,385800,483.2491
2015-09-09,1019.97998,1023.35999,1000,1009.98999,551200,486.94704
2015-09-10,1003.97998,1023.12,987.70001,1010.94,563800,487.40507
2015-09-11,1026.58997,1026.58997,999.71997,1007.37,206700,485.68386
2015-09-14,1007.20001,1036.19995,1007.20001,1029.77002,616700,496.48359
2015-09-15,1035.04004,1053.80005,1025,1047,696700,504.79069
2015-09-16,1050.46997,1053,1030,1040.02002,419100,501.42543
2015-09-17,1040.02002,1040.02002,1040.02002,1040.02002,0,501.42543
2015-09-18,1044,1054.80005,985,993.12,3440100,478.8135
2015-09-21,989.79999,1004.5,974,987.17999,706900,475.94964
2015-09-22,992.59998,992.97998,956.70001,964.28003,1257300,464.90887
2015-09-23,964.14001,975.79999,935.40997,968.97998,1431900,467.17486
2015-09-24,969.03003,978.13,957.60999,973.62,284600,469.41195
2015-09-25,973.62,973.62,973.62,973.62,0,469.41195
2015-09-28,966.21997,983.26001,962,964.54999,226200,465.03902
2015-09-29,952.03998,1029.80005,946.42999,1022.19,1047500,492.82904
2015-09-30,1023,1040,1004.40002,1026.25,843800,494.78648
2015-10-01,1028,1038,1015.32001,1021.51001,519700,492.50119
2015-10-02,1021.51001,1021.51001,1021.51001,1021.51001,0,492.50119
