"Date","HINDUNILVR.NS.Open","HINDUNILVR.NS.High","HINDUNILVR.NS.Low","HINDUNILVR.NS.Close","HINDUNILVR.NS.Volume","HINDUNILVR.NS.Adjusted"
2015-10-27,806.75,814.85,799.2,812.15,876400,796.562
2015-10-28,811.6,820.5,807.9,818.5,1123800,802.79
2015-10-29,811,818,799.2,801.45,1558500,786.068
2015-10-30,802,810.95,795,800.65,1209400,785.283
2015-11-02,799.25,804.85,791.55,802.75,553500,787.343
2015-11-03,805,808.5,801.2,804.45,349200,789.01
2015-11-04,806.8,818.1,799.2,801,945800,785.626
2015-11-05,801,811.6,797.75,802.65,462500,787.245
2015-11-06,806.7,806.95,796.3,799.05,726000,783.714
2015-11-09,794,807,784,802.6,1247400,787.195
2015-11-10,802,809.6,793.4,803.55,880200,788.127
2015-11-11,803.55,803.55,803.55,803.55,0,788.127
2015-11-12,803.55,803.55,803.55,803.55,0,788.127
2015-11-13,792.35,799.5,792.35,796.7,1029200,781.409
2015-11-16,794,802.1,780.1,784.1,1186600,769.051
2015-11-17,785.9,800,782,798.3,792500,782.978
2015-11-18,798,806.85,790.45,793.5,721700,778.27
2015-11-19,797.5,801.85,792.3,794.6,861400,779.349
2015-11-20,799.85,803.45,794.3,798.15,845000,782.831
2015-11-23,795.05,800.7,787,791.2,692900,776.014
2015-11-24,794,813.5,790.75,811.95,1188700,796.366
2015-11-25,811.95,811.95,811.95,811.95,0,796.366
2015-11-26,814.7,821.5,808.15,812.45,1282200,796.856
2015-11-27,812.5,820.75,808,816.2,897400,800.534
2015-11-30,813.5,826,804.1,812,2959600,796.415
2015-12-01,811.85,836.8,811.85,833.4,1404300,817.404
2015-12-02,832.9,835.7,823.4,829.9,983600,813.972
2015-12-03,827.85,827.9,814,816.6,680100,800.927
2015-12-04,813.35,824.45,805,814.95,1445900,799.308
2015-12-07,815,835.5,815,833.5,1273100,817.502
2015-12-08,831.9,839.8,822.6,825.75,1136100,809.901
2015-12-09,827,835,816.15,820.15,1028700,804.409
2015-12-10,823,830.85,812.25,815.9,1144800,800.24
2015-12-11,818.3,831.95,816.65,822.1,1214100,806.321
2015-12-14,825,842.5,813.45,839,1307300,822.897
2015-12-15,839.2,862.5,839.2,858.6,2303800,842.121
2015-12-16,865,868.4,852.7,855.4,1101100,838.982
2015-12-17,840,865.7,840,864.25,1214500,847.662
2015-12-18,865.6,875.6,852.15,857.05,2114600,840.6
2015-12-21,861.95,861.95,849.75,851.6,1112100,835.255
2015-12-22,852.95,857.9,843.2,851.45,913000,835.108
2015-12-23,859.45,870.5,856.05,863.25,770100,846.681
2015-12-24,868,869.3,862,864.25,538700,847.662
2015-12-25,864.25,864.25,864.25,864.25,0,847.662
2015-12-28,865,873,862.5,865.85,976300,849.232
2015-12-29,867,867,855,857.9,754000,841.434
2015-12-30,858,862.9,854.7,857.45,677400,840.993
2015-12-31,857.45,866.45,851.5,862.75,743300,846.191
2016-01-01,860,862,853.5,856.55,230300,840.11
2016-01-04,856.55,868.7,851.15,859,828800,842.513
2016-01-05,857.3,859.05,845.5,847.95,1118700,831.675
2016-01-06,850,850,840.95,843.05,2135000,826.869
2016-01-07,840,840.95,817.5,820.25,1353900,804.507
2016-01-08,819,831.5,807.7,809.85,1324000,794.306
2016-01-11,806,819.7,801.35,811.75,1514500,796.17
2016-01-12,808.5,822.15,804.55,819.7,1110000,803.967
2016-01-13,821.8,836.2,813.75,832.75,1338300,816.767
2016-01-14,829.5,837.9,818.55,827.25,1531000,811.372
2016-01-15,827.25,828.95,776.65,804.25,3249800,788.814
2016-01-18,796.3,816.65,795,809.95,1525500,794.404
2016-01-19,813,821.75,807.65,810.45,867200,794.895
2016-01-20,805,815,785,795.05,1543500,779.79
2016-01-21,797.2,799,774.2,775.6,1679100,760.714
2016-01-22,780.5,783.5,770,771.5,1465100,756.692
2016-01-25,772,784.75,769.7,783.3,1036800,768.266
2016-01-26,783.3,783.3,783.3,783.3,0,768.266
