"Date","AUROPHARMA.NS.Open","AUROPHARMA.NS.High","AUROPHARMA.NS.Low","AUROPHARMA.NS.Close","AUROPHARMA.NS.Volume","AUROPHARMA.NS.Adjusted"
2015-04-17,1424,1432.2,1319.05,1334.9,4185600,663.0837
2015-04-20,1334.8,1364.9,1304,1342.35,3517700,666.7843
2015-04-21,1342.4,1366.7,1323.55,1334.9,2312300,663.0837
2015-04-22,1343.9,1363,1330.1,1352.1,2106100,671.6274
2015-04-23,1368,1374.8,1334,1338,1728900,664.6235
2015-04-24,1343.9,1343.9,1270.15,1289.15,2617900,640.3583
2015-04-27,1286,1286.9,1197.65,1215.4,3306100,603.7245
2015-04-28,1209.95,1303.8,1177.5,1293.35,3117500,642.4445
2015-04-29,1294,1319.75,1268.3,1281.9,3012500,636.757
2015-04-30,1278,1299,1240.65,1285.65,3961600,638.6197
2015-05-01,1285.65,1285.65,1285.65,1285.65,0,638.6197
2015-05-04,1289.9,1320.4,1289,1304.3,2341200,647.8838
2015-05-05,1299.45,1368.8,1291,1364.9,3019500,677.9855
2015-05-06,1359.8,1382.8,1263.5,1275.45,3345100,633.5531
2015-05-07,1273,1302,1209.05,1236.65,3857300,614.28
2015-05-08,1252,1309.8,1252,1284.85,3576200,638.2223
2015-05-11,1299,1370,1297.05,1362.8,5548500,676.9424
2015-05-12,1365,1370.6,1312.25,1322.2,2995300,656.7752
2015-05-13,1330.5,1365,1320,1342.1,2122700,666.6601
2015-05-14,1329,1361.9,1324,1355.55,1564300,673.3411
2015-05-15,1360.5,1369,1338,1352.3,1276500,671.7268
2015-05-18,1355,1359.9,1340.5,1351.4,1256600,671.2797
2015-05-19,1352,1397,1346.05,1386.7,2790100,688.8142
2015-05-20,1395.35,1412,1383,1392.55,2205500,691.7201
2015-05-21,1391.9,1391.9,1353.5,1358.9,2490000,675.0052
2015-05-22,1361,1372,1334,1362.55,1820900,676.8182
2015-05-25,1365,1372.8,1348,1353.95,921100,672.5463
2015-05-26,1358,1359,1327.2,1347.55,1696900,669.3673
2015-05-27,1340,1357,1329.8,1340.4,2445700,665.8157
2015-05-28,1336,1340.4,1290.9,1304.2,3019100,647.834
2015-05-29,1317,1396,1290.65,1374.2,6771100,682.6051
2015-06-01,1374,1382.55,1354,1360.4,1351400,675.7502
2015-06-02,1379.5,1398.8,1309.75,1323.25,3105800,657.2967
2015-06-03,1330.95,1349.7,1255,1312,2553200,651.7085
2015-06-04,1317.7,1328.35,1283.3,1312.8,2025200,652.106
2015-06-05,1309.55,1334.15,1300,1311.95,1488600,651.6837
2015-06-08,1314,1327,1275.1,1292.9,1793900,643.2016
2015-06-09,1291,1306,1259,1287.4,2101500,640.4654
2015-06-10,1290,1312.55,1288,1301.8,1431300,647.6292
2015-06-11,1311.9,1323,1257.5,1266.55,2176000,630.0928
2015-06-12,1264.4,1283.45,1240.1,1278.45,1702800,636.0129
2015-06-15,1281.8,1290,1270,1276.8,1173500,635.192
2015-06-16,1303,1321,1282,1314,2166800,653.6986
2015-06-17,1317.9,1348.7,1316,1335.3,1982500,664.2951
2015-06-18,1339,1356.8,1335.5,1345.95,1497800,669.5933
2015-06-19,1346,1372.2,1346,1360.8,1627400,676.981
2015-06-22,1367.9,1378,1360.5,1371.95,1081200,682.5279
2015-06-23,1378,1400,1370,1395.95,2198800,694.4676
2015-06-24,1410,1462.8,1410,1443.25,4626800,717.9988
2015-06-25,1446.1,1456.7,1426.55,1434.15,8674200,713.4717
2015-06-26,1432.3,1439.7,1418,1431.6,1700800,712.2031
2015-06-29,1413,1413,1361.4,1403.3,2153500,698.1242
2015-06-30,1402.5,1460,1401,1452,3071900,722.3518
2015-07-01,1467.95,1479.9,1451.4,1464.4,1734800,728.5207
2015-07-02,1463,1469.35,1411.2,1415.35,2529400,704.1189
2015-07-03,1423,1439.8,1400,1419.1,1577800,705.9845
2015-07-06,1402.1,1451.95,1390.15,1448.25,1988600,720.4863
2015-07-07,1454,1468,1430.25,1449,2069100,720.8594
2015-07-08,1440,1462,1415,1443.9,1728600,718.3222
2015-07-09,1451.5,1457.5,1435.85,1449.8,1154400,721.2574
2015-07-10,1469,1473.65,1445.4,1452.85,1897300,722.7747
2015-07-13,1457,1498.5,1450,1494.1,2193200,743.296
2015-07-14,749.85,759,743.25,756.375,2152900,376.2871
2015-07-15,754,761,751,753.075,1859800,374.6454
2015-07-16,753.5,761.3,746.3,758.625,1533700,377.4064
2015-07-17,762.5,767.5,752.5,757.85,2530300,377.0209
2015-07-20,763.55,776.65,752.6,771.05,1252100,767.1754
2015-07-21,772,775.6,743.25,749.9,1585100,746.1318
2015-07-22,715.55,758,715,752.3,2557300,748.5197
2015-07-23,758.9,760.85,738.6,748.7,1605600,744.9378
2015-07-24,748,756,725.1,734.75,1214700,731.0579
2015-07-27,731.8,752,722.3,738.8,1445600,735.0875
2015-07-28,741.9,745,721.25,725.15,1388900,721.5061
2015-07-29,720,739.6,715.2,731.15,1411100,727.476
2015-07-30,731,738.95,720.1,723.05,2168800,719.4166
2015-07-31,724.95,763.8,724.95,759.9,2082800,756.0815
2015-08-03,759.15,762,750,755.6,852900,751.8031
2015-08-04,759.3,759.55,743.5,754.2,759100,750.4101
2015-08-05,761.3,769.9,749.3,763.5,1281700,759.6634
2015-08-06,767,791.6,760,789.75,2068900,785.7815
2015-08-07,789,796,769.55,772.7,1250300,768.8172
2015-08-10,776.5,789.8,774,778.5,1256200,774.588
2015-08-11,782.8,786,750.1,761.45,1456500,757.6237
2015-08-12,763.5,773,739.95,744.15,2057000,740.4106
2015-08-13,748.5,777.6,727.65,736.3,3691400,732.6001
2015-08-14,741.9,765,741.4,762.15,2265400,758.3202
2015-08-17,764.8,786.4,757.8,783.4,2057800,779.4634
2015-08-18,787.9,799,781,791.3,1786600,787.3237
2015-08-19,775,824.8,772,817.55,2817800,813.4418
2015-08-20,819.5,832.2,795.35,798.85,1965700,794.8357
2015-08-21,794,814.95,773.1,804.45,1891100,800.9089
2015-08-24,779,793.9,702.45,713.8,2757900,710.6579
2015-08-25,731.15,749.55,645.45,736.8,3298400,733.5567
2015-08-26,735,742.95,693,724.2,3185800,721.0122
2015-08-27,738,756.8,732.25,745.35,2673200,742.069
2015-08-28,751.5,780,745.85,756.4,3666900,753.0705
2015-08-31,774,779,750,753,2952900,749.6854
2015-09-01,747.95,763,730,737.75,1899900,734.5025
2015-09-02,741.1,746.45,725.55,728.5,1705500,725.2932
2015-09-03,734.95,743.65,731.2,734.9,1157400,731.6651
2015-09-04,733.7,736.5,707.95,723.05,1563300,719.8672
2015-09-07,728,730.95,695,705.55,1691700,702.4443
2015-09-08,707.6,732.8,675,726.7,3291200,723.5012
2015-09-09,734.8,740,711.6,714.5,1687500,711.3549
2015-09-10,698,719.4,692.95,710.15,2275100,707.024
2015-09-11,709.8,721.7,701.35,707.45,1603500,704.3359
2015-09-14,713.05,717.4,703,713,1362800,709.8615
2015-09-15,713.05,724,696,698.8,1985500,695.724
2015-09-16,706.1,710,690.1,693.2,1740200,690.1486
2015-09-17,693.2,693.2,693.2,693.2,0,690.1486
2015-09-18,704,712.5,693.95,707.3,2330300,704.1866
2015-09-21,707,718,705.55,711.6,1702200,708.4676
2015-09-22,719,738.9,709.4,715.55,2366500,712.4002
2015-09-23,708,735.55,706,732.55,2073700,729.3254
2015-09-24,729.05,748,728.15,741.95,2384000,738.6841
2015-09-25,741.95,741.95,741.95,741.95,0,738.6841
2015-09-28,750,766,743.5,746.8,2300100,743.5127
2015-09-29,737,760.5,722.1,755.9,2619500,752.5727
2015-09-30,758.9,770.6,752.5,769.2,1774200,765.8141
2015-10-01,773.9,779.5,760.2,769,1533800,765.615
2015-10-02,769,769,769,769,0,765.615
2015-10-05,772.25,777,759.25,765.5,1069600,762.1304
2015-10-06,767.95,780,751.3,755.15,1957700,751.826
2015-10-07,750,762,740.5,744.6,2177100,741.3223
2015-10-08,748.5,755,732.5,750.55,1575200,747.2462
2015-10-09,759.7,791.15,755.25,787.5,2963600,784.0335
2015-10-12,795,804.45,780,787.05,1902800,783.5855
2015-10-13,788,795.9,776.3,780.95,1305400,777.5124
2015-10-14,783.85,808.75,780,805.95,1901000,802.4023
2015-10-15,810,815.9,787.3,791.8,2130200,788.3146
2015-10-16,795.6,809.5,794.15,802.7,1652700,799.1666
2015-10-19,805.7,810,800.75,805.25,1056400,801.7054
2015-10-20,805.5,819.55,804,813.25,1343000,809.6702
2015-10-21,816.9,820.8,808.1,812.4,1379200,808.824
2015-10-22,812.4,812.4,812.4,812.4,0,808.824
2015-10-23,819,831.6,815.55,827,1452800,823.3597
2015-10-26,829.9,836,824.75,832.75,1348800,829.0843
2015-10-27,827,849,826.6,846.1,1435800,842.3756
2015-10-28,844,860,837.1,853.6,1070900,849.8425
2015-10-29,853.6,861.55,839.45,844.65,2636200,840.932
2015-10-30,842,851.95,831.6,835.95,1191700,832.2703
2015-11-02,840,852,829,846.6,1047900,842.8734
2015-11-03,850.1,854,837.15,840.45,805700,836.7505
2015-11-04,843.8,845,812.6,819.85,1269200,816.2411
2015-11-05,817.1,831,808.1,819,1202700,815.3949
2015-11-06,824.4,833.75,808.4,814.1,1146400,810.5164
2015-11-09,797.55,858.95,794.55,856.65,2136400,852.8792
2015-11-10,847.6,859.7,828,831.3,1878500,827.6407
2015-11-11,838.3,843.5,833,837.9,163500,834.2117
2015-11-12,837.9,837.9,837.9,837.9,0,834.2117
2015-11-13,836.1,846.45,821.6,829.15,1598300,825.5002
2015-11-16,829,837.1,810,820.25,1849800,816.6394
2015-11-17,821.9,833.4,815,830.95,1341800,827.2923
2015-11-18,831,836.5,812.55,815.75,1882000,812.1592
2015-11-19,820.2,826.4,808.35,816.95,1008200,813.9526
2015-11-20,816.95,835,813.2,831.85,1163500,828.7978
2015-11-23,840,850.85,840,847.45,1425500,844.3406
2015-11-24,847,851.7,832.05,835.25,957000,832.1854
2015-11-25,835.25,835.25,835.25,835.25,0,832.1854
2015-11-26,835.2,842.15,820.5,824.1,1391700,821.0763
2015-11-27,826,832.3,810.9,817,893500,814.0024
2015-11-30,815,826,807,809.75,2212800,806.779
2015-12-01,812.8,828.6,810.55,826.6,1378600,823.5671
2015-12-02,827.9,832.95,815.3,824.1,1184000,821.0763
2015-12-03,824.85,828.05,817.8,820.75,1121100,817.7386
2015-12-04,814.9,820.75,804.4,806.9,1555800,803.9394
2015-12-07,812,812.4,798.5,801.6,1193400,798.6588
2015-12-08,800,806.5,794.3,797.9,1061700,794.9725
2015-12-09,794.9,800,781.2,786.75,1323300,783.8633
2015-12-10,800,807.65,787.3,804.45,2311200,801.4984
2015-12-11,810.9,820.85,804.05,809.1,2404800,806.1313
2015-12-14,808.7,825.9,800.75,823.75,2243400,820.7276
2015-12-15,823.9,826.55,817,823.1,790300,820.08
2015-12-16,825,829.35,817,820.5,1570300,817.4895
2015-12-17,824,836.7,823,832.7,2150200,829.6448
2015-12-18,829.3,839.4,828.2,830.85,1339200,827.8015
2015-12-21,830.9,842.8,829,835.9,936300,832.833
2015-12-22,839.3,848.3,835.1,840.6,1038000,837.5157
2015-12-23,847,871,843.2,869.1,1793500,865.9112
2015-12-24,875,882.75,866.8,871.5,1700200,868.3024
2015-12-25,871.5,871.5,871.5,871.5,0,868.3024
2015-12-28,880,880,867.6,871.75,949600,868.5515
2015-12-29,877.4,889.8,873,887.4,1533300,884.1441
2015-12-30,890,891.5,868.2,870.2,1825400,867.0072
2015-12-31,875,879.95,867.1,875.95,1136900,872.7361
2016-01-01,879.9,886,871.5,881.4,851600,878.1661
2016-01-04,876.9,878.5,832.2,844.3,2112400,841.2022
2016-01-05,845.95,867.35,841.25,863.5,1926100,860.3317
2016-01-06,869.95,878,853.3,867.2,1920400,864.0182
2016-01-07,853.5,861.8,837.8,841.5,1796500,838.4125
2016-01-08,848,855.2,840,844.65,1618200,841.5509
2016-01-11,837.05,846,825,833,1437800,829.9437
2016-01-12,836.2,848.95,834.7,840.75,1394300,837.6652
2016-01-13,846.5,847.35,796.05,829.3,1776400,826.2572
2016-01-14,816,844.9,808.5,836.5,1419100,833.4308
2016-01-15,843.8,843.8,810,814.75,1181700,811.7606
2016-01-18,820,827.5,790.65,800.1,1783900,797.1643
2016-01-19,801.2,829,800.9,821.2,1191900,818.187
2016-01-20,805,819.8,783,800.9,1547200,797.9615
2016-01-21,813.7,815.85,766.2,773.95,1525300,771.1103
2016-01-22,788.95,816,779.65,811.1,1453200,808.124
2016-01-25,822,829.7,814,818.95,1288600,815.9452
2016-01-26,818.95,818.95,818.95,818.95,0,815.9452
2016-01-27,818.2,825,797,801.3,1263100,798.36
2016-01-28,800,815.8,798.15,808.65,1317700,805.683
2016-01-29,814.8,838,806.2,834.25,1447000,831.1891
2016-02-01,820.5,820.5,790.35,801,3040900,798.0611
2016-02-02,807,807.9,755.05,765.85,6875100,763.04
2016-02-03,759,779.9,751,770.15,2334600,767.3243
2016-02-04,777.95,782,723,740.45,3978200,737.7332
2016-02-05,742.15,768,715.1,763.2,3354300,760.3998
2016-02-08,770,770.1,741,745.2,1953100,742.4658
2016-02-09,738,747.1,720,742.7,2413800,739.975
2016-02-10,738,738,644.75,691.25,10999000,688.7137
2016-02-11,695.05,697.5,625.4,639.15,6214600,636.8049
2016-02-12,648.95,672.9,601.55,661.95,6840000,659.5213
2016-02-15,677.95,683,646,653.35,2623200,650.9528
2016-02-16,654.15,656.9,624,629.15,2461100,626.8416
2016-02-17,629,666.2,616.3,663.2,2641000,660.7667
2016-02-18,668.5,678.5,658,668,2220900,666.2523
2016-02-19,667,667.1,647.9,655.55,2116100,653.8348
2016-02-22,659.95,663.8,634.8,654.4,2247100,652.6879
2016-02-23,673,673.4,647.65,653.85,2743200,652.1393
2016-02-24,654,654.05,610,616.9,3228500,615.286
2016-02-25,615.1,615.2,582,588.85,5727000,587.3093
2016-02-26,600,624.5,588.5,615.85,4072800,614.2387
2016-02-29,624.4,667,624.05,655.65,6887400,653.9346
2016-03-01,659.1,683.85,645.8,679.2,4229300,677.423
2016-03-02,685,695.85,670.2,674.85,3133200,673.0843
2016-03-03,677,701.9,676.5,697.95,2705800,696.1239
2016-03-04,701.6,710.8,691,701.25,2795300,699.4153
2016-03-07,701.25,701.25,701.25,701.25,0,699.4153
2016-03-08,700,710,689.05,705.45,1957700,703.6043
2016-03-09,702.5,720.5,695.5,718,1812100,716.1215
2016-03-10,720,732,717.05,724.2,1898000,722.3053
2016-03-11,722.9,735.45,719.2,732.45,2063600,730.5337
2016-03-14,729,742,727,736.4,1467100,734.4733
2016-03-15,736.2,737.5,704,709.75,2476500,707.893
2016-03-16,709.9,729.2,707.75,725.5,1691600,723.6018
2016-03-17,731.1,735,722.35,726.7,1435400,724.7987
2016-03-18,724.05,727.6,696.85,720.9,3986400,719.0139
2016-03-21,730,748,728.2,743,2161100,741.0561
2016-03-22,745.95,754.5,736.05,748.55,1893100,746.5915
2016-03-23,747.4,761.95,742,752.4,1517800,750.4315
2016-03-24,752.4,752.4,752.4,752.4,0,750.4315
2016-03-25,752.4,752.4,752.4,752.4,0,750.4315
2016-03-28,758,758.5,736.25,745.75,1599200,743.7989
2016-03-29,741,747,708.7,736.5,3301800,734.5731
2016-03-30,739.25,751.9,732.05,740.7,1870600,738.7621
2016-03-31,742,757,730,744.9,4782700,742.9511
2016-04-01,731.8,747.6,720,729.9,2673500,727.9904
2016-04-04,732,755,731.05,753.95,1231900,751.9774
2016-04-05,752.85,767,742.05,751.15,2333200,749.1848
2016-04-06,754.95,758.5,740,745.85,1549500,743.8986
2016-04-07,740,769.45,739.35,753.35,1797500,751.379
2016-04-08,752,760.9,747.5,758.05,1196600,756.0667
2016-04-11,757.2,773.4,751.25,771.1,1174500,769.0825
2016-04-12,774,789.65,772.4,784.3,1612100,782.248
2016-04-13,791,796,782.2,785.1,1452400,783.0459
2016-04-14,785.1,785.1,785.1,785.1,0,783.0459
2016-04-15,785.1,785.1,785.1,785.1,0,783.0459
2016-04-18,784.1,789.05,777,782.8,1109800,780.7519
2016-04-19,782.8,782.8,782.8,782.8,0,780.7519
2016-04-20,784,794.5,765.4,770.1,2107500,768.0851
2016-04-21,775,778.75,760.05,766.65,1363100,764.6442
2016-04-22,766.65,789,758.2,779.2,2156200,777.1614
2016-04-25,782.95,786.1,761,764,1021700,762.0011
2016-04-26,759.7,778,758.2,775.6,1209800,773.5707
2016-04-27,775.75,775.75,761,764.9,1457400,762.8988
2016-04-28,763.5,779.1,758.45,764.35,2106200,762.3502
2016-04-29,769,775,755.4,759.95,2040000,757.9617
2016-05-02,764,774,761.2,769.85,1064600,767.8358
2016-05-03,783.3,811,777.3,803.25,3770500,801.1484
2016-05-04,806,815,803,812,1875400,809.8755
2016-05-05,819.9,819.9,802.05,804.95,1167300,802.844
2016-05-06,806,807.45,795,799.8,1185500,797.7074
2016-05-09,800.8,818,797.65,816.4,1195200,814.264
2016-05-10,816.2,822.35,810.2,814,1229800,811.8703
2016-05-11,809.95,821,800.4,817.45,828800,815.3113
2016-05-12,820.5,821.35,797.85,801.3,1588500,799.2035
2016-05-13,801,808.45,780.1,784.25,1893200,782.1981
2016-05-16,785.6,799.5,783,787.8,2192300,785.7388
2016-05-17,791.75,794.3,773.15,776.35,2552500,774.3188
2016-05-18,772.8,785,768.95,782.7,1218400,780.6522
2016-05-19,782.8,788,766.25,769.2,1321000,767.1875
2016-05-20,771,774.95,761.5,770.1,928400,768.0851
2016-05-23,776,780,754,759.7,1214900,757.7124
2016-05-24,759.8,759.8,712.5,727.8,2271900,725.8958
2016-05-25,733.2,744.85,722,742.4,1374500,740.4576
2016-05-26,744.9,748,736,744.55,1494200,742.602
2016-05-27,746.9,771.5,741.5,763.1,1396000,761.1034
2016-05-30,769.95,775,750,754.45,1371700,752.4761
2016-05-31,774,795.4,760,785.3,4146600,783.2454
2016-06-01,790.75,802.7,786,788.85,1644100,786.7861
2016-06-02,789,791.65,777.45,788.9,953700,786.836
2016-06-03,790.1,798,778,789.8,1082200,787.7336
2016-06-06,790.1,794.35,775.35,779.15,1203400,777.1115
2016-06-07,783,786.2,768.2,771.4,1211800,769.3818
2016-06-08,775.75,778.7,766.5,772.6,865600,770.5786
2016-06-09,775,776,744,752.9,1308200,751.6112
2016-06-10,748.65,754.85,736.15,743.1,1968300,741.8279
2016-06-13,740,752.65,731.6,749.15,1721300,747.8676
2016-06-14,753,757.15,746,750.2,918300,748.9158
2016-06-15,754,754.65,738.15,740.65,1390200,739.3821
2016-06-16,744.85,746.45,724,735.85,1605200,734.5903
2016-06-17,740,742.3,724.5,727.8,1619600,726.5541
2016-06-20,730.9,741.6,719.25,738.3,1661300,737.0361
2016-06-21,742,746.25,718.8,721.3,1732900,720.0652
2016-06-22,722.8,735,714.2,720.55,1423800,719.3165
2016-06-23,724.2,729.45,718.85,725.65,921700,724.4078
2016-06-24,700,707.05,667.05,700.9,3406800,699.7002
2016-06-27,703,726.8,700.05,723.9,2058200,722.6608
2016-06-28,727.5,734.9,725.5,730.1,1031300,728.8502
2016-06-29,736.45,742,732,738,1197000,736.7367
2016-06-30,743,748,739.2,742.5,1573700,741.229
2016-07-01,746.5,752.9,743,746.25,854100,744.9725
2016-07-04,750,762,749.8,757.8,1556500,756.5028
2016-07-05,760,773,746.7,771,2031400,769.6802
2016-07-06,771,771,771,771,0,769.6802
2016-07-07,775,778.7,758.6,762.85,1728200,761.5441
2016-07-08,771,782.4,769.9,778.95,2123800,777.6166
2016-07-11,779,791,779,787.4,1482000,786.0521
2016-07-12,779,783.4,775,779.1,956600,777.7663
2016-07-13,778,781,768.15,774.2,1051400,772.8747
2016-07-14,774,779,771.1,775.8,1058700,774.4719
2016-07-15,775,779,756.4,761.5,1206300,760.1964
2016-07-18,765.35,765.35,747.05,750.4,1344400,749.1155
2016-07-19,751.8,763.75,747.6,760.7,728400,759.3978
2016-07-20,770.4,800.8,770.15,798.05,3134800,796.6838
2016-07-21,808,813.95,788,790.3,2103400,788.9471
2016-07-22,791.85,809.8,791.05,798.55,1297500,797.183
2016-07-25,803.1,805.85,791,799.45,1119300,798.0815
2016-07-26,802,802.45,781.1,784.1,1288400,782.7577
2016-07-27,785,796.5,774.6,794.6,1006800,793.2397
2016-07-28,798,798,776.05,779.3,2493500,777.9659
2016-07-29,783.3,798.7,781,791.45,1418800,790.0952
2016-08-01,798.95,806.8,782,787.75,1453300,786.4015
2016-08-02,791.25,792.5,761.3,763.75,2215100,762.4426
2016-08-03,763.9,787,740.25,746.7,2187800,745.4218
2016-08-04,756.3,760,745.1,750.95,1098700,749.6645
2016-08-05,754.65,772.7,752.35,769.95,1225000,768.632
2016-08-08,774,782,767.75,772.5,1361500,771.1776
2016-08-09,775,778.75,755.8,763.95,1344300,762.6422
2016-08-10,767.8,771.25,743.6,745.5,1957600,744.2238
2016-08-11,751,754.95,736.1,749.95,1550300,748.6662
2016-08-12,752.95,759.3,742.8,747.45,1099300,746.1705
2016-08-15,747.45,747.45,747.45,747.45,0,746.1705
2016-08-16,750,751.2,729,733.95,1666600,732.6936
2016-08-17,733.95,751.4,732.25,749.15,1011900,747.8676
2016-08-18,753,762.4,744.3,753.65,925800,752.3599
2016-08-19,750.8,766.5,748.85,765.05,1259200,763.7403
2016-08-22,767.75,774,745.2,750.15,2097400,748.8659
2016-08-23,750,750,730.4,736.6,2729900,735.339
2016-08-24,759.3,790.95,750.1,787.8,7364000,786.4514
2016-08-25,798,804.8,788,789.85,4776500,788.4979
2016-08-26,791,797.2,784.05,789.95,1998500,788.5977
2016-08-29,792.5,798.2,780.65,786.65,2185400,785.3034
2016-08-30,794,802,788.3,798.55,1541000,797.183
2016-08-31,803.45,805,788,790.85,1836700,789.4962
2016-09-01,790.6,792.35,770,773.4,1603500,772.0761
2016-09-02,775,784.9,766.35,779.6,1435900,778.2654
2016-09-05,779.6,779.6,779.6,779.6,0,778.2654
2016-09-06,785,786.9,773.55,777.65,1104600,776.3188
2016-09-07,780,789.9,778.05,783.25,1120000,781.9092
2016-09-08,787.6,809.9,777,807.2,2545900,805.8182
2016-09-09,811.15,818.5,799.4,802.35,2741200,800.9765
2016-09-12,792,798,779.6,782.35,1358800,781.0107
2016-09-13,782.35,782.35,782.35,782.35,0,781.0107
2016-09-14,783,790,776.8,783.2,906500,781.8593
2016-09-15,785,801,778.1,782.6,1594700,781.2603
2016-09-16,786,799.6,783.1,785.15,1464900,783.806
2016-09-19,788.95,806,788.05,804.85,1902500,803.4722
2016-09-20,810,814.5,801.75,805.95,2023700,804.5704
2016-09-21,809.9,814.65,803.55,807.65,1511900,806.2675
