"Date","INFRATEL.NS.Open","INFRATEL.NS.High","INFRATEL.NS.Low","INFRATEL.NS.Close","INFRATEL.NS.Volume","INFRATEL.NS.Adjusted"
2015-06-10,451.8,464.2,433,443.3,1762300,417.98
2015-06-11,448.55,474,447,456.7,2065000,430.62
2015-06-12,456,456,436.4,441.3,1097300,416.09
2015-06-15,441.7,461.85,435,455.05,962800,429.06
2015-06-16,460.2,470.8,451.25,461.4,1425000,435.05
2015-06-17,464,475,458,473.25,1412700,446.22
2015-06-18,469.6,469.6,450.3,455.95,2133000,429.91
2015-06-19,461.3,475,456.1,466.05,1964600,439.43
2015-06-22,470,486.9,458,482.3,1831100,454.75
2015-06-23,481.6,484.6,472.1,480.45,1281900,453.01
2015-06-24,475,478.45,461.15,463.35,2196600,436.89
2015-06-25,458.35,471.75,452.25,458.95,1639100,432.74
2015-06-26,456.3,458.9,433,435.8,1393300,410.91
2015-06-29,431.7,458.45,422.1,449.9,1385200,424.2
2015-06-30,456.8,459.95,441.25,447,2153700,421.47
2015-07-01,453.7,453.7,439.75,440.95,763800,415.76
2015-07-02,448,485,444.1,479.85,1743100,452.44
2015-07-03,474.5,474.5,456.05,464.5,990700,437.97
2015-07-06,460,460,446.45,450.15,1204600,424.44
2015-07-07,445,458,434.7,436.55,2216700,411.62
2015-07-08,436,453.75,435.5,450.3,1901200,424.58
2015-07-09,453.7,453.7,438.5,443.2,2607300,417.89
2015-07-10,446.7,446.7,434,437.55,1537000,412.56
2015-07-13,442,444.7,435.05,439.05,469700,413.97
2015-07-14,442.85,449.4,436.2,447.95,1068100,422.36
2015-07-15,448,450,442.95,447.35,769200,421.8
2015-07-16,449.55,461.95,441.2,453.45,999800,427.55
2015-07-17,459.45,476.4,455.35,470.65,1416000,443.77
2015-07-20,470,470,454.5,460.9,802000,434.58
2015-07-21,464.9,464.9,437.9,448.75,1480500,423.12
2015-07-22,454.9,463.3,450.1,458.2,707600,432.03
2015-07-23,466.3,468.7,445,451.2,906600,425.43
2015-07-24,455.45,455.45,408.1,419.9,2302800,395.92
2015-07-27,423.05,434.15,419.9,426.45,2583500,402.09
2015-07-28,426.05,448.35,426.05,434.75,1508700,409.92
2015-07-29,439,448.55,437.1,443,2097100,417.7
2015-07-30,444.3,449,438.05,443.6,1753400,418.26
2015-07-31,443.7,464,443.7,447.65,1885200,422.08
2015-08-03,448.9,479.8,447.65,474.75,2894300,454.23
2015-08-04,478.8,496.7,472.8,480.7,2493800,459.92
2015-08-05,483,499.65,460.15,465.9,1384900,445.76
2015-08-06,461,465.8,450.15,452.4,1844000,432.85
2015-08-07,453.95,460.9,430.05,436.3,2354200,417.44
2015-08-10,438.2,454.7,437,443.65,2284200,424.47
2015-08-11,442.1,447.15,436,439.95,1600200,420.93
2015-08-12,442.45,444.35,435.1,439,837700,420.02
2015-08-13,437,440.95,430.45,432.25,929000,413.57
2015-08-14,430,430,402,410.1,2248500,392.37
2015-08-17,413.4,422.35,407.5,419.85,1046100,401.7
2015-08-18,422,422,413,415.9,1458500,397.92
2015-08-19,418.9,418.9,399,406.05,1049200,388.5
2015-08-20,406.05,415,388.05,403.15,3859500,385.72
2015-08-21,401,419.8,400,402.85,812600,385.44
2015-08-24,398,398,366.2,376.35,1667700,360.08
2015-08-25,377.2,427.25,377.2,402.7,2292900,385.29
2015-08-26,394.8,402.4,384.95,387.05,1665800,370.32
2015-08-27,392,403.45,388.45,391.6,1479700,374.67
2015-08-28,396,398.5,384,390.65,1667900,373.76
2015-08-31,392.9,436,390.2,399.75,3395000,382.47
2015-09-01,400,429,398.85,403.1,3469100,385.68
2015-09-02,410,419.8,393.95,396.25,2487000,379.12
2015-09-03,400.8,423.9,399,405.05,8191500,387.54
2015-09-04,411,413.45,402.25,407.55,1206800,389.93
2015-09-07,411.95,414.4,400.25,404.95,839400,387.45
2015-09-08,404.05,412.8,395,398,546500,380.8
2015-09-09,402.15,409,402.15,407.55,1384600,389.93
2015-09-10,406.6,407.4,386.25,391.2,822800,374.29
2015-09-11,397.85,398.75,370.1,374.5,2691200,358.31
2015-09-14,382,400,376.65,398.1,2728000,380.89
2015-09-15,400,400,382.05,389.15,1791400,372.33
2015-09-16,388.8,392,377.5,379.9,1161800,363.48
2015-09-17,379.9,379.9,379.9,379.9,0,363.48
2015-09-18,384.4,394,381.25,391.05,1665700,374.15
2015-09-21,386.3,404.3,386.3,401.55,1168900,384.19
2015-09-22,401,418,399.6,415.15,2773000,397.21
2015-09-23,409.8,411.6,390.3,394.2,764500,377.16
2015-09-24,402.05,405.05,392.1,395.75,1915600,378.64
2015-09-25,395.75,395.75,395.75,395.75,0,378.64
2015-09-28,399,400.2,362.75,377.05,1988400,360.75
2015-09-29,374.7,377,341.35,357.6,5933600,342.14
2015-09-30,356.5,366.7,350.05,355.2,5239300,339.85
2015-10-01,363,402.6,360,397.4,4290000,380.22
2015-10-02,397.4,397.4,397.4,397.4,0,380.22
2015-10-05,399.65,426,397.45,410.15,4108900,392.42
2015-10-06,414.55,430.7,413.45,426.55,2591400,408.11
2015-10-07,423,436.75,419.75,430.8,2151600,412.18
2015-10-08,424,430,402.45,410.05,1896500,392.33
2015-10-09,414.85,414.95,393.5,403.25,3070800,385.82
2015-10-12,405.75,407.8,384.4,386.3,1623400,369.6
2015-10-13,385,401.15,375.75,398.75,2751100,381.51
2015-10-14,401,413.3,393.5,408.05,1769000,390.41
2015-10-15,409.85,412,395.7,399.4,1281700,382.14
2015-10-16,400,412,400,401.45,862400,384.1
2015-10-19,398.1,416.35,397.45,414.75,1053100,396.82
2015-10-20,418.8,420.8,402,406.25,1210000,388.69
2015-10-21,409,414.15,403.85,409.4,941900,391.7
2015-10-22,409.4,409.4,409.4,409.4,0,391.7
2015-10-23,413.6,414,385.1,388.7,2801500,371.9
2015-10-26,390,391.75,378.75,379.95,3704100,363.53
2015-10-27,377.9,389.75,375,386.55,1794400,369.84
2015-10-28,382.1,393.9,382.1,390.8,2740900,373.91
2015-10-29,390.3,392.35,383.5,385.65,3062300,368.98
2015-10-30,387.2,393.85,386.4,388.95,936200,372.14
2015-11-02,389.9,398,384.4,387.35,1342200,370.61
2015-11-03,385.5,392.65,382.2,385.5,1413500,368.84
2015-11-04,386.9,390.2,374.65,379.65,3477500,363.24
2015-11-05,375.55,384.7,374,375.2,2333000,358.98
2015-11-06,372.3,381.65,368.4,379.05,1246200,362.67
2015-11-09,371,384.5,366.95,380.7,854000,364.24
2015-11-10,375.15,384,373,380.6,1527000,364.15
2015-11-11,380.6,380.6,380.6,380.6,0,364.15
2015-11-12,380.6,380.6,380.6,380.6,0,364.15
2015-11-13,379.65,386.5,375.1,376.6,1643400,360.32
2015-11-16,378,378.95,367,368.65,765700,352.72
2015-11-17,373,387,371.25,385,1590200,368.36
2015-11-18,385.5,394.4,382.8,388.55,1239600,371.76
2015-11-19,389.15,394.3,383.7,393.4,1567600,376.4
2015-11-20,393.85,394.4,383.3,385,745000,368.36
2015-11-23,385.45,391.65,379.75,380.75,874300,364.29
2015-11-24,380.75,383.4,375.65,377,1058400,360.7
2015-11-25,377,377,377,377,0,360.7
2015-11-26,381,411.2,380,401.05,3576400,383.72
2015-11-27,403.4,408,396.9,398.65,2802400,381.42
2015-11-30,395.1,396.9,379.1,387.95,2968600,371.18
2015-12-01,388.75,394.1,385.05,390.95,2582100,374.05
2015-12-02,393.3,404,388.5,400.95,2339400,383.62
2015-12-03,399,399,387.9,391.3,1192800,374.39
2015-12-04,390,401.9,388,396.3,1221200,379.17
2015-12-07,403.9,406.9,398.35,403.75,852600,386.3
2015-12-08,400,409,397.5,402.9,2734800,385.49
2015-12-09,404,404.7,393.3,397.15,3514600,379.98
2015-12-10,400.8,402.25,395.2,399.9,1431200,382.61
2015-12-11,400.1,400.8,388.25,391.35,1540900,374.43
2015-12-14,394,394,385.85,390.1,1094600,373.24
2015-12-15,391.05,393.45,387.8,389.1,1416000,372.28
2015-12-16,390,392,388,389.95,1362100,373.1
2015-12-17,390,400,388.5,392,1060500,375.06
2015-12-18,392,404.5,392,398.35,2017400,381.13
2015-12-21,395,401.95,393.3,400.15,1745300,382.85
2015-12-22,400,404.35,397.6,400.7,1854400,383.38
2015-12-23,404.9,420,399.7,417.65,1881400,399.6
2015-12-24,419.05,423.85,411.55,414.35,1350700,396.44
2015-12-25,414.35,414.35,414.35,414.35,0,396.44
2015-12-28,412.1,422.75,412,419.2,639000,401.08
2015-12-29,415,417.3,412.3,415.15,707900,397.21
2015-12-30,415.5,436.5,415.5,427.3,1415300,408.83
2015-12-31,428,434.9,423.1,428.1,1328800,409.6
2016-01-01,428,428.05,421.5,427.05,162000,408.59
2016-01-04,427.05,433.6,420.05,430.05,742700,411.46
2016-01-05,431,434,418.15,421.2,1439300,402.99
2016-01-06,421.35,426.1,409,410.4,2759300,392.66
2016-01-07,410.4,414.15,397.25,399.6,1905000,382.33
2016-01-08,399.75,411.9,394.65,400.2,2344600,382.9
2016-01-11,396.2,402.4,386.55,395.05,1279400,377.97
2016-01-12,395.35,399.05,385.3,395.25,2959300,378.17
2016-01-13,400.45,405.9,395.1,397.8,826000,380.61
2016-01-14,391,398.25,385,395.25,1472200,378.17
2016-01-15,395.2,397.9,385.75,388.25,1464600,371.47
2016-01-18,388,390.4,362.55,379.6,1651100,363.19
2016-01-19,370.05,378.65,370,374.15,1254100,357.98
2016-01-20,372.3,374.9,349.75,353.7,1908700,338.41
2016-01-21,356.25,370.05,353.5,362.55,2866500,346.88
2016-01-22,363.05,366.75,354,362.65,2732700,346.98
2016-01-25,365.5,376.05,364.5,367.25,2164700,351.38
2016-01-26,367.25,367.25,367.25,367.25,0,351.38
2016-01-27,368,389.1,366.8,382.7,3239800,366.16
2016-01-28,374,377.9,360.85,369.35,4207800,353.39
2016-01-29,370,370,359.1,361.2,1300200,345.59
2016-02-01,367.7,372.4,345.2,369.65,1962800,353.67
2016-02-02,376.2,376.95,362.85,367.4,1087100,351.52
2016-02-03,363.1,369.75,354.2,356.2,2146900,340.8
2016-02-04,360.3,361.5,355.05,356.2,1625400,340.8
2016-02-05,356.05,366.7,355.25,363.75,1427700,348.03
2016-02-08,364,369.6,360.05,366.45,534600,350.61
2016-02-09,362,364.8,356,357.55,1131300,342.1
2016-02-10,357,362.65,350,354.6,1216000,339.27
2016-02-11,352.5,370,352.5,356,929600,340.61
2016-02-12,360,390.9,358.5,384.1,2745000,367.5
2016-02-15,385,392.6,380.4,388,1314000,371.23
2016-02-16,386.2,393.9,356,362.75,2279700,347.07
2016-02-17,366.8,366.8,349.4,352.6,2659600,337.36
2016-02-18,358.4,366,358.05,363.85,2006300,348.12
2016-02-19,366.6,375.35,359.55,371.7,2089000,355.63
2016-02-22,376,377.1,368,375.35,1561300,359.13
2016-02-23,382.8,385.5,372.2,376.35,1395300,360.08
2016-02-24,378.5,378.5,358.3,359.8,2050600,344.25
2016-02-25,359.6,364.65,352.95,361,2039200,345.4
2016-02-26,364.05,368,360.55,364.85,2143600,349.08
2016-02-29,364.9,374.6,353.7,356.75,8433400,341.33
2016-03-01,352.2,375.55,352.2,374.6,1928900,358.41
2016-03-02,379.3,381.5,363.1,368.05,2380000,352.14
2016-03-03,369,374.4,363.55,368.5,3723300,352.57
2016-03-04,368.4,373.2,366.95,371.5,1098400,355.44
2016-03-07,371.5,371.5,371.5,371.5,0,355.44
2016-03-08,369,380.6,368.1,378.65,3842600,362.28
2016-03-09,377.6,380.8,371.45,379.45,731100,363.05
2016-03-10,379,380.9,375.35,378.3,604000,361.95
2016-03-11,375.5,382.2,373.1,378.15,1254400,361.81
2016-03-14,376.1,382.4,376.1,380.55,839100,364.1
2016-03-15,378.6,378.6,366.2,368.55,647400,352.62
2016-03-16,366.4,370.8,358.5,367.2,2103900,351.33
2016-03-17,370.9,373.9,365.75,369.7,1523400,353.72
2016-03-18,367.45,382.9,367.45,380.65,1931500,364.2
2016-03-21,382.7,391.9,376.75,386.05,1581000,369.36
2016-03-22,389.4,394,379.25,390.85,1176500,373.96
2016-03-23,390.85,392.15,381.35,384.7,1153000,368.07
2016-03-24,384.7,384.7,384.7,384.7,0,368.07
2016-03-25,384.7,384.7,384.7,384.7,0,368.07
2016-03-28,385,385.55,368.7,373.4,1536900,357.26
2016-03-29,375.6,390,366.15,387.3,1317400,370.56
2016-03-30,389.15,393,372.65,375.3,2624600,359.08
2016-03-31,375.95,392,368.1,381.95,6628300,365.44
2016-04-01,380.9,392.1,376.2,385.6,1668100,368.93
2016-04-04,385.95,387.9,374.5,382.05,1295000,365.54
2016-04-05,382.05,382.95,371.55,374.5,1218000,358.31
2016-04-06,378,378,370,371.35,937200,355.3
2016-04-07,372.6,374.25,367.65,372.9,830800,356.78
