"Date","PFC.NS.Open","PFC.NS.High","PFC.NS.Low","PFC.NS.Close","PFC.NS.Volume","PFC.NS.Adjusted"
2015-08-12,246.9,248.9,231.1,238.5,7290800,98.548
2015-08-13,239.95,242.5,238.1,239.6,3016000,99.003
2015-08-14,240.65,244.7,238.7,243.15,4481700,100.47
2015-08-17,243.3,245.3,239.55,240.35,2605300,99.313
2015-08-18,241.3,243.45,238.05,239.8,1558500,99.085
2015-08-19,239.35,240.6,233.6,234.9,1575400,97.061
2015-08-20,233.7,235.9,230.55,231.4,2348000,95.615
2015-08-21,230.4,230.85,222.7,227.85,4103500,94.148
2015-08-24,223.7,223.7,190.8,195.1,4672000,80.615
2015-08-25,199,215.2,185.5,213.35,5987400,88.156
2015-08-26,210,226,205.5,211.4,7755400,87.351
2015-08-27,216.4,221,213.8,219.2,5611000,90.574
2015-08-28,224.4,225.7,214,219.8,2755200,90.821
2015-08-31,218.8,226.35,213.75,224.15,3848300,92.619
2015-09-01,220.3,229.95,218.7,223,7069500,92.144
2015-09-02,225.1,228.5,215.35,217.7,3129000,89.954
2015-09-03,219.7,222.25,215.85,220,4672900,90.904
2015-09-04,221,221.45,203.45,205.5,5717100,84.913
2015-09-07,206.55,211.9,201,208.45,2791800,86.132
2015-09-08,210,216.75,206.1,212.2,2529400,87.681
2015-09-09,216,224,214.25,222.5,3277800,91.937
2015-09-10,217,224.15,213.35,221.25,3763600,91.421
2015-09-11,223.85,224.7,216.8,219.2,1756800,90.574
2015-09-14,221.45,226.35,217.2,220.15,3600000,90.966
2015-09-15,220,225.85,219.1,219.95,4334900,91.382
2015-09-16,223.45,227.9,222.15,226.65,3039100,94.165
2015-09-17,226.65,226.65,226.65,226.65,0,94.165
2015-09-18,229,234.4,227.85,230.5,4634000,95.765
2015-09-21,230,245.8,228,244.1,3460800,101.415
2015-09-22,245,245.5,236.6,238.25,4707400,98.985
2015-09-23,234,237.3,232.8,234.8,2961300,97.551
2015-09-24,234,241.9,234,236,6767900,98.05
2015-09-25,236,236,236,236,0,98.05
2015-09-28,236,238.55,227.25,229.35,2e+06,95.287
2015-09-29,227.75,231.9,224.4,227.5,5889800,94.518
2015-09-30,230,232.5,228.1,230.1,5304300,95.599
2015-10-01,233.9,234,222,226.35,4802600,94.041
2015-10-02,226.35,226.35,226.35,226.35,0,94.041
2015-10-05,230.25,253.65,230.25,251.25,10274500,104.386
2015-10-06,253.9,253.9,242.4,244.65,5468000,101.644
2015-10-07,245.9,246.35,237,238.3,5058000,99.005
2015-10-08,240.65,242.4,232.2,235.2,3430700,97.717
2015-10-09,238,240.25,232.6,233.95,2596400,97.198
2015-10-12,235,240.4,233.45,239.25,3403400,99.4
2015-10-13,240.45,245,236.6,244,5327200,101.373
2015-10-14,242,242.7,236.05,238.55,2948600,99.109
2015-10-15,239.75,243.85,239.3,242,2439100,100.543
2015-10-16,242.65,243.4,236.65,242,3018100,100.543
2015-10-19,245,245.5,240.9,243.85,2049200,101.311
2015-10-20,244,250.8,243.25,245.2,3926500,101.872
2015-10-21,245.6,248.25,242,247.3,1943300,102.745
2015-10-22,247.3,247.3,247.3,247.3,0,102.745
2015-10-23,249,250,245.5,248.8,3866600,103.368
2015-10-26,248.05,249.8,241.2,242.8,2325200,100.875
2015-10-27,243,247.6,240.7,245.45,1832400,101.976
2015-10-28,243.15,246.5,240.75,243.5,2233200,101.166
2015-10-29,243.5,244.5,234.5,236.5,5788600,98.257
2015-10-30,236.45,243.75,235.5,239.8,4615300,99.629
2015-11-02,239.6,245.85,238.95,242.8,3561100,100.875
2015-11-03,244.05,252.5,244,249.65,8883100,103.721
2015-11-04,250.85,256.75,248.1,252.7,7967500,104.988
2015-11-05,253.1,256.2,248.25,251.85,3866100,104.635
2015-11-06,247,247,223.55,232.1,12013600,96.429
2015-11-09,228.75,232.65,224.5,225.55,3468500,93.708
2015-11-10,224.4,231.5,220.85,225.45,6974700,93.667
2015-11-11,228.3,230,227.25,228.1,246400,94.768
2015-11-12,228.1,228.1,228.1,228.1,0,94.768
2015-11-13,227.5,229.8,221.5,225.25,6315200,93.584
2015-11-16,225.6,227.45,220.35,222.15,3629900,92.296
2015-11-17,224,224.1,217.15,218.85,4456800,90.925
2015-11-18,219.8,220.5,210.05,210.65,4672300,87.518
2015-11-19,211.75,215.4,211.15,213.55,2485500,88.723
2015-11-20,213.5,216.2,212.35,213.3,1919900,88.619
2015-11-23,214,216.25,207.75,209.35,7539600,86.978
2015-11-24,210,210.85,207.6,208.1,5081500,86.458
2015-11-25,208.1,208.1,208.1,208.1,0,86.458
2015-11-26,208.5,210.2,207.55,208.3,3936400,86.541
2015-11-27,209.55,212.75,208.5,210.7,3427900,87.538
2015-11-30,211.8,214.95,211.25,213.25,3944600,88.598
2015-12-01,214.35,215.2,210.75,213.35,3020900,88.639
2015-12-02,214.4,214.95,212,213,1449400,88.494
2015-12-03,212.1,217,211.65,213.65,3373400,88.764
2015-12-04,212,213.75,208.65,209.25,2287900,86.936
2015-12-07,210.1,211,206.15,207.2,2021800,86.084
2015-12-08,206.1,208,200,200.6,7438600,83.342
2015-12-09,200.2,207.5,198.3,204.4,8175000,84.921
2015-12-10,205,206.25,196.6,198.6,5912300,82.511
2015-12-11,198.5,205.95,198.2,201.1,7275400,83.55
2015-12-14,199.85,207.7,199.05,206.95,3884800,85.98
2015-12-15,208,209.35,205.3,206.75,3840500,85.897
2015-12-16,207,211.55,206.1,206.8,3536500,85.918
2015-12-17,210.8,216.5,209.2,215.7,5654600,89.616
2015-12-18,215.95,215.95,212,212.9,3536900,88.453
2015-12-21,214,219,213.15,218.2,2869900,90.654
2015-12-22,218.4,221,215.2,216.2,3107600,89.824
2015-12-23,208.9,209.85,207,208,2533100,94.075
2015-12-24,209.7,209.7,203.5,204.8,1761300,92.628
2015-12-25,204.8,204.8,204.8,204.8,0,92.628
