"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2015-04-21,311,316.6,309.95,310.85,9048700,299.43
2015-04-22,313.25,315,303.4,312.95,11142000,301.46
2015-04-23,314.25,315.9,309.75,311.85,9411600,300.4
2015-04-24,312.45,312.55,307.1,308.25,12256600,296.93
2015-04-27,310.7,312.45,296.7,302.3,22562700,291.2
2015-04-28,305.6,328.6,305.6,326.85,34043200,314.84
2015-04-29,327.8,334.8,325.1,330.15,22274000,318.02
2015-04-30,331,333.6,325.2,331.15,18898100,318.99
2015-05-01,331.15,331.15,331.15,331.15,0,318.99
2015-05-04,332.75,336.9,326.2,329.3,10280300,317.2
2015-05-05,329.3,330.9,327.1,328.45,9190000,316.39
2015-05-06,326.9,338,310.15,312.15,18152200,300.68
2015-05-07,312.2,313,300.6,304.6,14623800,293.41
2015-05-08,310,318.9,310,317,14247500,305.36
2015-05-11,320.05,325.8,319.1,323.5,8732200,311.62
2015-05-12,323.55,324,307,308.2,12447400,296.88
2015-05-13,313.15,319.15,306.5,317.65,14028600,305.98
2015-05-14,317.7,317.95,311.25,314.95,10611000,303.38
2015-05-15,315.3,316.45,310.55,312.35,10922500,300.88
2015-05-18,315,316.9,312.9,316.25,6935800,304.63
2015-05-19,313.95,318.9,312,315.35,8240700,303.77
2015-05-20,316.25,321,316.25,318.75,6868200,307.04
2015-05-21,320.2,320.8,312.7,313.55,10120600,302.03
2015-05-22,315,318.15,311.75,313.6,8131700,302.08
2015-05-25,312,314.1,310.95,312.15,4982900,300.68
2015-05-26,312,313,308.65,309.7,5005000,298.32
2015-05-27,311.8,314.8,307.5,313.15,11415500,301.65
2015-05-28,314.25,316,311.5,314.5,10472900,302.95
2015-05-29,317.1,318.9,314.8,317.25,20604200,305.6
2015-06-01,317,319,316,316.45,6928800,304.83
2015-06-02,317,317.5,303,304.5,12711000,293.32
2015-06-03,304.25,304.25,290.8,295.75,20755700,284.89
2015-06-04,291.8,292.8,285.45,290.1,18871900,284.25
2015-06-05,291.2,292.4,283,284.1,21577300,278.37
2015-06-08,285.65,285.65,280.35,283.15,19223300,277.44
2015-06-09,282.9,287.8,282.05,287.1,17646700,281.31
2015-06-10,287,294.35,286.7,292.5,15897900,286.6
2015-06-11,296,297.2,286.5,288.5,19782300,282.68
2015-06-12,289.5,297,287.15,295.95,18862300,289.98
2015-06-15,295,300.35,293.2,299.2,15473300,293.17
2015-06-16,297.05,303,293.9,302.05,14389200,295.96
2015-06-17,304.25,304.3,300.05,301.35,15317700,295.27
2015-06-18,304.55,305.7,302.35,303.35,14050400,297.23
2015-06-19,300.4,306,300.4,304.55,8236700,298.41
2015-06-22,306.4,315.9,306.05,315.05,15566900,308.7
2015-06-23,314.95,316.8,312,313.5,11903300,307.18
2015-06-24,313.7,320.4,312.65,317.75,13622600,311.34
