"Date","JUBLFOOD.NS.Open","JUBLFOOD.NS.High","JUBLFOOD.NS.Low","JUBLFOOD.NS.Close","JUBLFOOD.NS.Volume","JUBLFOOD.NS.Adjusted"
2015-05-15,1632,1775,1632,1752.2,2970000,1745.93
2015-05-18,1753,1767.15,1720.15,1753.15,588000,1746.87
2015-05-19,1738.3,1789.75,1737,1757.85,436200,1751.56
2015-05-20,1760,1784.6,1752.1,1760.45,381300,1754.15
2015-05-21,1765,1790,1748.05,1766.2,399900,1759.88
2015-05-22,1762,1774,1745.2,1751.4,201800,1745.13
2015-05-25,1740.05,1759.6,1732,1743.95,102900,1737.71
2015-05-26,1730,1755.8,1728.15,1747.2,204000,1740.94
2015-05-27,1717.1,1776.3,1717.1,1758.1,287700,1751.8
2015-05-28,1770,1772,1739,1757.1,282000,1750.81
2015-05-29,1746.95,1801.95,1744,1790.55,539700,1784.14
2015-06-01,1780,1822,1780,1813.8,211500,1807.31
2015-06-02,1810,1813,1734.3,1751.3,296300,1745.03
2015-06-03,1760,1767,1702.5,1748.15,227400,1741.89
2015-06-04,1754.65,1754.65,1720,1730.8,99300,1724.6
2015-06-05,1722.25,1744.7,1701,1707.9,71800,1701.78
2015-06-08,1700.15,1721,1673.5,1691.55,98300,1685.49
2015-06-09,1690,1693,1659.7,1675,105000,1669
2015-06-10,1687.9,1743.5,1675.05,1730.6,192700,1724.4
2015-06-11,1743,1763,1691.15,1700.35,163600,1694.26
2015-06-12,1705.95,1741.5,1700.05,1735.3,151000,1729.09
2015-06-15,1730,1767,1729.8,1761.45,121100,1755.14
2015-06-16,1764.9,1795.1,1746.05,1788.5,145700,1782.1
2015-06-17,1797.5,1809.4,1777.35,1791.55,125000,1785.14
2015-06-18,1790,1823.2,1787.2,1794.75,163700,1788.32
2015-06-19,1805.85,1834.95,1790.1,1823.15,231300,1816.62
2015-06-22,1828,1840.05,1813.9,1831.3,245300,1824.74
2015-06-23,1820,1850,1812.2,1818.8,332600,1812.29
2015-06-24,1824.2,1828,1799,1803.35,167000,1796.89
2015-06-25,1800,1865.9,1793.5,1854.1,205500,1847.46
2015-06-26,1864.75,1869.05,1835.65,1856.45,465700,1849.8
2015-06-29,1829.75,1847.95,1819.2,1838.85,165200,1832.27
2015-06-30,1836,1877,1836,1857.55,205100,1850.9
2015-07-01,1850,1881.9,1845,1860.1,148700,1853.44
2015-07-02,1869.9,1898,1856.15,1886.7,247900,1879.94
2015-07-03,1892.55,1936.95,1892.55,1914.05,247600,1907.2
2015-07-06,1900.05,1950,1900.05,1931.9,321700,1924.98
2015-07-07,1932,1959.5,1926,1937,308500,1930.06
2015-07-08,1924,1933.65,1890.9,1897.95,463400,1891.15
2015-07-09,1902,1921.85,1868,1879.15,264300,1872.42
2015-07-10,1891,1908.65,1857,1886.1,147300,1879.35
2015-07-13,1874,1894,1862.1,1872.75,203700,1866.04
2015-07-14,1875,1902.75,1856.85,1871.65,160700,1864.95
2015-07-15,1889.8,1889.8,1858.1,1875.55,107800,1868.83
2015-07-16,1878,1909,1867.2,1902.35,150600,1895.54
2015-07-17,1915,1930.9,1886.9,1893.75,214400,1886.97
2015-07-20,1895.1,1904.65,1871.95,1880.65,111700,1873.92
2015-07-21,1882,1908.8,1861.6,1872.35,123800,1865.65
2015-07-22,1878.8,1888,1841,1852.5,162300,1845.87
2015-07-23,1836,1870,1835.65,1842.45,149600,1835.85
2015-07-24,1845,1851.45,1802.65,1810.75,193800,1804.27
2015-07-27,1807,1807,1765.4,1778.25,204200,1771.88
2015-07-28,1778.3,1824.75,1752.2,1816.1,221000,1809.6
2015-07-29,1816.1,1857.15,1783.1,1850.5,204300,1843.87
2015-07-30,1860,1869,1841.4,1850.5,260000,1843.87
2015-07-31,1854,1885,1805,1832.15,140900,1825.59
2015-08-03,1847.7,1884.8,1830,1877.1,93200,1870.38
2015-08-04,1885,1907,1863.95,1881.35,537400,1874.61
2015-08-05,1881,1908.6,1872.85,1886.25,291500,1879.5
2015-08-06,1886.8,1924.95,1850,1892.3,265500,1885.52
2015-08-07,1896,1948,1892.3,1931.1,226600,1924.19
2015-08-10,1945,1946,1906,1918.95,223600,1912.08
2015-08-11,1932,1933,1888,1905.2,158000,1898.38
2015-08-12,1895,1920,1805.6,1816.8,329900,1810.29
2015-08-13,1824.5,1837,1727.65,1764.35,716000,1758.03
2015-08-14,1716,1846,1689.25,1831.15,540800,1824.59
2015-08-17,1821.7,1821.7,1751.5,1767.25,254500,1760.92
2015-08-18,1768,1789,1729,1748.3,223600,1742.04
2015-08-19,1748.3,1804,1742.1,1795,228700,1788.57
2015-08-20,1795.05,1817.4,1767.3,1786.9,343100,1780.5
2015-08-21,1734,1780,1707,1729.6,256800,1723.41
2015-08-24,1694,1730.5,1623.1,1634.9,253100,1629.05
2015-08-25,1642,1688.1,1557.05,1611.15,432900,1605.38
2015-08-26,1613.8,1659,1599,1630.55,184100,1627.24
2015-08-27,1650,1729.9,1643,1707.6,328900,1704.13
2015-08-28,1715,1755,1685,1694.1,134800,1690.66
2015-08-31,1694.1,1704.35,1652.5,1667.2,192200,1663.81
2015-09-01,1655,1676,1625.25,1638.95,122100,1635.62
2015-09-02,1650,1674.95,1622.95,1647.65,139700,1644.3
2015-09-03,1650,1667.5,1633.35,1648.5,104400,1645.15
2015-09-04,1647.8,1652.25,1573,1581,180500,1577.79
2015-09-07,1570,1589.4,1512.65,1519.7,180600,1516.61
2015-09-08,1521.4,1535.5,1478,1523.8,167900,1520.7
2015-09-09,1540.5,1603,1537,1588.05,259000,1584.82
2015-09-10,1574,1644,1530.25,1620.9,250500,1617.61
2015-09-11,1620,1654,1617,1632.4,159500,1629.08
2015-09-14,1611.1,1670,1611.1,1665.85,144300,1662.46
2015-09-15,1665.05,1684.7,1640,1650,133700,1646.65
2015-09-16,1660.6,1673.35,1624.1,1632,95400,1628.68
2015-09-17,1632,1632,1632,1632,0,1628.68
2015-09-18,1640.5,1652,1562,1569.5,272300,1566.31
2015-09-21,1562,1610.15,1540.1,1595.45,227900,1592.21
2015-09-22,1601.1,1609.4,1555,1568.65,180900,1565.46
2015-09-23,1540,1595.5,1532,1582.8,291400,1579.58
2015-09-24,1572,1634.9,1562.1,1613.2,261100,1609.92
2015-09-25,1613.2,1613.2,1613.2,1613.2,0,1609.92
2015-09-28,1625,1656.4,1600,1624.75,179300,1621.45
2015-09-29,1601,1629.5,1585,1591.25,193300,1588.02
2015-09-30,1599.55,1623.6,1586.7,1601.35,210900,1598.1
2015-10-01,1619,1675,1612,1639.65,290900,1636.32
2015-10-02,1639.65,1639.65,1639.65,1639.65,0,1636.32
2015-10-05,1652,1685,1649.05,1661.7,608200,1658.32
2015-10-06,1671.35,1689.6,1660.55,1669.65,435300,1666.26
2015-10-07,1645,1645,1568,1581.75,539600,1578.54
2015-10-08,1555,1574.9,1544,1558.95,397500,1555.78
2015-10-09,1576,1588,1542.4,1558.55,336200,1555.38
2015-10-12,1560.5,1584.95,1523.15,1552.35,237100,1549.2
2015-10-13,1558.8,1573.85,1544.75,1548.85,141600,1545.7
2015-10-14,1559,1573.9,1550,1561.95,170000,1558.78
2015-10-15,1550,1571.9,1547.65,1554.75,155800,1551.59
2015-10-16,1569,1576.1,1553,1563,138000,1559.82
2015-10-19,1569,1569,1530.25,1544.5,190900,1541.36
2015-10-20,1549.8,1554,1523.45,1526.55,243000,1523.45
2015-10-21,1524.85,1527.25,1499.1,1508.45,268000,1505.38
2015-10-22,1508.45,1508.45,1508.45,1508.45,0,1505.38
2015-10-23,1522.1,1539,1513.95,1519,255800,1515.91
2015-10-26,1524.9,1524.9,1499.15,1505.7,177400,1502.64
2015-10-27,1502.9,1508,1485.55,1503.15,367100,1500.1
2015-10-28,1502.9,1525.8,1501.5,1513.1,188000,1510.03
2015-10-29,1512.2,1512.2,1475.6,1481.7,269700,1478.69
2015-10-30,1486,1503,1460,1464.6,311900,1461.62
2015-11-02,1462,1517,1450,1496.6,298800,1493.56
2015-11-03,1509,1513.5,1456,1463.95,345200,1460.98
2015-11-04,1474.4,1475.5,1444,1456.25,526000,1453.29
2015-11-05,1455,1490,1325.55,1382,2899400,1379.19
2015-11-06,1370.55,1437.4,1352.25,1425.6,1166700,1422.7
2015-11-09,1410,1441.15,1382.25,1427.9,268700,1425
2015-11-10,1419,1420,1393,1403.4,177900,1400.55
2015-11-11,1403.4,1403.4,1403.4,1403.4,0,1400.55
2015-11-12,1403.4,1403.4,1403.4,1403.4,0,1400.55
2015-11-13,1405,1405,1340,1355.55,519000,1352.8
2015-11-16,1355,1381.8,1349,1370.15,220100,1367.37
2015-11-17,1375,1439.95,1371.5,1412.45,287600,1409.58
2015-11-18,1417,1418.6,1366.75,1377.75,162700,1374.95
2015-11-19,1390,1440,1371.5,1410.25,135800,1407.38
2015-11-20,1433,1477,1426.8,1432.6,518800,1429.69
2015-11-23,1432,1480,1432,1458.95,203300,1455.99
2015-11-24,1465,1539.9,1456.55,1524.95,481100,1521.85
2015-11-25,1524.95,1524.95,1524.95,1524.95,0,1521.85
2015-11-26,1530,1554,1513.15,1543.7,480500,1540.56
2015-11-27,1532.1,1539.1,1508,1517.35,120900,1514.27
2015-11-30,1519.85,1558.9,1512,1541.35,133100,1538.22
2015-12-01,1545.1,1572.95,1513.5,1520.7,231400,1517.61
2015-12-02,1529.95,1550,1506.4,1517.2,3e+05,1514.12
2015-12-03,1505,1529.25,1499.2,1507.6,140300,1504.54
2015-12-04,1490.1,1508.05,1456.2,1475.95,213100,1472.95
2015-12-07,1476.2,1506,1452.05,1463.8,138300,1460.83
2015-12-08,1457.9,1467,1440,1449.1,253700,1446.16
2015-12-09,1447.5,1462.5,1425,1447.75,201600,1444.81
2015-12-10,1451.9,1462,1435,1451.9,117000,1448.95
2015-12-11,1454.6,1473.9,1397.35,1408.55,220800,1405.69
2015-12-14,1400,1436.95,1395,1429.8,199500,1426.89
2015-12-15,1428,1452.8,1425,1430.7,289600,1427.79
2015-12-16,1435,1459.15,1418.45,1431.3,221900,1428.39
2015-12-17,1430,1476,1403.25,1460.15,242300,1457.18
2015-12-18,1469.75,1469.75,1425,1427.95,143700,1425.05
2015-12-21,1427,1459.9,1422.65,1453.55,153700,1450.6
2015-12-22,1456,1460,1428.9,1434.15,110400,1431.24
2015-12-23,1442,1468,1437.9,1456.1,136800,1453.14
2015-12-24,1464.95,1533.35,1455,1524.3,414300,1521.2
2015-12-25,1524.3,1524.3,1524.3,1524.3,0,1521.2
2015-12-28,1529.9,1531.6,1510.5,1520.1,124700,1517.01
2015-12-29,1522,1534.5,1497.65,1502.05,172500,1499
2015-12-30,1514,1514.5,1487.1,1494,113700,1490.96
2015-12-31,1500,1504.8,1473.05,1483.85,250100,1480.83
2016-01-01,1486.8,1512.9,1480,1484.7,154600,1481.68
2016-01-04,1488.75,1501.5,1450,1461,184300,1458.03
2016-01-05,1465,1478.45,1442.1,1451.85,200300,1448.9
2016-01-06,1450,1457.5,1426.6,1437.25,205500,1434.33
2016-01-07,1425,1425,1389.85,1395.35,226300,1392.51
2016-01-08,1404.5,1422,1355.6,1362.3,249000,1359.53
2016-01-11,1332.15,1369.5,1312,1353.15,333400,1350.4
2016-01-12,1356,1379.2,1329,1333.6,150600,1330.89
2016-01-13,1340,1358.45,1291.05,1328.8,222200,1326.1
2016-01-14,1304,1315.9,1287,1293.8,192300,1291.17
2016-01-15,1299.8,1303,1233.3,1242.3,267500,1239.78
2016-01-18,1249,1249.9,1155.65,1204.35,552700,1201.9
2016-01-19,1203.15,1218,1154,1199.45,471600,1197.01
2016-01-20,1189,1200.5,1147.45,1174.2,201400,1171.81
2016-01-21,1179.95,1185,1148,1158.7,302300,1156.35
2016-01-22,1163,1216.8,1143.55,1206.1,321600,1203.65
2016-01-25,1210.7,1278,1204,1253,604700,1250.45
2016-01-26,1253,1253,1253,1253,0,1250.45
2016-01-27,1250,1274.9,1233,1246.8,211000,1244.27
2016-01-28,1237,1252,1221.7,1228.45,337100,1225.95
2016-01-29,1239.95,1282,1224.25,1272.15,233700,1269.56
2016-02-01,1283,1294.7,1138.6,1224.2,832000,1221.71
2016-02-02,1234,1247.4,1206.25,1219.3,357800,1216.82
2016-02-03,1207,1231,1190.05,1203.75,228900,1201.3
2016-02-04,1213,1213,1142.45,1180.15,511100,1177.75
2016-02-05,1170,1204,1158.35,1171.75,278300,1169.37
2016-02-08,1174.7,1212,1172.6,1203.45,264400,1201
2016-02-09,1165.1,1220,1165.1,1191.05,198000,1188.63
2016-02-10,1188.5,1200,1164.6,1186.25,226100,1183.84
2016-02-11,1189.9,1192,1021.85,1062.3,1253400,1060.14
2016-02-12,1072.4,1073.3,887.35,963.8,1617700,961.84
2016-02-15,985,1049,958.15,1026.3,1115500,1024.21
2016-02-16,1034,1047.55,1005.5,1036.05,625900,1033.94
2016-02-17,1027.2,1065,936.55,1048.95,1207000,1046.82
2016-02-18,1065,1070.7,1003,1016.65,559600,1014.58
2016-02-19,1024.9,1032,991.2,1023.8,407200,1021.72
2016-02-22,1030.6,1030.6,1001.5,1007.7,215500,1005.65
2016-02-23,1028,1031.9,959.8,972.45,566200,970.47
2016-02-24,967,1009.2,950.45,985.5,641400,983.5
2016-02-25,992,994.05,946.5,965.85,579700,963.89
2016-02-26,976,985,960,968.2,293100,966.23
2016-02-29,968.2,1012,961,994.85,455200,992.83
2016-03-01,990,1068.2,986.25,1061,429100,1058.84
