"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2015-08-14,1698.5,1699.90002,1646.5,1654.34998,232600,1633.26919
2015-08-17,1668.90002,1670,1639.55005,1660.55005,208700,1639.39026
2015-08-18,1666,1684.75,1643,1647.90002,93100,1626.90143
2015-08-19,1655,1693.5,1621.09998,1674,176700,1652.66882
2015-08-20,1676.94995,1696,1626,1637.09998,201100,1616.239
2015-08-21,1635,1643.90002,1580.15002,1636.90002,182900,1616.0416
2015-08-24,1585,1604.90002,1391.40002,1448.5,322500,1430.04229
2015-08-25,1431.25,1496.05005,1278.69995,1435.30005,368000,1417.01054
2015-08-26,1430,1480,1376.84998,1441.40002,181900,1423.03278
2015-08-27,1484,1500,1410,1432.30005,287400,1414.04877
2015-08-28,1459,1471.65002,1410.09998,1429.09998,197100,1410.88947
2015-08-31,1446.75,1514,1435,1499.80005,350200,1480.68864
2015-09-01,1493.94995,1545,1452.15002,1523.40002,318900,1503.98789
2015-09-02,1540,1551,1504.30005,1515.5,130400,1496.18853
2015-09-03,1521,1534,1490,1501.44995,111000,1482.31752
2015-09-04,1505,1505,1427.40002,1436.55005,244500,1418.24461
2015-09-07,1424,1430.05005,1350,1374.09998,270900,1356.59032
2015-09-08,1371.05005,1397.5,1315.90002,1377.34998,246500,1359.7989
2015-09-09,1395,1430,1390.15002,1401.34998,157100,1383.49308
2015-09-10,1390,1437.30005,1348.55005,1413.05005,174900,1395.04406
2015-09-11,1415.19995,1448.19995,1397.09998,1409.94995,193200,1391.98347
2015-09-14,1419.69995,1436.40002,1395,1420.90002,94900,1402.79401
2015-09-15,1420,1484,1415.69995,1478,273400,1459.16638
2015-09-16,1488.09998,1495,1431,1437.90002,175500,1419.57738
2015-09-17,1437.90002,1437.90002,1437.90002,1437.90002,0,1419.57738
2015-09-18,1460.65002,1464,1408.5,1450.25,169600,1431.76999
2015-09-21,1436,1462.80005,1415,1447.40002,101700,1428.95633
2015-09-22,1472,1476,1416.94995,1424.59998,165000,1406.44681
2015-09-23,1415.59998,1444,1390.05005,1432.55005,104100,1414.29558
2015-09-24,1440,1464,1415,1426.09998,144900,1407.9277
2015-09-25,1426.09998,1426.09998,1426.09998,1426.09998,0,1407.9277
2015-09-28,1440.09998,1457,1425,1443.84998,99800,1425.45152
2015-09-29,1430,1455,1411.09998,1437.55005,90000,1419.23187
2015-09-30,1455,1489.75,1444.19995,1479.75,181700,1460.89408
2015-10-01,1497.84998,1528.90002,1490,1510.90002,215800,1491.64717
2015-10-02,1510.90002,1510.90002,1510.90002,1510.90002,0,1491.64717
2015-10-05,1529.94995,1533.69995,1476.25,1499.84998,129900,1480.73793
2015-10-06,1510,1537.19995,1505.30005,1523.09998,138000,1503.69166
2015-10-07,1518,1531.75,1500,1510.90002,97800,1491.64717
2015-10-08,1510.5,1519.80005,1480,1498.75,70600,1479.65197
2015-10-09,1510,1518.34998,1481,1491.84998,63700,1472.83987
2015-10-12,1494,1512.94995,1467.55005,1475.55005,73600,1456.74765
2015-10-13,1474,1490,1460.5,1482.80005,63700,1463.90526
2015-10-14,1488,1508,1475,1497.5,67800,1478.4179
2015-10-15,1525,1535,1502.05005,1505.80005,115200,1486.61218
2015-10-16,1511.90002,1517.84998,1487.5,1503.5,77300,1484.34144
2015-10-19,1507,1575,1492.90002,1570.69995,268200,1550.68509
2015-10-20,1579,1612,1578,1593.19995,282800,1572.89838
2015-10-21,1595.75,1599.69995,1561,1570.34998,90500,1550.33957
2015-10-22,1570.34998,1570.34998,1570.34998,1570.34998,0,1550.33957
