"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2015-06-25,1368.15,1372,1270.2,1293.8,973600,622.324
2015-06-26,1300,1328.4,1287.8,1305.35,338900,627.8796
2015-06-29,1283,1289.95,1241.3,1263.75,393700,607.8698
2015-06-30,1261.05,1286.4,1261.05,1273.8,337800,612.7039
2015-07-01,1281,1302.6,1268,1292.35,294000,621.6265
2015-07-02,1303,1306.95,1258.5,1267.4,239900,609.6255
2015-07-03,1269,1285,1255.5,1279.2,224000,615.3013
2015-07-06,1262,1280,1256.05,1264.15,119300,608.0622
2015-07-07,1265.15,1279,1260.95,1270,167300,610.8761
2015-07-08,1261,1270,1211.75,1231.75,363000,592.4776
2015-07-09,1240,1240,1200,1207.25,247000,580.693
2015-07-10,1215,1229.9,1197.25,1202,350300,578.1677
2015-07-13,1216,1245,1215.15,1234.3,693400,593.7042
2015-07-14,1240.5,1256.1,1227.95,1232.4,279500,592.7903
2015-07-15,1242.7,1242.7,1211.1,1224.35,409000,588.9182
2015-07-16,1228,1245,1188.05,1225.5,1251900,589.4714
2015-07-17,1265,1286,1257.95,1267.6,1700600,609.7216
2015-07-20,1280,1301.1,1270,1291.9,518500,621.4101
2015-07-21,1296.25,1319.3,1255.5,1266.4,597200,611.9867
2015-07-22,1275,1298.6,1241,1288.05,275300,622.4491
2015-07-23,1298.95,1323.8,1290.9,1309.95,404800,633.0322
2015-07-24,1320.8,1320.8,1260,1269.85,368600,613.6539
2015-07-27,1262,1293.3,1250,1265.8,296000,611.6968
2015-07-28,1266.1,1273,1235,1241.9,222700,600.1471
2015-07-29,1250,1272,1225.1,1269.15,271800,613.3157
2015-07-30,1268,1290,1240.5,1246.8,394500,602.5151
2015-07-31,1255.8,1288,1250.55,1279.65,227600,618.3898
2015-08-03,1283.9,1298,1270.55,1277.45,160000,617.3266
2015-08-04,1277.45,1282,1256.05,1273.2,259200,615.2728
2015-08-05,1275.6,1298,1273.6,1290.85,420300,623.8022
2015-08-06,1282,1319.75,1282,1297.85,611100,627.1849
2015-08-07,1297.85,1306.95,1285.65,1298.5,254900,627.499
2015-08-10,1298.5,1366.45,1298.5,1354.25,672100,654.4402
2015-08-11,1370,1384.95,1362,1378.95,536700,666.3764
2015-08-12,1384.7,1406.7,1370,1399.05,518700,676.0898
2015-08-13,1402,1415,1370.3,1377.7,296100,665.7723
2015-08-14,1377,1389,1353.6,1370.85,376600,662.4621
2015-08-17,1375,1429,1370,1402.4,348300,677.7086
2015-08-18,1407,1444.05,1407,1421.9,281800,687.132
2015-08-19,1432.7,1449.25,1407,1433.45,280200,692.7135
2015-08-20,1440,1448.85,1359.85,1377.3,403100,665.5791
2015-08-21,1376.5,1446.7,1351,1412.15,463900,682.4203
2015-08-24,1365,1390,1300,1330.3,672100,642.8664
2015-08-25,1325.25,1360,1260,1278.05,462900,617.6166
2015-08-26,1300,1359.8,1262,1319.8,360100,637.7923
2015-08-27,1330,1397,1315,1329.8,268100,642.6248
2015-08-28,1340.05,1410,1340.05,1396.3,362100,674.7608
2015-08-31,1403.95,1438.5,1363,1395.85,291100,674.5433
2015-09-01,1407,1424,1341.3,1367.7,310300,660.9398
2015-09-02,1370,1399.05,1361,1372.5,290800,663.2595
2015-09-03,1390,1410,1357,1371.25,211000,662.6554
2015-09-04,1388.95,1388.95,1294.2,1356.45,338100,655.5033
2015-09-07,1354,1365,1295.15,1300.05,279400,628.2481
2015-09-08,1293,1329,1270,1319.45,251800,637.6231
2015-09-09,1338,1365,1325.8,1340.15,228400,647.6264
2015-09-10,1325,1360,1303.75,1349.55,233000,652.1689
2015-09-11,1345.5,1375,1345.5,1356.25,169500,655.4067
2015-09-14,1360,1377.85,1348.1,1369.85,151300,661.9788
2015-09-15,1378,1384.65,1360,1375.95,77700,664.9267
2015-09-16,1382.5,1390,1371.5,1379.5,191500,666.6422
2015-09-17,1379.5,1379.5,1379.5,1379.5,0,666.6422
2015-09-18,1410,1418.75,1388.15,1399.5,217700,676.3072
2015-09-21,1399.5,1444.9,1371.25,1423.3,159300,687.8085
2015-09-22,1445,1489,1431.25,1472.2,602000,711.4394
2015-09-23,1480.8,1516,1476,1506.25,626300,727.894
2015-09-24,1510,1602.4,1501.2,1560.3,2035600,754.0137
2015-09-25,1560.3,1560.3,1560.3,1560.3,0,754.0137
2015-09-28,1562,1564.9,1503.25,1508.5,296600,728.9814
2015-09-29,1499,1547,1472.2,1516.15,601500,732.6782
2015-09-30,1532,1541.95,1495,1514.45,357400,731.8567
2015-10-01,1513.5,1516,1481.05,1493.05,327200,721.5152
2015-10-02,1493.05,1493.05,1493.05,1493.05,0,721.5152
2015-10-05,1495,1542,1495,1529.95,362700,739.347
2015-10-06,1538,1577.3,1517.6,1525.7,723200,737.2932
2015-10-07,1530,1542,1506.05,1519.2,281100,734.1521
2015-10-08,1526,1540.05,1441.55,1462.25,628700,706.6311
2015-10-09,1469.6,1483.45,1422.2,1437.65,776100,694.7432
2015-10-12,1457.8,1457.8,1394.05,1404.2,484500,678.5784
2015-10-13,1404.2,1427.95,1387.25,1409.7,627000,681.2363
2015-10-14,1400,1425,1396,1408.75,307900,680.7773
2015-10-15,1429.5,1430.4,1381,1403.55,1036000,678.2644
2015-10-16,1470,1472,1414.35,1422.65,2643000,687.4944
2015-10-19,1429.95,1454.9,1421.2,1450.25,478000,700.8321
2015-10-20,1458,1485,1447.5,1476.6,545800,713.5657
2015-10-21,1480,1494.6,1460,1472.95,395700,715.6793
2015-10-22,1472.95,1472.95,1472.95,1472.95,0,715.6793
2015-10-23,1485,1494.9,1465.85,1489.9,387200,723.915
2015-10-26,1490,1520.45,1490,1515.55,577200,736.3779
2015-10-27,1518,1550,1513.2,1545.15,549900,750.76
2015-10-28,1551,1560,1511.4,1532.8,506500,744.7593
2015-10-29,1532.65,1560,1531,1557,562300,756.5176
2015-10-30,1557,1572.8,1537.05,1569.3,500500,762.494
2015-11-02,1573.9,1579,1495,1500,535700,728.8224
2015-11-03,1503.9,1539,1503.9,1536.15,318800,746.387
2015-11-04,1548,1548,1499.4,1516.9,266700,737.0338
2015-11-05,1521,1535,1509,1518.65,138700,737.8841
2015-11-06,1520.3,1529,1486.8,1498.45,207300,728.0693
2015-11-09,1495.5,1524.95,1471.45,1507.9,180300,732.6609
2015-11-10,1524,1524,1472.25,1495.15,327200,726.4659
2015-11-11,1495.15,1495.15,1495.15,1495.15,0,726.4659
2015-11-12,1495.15,1495.15,1495.15,1495.15,0,726.4659
2015-11-13,1503.45,1519.9,1491,1515.8,337700,736.4993
2015-11-16,1512.5,1515,1470.2,1476.5,166600,717.4042
2015-11-17,1477.5,1486.95,1448.05,1455.8,346700,707.3465
2015-11-18,1450,1469,1422.45,1450,282000,704.5283
2015-11-19,1459.95,1464.95,1406.35,1420.85,455200,690.3649
2015-11-20,1421.3,1455.4,1421.3,1445.5,436300,702.3418
2015-11-23,1455,1462,1437.95,1445,179100,702.0989
2015-11-24,1453,1462,1438.2,1442.5,247800,700.8842
2015-11-25,1442.5,1442.5,1442.5,1442.5,0,700.8842
2015-11-26,1448,1460,1423.6,1430.35,353200,694.9807
2015-11-27,1426,1458.9,1420.1,1446.8,196100,702.9735
2015-11-30,1445,1453.9,1429.15,1438.7,215200,699.0378
2015-12-01,1440,1491.9,1438.05,1485.1,499400,721.5827
2015-12-02,1493,1497.8,1475.55,1479.05,274000,718.6432
2015-12-03,1480,1491.85,1462.5,1469.9,203300,714.1974
2015-12-04,1464.95,1475,1449.25,1464.4,174500,711.525
2015-12-07,1476,1480.45,1461.25,1464.85,128600,711.7436
2015-12-08,1460,1476.05,1445,1453.55,134900,706.2532
2015-12-09,1451,1458.95,1410.4,1420.95,235800,690.4134
2015-12-10,1420.15,1487,1420.15,1476.55,515400,717.4285
2015-12-11,1481,1487.9,1437,1455.2,259400,707.0549
2015-12-14,1440,1480.25,1437.05,1471.9,152700,715.1691
2015-12-15,1483,1490,1461,1472.95,228400,715.6793
2015-12-16,1472.9,1490,1466.6,1477.1,278700,717.6957
2015-12-17,1484.9,1519.9,1481.3,1505.8,469400,731.6405
2015-12-18,1507.45,1518.9,1486.6,1491.6,294800,724.741
2015-12-21,1486,1491.95,1470,1478.3,180800,718.2788
2015-12-22,1479.9,1493.9,1456,1466,150600,712.3024
2015-12-23,1467.2,1478.95,1461.05,1469.8,91300,714.1488
2015-12-24,1475.5,1475.5,1451.9,1461.65,149600,710.1888
2015-12-25,1461.65,1461.65,1461.65,1461.65,0,710.1888
2015-12-28,1462,1477.85,1456,1472.45,84200,715.4363
2015-12-29,1472.45,1478.8,1451.4,1460.2,123900,709.4843
2015-12-30,1460,1468.7,1426.7,1432.9,209000,696.2198
2015-12-31,1433.5,1442,1416.05,1433.75,273000,696.6327
2016-01-01,1443,1452.9,1434.1,1441.55,94100,700.4226
2016-01-04,1443.1,1469.5,1440.05,1450.75,158500,704.8927
2016-01-05,1455,1482,1445.4,1471.3,322400,714.8776
2016-01-06,1474,1483,1446.75,1451.9,157400,705.4515
2016-01-07,1445,1448.85,1395.05,1417.35,230300,688.6643
2016-01-08,1420,1438.45,1396,1408.55,338300,684.3885
2016-01-11,1400,1484.45,1374,1474.85,557500,716.6025
2016-01-12,1480,1504,1452,1500.05,561200,728.8467
2016-01-13,1504.9,1504.9,1443.35,1499.7,327900,728.6766
2016-01-14,1510,1543,1480,1518.5,983300,737.8112
2016-01-15,1534.95,1594.2,1525,1542.4,1131500,749.4238
2016-01-18,1545,1571,1455.2,1469.85,895000,714.1731
