"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-04-27,31299.8987,31359.8987,29750.0098,29797.5,377200,960.5854
2015-04-28,29600.0098,30183.9001,29240.0098,29823.5101,379200,961.4239
2015-04-29,29888.0109,30500.0995,29510.0098,30015.6006,438100,967.6163
2015-04-30,30000,31100.1013,29619.9902,30845.4016,357100,994.3667
2015-05-01,30845.4016,30845.4016,30845.4016,30845.4016,0,994.3667
2015-05-04,31187.9993,31749.0015,30999.8987,31337.3987,284400,1010.2272
2015-05-05,31427.9993,33639.8987,31050,32724.8987,928700,1054.9562
2015-05-06,32880,33600,30519.9005,31433.4009,990200,1013.3221
2015-05-07,31119.8987,32250,29619.9902,30050.3998,1087900,968.7381
2015-05-08,30515.0995,31400.1013,30515.0995,31049.0991,610100,1000.9333
2015-05-11,31449.8987,31989.5984,31150.4993,31290.9009,336200,1008.7283
2015-05-12,31430.1013,31848.9001,30810.6006,31409.3994,554600,1012.5483
2015-05-13,31730.1013,31899.0015,31509.8987,31683.5999,466900,1021.3878
2015-05-14,31679.0991,31950,31350,31434.0015,212400,1013.3414
2015-05-15,31749.0015,32499.0015,31415.1013,31574.3994,317800,1017.8675
2015-05-18,31800,32100,31450.4993,31650.9009,183300,1020.3337
2015-05-19,31790.1013,32049.8987,31517.3987,31856.4001,262700,1026.9584
2015-05-20,32150.1013,32251.5015,31700.1013,31800.6006,161600,1025.1595
2015-05-21,32049.8987,32646.8994,31800.6006,32197.5,365300,1037.9544
2015-05-22,32273.1006,32340,31760.1013,31947.0007,144800,1029.8791
2015-05-25,32086.5015,32447.9993,31899.8987,32127.0007,170700,1035.6817
2015-05-26,32122.5,33180,32122.5,32984.3994,502400,1063.3218
2015-05-27,32799.8987,33330,32511.8994,33120.9009,250700,1067.7222
2015-05-28,33200.1013,33720,33129.8987,33363.5999,254500,1075.5461
2015-05-29,33519.8987,36279.8987,31832.9993,35792.9993,2571800,1153.8629
