"Date","INFIBEAM.NS.Open","INFIBEAM.NS.High","INFIBEAM.NS.Low","INFIBEAM.NS.Close","INFIBEAM.NS.Volume","INFIBEAM.NS.Adjusted"
2017-02-14,1403,1438.8,1380.5,1387.6,566900,1387.6
2017-02-15,1371,1398.4,1355,1361.4,487700,1361.4
2017-02-16,1355,1384.95,1341.35,1368.25,471400,1368.25
2017-02-17,1371,1378.5,1345.25,1358.6,463400,1358.6
2017-02-20,1360,1382,1350.1,1365.4,465600,1365.4
2017-02-21,1360,1425,1349.5,1409.7,539500,1409.7
2017-02-22,1413,1448.8,1405.25,1428,502500,1428
2017-02-23,1435,1438,1395,1411.4,518000,1411.4
2017-02-24,1411.4,1411.4,1411.4,1411.4,0,1411.4
2017-02-27,1410,1432,1396,1401.2,502400,1401.2
2017-02-28,1408.7,1409.9,1360.55,1381.4,496300,1381.4
2017-03-01,1383,1413.95,1371.05,1394.8,527800,1394.8
2017-03-02,1396,1404.6,1375,1387.2,427500,1387.2
2017-03-03,1382.7,1410,1376.4,1387.25,422600,1387.25
2017-03-06,1387.3,1406.95,1375.25,1389.4,440500,1389.4
2017-03-07,1398,1409.5,1376,1391.25,390600,1391.25
2017-03-08,1399.8,1402,1381.15,1387.15,424900,1387.15
2017-03-09,1395,1396,1370,1377.5,405000,1377.5
2017-03-10,1380.05,1396,1343,1381.85,430500,1381.85
2017-03-13,1381.85,1381.85,1381.85,1381.85,0,1381.85
2017-03-14,1418.75,1418.75,1381,1397.85,447400,1397.85
2017-03-15,1395,1414.7,1385.1,1399.15,405300,1399.15
2017-03-16,1405.75,1411,1391,1403.5,421400,1403.5
2017-03-17,1395.05,1418.95,1372.15,1405.7,455000,1405.7
2017-03-20,1405.7,1428,1393.15,1411.75,422900,1411.75
2017-03-21,1413.95,1419.95,1390.5,1398.05,424500,1398.05
2017-03-22,1394,1398.95,1314,1352.85,448800,1352.85
2017-03-23,1345,1400,1320.25,1393.95,578000,1393.95
2017-03-24,1394.95,1394.95,1360,1379.3,464500,1379.3
2017-03-27,1374.3,1374.6,1111.15,1218.95,1089500,1218.95
2017-03-28,1228,1250.05,1143,1215.2,737800,1215.2
2017-03-29,1224,1234.8,1169.05,1175.8,672300,1175.8
2017-03-30,1199,1199,1120,1126.85,568300,1126.85
2017-03-31,1121,1138.95,901.5,947.15,3312100,947.15
2017-04-03,940,1000,919.25,948.65,2716300,948.65
2017-04-04,948.65,948.65,948.65,948.65,0,948.65
2017-04-05,935,970.05,935,936.9,558600,936.9
2017-04-06,945,959.8,942,953.4,535900,953.4
2017-04-07,955,985,955,971.15,410400,971.15
2017-04-10,975,985.45,966.2,971.2,161800,971.2
2017-04-11,973,999,965,989.45,374500,989.45
2017-04-12,981,1007,980,997.15,437900,997.15
2017-04-13,1004.4,1034.9,1000,1023.4,429700,1023.4
2017-04-14,1023.4,1023.4,1023.4,1023.4,0,1023.4
2017-04-17,1030,1144.65,1025.05,1072.45,984900,1072.45
2017-04-18,1080,1123,1065,1070.65,817500,1070.65
2017-04-19,1071.25,1104.95,1050,1094.8,570700,1094.8
2017-04-20,1094.8,1129.2,1072.25,1095.55,448400,1095.55
2017-04-21,1096.75,1114.7,1090.05,1100.2,386400,1100.2
