"Date","TECHM.NS.Open","TECHM.NS.High","TECHM.NS.Low","TECHM.NS.Close","TECHM.NS.Volume","TECHM.NS.Adjusted"
2015-05-19,612,623.95,609.3,619.25,1760700,604.6851
2015-05-20,620.95,643,620.95,640.8,2353100,625.7283
2015-05-21,643.15,659.5,641,655.6,2427400,640.1802
2015-05-22,654.9,669,648,667.05,1589700,651.3609
2015-05-25,664.85,668.9,630.65,648.45,1795000,633.1984
2015-05-26,630,653.75,629,640.25,2608800,625.1912
2015-05-27,576.25,578.6,545.1,549.1,22929000,536.185
2015-05-28,550,559.9,541,545.1,11498700,532.2791
2015-05-29,549.95,556.9,546.9,554.4,4961500,541.3604
2015-06-01,559,559,548,550.6,1842600,537.6498
2015-06-02,551,557.9,544.25,549.4,2276800,536.478
2015-06-03,552.9,554.8,540.05,547.35,3675700,534.4762
2015-06-04,551.85,559.8,548,557.25,2352000,544.1434
2015-06-05,558,559,551,553.5,1385900,540.4816
2015-06-08,554.9,555.45,546.4,550.55,1412900,537.601
2015-06-09,549.45,550.9,519.05,540.5,3680200,527.7873
2015-06-10,540.5,558.8,540.5,556.3,2135700,543.2157
2015-06-11,555.3,564.3,552.4,557.55,2140500,544.4363
2015-06-12,552,558.5,543.4,551.45,1974100,538.4798
2015-06-15,551,561,546,554.05,1749500,541.0186
2015-06-16,555,555,546.35,551.45,1591000,538.4798
2015-06-17,553.5,556.4,546.2,549.15,1913600,536.2339
2015-06-18,547.2,549.65,540.1,541.2,3012500,528.4709
2015-06-19,544.95,550.6,542.05,544.15,2307700,531.3515
2015-06-22,545,552.5,543.05,551.45,1939700,538.4798
2015-06-23,552,558.6,548.65,553.6,760700,540.5792
2015-06-24,553,553,541.15,545.3,3296300,532.4744
2015-06-25,544,545.45,528,529.8,5294300,517.339
2015-06-26,528.85,535.8,520.05,521.8,3503600,509.5272
2015-06-29,515,517.6,467.1,483.35,11484400,471.9815
2015-06-30,475,491.7,472,477.8,12372300,466.5621
2015-07-01,476.65,488.35,475.8,486.15,4380700,474.7157
2015-07-02,489,489.9,477.35,479.3,2751800,468.0268
2015-07-03,480,482,469,471.6,2800700,460.5079
2015-07-06,465,469.65,458.5,464.55,2655300,453.6237
2015-07-07,465,476.7,464.55,471.4,2972000,460.3126
2015-07-08,469.8,472.75,460.3,470.3,3449200,459.2385
2015-07-09,474,478.9,471.1,474.3,2410300,463.1444
2015-07-10,478,478,469,474,1847900,462.8514
2015-07-13,474.05,477,469.6,475.8,2244300,464.6091
2015-07-14,478.95,481,475,476.9,2094700,465.6832
2015-07-15,478,485,477.55,479.95,1691300,468.6615
2015-07-16,483.4,495.75,480.2,491.8,2547600,480.2328
2015-07-17,493.95,505.8,493,502.15,5006200,490.3393
2015-07-20,502.5,504.2,491.35,500.8,3004600,489.0211
2015-07-21,502.9,520.5,499.75,509.4,3506000,497.4188
2015-07-22,510.5,513.45,497.7,510.15,2086000,498.1512
2015-07-23,506.9,512.3,499,500.05,2670900,494.1
2015-07-24,498.5,514.95,495,511.05,2285600,504.9691
2015-07-27,511,525,508.1,519.55,4208700,513.3679
2015-07-28,522,529.7,517.7,523.55,6316900,517.3203
2015-07-29,523.95,529,522.6,525.55,2061900,519.2965
2015-07-30,529,532.8,519.4,524.35,6558100,518.1108
2015-07-31,527.9,532,525.45,530.7,1229500,524.3853
2015-08-03,529,533.5,521.5,523.6,811700,517.3697
2015-08-04,525,549,524.15,542.05,2145600,535.6002
2015-08-05,543.9,558.8,542,550.6,2640400,544.0485
2015-08-06,556,557.05,531.1,533.9,1547600,527.5472
2015-08-07,534.8,545.4,531.45,535.15,1367400,528.7823
2015-08-10,536.45,542.15,526.85,530.95,600600,524.6323
2015-08-11,532.3,545,531,540.65,1434000,534.2169
2015-08-12,545,559.25,536.15,557.55,3674000,550.9158
2015-08-13,557,567.5,543.5,551.3,2714400,544.7401
2015-08-14,546,562.2,538,555.05,2257700,548.4455
2015-08-17,559.9,564.7,549,551.9,2144400,545.333
2015-08-18,552,564,552,562.45,2130200,555.7575
2015-08-19,565.3,565.3,557.05,560.3,1599000,553.633
2015-08-20,575,575.75,555.1,558.9,2873200,552.2497
2015-08-21,554.6,569.15,545.05,563.05,1329500,556.3503
2015-08-24,549,557.85,519.55,523.65,3422600,517.4192
2015-08-25,530,543.5,492.7,528,3057600,521.7174
2015-08-26,530,532.95,505,507.3,2169400,501.2637
2015-08-27,513.5,528,513.5,519.55,2967500,513.3679
2015-08-28,526,529.45,512,516.3,1642600,510.1566
2015-08-31,516.4,525,512,515,2104400,508.8721
2015-09-01,510,523.5,506.1,512.3,1340500,506.2042
2015-09-02,519,539.9,514.2,536,2308000,529.6222
2015-09-03,542,552.7,528.05,540.4,2220000,533.9699
2015-09-04,540,547.55,526.1,529.3,1438200,523.0019
2015-09-07,529,541.15,520,538,1222000,531.5984
2015-09-08,538,543.85,531,537.2,1074600,530.8079
2015-09-09,547.7,547.7,530.8,533.4,1271100,527.0532
2015-09-10,532,537.5,525.6,533.8,929800,527.4484
2015-09-11,533,539.55,522,525.05,873900,518.8025
2015-09-14,526,529.5,516.05,525.8,1784400,519.5436
2015-09-15,528.9,543.4,527.55,540.9,1366800,534.4639
2015-09-16,543.75,547.7,540.7,544.15,722800,537.6753
2015-09-17,544.15,544.15,544.15,544.15,0,537.6753
2015-09-18,545.25,564.35,545.25,561.5,1907200,554.8188
2015-09-21,553,578.9,549,567.5,995300,560.7474
2015-09-22,573.8,577.5,553.35,557.8,1172800,551.1628
2015-09-23,551,561,540.55,556.1,943900,549.483
2015-09-24,560,570,549.95,567.35,1226100,560.5991
2015-09-25,567.35,567.35,567.35,567.35,0,560.5991
2015-09-28,573.35,582,570.2,573.4,1603900,566.5772
2015-09-29,572.45,576.1,562.6,570.4,1765000,563.6129
2015-09-30,575.7,575.7,553.2,557.35,2795400,550.7181
2015-10-01,558.7,566.5,537.05,563,2014800,556.3009
2015-10-02,563,563,563,563,0,556.3009
2015-10-05,564.5,575,561.1,569.9,2111500,563.1189
2015-10-06,575,578.85,558,564.75,1834100,558.0301
2015-10-07,566.15,569.65,560.6,566.3,1150500,559.5617
2015-10-08,570,572.8,560.4,563,1534000,556.3009
2015-10-09,561.8,568,556.2,561.2,1124900,554.5224
2015-10-12,562.6,570,558,562.75,758800,556.0539
2015-10-13,562,564.85,555.25,561,639400,554.3247
2015-10-14,559,564.35,545.2,548.05,950800,541.5288
2015-10-15,549.4,555,539.75,545.3,1833900,538.8115
2015-10-16,550,551.5,543.25,545.8,1934400,539.3056
2015-10-19,545.8,560,534.1,541.6,1446700,535.1555
2015-10-20,544.9,550.3,541,548.1,1060100,541.5782
2015-10-21,548,549.2,535.5,539.45,1566000,533.0312
2015-10-22,539.45,539.45,539.45,539.45,0,533.0312
2015-10-23,542.5,547,539,540.1,1229100,533.6734
2015-10-26,540.1,545,539.6,542.65,814300,536.1931
2015-10-27,543.3,544.25,536.1,538.8,839500,532.3889
2015-10-28,536.7,554,536.5,549.55,1731200,543.011
2015-10-29,550,556.55,545.15,549,3049400,542.4675
2015-10-30,549,550.25,537.1,539.15,879300,532.7347
2015-11-02,541,557.5,532.45,556.05,1862900,549.4336
2015-11-03,558.3,563,548.5,556.75,1884800,550.1253
2015-11-04,568,568.5,540.1,542.9,3424900,536.4401
2015-11-05,545.5,546.95,532.95,534.95,1057300,528.5847
2015-11-06,537,537.35,526.15,533.45,1218400,527.1026
2015-11-09,524,534.85,519.05,532.4,2136700,526.0651
2015-11-10,532.4,532.95,523.55,524.95,860600,518.7037
2015-11-11,524.95,524.95,524.95,524.95,0,518.7037
2015-11-12,524.95,524.95,524.95,524.95,0,518.7037
2015-11-13,520,525.55,518,520.05,860900,513.862
2015-11-16,518,518.55,508,515.95,1347600,509.8108
2015-11-17,516.05,527.75,516.05,523.5,2175300,517.2709
2015-11-18,523.5,530.4,515,516.7,892700,510.5519
2015-11-19,521.5,535.8,520,534.4,1214900,528.0413
2015-11-20,534.95,540,531,534.9,1126200,528.5353
2015-11-23,536,544.75,535.1,539,839900,532.5865
2015-11-24,535.1,543.75,532.45,537.55,985300,531.1537
2015-11-25,537.55,537.55,537.55,537.55,0,531.1537
2015-11-26,538,544,527.05,529.6,3051100,523.2983
2015-11-27,529.9,536.85,528.5,534.3,772300,527.9424
2015-11-30,534.9,541.2,530,533.45,2080600,527.1026
2015-12-01,533,543.1,533,542.15,1079200,535.699
2015-12-02,543,545.6,537.15,540,715600,533.5746
2015-12-03,539.6,544.5,536,542.6,852500,536.1436
2015-12-04,539.95,544.6,534,536.35,938800,529.968
2015-12-07,536,546.5,535.15,544.65,788600,538.1693
2015-12-08,544.95,546,528.6,530.7,1061400,524.3853
2015-12-09,531,537.5,525.1,527.35,1223500,521.0751
2015-12-10,530.4,540.5,523.8,538.75,702900,532.3395
2015-12-11,540,543.9,535.1,536.95,926300,530.5609
2015-12-14,527,545,527,543.65,773900,537.1812
2015-12-15,548,548,516.6,519.95,2697600,513.7632
2015-12-16,522.55,531,520.1,523.35,1399900,517.1227
2015-12-17,525.5,532.15,520.6,530,2067300,523.6936
2015-12-18,525.7,528,521.5,523.25,1534900,517.0239
2015-12-21,519.4,524.4,514.05,521.85,874200,515.6405
