"Date","BEML.NS.Open","BEML.NS.High","BEML.NS.Low","BEML.NS.Close","BEML.NS.Volume","BEML.NS.Adjusted"
2015-06-26,1212,1231.95,1201,1216.75,209200,1211.19
2015-06-29,1185,1206.9,1156,1196.5,137400,1191.03
2015-06-30,1202.8,1222,1184,1211,247500,1205.46
2015-07-01,1212,1247,1212,1240.45,267000,1234.78
2015-07-02,1245,1319.85,1245,1300.95,642100,1295
2015-07-03,1309.9,1344.95,1309.75,1328.3,388400,1322.23
2015-07-06,1301.25,1338,1288.3,1323.3,230400,1317.25
2015-07-07,1322.5,1365,1322.5,1350.35,322600,1344.18
2015-07-08,1337,1347.55,1302.5,1312.2,224000,1306.2
2015-07-09,1320,1334,1305.15,1311.5,123900,1305.51
2015-07-10,1328,1338.5,1305.55,1326.4,112900,1320.34
2015-07-13,1333.3,1356.8,1326.5,1348.1,199200,1341.94
2015-07-14,1350,1368,1329,1347.35,233300,1341.19
2015-07-15,1354,1365,1345,1357,237800,1350.8
2015-07-16,1361,1452,1355.2,1424.7,532700,1418.19
2015-07-17,1455,1497.4,1448.55,1474.1,651500,1467.36
2015-07-20,1482,1518,1472.6,1497.05,371400,1490.21
2015-07-21,1495,1612,1492,1541.6,572800,1534.55
2015-07-22,1540,1550,1475.55,1502.95,354900,1496.08
2015-07-23,1514,1535,1466.1,1515.05,248900,1508.12
2015-07-24,1516,1521,1472,1481.9,130100,1475.13
2015-07-27,1484.8,1510,1427,1454.2,229800,1447.55
2015-07-28,1463.5,1500,1461.3,1486.95,219500,1480.15
2015-07-29,1494,1509.7,1464.2,1478.55,139100,1471.79
2015-07-30,1490,1526.35,1485,1507.75,197900,1500.86
2015-07-31,1518,1548,1505,1519.6,260500,1512.65
2015-08-03,1524,1559,1521,1549.9,207800,1542.82
2015-08-04,1558.85,1569.9,1535.05,1558.5,271600,1551.38
2015-08-05,1569.8,1587,1540.25,1546.8,212300,1539.73
2015-08-06,1552,1554.1,1480,1519.95,179300,1513
2015-08-07,1526,1526,1465.55,1487.55,134000,1480.75
2015-08-10,1482,1484.85,1395,1407.7,206000,1401.27
2015-08-11,1416,1447.9,1390,1415.1,170300,1408.63
2015-08-12,1405.25,1437.85,1370.25,1381.15,135100,1374.84
2015-08-13,1385,1417.85,1362,1377,117700,1370.71
2015-08-14,1382,1405,1361,1373.3,170000,1367.02
2015-08-17,1349.8,1368,1310,1354.1,293300,1347.91
2015-08-18,1360,1390,1355.75,1363.45,133400,1357.22
2015-08-19,1369.65,1384.9,1330.1,1338.45,112800,1332.33
2015-08-20,1331,1345.3,1311.4,1320.65,74800,1314.61
2015-08-21,1295,1319.95,1234.55,1310.95,155100,1304.96
2015-08-24,1255,1278,1140,1206.9,244300,1201.38
2015-08-25,1215.6,1266,1060.05,1256.1,256600,1250.36
2015-08-26,1247.5,1281,1193.2,1266.8,124100,1261.01
2015-08-27,1284,1308.45,1267,1291.2,131400,1285.3
2015-08-28,1313.7,1315,1218,1263.75,156200,1257.97
2015-08-31,1259,1313,1240.8,1296.9,162200,1290.97
2015-09-01,1260,1308.95,1212.5,1233.35,129200,1227.71
2015-09-02,1249,1259.95,1210.7,1217.9,97100,1212.33
2015-09-03,1225,1252,1212.95,1235.5,91500,1229.85
2015-09-04,1239,1244,1180.35,1214.75,176900,1209.2
2015-09-07,1229,1239.55,1170,1187.05,96500,1182.6
2015-09-08,1171,1218.8,1156.2,1190.4,113700,1185.94
2015-09-09,1210,1234.2,1199,1222.15,109500,1217.57
2015-09-10,1208,1223,1180,1200.65,115100,1196.15
2015-09-11,1212.05,1232.8,1181.4,1189.65,114400,1185.19
2015-09-14,1199,1200,1175.5,1181.45,73200,1177.02
2015-09-15,1183,1199,1130.25,1160,130500,1155.65
2015-09-16,1161,1176,1127.5,1147.05,115900,1142.75
2015-09-17,1147.05,1147.05,1147.05,1147.05,0,1142.75
2015-09-18,1167,1186.95,1142.05,1171.35,85500,1166.96
2015-09-21,1160,1253,1154.8,1223.95,320300,1219.36
2015-09-22,1237.3,1279,1210,1235.8,331500,1231.16
2015-09-23,1228.65,1269,1215.1,1246.8,250100,1242.12
2015-09-24,1275,1275,1253,1261.85,191700,1257.12
2015-09-25,1261.85,1261.85,1261.85,1261.85,0,1257.12
2015-09-28,1268,1279.8,1232.25,1243.4,202300,1238.74
2015-09-29,1224,1240,1183.9,1211.7,166400,1207.16
2015-09-30,1226.3,1252.65,1218.35,1242.6,174400,1237.94
2015-10-01,1253,1258.7,1235,1243.8,127600,1239.13
2015-10-02,1243.8,1243.8,1243.8,1243.8,0,1239.13
2015-10-05,1250,1263.8,1245,1250.1,64900,1245.41
2015-10-06,1255.25,1316.9,1255.25,1280.75,397600,1275.95
2015-10-07,1276,1292.7,1259.05,1268.15,142000,1263.39
2015-10-08,1268,1284.1,1246.3,1260.4,101900,1255.67
2015-10-09,1266,1276.05,1241.1,1245.8,100900,1241.13
2015-10-12,1245,1255,1211.05,1220.85,128300,1216.27
2015-10-13,1225,1238.5,1213.85,1218.85,80400,1214.28
2015-10-14,1220,1258,1215,1239.15,155600,1234.5
2015-10-15,1249.8,1251.45,1222.05,1225.3,82000,1220.7
2015-10-16,1225.05,1233.85,1213.6,1222.55,88400,1217.96
2015-10-19,1224.7,1235.95,1216.55,1220.15,53600,1215.57
2015-10-20,1226,1252,1218.3,1241.35,207700,1236.69
2015-10-21,1241.15,1280,1240.55,1246.8,335700,1242.12
2015-10-22,1246.8,1246.8,1246.8,1246.8,0,1242.12
2015-10-23,1260,1263.5,1232.9,1237.65,71500,1233.01
2015-10-26,1246.8,1246.8,1203.9,1213.9,73800,1209.35
2015-10-27,1210,1210,1184.55,1201.35,119700,1196.84
2015-10-28,1199.95,1222.5,1193.05,1206.9,80500,1202.37
2015-10-29,1206.8,1211.1,1160,1174.95,129900,1170.54
2015-10-30,1185,1198,1161,1165.55,66600,1161.18
2015-11-02,1166,1176.95,1111.75,1129.4,168200,1125.16
2015-11-03,1140,1148,1092,1109.1,137300,1104.94
2015-11-04,1115,1127.9,1084,1100.1,165100,1095.97
2015-11-05,1109.6,1109.6,1085,1098.05,91700,1093.93
2015-11-06,1109,1119,1073.15,1108.65,283600,1104.49
2015-11-09,1065,1132.8,999.25,1127.55,138200,1123.32
2015-11-10,1127.9,1127.9,1102,1110.65,78000,1106.48
2015-11-11,1110.65,1110.65,1110.65,1110.65,0,1106.48
2015-11-12,1110.65,1110.65,1110.65,1110.65,0,1106.48
2015-11-13,1117.6,1117.6,1087.1,1093.3,60700,1089.2
2015-11-16,1090,1123.4,1076,1101.7,131100,1097.57
2015-11-17,1101.5,1113,1080.35,1090.1,61800,1086.01
2015-11-18,1091,1103.85,1033.45,1047.7,111300,1043.77
2015-11-19,1055,1071,1026.7,1041.8,201400,1037.89
2015-11-20,1045.1,1080.4,1018.05,1068.85,223900,1064.84
2015-11-23,1070,1078.5,1050,1054.15,81700,1050.2
2015-11-24,1054,1069.8,1051.15,1056.8,81800,1052.84
2015-11-25,1056.8,1056.8,1056.8,1056.8,0,1052.84
2015-11-26,1052.05,1149,1040,1068.05,226900,1064.04
2015-11-27,1068,1136,1066.5,1125.5,214400,1121.28
2015-11-30,1133.5,1155,1127.05,1128,213100,1123.77
2015-12-01,1139,1142.8,1124.3,1127.7,95900,1123.47
2015-12-02,1129,1135,1089.5,1099.6,181000,1095.48
2015-12-03,1101,1101,1073.5,1077.65,146400,1073.61
2015-12-04,1074,1116.25,1057.2,1107.8,258400,1103.64
2015-12-07,1117.8,1124,1077.05,1100.25,202800,1096.12
2015-12-08,1091,1108.7,1070,1077.6,86900,1073.56
2015-12-09,1075,1080.95,1033.85,1051.7,204800,1047.76
2015-12-10,1069,1073,1040,1066.4,125600,1062.4
2015-12-11,1070.1,1103,1062,1069.55,219800,1065.54
2015-12-14,1067,1085,1056,1076.4,121900,1072.36
2015-12-15,1078.6,1096.25,1061.3,1090.7,156700,1086.61
2015-12-16,1093,1130,1082.65,1123.1,291300,1118.89
2015-12-17,1135,1225,1130.75,1216.9,858100,1212.34
2015-12-18,1228.2,1271.85,1220,1263,1190900,1258.26
2015-12-21,1263,1267.25,1239.1,1249.85,363400,1245.16
2015-12-22,1255.1,1287.7,1251.1,1263.15,429100,1258.41
2015-12-23,1268.1,1276.6,1246.6,1262.1,308100,1257.37
2015-12-24,1265,1312.8,1255,1285.9,709400,1281.08
2015-12-25,1285.9,1285.9,1285.9,1285.9,0,1281.08
2015-12-28,1285,1309.25,1276.25,1287.65,293900,1282.82
2015-12-29,1287,1301,1272.4,1295.35,272000,1290.49
2015-12-30,1298.95,1304.45,1275,1280.8,216100,1276
2015-12-31,1281.15,1290.95,1266.1,1281.1,196000,1276.29
2016-01-01,1285,1317.7,1278.6,1300.7,380100,1295.82
2016-01-04,1310,1324.4,1255.1,1276,308800,1271.21
2016-01-05,1282,1292.45,1261.15,1271.9,136800,1267.13
2016-01-06,1270.05,1282.8,1251,1256.4,191300,1251.69
2016-01-07,1241.15,1242,1195.15,1209.4,313400,1204.86
2016-01-08,1213,1235,1206.15,1214.75,214000,1210.19
2016-01-11,1210,1248.9,1190.35,1224.5,290300,1219.91
2016-01-12,1233,1247.1,1222,1228.55,132100,1223.94
2016-01-13,1235,1245.1,1142.05,1215.45,238100,1210.89
2016-01-14,1196,1211.6,1167.05,1200.55,160500,1196.05
2016-01-15,1216,1222,1145.05,1162.8,168500,1158.44
2016-01-18,1155.1,1160,1055,1117.15,180600,1112.96
2016-01-19,1113,1138,1100,1114.1,144900,1109.92
2016-01-20,1100,1118.5,1062.05,1096.5,206000,1092.39
2016-01-21,1115,1119,1064,1073.05,178100,1069.03
2016-01-22,1082.95,1118.5,1076,1098.9,164300,1094.78
2016-01-25,1116,1135,1093.2,1101.75,158000,1097.62
2016-01-26,1101.75,1101.75,1101.75,1101.75,0,1097.62
2016-01-27,1101.45,1118,1078,1084.35,161200,1080.28
2016-01-28,1081,1093,1057.8,1063.35,233800,1059.36
2016-01-29,1054.5,1070.75,1036.5,1049.4,207500,1045.46
2016-02-01,1050,1066.4,1041.55,1048,166600,1044.07
2016-02-02,1046,1072,1035,1041.65,166700,1037.74
2016-02-03,1030,1030,988,1003.2,275800,999.44
2016-02-04,1011,1019.8,975,996.1,221900,992.36
2016-02-05,995.6,1038,984.35,1028.95,179900,1025.09
2016-02-08,1029.9,1066,1029.9,1037.2,178500,1033.31
2016-02-09,1026.9,1043.9,997.6,1011,179600,1007.21
2016-02-10,995,1014.6,991.7,1000.9,122400,997.15
2016-02-11,996,1010,920,969.15,378800,965.51
2016-02-12,950.1,1043.5,900,937.95,335700,934.43
2016-02-15,953.95,1008,940,983.15,320200,979.46
2016-02-16,1003,1009,951.2,959.25,256300,955.65
2016-02-17,970,972,924,954.55,177500,950.97
2016-02-18,967.5,987,932.1,940.65,225400,937.12
2016-02-19,935,980.95,932,971.55,190300,967.91
2016-02-22,983.4,1049,975,1040.55,594400,1036.65
2016-02-23,1043,1052.65,1003.6,1014.55,407900,1010.74
2016-02-24,1014,1034,1000,1017.4,330600,1013.58
2016-02-25,1025,1039.75,965.7,977.95,1106300,974.28
2016-02-26,984.95,986.75,938,952.75,459300,949.18
2016-02-29,953,986.9,911,945.45,496600,941.9
2016-03-01,980,998,965,990.2,615200,986.49
2016-03-02,1002.1,1034.8,1001.7,1029.5,285400,1025.64
2016-03-03,1039.7,1057.6,1032.1,1044.75,290800,1040.83
2016-03-04,1047,1062.5,1012.05,1053.25,215600,1049.3
2016-03-07,1053.25,1053.25,1053.25,1053.25,0,1049.3
2016-03-08,1056,1072,1035,1058.55,224700,1054.58
2016-03-09,1037.25,1064,1037.25,1056.1,121400,1052.14
2016-03-10,1061.75,1068.05,1032,1038,171400,1034.11
2016-03-11,1042,1052,1030.95,1035.5,86300,1031.62
2016-03-14,1047.8,1047.8,1023.2,1034.65,97100,1030.77
2016-03-15,1042,1042.95,1023.3,1030.25,64700,1026.39
2016-03-16,1031,1040,1011.55,1030.85,110300,1026.98
2016-03-17,1030.85,1049.7,1016.05,1024.7,148800,1020.86
2016-03-18,1029.85,1030,1006.65,1017.9,169600,1014.08
2016-03-21,1023,1078,1012,1068.75,444700,1064.74
2016-03-22,1075,1112,1071.3,1091.5,510000,1087.41
2016-03-23,1094.4,1097,1065,1090.9,362100,1086.81
2016-03-24,1090.9,1090.9,1090.9,1090.9,0,1086.81
2016-03-25,1090.9,1090.9,1090.9,1090.9,0,1086.81
2016-03-28,1098,1108.65,1050.15,1054.75,242900,1050.79
2016-03-29,1060.05,1066.4,1016.8,1035.55,313200,1031.67
2016-03-30,1051,1052,1022,1032.95,301200,1029.08
2016-03-31,1040,1067.95,1015.5,1044.1,367100,1040.18
2016-04-01,1035,1049.95,1024.95,1028.45,190300,1024.59
2016-04-04,1033,1035.9,1011.3,1016.6,125600,1012.79
2016-04-05,1016.6,1016.95,970.1,975.15,261100,971.49
2016-04-06,977.25,987.9,926.4,941.9,367400,938.37
2016-04-07,943,945.1,915,918.7,365500,915.25
2016-04-08,910,917.8,884.2,888.2,538800,884.87
2016-04-11,881,898,866,882.4,849500,879.09
2016-04-12,885,915,881.3,904.85,900700,901.46
2016-04-13,915,955.5,912,941.55,851400,938.02
2016-04-14,941.55,941.55,941.55,941.55,0,938.02
2016-04-15,941.55,941.55,941.55,941.55,0,938.02
2016-04-18,944,962.5,931,952.55,368300,948.98
2016-04-19,952.55,952.55,952.55,952.55,0,948.98
2016-04-20,965,968.8,938.05,947.2,339700,943.65
2016-04-21,951,956,928,932.8,261000,929.3
2016-04-22,925,948.7,919.55,939.35,353900,935.83
2016-04-25,947.8,947.8,915,918.1,224300,914.66
2016-04-26,910,935,909,931.45,200100,927.96
2016-04-27,938,945,932,939.15,151800,935.63
2016-04-28,943.85,948,913.8,918.95,261400,915.5
2016-04-29,921.75,936.6,912.85,920.95,218600,917.5
2016-05-02,915,926.95,910.1,918.5,105200,915.05
2016-05-03,920.5,938.85,911.55,916.15,223500,912.71
2016-05-04,916,923.5,891.4,897.75,164700,894.38
2016-05-05,894,904.7,886.6,892.9,169600,889.55
2016-05-06,893.8,902.3,869.45,873,212900,869.73
2016-05-09,866,914,865,908.05,405300,904.64
2016-05-10,911,931.9,907.5,916.75,338200,913.31
2016-05-11,910,926.8,895.55,912.95,242200,909.53
2016-05-12,919,930,912.75,916.95,118500,913.51
2016-05-13,923,925.5,896,899.65,201300,896.28
2016-05-16,901,909.5,891,901,151200,897.62
2016-05-17,905,915,896,902.6,137500,899.21
2016-05-18,902.5,908.45,892.6,898.9,137500,895.53
2016-05-19,899.9,907,870.3,874.85,175200,871.57
2016-05-20,881,883,860,862.4,212000,859.17
2016-05-23,865.25,876,840.05,849.5,216900,846.31
2016-05-24,844,847.4,813,819.35,310600,816.28
2016-05-25,834,834,807,817.45,286700,814.38
2016-05-26,824.95,833.85,809,826.7,286700,823.6
2016-05-27,831.35,865,829.2,854.25,373400,851.05
2016-05-30,865,892.7,855,884.5,682400,881.18
2016-05-31,888,892.95,867,870.35,223000,867.09
2016-06-01,870,879.65,841.7,846.15,215200,842.98
2016-06-02,853,864.85,837,841.4,279600,838.24
2016-06-03,846,849,825.1,827.95,193400,824.84
2016-06-06,830,843.4,823.3,833.5,173300,830.37
2016-06-07,839.85,849.4,832.1,835.45,210200,832.32
2016-06-08,848,879.4,841.2,869.25,1020900,865.99
2016-06-09,876.9,887,861.75,869,556800,865.74
2016-06-10,876,881,858.25,863.6,343700,860.36
2016-06-13,860,860,845.5,851.45,195900,848.26
2016-06-14,854,859.4,845.55,850.3,157500,847.11
2016-06-15,854,854,841,848.5,240400,845.32
2016-06-16,848.85,849.9,834,839,179600,835.85
2016-06-17,846.8,846.8,828,835.75,237700,832.62
2016-06-20,830,872.7,826.65,867.6,609500,864.35
2016-06-21,873.3,876.7,854,858.5,569700,855.28
2016-06-22,858.5,865.9,841.35,846.7,225700,843.52
2016-06-23,842,851,840,843.1,336500,839.94
2016-06-24,828.9,834.55,788,830.5,457900,827.39
2016-06-27,832.5,850.85,823.9,840.8,405000,837.65
2016-06-28,845,848.9,837.9,840,168200,836.85
2016-06-29,845,858.85,841.8,852.75,261100,849.55
2016-06-30,855,871.7,851,854.1,386200,850.9
2016-07-01,859,880.85,855,876.4,454300,873.11
2016-07-04,887,902.45,881.05,898.2,495900,894.83
2016-07-05,905.95,921,902.05,906.2,492500,902.8
2016-07-06,906.2,906.2,906.2,906.2,0,902.8
2016-07-07,911.6,914.5,888,893.35,203800,890
2016-07-08,897.5,897.5,877,885.85,155800,882.53
2016-07-11,894.95,901.5,888.05,892.35,132300,889
2016-07-12,891.5,897,882.55,885.4,125600,882.08
2016-07-13,888,893,877,880.9,169200,877.6
2016-07-14,877,946,868.95,938.7,1171100,935.18
2016-07-15,951,954.3,935.95,942.15,732700,938.62
2016-07-18,942.9,959.7,932.15,937.3,679700,933.78
2016-07-19,938,943,927.1,937.95,439200,934.43
2016-07-20,943,965,938.1,960.2,467100,956.6
2016-07-21,965,971.5,945,957.7,531500,954.11
2016-07-22,960.25,986.85,952.1,982.45,500200,978.77
2016-07-25,985.7,992.1,978.1,983.9,258300,980.21
2016-07-26,980.1,998.2,963.2,975.45,398500,971.79
2016-07-27,984.25,997,968,992.15,456600,988.43
2016-07-28,1005.05,1035,999.1,1004.05,535700,1000.28
2016-07-29,1011.7,1018,992,1013.7,294500,1009.9
2016-08-01,1016,1035,1010.05,1017.35,345600,1013.53
2016-08-02,1021,1024.95,993.5,1001.05,302800,997.3
2016-08-03,1004.75,1004.9,966.65,973.35,334600,969.7
2016-08-04,973.6,997.75,960,991.15,354900,987.43
2016-08-05,995,1049.95,992.5,1037.75,491700,1033.86
2016-08-08,1039.9,1039.9,1014,1020.4,180800,1016.57
2016-08-09,1022.75,1022.75,993,1002.3,211600,998.54
2016-08-10,1000,1025.5,997,1011.15,252000,1007.36
2016-08-11,1005,1017.6,976.7,987.1,214600,983.4
2016-08-12,986,1005.95,983,992.15,165700,988.43
2016-08-15,992.15,992.15,992.15,992.15,0,988.43
2016-08-16,998.8,1018.9,984,1009.05,264500,1005.27
2016-08-17,1010,1025,1010,1022.3,179900,1018.47
2016-08-18,1023,1036.05,1019,1027.25,281900,1023.4
2016-08-19,1027.95,1050,1012,1039.15,240300,1035.25
2016-08-22,1042,1058.65,1014.9,1020,431600,1016.17
2016-08-23,1019.9,1028.8,1012.5,1024.35,232600,1020.51
2016-08-24,1024,1041.8,1021.4,1033.1,155100,1029.23
2016-08-25,1035,1045.9,1030.9,1037.45,161800,1033.56
2016-08-26,1037.45,1083.4,1037.45,1056.35,665200,1052.39
2016-08-29,1059.65,1068.5,1042.1,1059.05,238000,1055.08
2016-08-30,1061.25,1079.55,1056.2,1066.2,183300,1062.2
2016-08-31,1073,1085,1062.15,1065.85,190900,1061.85
2016-09-01,1066.5,1073.1,1058.3,1066.2,127500,1062.2
2016-09-02,1073.8,1088,1062.45,1079.35,251000,1075.3
2016-09-05,1079.35,1079.35,1079.35,1079.35,0,1075.3
2016-09-06,1084.8,1084.8,1062.6,1066.45,95900,1062.45
2016-09-07,1072,1101,1055.55,1082.15,215500,1082.15
2016-09-08,1076.7,1097,1075,1082.85,136900,1082.85
2016-09-09,1090,1090,1062.2,1073.3,93800,1073.3
2016-09-12,1062.25,1085.95,1036,1046.85,170600,1046.85
2016-09-13,1046.85,1046.85,1046.85,1046.85,0,1046.85
2016-09-14,1046,1060.9,1018.85,1025.15,369400,1025.15
2016-09-15,980,980,892.8,900.15,2385800,900.15
2016-09-16,909.55,927,891.3,922.05,1119400,922.05
2016-09-19,929.9,934,907.7,909.95,443600,909.95
2016-09-20,913.4,916.8,895.05,905,668800,905
2016-09-21,908,915.5,893.3,899.65,275900,899.65
2016-09-22,910,915.9,906,910.9,235000,910.9
2016-09-23,914,936.05,908.55,914.95,560400,914.95
2016-09-26,911.15,928,910.5,919,217100,919
2016-09-27,924,926.7,900,904.55,227700,904.55
2016-09-28,907.15,915.9,901,908.85,197600,908.85
