"Date","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
2015-08-19,1355,1399.8,1328.7,1376.25,347400,1370.357
2015-08-20,1384.95,1398.95,1335,1338.2,239200,1332.47
2015-08-21,1337,1337,1282.55,1302.35,231700,1296.774
2015-08-24,1250,1272.4,1195,1253.3,328900,1247.934
2015-08-25,1255.9,1307.9,1232,1279.4,298500,1273.922
2015-08-26,1275,1297.4,1245.25,1253.35,181600,1247.983
2015-08-27,1299,1333,1256.6,1300.15,414700,1294.583
2015-08-28,1306,1360,1303.95,1342.75,226500,1337.001
2015-08-31,1347,1375.2,1307,1340.2,208300,1334.462
2015-09-01,1331,1348,1285.35,1310.85,126500,1305.237
2015-09-02,1318.65,1345,1305,1310.15,168700,1304.54
2015-09-03,1318.5,1342.35,1315,1325.75,95400,1320.073
2015-09-04,1332,1336.85,1263.6,1312.6,127500,1306.98
2015-09-07,1315.25,1324.65,1250,1260.45,122700,1255.053
2015-09-08,1261.6,1324,1242.05,1314,180200,1308.374
2015-09-09,1327,1369.75,1327,1353,182900,1347.207
2015-09-10,1331,1420,1315.15,1410.65,309400,1404.61
2015-09-11,1424.7,1433.2,1360,1371.35,238000,1365.478
2015-09-14,1380,1384.75,1354.45,1367.65,139200,1361.794
2015-09-15,1374,1382.55,1352.75,1367.05,137700,1361.197
2015-09-16,1375,1375.2,1330.25,1336.15,99500,1330.429
2015-09-17,1336.15,1336.15,1336.15,1336.15,0,1330.429
2015-09-18,1347,1376,1347,1370.35,179300,1364.482
2015-09-21,1364,1370,1351.05,1363.7,102600,1357.861
2015-09-22,1365.2,1404.95,1357.4,1374,181000,1368.117
2015-09-23,1357,1383,1351.5,1369.6,118000,1363.736
2015-09-24,1379,1422,1366.5,1409.05,177200,1403.017
2015-09-25,1409.05,1409.05,1409.05,1409.05,0,1403.017
2015-09-28,1418,1424,1394.65,1402.85,147300,1396.843
2015-09-29,1400,1455,1393.25,1440.4,385800,1434.233
2015-09-30,1430,1455,1411.7,1441.6,312600,1435.427
2015-10-01,1443.15,1475.05,1423.65,1444.35,162800,1438.166
2015-10-02,1444.35,1444.35,1444.35,1444.35,0,1438.166
2015-10-05,1450,1503.85,1448.4,1479.05,285800,1472.717
2015-10-06,1485.05,1513.9,1474,1499,245500,1492.582
2015-10-07,1490,1515.9,1471,1479.7,193200,1473.364
2015-10-08,1485,1490.05,1433.05,1448.1,127900,1441.9
2015-10-09,1455,1475.05,1443.9,1454.65,117100,1448.422
2015-10-12,1464,1470,1437.5,1455.55,111400,1449.318
2015-10-13,1455.9,1472.9,1440,1452.6,117700,1446.38
2015-10-14,1445,1458.5,1437.75,1441.25,53100,1435.079
2015-10-15,1450,1458,1438,1441.8,61600,1435.627
2015-10-16,1456.45,1456.45,1433.7,1440,82800,1433.834
2015-10-19,1445,1448.55,1418,1425.6,167000,1419.496
2015-10-20,1433.85,1433.85,1403.2,1410.55,199400,1404.51
2015-10-21,1405,1419,1380,1383.1,227100,1377.178
2015-10-22,1383.1,1383.1,1383.1,1383.1,0,1377.178
2015-10-23,1410.4,1421.75,1385,1406,329800,1399.98
2015-10-26,1401.15,1434.8,1401.15,1420.4,206100,1414.318
2015-10-27,1420,1420,1368,1379.35,257200,1373.444
2015-10-28,1372,1376.05,1334.45,1344.35,345800,1338.594
2015-10-29,1330.5,1336.95,1301.55,1319.05,309000,1313.402
2015-10-30,1320,1344,1305.5,1312.75,166300,1307.129
2015-11-02,1316.5,1349.75,1301.05,1341.75,246200,1336.005
2015-11-03,1345,1359.55,1339.1,1348.5,195600,1342.726
2015-11-04,1357,1370,1356.85,1366.1,280700,1360.251
2015-11-05,1374,1374,1332.8,1344.15,203700,1338.395
2015-11-06,1336,1359,1335,1345.85,135300,1340.087
2015-11-09,1336,1336,1301.35,1324.15,239100,1318.48
2015-11-10,1334.75,1334.75,1269.25,1272.95,487000,1267.499
2015-11-11,1272.95,1272.95,1272.95,1272.95,0,1267.499
2015-11-12,1272.95,1272.95,1272.95,1272.95,0,1267.499
2015-11-13,1269.9,1269.9,1240.2,1249,139200,1243.652
2015-11-16,1245,1286.85,1213,1279.6,285700,1274.121
2015-11-17,1291,1330,1285,1321.35,271500,1315.692
2015-11-18,1325,1345.25,1297.5,1303.7,181200,1298.118
2015-11-19,1307,1321.05,1290.1,1319.2,148300,1313.551
2015-11-20,1327,1339.85,1317.7,1331.7,136100,1325.998
2015-11-23,1332,1357.9,1332,1349.25,229200,1343.473
2015-11-24,1355,1360,1320.15,1328.7,158800,1323.011
2015-11-25,1328.7,1328.7,1328.7,1328.7,0,1323.011
2015-11-26,1325.4,1347,1306.2,1338.5,185300,1332.769
2015-11-27,1335,1349,1329.8,1332.3,88100,1326.595
2015-11-30,1330,1334.8,1305.1,1325.05,373000,1319.377
2015-12-01,1311,1348.95,1311,1340.45,201600,1334.71
2015-12-02,1347,1387,1347,1379.35,250400,1373.444
2015-12-03,1388,1393.6,1346.85,1360.65,228000,1354.824
2015-12-04,1349.95,1375,1349.15,1362.2,189800,1356.367
2015-12-07,1370.3,1389.65,1365.85,1370.6,135800,1364.731
2015-12-08,1363,1371.55,1340,1347.3,150500,1341.531
2015-12-09,1350,1377.7,1345.4,1361.35,205000,1355.521
2015-12-10,1375,1403.2,1345.85,1393.55,281500,1387.583
2015-12-11,1400,1415,1365.1,1381.15,338700,1375.236
2015-12-14,1379,1409.9,1364,1400.05,142900,1394.055
2015-12-15,1412,1415,1375,1392.05,163100,1386.09
2015-12-16,1395,1405,1373.05,1377.8,106100,1371.901
2015-12-17,1390,1432,1389.85,1424.45,232400,1418.351
2015-12-18,1424.5,1453.35,1411.55,1445.9,334000,1439.709
2015-12-21,1445.9,1457.45,1432.65,1449.95,157600,1443.742
2015-12-22,1450,1462.45,1433,1449.45,153100,1443.244
2015-12-23,1460,1460.1,1423.3,1429.75,195000,1423.628
2015-12-24,1438.75,1445,1428.35,1436.85,63400,1430.698
2015-12-25,1436.85,1436.85,1436.85,1436.85,0,1430.698
2015-12-28,1448,1452,1437.6,1442.35,75200,1436.174
2015-12-29,1447,1471.15,1443.25,1459.85,144400,1453.599
2015-12-30,1469.95,1469.95,1456,1462.15,144200,1455.889
2015-12-31,1462.65,1470.4,1448.7,1466.45,223900,1460.171
2016-01-01,1458.5,1480,1449,1460.8,107000,1454.545
2016-01-04,1450.4,1470,1445,1450.1,121200,1443.891
2016-01-05,1451,1497.7,1432.4,1468.5,667500,1462.212
2016-01-06,1455,1480,1445.1,1455.35,233900,1449.119
2016-01-07,1431,1450,1380.2,1396.65,184800,1390.67
2016-01-08,1400.05,1418.05,1386.55,1404.55,168700,1398.536
2016-01-11,1405,1409.1,1355,1360.85,189400,1355.023
2016-01-12,1360.35,1373.4,1351,1361.45,117000,1355.621
2016-01-13,1364.4,1395.85,1330.8,1365.35,165100,1359.504
2016-01-14,1355.4,1394.7,1338.1,1376.8,114900,1370.905
2016-01-15,1378.6,1398.5,1359,1364.25,121300,1358.409
2016-01-18,1356.35,1382.25,1343.05,1350.1,170800,1344.319
2016-01-19,1365.6,1420,1349.05,1408.5,150700,1402.469
2016-01-20,1409,1435,1345.1,1359.3,477800,1353.48
2016-01-21,1379,1385.45,1359.1,1367.85,189500,1361.993
2016-01-22,1377,1411,1371.05,1402.15,159700,1396.146
2016-01-25,1407,1428.9,1400.95,1421.1,113900,1415.015
2016-01-26,1421.1,1421.1,1421.1,1421.1,0,1415.015
2016-01-27,1446,1446,1387.8,1392,228800,1386.04
2016-01-28,1399,1424.65,1380.45,1409.35,186300,1403.315
2016-01-29,1419.9,1485.75,1416,1473,318500,1466.693
2016-02-01,1482,1507.2,1470,1498.4,216900,1491.984
2016-02-02,1506.9,1525,1424.6,1434.3,282200,1428.159
2016-02-03,1419.95,1497.85,1410.05,1484.55,290900,1478.194
2016-02-04,1510,1510,1412,1421.95,239800,1415.862
2016-02-05,1434,1460.95,1415.1,1455.95,127500,1449.716
2016-02-08,1448,1471,1433,1453.6,104100,1447.376
2016-02-09,1435,1453.8,1420.1,1435.2,94800,1429.055
2016-02-10,1425,1456.6,1421.7,1447,214100,1440.804
2016-02-11,1430,1459.9,1413.85,1422.8,92200,1416.708
2016-02-12,1425.1,1433,1340,1404.65,362400,1398.636
2016-02-15,1425,1471.2,1385,1444.6,295400,1438.415
2016-02-16,1441.5,1455,1413,1424.2,127200,1418.102
2016-02-17,1420.05,1433.6,1370,1421.8,178500,1415.712
2016-02-18,1430,1452.95,1420,1429.9,163600,1423.778
2016-02-19,1425.5,1439.45,1415,1428.7,116000,1422.583
2016-02-22,1426,1449.9,1407,1428.1,91300,1421.985
2016-02-23,1425,1445.95,1420.05,1437.25,108800,1431.096
2016-02-24,1437.25,1460,1424.9,1438.65,175900,1432.49
2016-02-25,1433,1457.6,1433,1444.7,151900,1438.514
2016-02-26,1450,1455,1426.05,1433.6,81300,1427.462
2016-02-29,1439.9,1483.5,1416.6,1463.85,251800,1457.582
2016-03-01,1479,1499,1475.2,1497.2,255300,1490.789
2016-03-02,1510,1544.9,1490.25,1497.85,370500,1491.437
2016-03-03,1489,1500.35,1418.3,1428.8,462300,1422.682
2016-03-04,1435,1437,1380,1410.1,345800,1404.062
2016-03-07,1410.1,1410.1,1410.1,1410.1,0,1404.062
2016-03-08,1410,1412.95,1391.6,1408.05,185400,1402.021
2016-03-09,1405.2,1405.2,1376.85,1394.1,431400,1388.131
2016-03-10,1399.9,1425,1390.05,1404.05,296300,1398.038
2016-03-11,1404,1423.9,1401,1414.8,198700,1408.742
2016-03-14,1425,1426.35,1398.6,1408.3,117700,1402.27
2016-03-15,1408.3,1408.9,1350,1354.2,190300,1348.402
2016-03-16,1355.5,1368,1324,1360,284400,1354.177
2016-03-17,1374.9,1391.4,1367.25,1382.9,206800,1376.979
2016-03-18,1379.3,1400.55,1354.85,1396.4,256400,1390.421
2016-03-21,1400,1415,1379.6,1401.3,399700,1395.3
2016-03-22,1401.9,1421,1380.5,1389.9,287900,1389.9
2016-03-23,1382,1411.3,1382,1392.15,188200,1392.15
2016-03-24,1392.15,1392.15,1392.15,1392.15,0,1392.15
2016-03-25,1392.15,1392.15,1392.15,1392.15,0,1392.15
2016-03-28,1398.4,1406.4,1367.05,1375.05,128000,1375.05
2016-03-29,1360,1367.85,1328.4,1336.85,229900,1336.85
2016-03-30,1341.2,1349.95,1305,1320.85,285900,1320.85
2016-03-31,1315,1347,1292,1329.3,490700,1329.3
2016-04-01,1337,1353,1324,1348.95,192800,1348.95
2016-04-04,1356,1364.85,1340.5,1354.35,145800,1354.35
2016-04-05,1352.7,1368,1340.5,1347.25,124200,1347.25
2016-04-06,1342,1356.4,1335.25,1349.15,71800,1349.15
2016-04-07,1350,1372.1,1346.4,1354.5,108400,1354.5
2016-04-08,1350.4,1380,1343,1370.65,413100,1370.65
2016-04-11,1358,1382.4,1346.1,1352.9,220900,1352.9
2016-04-12,1350,1358.5,1345.6,1349.25,153600,1349.25
2016-04-13,1350.1,1363,1340.65,1348.1,189700,1348.1
2016-04-14,1348.1,1348.1,1348.1,1348.1,0,1348.1
2016-04-15,1348.1,1348.1,1348.1,1348.1,0,1348.1
2016-04-18,1350.75,1366,1337,1361.35,274600,1361.35
2016-04-19,1361.35,1361.35,1361.35,1361.35,0,1361.35
2016-04-20,1368.5,1391.45,1363.75,1386.4,309600,1386.4
2016-04-21,1401.45,1401.45,1366.2,1376.25,311100,1376.25
2016-04-22,1370,1390,1356,1358.35,193100,1358.35
2016-04-25,1356,1369,1320.05,1325.15,235500,1325.15
2016-04-26,1319,1329.85,1305.15,1326.05,239700,1326.05
2016-04-27,1329.9,1339,1310.05,1316.8,231300,1316.8
2016-04-28,1325,1325,1295,1313.15,409800,1313.15
2016-04-29,1314.1,1324.25,1296.2,1312.15,181300,1312.15
2016-05-02,1303,1315.35,1293.05,1306.55,138400,1306.55
2016-05-03,1314,1324,1290.05,1294,271200,1294
2016-05-04,1285,1310,1280,1306.65,214800,1306.65
2016-05-05,1312,1313.55,1292.35,1301.8,115000,1301.8
2016-05-06,1296.65,1336.95,1288.4,1332.6,214100,1332.6
2016-05-09,1342.1,1345,1328,1336.5,240600,1336.5
2016-05-10,1343,1345,1296,1301,395300,1301
2016-05-11,1293.95,1322.9,1290,1320.3,270500,1320.3
2016-05-12,1325,1328.6,1310.1,1322.6,149000,1322.6
2016-05-13,1332,1332,1311.45,1323.55,110300,1323.55
2016-05-16,1330,1346.35,1325.7,1343.85,259900,1343.85
2016-05-17,1347,1364,1332.85,1338.15,215900,1338.15
2016-05-18,1335,1358.4,1328,1356.85,149800,1356.85
2016-05-19,1359,1364.9,1311,1321,102900,1321
2016-05-20,1317.55,1343,1312.55,1329.2,175300,1329.2
2016-05-23,1335,1363.3,1334.85,1358.6,192800,1358.6
2016-05-24,1369.95,1369.95,1341,1360.6,152400,1360.6
2016-05-25,1367.9,1369.9,1322.5,1339.9,362700,1339.9
2016-05-26,1349,1356.8,1337.35,1345.9,168800,1345.9
2016-05-27,1339.5,1357.4,1336,1348.2,112800,1348.2
2016-05-30,1348.75,1406.4,1348.2,1399.05,338600,1399.05
2016-05-31,1405,1405,1346.25,1369.1,519100,1369.1
2016-06-01,1376,1418,1369.1,1413.45,281100,1413.45
2016-06-02,1410,1414,1391.15,1401.4,149500,1401.4
2016-06-03,1403.25,1408.95,1360.1,1366.5,223000,1366.5
2016-06-06,1365,1365,1342.7,1354.05,112600,1354.05
2016-06-07,1355,1362.7,1342.45,1349.65,156700,1349.65
2016-06-08,1353,1378.5,1348,1360.8,270100,1360.8
2016-06-09,1367,1394.4,1352.65,1388.55,216700,1388.55
2016-06-10,1388.9,1388.9,1340.45,1355.3,301400,1355.3
2016-06-13,1351.25,1353.45,1313.1,1318.7,219700,1318.7
2016-06-14,1320,1328,1309.35,1325.7,164100,1325.7
2016-06-15,1332,1337.3,1315,1322.35,239100,1322.35
2016-06-16,1320,1326.6,1303.05,1307.6,263600,1307.6
2016-06-17,1319,1320.2,1290,1294.95,335600,1294.95
2016-06-20,1280,1305,1280,1300.05,120600,1300.05
2016-06-21,1309,1317.85,1303,1307.2,114600,1307.2
2016-06-22,1311.8,1311.8,1291.25,1306.35,101400,1306.35
2016-06-23,1305,1307.9,1293.05,1303.1,119200,1303.1
2016-06-24,1288.9,1309.95,1267.85,1306.05,139800,1306.05
2016-06-27,1291.3,1313.05,1291.3,1302.85,174300,1302.85
2016-06-28,1304.3,1325.95,1303.25,1319.15,231400,1319.15
2016-06-29,1325,1325.75,1310.2,1315.7,129600,1315.7
2016-06-30,1316,1324.9,1307.25,1315.5,239000,1315.5
2016-07-01,1316,1339,1314.55,1329.85,194700,1329.85
2016-07-04,1335,1348,1330.05,1343.5,113800,1343.5
2016-07-05,1342.95,1350,1330.55,1345.3,99000,1345.3
2016-07-06,1345.3,1345.3,1345.3,1345.3,0,1345.3
2016-07-07,1312.1,1364.4,1312.1,1357.25,142700,1357.25
2016-07-08,1367,1389.25,1363.3,1370.2,232000,1370.2
2016-07-11,1375,1380.05,1356.9,1361.95,143700,1361.95
2016-07-12,1363.4,1382,1358.5,1378.7,135500,1378.7
2016-07-13,1382,1396,1375,1390.95,188200,1390.95
2016-07-14,1390,1390,1368,1370.8,120800,1370.8
2016-07-15,1376.7,1383.9,1368.55,1379.45,158800,1379.45
2016-07-18,1376,1383,1359.1,1361.7,90800,1361.7
2016-07-19,1368,1368,1331.5,1341.4,252400,1341.4
2016-07-20,1342,1343.15,1327.05,1333.45,218100,1333.45
2016-07-21,1333.7,1350,1328,1333,236100,1333
