"Date","MUTHOOTFIN.NS.Open","MUTHOOTFIN.NS.High","MUTHOOTFIN.NS.Low","MUTHOOTFIN.NS.Close","MUTHOOTFIN.NS.Volume","MUTHOOTFIN.NS.Adjusted"
2015-06-09,189.85,189.95,182.65,185.45,244800,174.35
2015-06-10,189.3,191,185.75,189,46300,177.69
2015-06-11,187.6,190.7,184.5,185.2,36200,174.11
2015-06-12,185,187.25,182.85,186,77100,174.86
2015-06-15,188.95,188.95,186,186.95,28900,175.76
2015-06-16,186.05,189.35,185,187,31100,175.8
2015-06-17,188.95,192,183.25,185.75,460700,174.63
2015-06-18,186.3,188.9,186,187,610700,175.8
2015-06-19,187.6,189,186.05,186.95,217800,175.76
2015-06-22,190,190,186.05,187.95,479300,176.7
2015-06-23,189.7,190,187.15,189,936600,177.69
2015-06-24,189.95,190.75,183.75,185.2,962100,174.11
2015-06-25,186.4,186.75,183.15,183.55,535200,172.56
2015-06-26,183.55,185.7,182.65,183.4,32700,172.42
2015-06-29,173.5,189.75,173.5,189,276900,177.69
2015-06-30,188,205.9,187.1,202.05,398400,189.95
2015-07-01,203.65,203.65,196.05,199.45,132700,187.51
2015-07-02,203.9,206,198.3,203.5,312300,191.32
2015-07-03,203.4,209,198.5,208.3,233300,195.83
2015-07-06,208.95,220.6,205.05,217.65,272200,204.62
2015-07-07,218,219.7,208,208.55,91600,196.06
2015-07-08,205,209.35,202.4,204.15,43100,191.93
2015-07-09,205.7,207,195.1,198.9,43300,186.99
2015-07-10,204.7,205.5,200.6,203.35,23600,191.18
2015-07-13,203.75,206,200.6,204.05,30000,191.83
2015-07-14,203.9,203.9,199.25,200.7,66900,188.68
2015-07-15,202,236.8,201.7,212.65,963200,199.92
2015-07-16,213.55,213.95,204.55,209.4,340700,196.86
2015-07-17,212.4,215,207.15,213.7,176000,200.91
2015-07-20,211.5,211.7,207.5,208.35,72700,195.88
2015-07-21,207,210.3,202.05,202.9,67400,190.75
2015-07-22,204.7,207.95,200,201.85,115800,189.77
2015-07-23,207.9,212.4,195.5,199.3,447200,187.37
2015-07-24,202,205,195,198.85,198400,186.95
2015-07-27,198.95,200,190.2,194,97400,182.39
2015-07-28,195,199.9,190.05,191.05,93300,179.61
2015-07-29,193,194,190.95,192.7,407100,181.16
2015-07-30,194.7,195.75,192.25,193.65,39600,182.06
2015-07-31,193.9,199.75,192.5,198.25,91700,186.38
2015-08-03,198,198,193.5,194.7,70800,183.04
2015-08-04,194.7,195.2,191.55,192.3,83700,180.79
2015-08-05,192.5,201,190.3,193.65,319700,182.06
2015-08-06,195.5,195.5,190.35,190.7,101100,179.28
2015-08-07,190.7,191.2,185.65,187.45,88500,176.23
2015-08-10,187.95,190.8,181,183.35,88600,172.37
2015-08-11,184,186.4,178,179.35,76600,168.61
2015-08-12,180,182.5,175,177.35,101600,166.73
2015-08-13,179.3,180.65,170,172.55,137300,162.22
2015-08-14,174.5,177.7,170,176.3,324300,165.75
2015-08-17,177.5,180,174,178.55,49500,167.86
2015-08-18,181.8,181.8,178.4,181,38900,170.16
2015-08-19,183.5,183.5,178.8,180.8,42000,169.98
2015-08-20,180,182.1,178,179.6,54300,168.85
2015-08-21,178,179.65,172,175.1,203300,164.62
2015-08-24,172.3,174.9,155,162.1,153300,152.4
2015-08-25,165.25,170,162.35,165.2,104500,155.31
2015-08-26,165.2,174,158.05,165.9,70500,155.97
2015-08-27,169.45,173,165,169.6,44200,159.45
2015-08-28,172.95,173.85,151,162.1,381000,152.4
2015-08-31,165.7,179.9,162,172.5,204700,162.17
2015-09-01,169,175,167.05,173.3,69700,162.92
2015-09-02,173.3,175.5,165.2,168.75,40100,158.65
2015-09-03,169.05,171.3,166.55,168.25,25700,158.18
2015-09-04,169,169.2,160.2,164.7,39700,154.84
2015-09-07,167.9,167.9,161,165.15,61700,155.26
2015-09-08,164.65,167.7,161.25,165.1,152000,155.22
2015-09-09,175,175,158.15,165.85,617200,155.92
2015-09-10,162.3,164.45,159.5,162.3,258800,152.58
2015-09-11,161.8,166.3,161.2,162.55,515900,152.82
2015-09-14,161.5,164.9,161,161.65,79900,151.97
2015-09-15,161.55,163.9,158.4,159.1,159100,149.58
2015-09-16,161.45,161.45,158.05,158.85,39100,149.34
2015-09-17,158.85,158.85,158.85,158.85,0,149.34
2015-09-18,159.6,160,152.55,154.45,842300,145.2
2015-09-21,153.9,160,152.2,159.05,582000,149.53
2015-09-22,158.9,161,153.25,155.65,97000,148.2
2015-09-23,154,161,153.55,159.7,78900,152.05
2015-09-24,161,161.05,158.2,158.5,15800,150.91
2015-09-25,158.5,158.5,158.5,158.5,0,150.91
2015-09-28,159.3,160,153.6,155.65,33100,148.2
2015-09-29,155,163.2,154.05,162,150300,154.24
2015-09-30,163.2,168,160.2,164.2,197200,156.34
2015-10-01,164.2,165,160.7,162,83300,154.24
2015-10-02,162,162,162,162,0,154.24
2015-10-05,163,164.95,161.2,163.25,86900,155.43
2015-10-06,164,166,162.4,163.8,80400,155.95
2015-10-07,168.5,178.6,168.5,173.9,616100,165.57
2015-10-08,174,183,171.05,180.4,1607400,171.76
2015-10-09,182.9,183,176.5,182.25,310900,173.52
2015-10-12,182,188.45,180.05,185.05,703400,176.19
2015-10-13,183,185.35,180.05,180.7,272100,172.05
2015-10-14,180,181.8,177.5,180.85,104500,172.19
2015-10-15,180.85,183,180.3,181.6,54100,172.9
2015-10-16,181.3,184.35,181.3,183.8,44900,175
2015-10-19,180.55,182.85,180.55,181.85,63800,173.14
2015-10-20,182,188.5,180.15,187.4,136300,178.42
2015-10-21,186.1,190,183.05,189.25,128100,180.19
2015-10-22,189.25,189.25,189.25,189.25,0,180.19
2015-10-23,185.3,190,182.6,186.05,56600,177.14
2015-10-26,186,187.5,182,183.5,105700,174.71
2015-10-27,183.9,184.7,180.3,181.2,38400,172.52
2015-10-28,180.8,182.95,177.05,181.3,77300,172.62
2015-10-29,181.3,184.35,179.1,180.55,90100,171.9
2015-10-30,183.5,186,175.1,180.35,161900,171.71
2015-11-02,185,185,179.05,182.7,86400,173.95
2015-11-03,181.05,186,180,183.25,1052200,174.47
2015-11-04,185,186.9,181.55,185.25,65900,176.38
2015-11-05,180.1,185,180,182,83000,177.11
2015-11-06,181,182.4,177,177.55,39600,172.78
2015-11-09,176,182.45,175,180.75,54300,175.89
2015-11-10,180.15,181.5,175.5,178.85,511200,174.04
2015-11-11,178.85,178.85,178.85,178.85,0,174.04
2015-11-12,178.85,178.85,178.85,178.85,0,174.04
2015-11-13,178.55,183,177.1,181.5,92400,176.62
2015-11-16,180,183,178.3,181.6,56700,176.72
2015-11-17,181.6,182,178.5,179.5,49300,174.67
