"Date","BOSCHLTD.NS.Open","BOSCHLTD.NS.High","BOSCHLTD.NS.Low","BOSCHLTD.NS.Close","BOSCHLTD.NS.Volume","BOSCHLTD.NS.Adjusted"
2015-02-27,26350,27032.9,25581,26589.3,839400,26309.43
2015-03-02,25890,26195,25626,25902.4,70000,25629.76
2015-03-03,25900,26476.4,25551.6,26256,49700,25979.64
2015-03-04,26300,26495,25951.2,26115.1,25300,25840.22
2015-03-05,26300,26900,26144,26706.8,93800,26425.69
2015-03-06,26706.8,26706.8,26706.8,26706.8,0,26425.69
2015-03-09,26600,26955,26135,26312.8,50000,26035.84
2015-03-10,26355,26764,26277.1,26555.2,41400,26275.69
2015-03-11,26684,26824,26252,26438.4,54200,26160.12
2015-03-12,26360,27394,26360,27289.7,26600,27002.46
2015-03-13,27444,27548.1,26525.7,26614.5,43800,26334.37
2015-03-16,26799,26806.9,26100,26223.1,44800,25947.08
2015-03-17,26335.1,26689,26335.1,26602.5,31900,26322.49
2015-03-18,26688,27489.7,26503.1,27316.3,51700,27028.78
2015-03-19,27475,27947.9,27461,27657.9,49500,27366.78
2015-03-20,27824,27990,26856.1,27367.6,294700,27079.54
2015-03-23,27575,27649.9,26820.1,26902.8,38000,26619.63
2015-03-24,27099,27099,26210,26337.2,31800,26059.98
2015-03-25,26330,26422.3,25650,25771.7,35300,25500.44
2015-03-26,25799.9,25799.9,25332.1,25559,37200,25289.98
2015-03-27,25559,25660,24672,25212.2,37300,24946.82
2015-03-30,25538,25637.2,25300,25498.8,15600,25230.41
2015-03-31,25898,25898,25260,25421.3,29400,25153.73
2015-04-01,25488,25708,25201,25570.7,16100,25301.55
2015-04-02,25570.7,25570.7,25570.7,25570.7,0,25301.55
2015-04-03,25570.7,25570.7,25570.7,25570.7,0,25301.55
2015-04-06,25550,25560,25170,25343.8,16700,25077.04
2015-04-07,25600,25600,25050,25291.7,22200,25025.49
2015-04-08,25500,25990.1,25284.9,25823.6,26500,25551.79
2015-04-09,26000,26098.9,25565,25692.5,19900,25422.07
2015-04-10,25695,26159.9,25585.2,26069.1,19200,25794.71
2015-04-13,26100,26580,25950.2,26440.6,22700,26162.3
2015-04-14,26440.6,26440.6,26440.6,26440.6,0,26162.3
2015-04-15,26796.9,26796.9,26150,26340.2,16100,26062.95
2015-04-16,26400,26489.8,25745.1,26239.6,16300,25963.41
2015-04-17,26050,26295.9,25457.2,25574.6,13300,25305.41
2015-04-20,25784.9,25784.9,24360,24676.2,23900,24416.47
2015-04-21,24939,24939,24199.9,24284.1,25000,24028.49
2015-04-22,24290,24494.8,23160.1,23622.2,36500,23373.56
2015-04-23,23815,24050,23467.9,23720.5,16700,23470.83
2015-04-24,23800,23820,21460.1,21958.4,48100,21727.27
2015-04-27,22025,22100,20433.9,20930.4,68800,20710.09
2015-04-28,21100,21900,20626.7,21722.5,35300,21493.86
2015-04-29,21700,21975,21350,21621.2,26600,21393.62
2015-04-30,22000,22850,21775,22503.8,51300,22266.93
2015-05-01,22503.8,22503.8,22503.8,22503.8,0,22266.93
2015-05-04,22780,23070,22325,22713.1,26600,22474.03
2015-05-05,22950,22950,22411,22522,32100,22284.94
2015-05-06,22400,22594,21600,21732.4,21500,21503.65
2015-05-07,21900,21950,19798.2,20936.2,25100,20715.83
2015-05-08,21000,21900,21000,21608.8,28200,21381.35
2015-05-11,21950,22250,21740.1,22114.1,29800,21881.33
2015-05-12,22155,22155,21335.4,21487.6,12400,21261.43
2015-05-13,21470.2,22691.3,21470.2,22580.3,35500,22342.63
2015-05-14,22699,22940,22250,22794.2,27700,22554.28
2015-05-15,22880,23144,22767,22868.7,24800,22627.99
2015-05-18,23000,23149,22661.6,22983.8,16000,22741.88
2015-05-19,22990,23459,22810,23184.8,21700,22940.77
2015-05-20,23398,23425.8,23150,23256.2,13000,23011.41
2015-05-21,23340,23550,23200.4,23376.5,20600,23130.45
2015-05-22,23298.2,23400,22989.9,23146.1,10400,22902.47
2015-05-25,22605.2,23777.4,22605.2,23462.6,16400,23215.64
2015-05-26,23594.8,23594.8,23050.1,23135.8,13600,22892.28
2015-05-27,23075.8,23250.5,22850,23033.9,25100,22791.45
2015-05-28,23289,23404.1,22860.1,23094.6,93000,22851.51
2015-05-29,23295.6,23900,22431,23668.8,121000,23419.67
2015-06-01,23800,23860,23166,23332.2,22800,23086.61
2015-06-02,23400,23500,22581,22744.1,21600,22504.7
2015-06-03,22997.1,22997.1,21515,21713.6,25900,21485.05
2015-06-04,21950,22279.9,21705,22183.8,20900,21950.3
2015-06-05,22200,22245,21680,21977.3,21000,21745.98
2015-06-08,21890,22001.5,21127.6,21420.3,14900,21194.84
2015-06-09,21203,21298,20620.1,20791.8,27400,20572.95
2015-06-10,20820,21330,20820,21247.2,20100,21023.56
2015-06-11,21449.8,21489.8,20251.1,20432.2,36100,20217.14
2015-06-12,20399.5,20520,19625.1,20283.9,31900,20070.4
