"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2015-08-28,949.85,1018,949.85,991.65,525400,195.72
2015-08-31,998.9,1044.4,979,998.3,400800,197.03
2015-09-01,999,1007.55,936.05,960.3,349000,189.53
2015-09-02,1020,1020,958.05,979.05,285800,193.23
2015-09-03,979.05,1003,977.75,988.95,288200,195.19
2015-09-04,989.95,989.95,917.1,935.05,293100,184.55
2015-09-07,959,959,875,881.15,371000,173.91
2015-09-08,883,894.05,721.4,820.05,1512900,161.85
2015-09-09,831.2,874.95,815,835.7,368300,164.94
2015-09-10,815.95,860,787.95,844,656800,166.58
2015-09-11,860.05,926.95,849,916.25,508300,180.84
2015-09-14,916,924,869.25,896.45,391800,176.93
2015-09-15,897.65,918.65,880.5,888.5,231800,175.36
2015-09-16,896.85,913,885.3,899.25,287300,177.48
2015-09-17,899.25,899.25,899.25,899.25,0,177.48
2015-09-18,914,975,910.05,965.35,599300,190.53
2015-09-21,959.8,994,906.95,977.5,346600,192.93
2015-09-22,998,998,911.05,927.25,411700,183.01
2015-09-23,935,969.85,923,937.65,238000,185.06
2015-09-24,940,947.5,928,929.65,232600,183.48
2015-09-25,929.65,929.65,929.65,929.65,0,183.48
2015-09-28,934.9,934.9,904.5,908.05,168000,179.22
2015-09-29,899,928.95,881,896.1,233100,176.86
2015-09-30,912.7,926.6,901,912.6,156700,180.12
2015-10-01,923.9,923.9,902.6,912.15,153200,180.03
2015-10-02,912.15,912.15,912.15,912.15,0,180.03
2015-10-05,922.9,940,910.1,920.95,363800,181.76
2015-10-06,931.95,937,910,913.7,137600,180.33
2015-10-07,914.05,935,890,906.2,288900,178.85
2015-10-08,927,927,884,894.05,170200,176.46
2015-10-09,900.05,913,885,901.4,240700,177.91
2015-10-12,924.9,924.9,892.65,895.7,290000,176.78
2015-10-13,894.95,900,867,885.4,253200,174.75
2015-10-14,876,914.3,870,909.1,166700,179.43
2015-10-15,913,919,891.9,900.4,173800,177.71
2015-10-16,900,907.7,884.15,891.05,136200,175.86
