"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2016-11-11,155.1,162.7,148,150.05,1164700,149.69
2016-11-14,150.05,150.05,150.05,150.05,0,149.69
2016-11-15,150.25,155,138.3,142.45,247000,142.11
2016-11-16,146,146,135,140.9,272400,140.56
2016-11-17,140,143.85,138.65,141.45,206000,141.11
2016-11-18,141.4,149.7,137.8,147.3,219500,146.94
2016-11-21,147.75,150,137.35,141.4,268700,141.06
2016-11-22,143,146.2,139.5,144.95,698300,144.6
2016-11-23,144,147.95,142.5,144.9,287000,144.55
2016-11-24,146,146,135.35,136.8,493100,136.47
2016-11-25,136.95,143.55,135.3,142.65,589300,142.3
2016-11-28,144.85,161.4,143,155.35,1286400,154.97
2016-11-29,156.7,159.8,153,154.95,574500,154.58
2016-11-30,156.2,158,155,156.1,356500,155.72
2016-12-01,156.4,158.4,152.4,154,353900,153.63
2016-12-02,152.4,155,151.5,152.85,151600,152.48
2016-12-05,152,158.6,151.95,153.6,527100,153.23
2016-12-06,154.1,157.5,152.65,156.6,438700,156.22
2016-12-07,157.1,167.4,157.1,158.9,1481000,158.52
2016-12-08,160.5,163.95,159.65,162.95,527800,162.56
2016-12-09,164.7,166.45,161.6,164.65,498500,164.25
2016-12-12,163.3,163.5,158,158.65,231500,158.27
2016-12-13,158.3,162.55,158.25,160.2,156400,159.81
2016-12-14,160.4,162.95,158.5,160.6,210700,160.21
2016-12-15,159,164.9,158.55,162.7,644600,162.31
2016-12-16,163.2,166,159.25,162.1,819100,161.71
2016-12-19,162.4,162.9,160.05,160.7,209400,160.31
2016-12-20,161,162.15,156.6,157.2,345500,156.82
2016-12-21,158.1,160.95,156.45,158.65,294100,158.27
2016-12-22,157.7,160.2,153.55,155.4,286000,155.02
2016-12-23,154.4,161.25,152.8,158.35,445400,157.97
2016-12-26,157.6,158.3,152.3,152.95,230900,152.58
2016-12-27,153.25,155.9,147.2,154.6,336300,154.23
2016-12-28,155,160.3,154.55,158,393000,157.62
2016-12-29,157.7,164.8,154.5,163.15,672400,162.76
2016-12-30,165,166.9,161.8,163.65,328500,163.25
2017-01-02,163.65,170.45,162.55,169.75,442600,169.34
2017-01-03,171.45,174,170,172.2,723600,171.78
2017-01-04,172.35,173.9,165.25,166.3,408300,165.9
2017-01-05,168,168.7,162,163.35,717700,162.95
2017-01-06,163.35,168.25,160.05,160.95,557900,160.56
2017-01-09,162.85,165.85,161.15,163.85,361800,163.45
2017-01-10,164.2,164.95,162.2,164,314500,163.6
2017-01-11,164.25,165.95,163.15,165.25,218500,164.85
2017-01-12,165.5,171.55,162.1,170.4,590400,169.99
2017-01-13,172,174,168.55,173.55,610800,173.13
2017-01-16,173.55,184.3,172.1,182.55,1201200,182.11
2017-01-17,182,183.25,177.9,179.9,424200,179.46
2017-01-18,179,186.3,179,182.75,623600,182.31
2017-01-19,182.3,185.5,177.45,180.4,508500,179.96
2017-01-20,179.4,182.55,175.05,175.55,337000,175.13
2017-01-23,175,177.4,171.8,172.55,447300,172.13
2017-01-24,173,176,173,174.85,319600,174.43
2017-01-25,174.95,180.65,174.9,179.7,1037000,179.27
2017-01-26,179.7,179.7,179.7,179.7,0,179.27
2017-01-27,178,189.2,177.7,186.55,1221400,186.1
2017-01-30,187.9,189.2,182.65,186.55,347000,186.1
2017-01-31,185.9,185.9,178.85,179.85,235500,179.41
2017-02-01,180,183.4,173.6,182.8,428400,182.36
2017-02-02,185.7,189.45,182,187.15,471500,186.7
2017-02-03,186.1,192.15,186.1,189.05,549700,188.59
2017-02-06,189.75,190.5,184.45,185.8,757700,185.35
2017-02-07,186.65,187.8,182.05,184.25,219500,183.8
2017-02-08,184,185.4,179.55,181.7,415100,181.26
2017-02-09,182.5,185.45,179.95,181.65,624700,181.21
2017-02-10,182.25,183.95,180.55,181.6,245900,181.16
2017-02-13,175,175,163.5,169.05,2106100,168.64
2017-02-14,170,171.95,166.6,169.85,561400,169.44
2017-02-15,170,171.9,162.9,165.35,999000,164.95
2017-02-16,165.8,167.25,160.8,164.15,544000,163.75
2017-02-17,165.65,166.6,162.7,164.25,392000,163.85
2017-02-20,164.8,165.35,162.5,163.65,445100,163.25
2017-02-21,164,169.95,163.9,165.3,869000,164.9
2017-02-22,165.4,167.05,160.65,161.85,422500,161.85
2017-02-23,162.8,162.8,159,159.55,499400,159.55
2017-02-24,159.55,159.55,159.55,159.55,0,159.55
2017-02-27,159,165.8,159,164.1,491500,164.1
2017-02-28,164.95,166.8,162,162.45,379700,162.45
2017-03-01,162.65,164.45,161,161.9,371700,161.9
2017-03-02,162.05,163.35,158.1,159.7,767400,159.7
2017-03-03,159.1,163.95,158,163.4,419500,163.4
2017-03-06,164.2,171,163.2,169.6,1288100,169.6
2017-03-07,172,172.55,166,170.5,785000,170.5
2017-03-08,170,171,166.6,168.65,457200,168.65
2017-03-09,167.7,174.15,164.6,170.35,706100,170.35
2017-03-10,171,177.1,171,175,1367300,175
2017-03-13,175,175,175,175,0,175
2017-03-14,178.5,179.7,174.3,176.8,455900,176.8
2017-03-15,176.95,198.7,175.5,189.2,4363800,189.2
2017-03-16,188.3,194,187.5,189.2,2082300,189.2
2017-03-17,188.4,190.5,183.05,185.65,935200,185.65
2017-03-20,185.65,192,183.6,189.05,1520800,189.05
2017-03-21,189.8,194.4,187.3,189.1,1836100,189.1
2017-03-22,188.05,199.5,187.15,195.45,6099800,195.45
2017-03-23,195,199.15,195,196.4,2324900,196.4
2017-03-24,197.9,205,196.3,202.95,2794000,202.95
2017-03-27,203.3,203.3,196.05,197.95,1490600,197.95
2017-03-28,201,201.35,197.45,198.15,670200,198.15
2017-03-29,198.5,200.5,195.65,197.3,1131400,197.3
2017-03-30,197,199.9,194,195.85,1966400,195.85
2017-03-31,196.1,199.4,195.6,197.45,905300,197.45
2017-04-03,197.45,200.8,196.1,199.65,1070100,199.65
2017-04-04,199.65,199.65,199.65,199.65,0,199.65
2017-04-05,200.55,201.65,198.5,199.5,1968600,199.5
2017-04-06,199.5,201,195.55,197.9,1065400,197.9
2017-04-07,197.75,201.2,194.3,195.5,1342200,195.5
2017-04-10,195.6,198.25,195.1,195.95,1351900,195.95
2017-04-11,196.95,198.8,195.8,196.85,1391400,196.85
2017-04-12,196.5,198.4,189.45,197.7,1018900,197.7
2017-04-13,197,197.95,192.4,193.6,777900,193.6
2017-04-14,193.6,193.6,193.6,193.6,0,193.6
2017-04-17,193,194.9,191.4,192.5,444100,192.5
2017-04-18,197.9,198,187,188.5,924300,188.5
2017-04-19,188,194.85,188,193.75,501000,193.75
2017-04-20,194,197.9,191.8,194.85,1066300,194.85
2017-04-21,195.15,196.9,191.4,192.65,621000,192.65
