"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2015-04-06,34.35,34.4,33.5,33.95,1926000,31.59
2015-04-07,34.1,34.2,33.25,33.85,3408100,31.5
2015-04-08,34,35.35,33.9,34.9,6520900,32.47
2015-04-09,35.15,35.6,34.7,35.3,3492200,32.84
2015-04-10,35.55,36,35.45,35.7,3087300,33.22
2015-04-13,35.7,36.45,35.6,36.05,2444400,33.54
2015-04-14,36.05,36.05,36.05,36.05,0,33.54
2015-04-15,36.05,37.15,35.8,36,4028600,33.5
2015-04-16,36,36.3,35.1,35.4,2731100,32.94
2015-04-17,35.4,36.05,35.2,35.45,2677300,32.98
2015-04-20,35.05,35.5,33.9,34.1,2439400,31.73
2015-04-21,34.05,34.75,33.9,34.05,2111100,31.68
2015-04-22,34.2,34.4,33.5,34.15,1975400,31.77
2015-04-23,34.4,34.6,33.6,33.9,2014600,31.54
2015-04-24,34,34.35,33.5,33.9,2178200,31.54
2015-04-27,33.95,33.95,32.05,32.35,2515700,30.1
2015-04-28,32.25,32.8,30.9,32.05,8015100,29.82
2015-04-29,32.1,33.2,31.85,32.55,3930700,30.29
2015-04-30,32,33.9,32,33.55,4910200,31.22
2015-05-01,33.55,33.55,33.55,33.55,0,31.22
2015-05-04,33.85,34.35,33.6,34.15,2481100,31.77
2015-05-05,34.2,34.4,33.85,34.05,2239600,31.68
2015-05-06,34,34.1,31.8,32,4405700,29.77
2015-05-07,31.8,32.1,28.8,29.8,9429700,27.73
2015-05-08,30.15,31.5,30.15,31.05,5655700,28.89
2015-05-11,31.45,31.9,30.6,31.45,5061900,29.26
2015-05-12,31.45,31.5,29.9,30.25,5558200,28.15
2015-05-13,30.45,31.15,29.85,30.65,6807300,28.52
2015-05-14,30.7,31.65,30.15,31.45,3905700,29.26
2015-05-15,31.45,31.75,30.7,31.05,3132800,28.89
2015-05-18,30.95,31.5,30.85,31.35,2855600,29.17
2015-05-19,31.25,31.85,31.25,31.4,1814400,29.22
2015-05-20,31.55,31.7,30.95,31.05,2172500,28.89
2015-05-21,31.15,31.4,31,31.3,1790400,29.12
2015-05-22,31.3,31.4,30.85,31,1726600,28.84
2015-05-25,31,31.9,30.85,31.4,2960100,29.22
2015-05-26,31.65,31.7,29.75,30.8,7509900,28.66
2015-05-27,30.15,31.05,30.15,30.8,4554200,28.66
2015-05-28,30.7,31,30.55,30.85,2964600,28.7
2015-05-29,30.9,31.3,30.75,31,1994500,28.84
2015-06-01,30.9,31.1,30.3,30.8,5416000,28.66
2015-06-02,30.7,30.9,29.6,29.7,3399000,27.63
2015-06-03,29.75,29.95,25.75,27.65,7523500,25.73
2015-06-04,27.75,28.1,26.6,27.3,6791600,25.4
2015-06-05,27.3,27.35,26.7,26.9,4787800,25.03
2015-06-08,27.05,27.05,25.6,25.75,7327800,23.96
2015-06-09,25.7,26.2,25.4,25.65,4055400,23.87
2015-06-10,25.7,26.1,25,25.1,9405200,23.35
2015-06-11,25.4,25.6,24.8,24.95,4834700,23.21
2015-06-12,25.15,26.15,24.8,26.05,4912700,24.24
2015-06-15,25.85,26,25.35,25.7,3048000,23.91
2015-06-16,25.6,26.25,25.3,26.05,3386800,24.24
2015-06-17,26.3,26.4,25.95,26.1,2486400,24.28
2015-06-18,26.15,26.8,26,26.35,2995900,24.52
2015-06-19,26.55,26.65,26.15,26.4,1988700,24.56
2015-06-22,26.65,27.45,26.4,27.25,4795800,25.35
2015-06-23,27.25,27.25,26.4,26.7,4324700,24.84
2015-06-24,26.75,27.2,26.45,26.7,4825300,24.84
2015-06-25,26.5,27.05,26.3,26.8,7471500,24.94
2015-06-26,26.7,26.8,26,26.3,4420000,24.47
2015-06-29,25.95,26.2,25.15,25.85,6355800,24.05
2015-06-30,25.4,26.1,25.4,25.8,3821900,24.01
2015-07-01,25.95,26.85,25.75,26.65,4499700,24.8
2015-07-02,26.75,26.85,26.1,26.35,3620400,24.52
2015-07-03,26.3,26.7,26,26.15,3052400,24.33
2015-07-06,25.8,27.05,25.5,26.9,4523300,25.03
2015-07-07,27,27.35,26.7,26.95,4698100,25.08
2015-07-08,26.6,26.75,25.95,26.55,5516300,24.7
2015-07-09,26.4,27.25,26.25,26.85,3946300,24.98
2015-07-10,26.9,27.15,26.35,26.75,4965100,24.89
2015-07-13,26.7,27.85,26.6,27.55,7489500,25.63
2015-07-14,27.35,28.05,27.2,27.5,5538500,25.59
2015-07-15,27.5,27.55,26.35,26.4,10170900,24.56
2015-07-16,26.4,27,26.2,26.6,9032200,24.75
2015-07-17,26.75,26.8,26.05,26.2,4983900,24.38
2015-07-20,26.35,26.35,25.4,25.55,7165900,23.77
