"Date","KSCL.NS.Open","KSCL.NS.High","KSCL.NS.Low","KSCL.NS.Close","KSCL.NS.Volume","KSCL.NS.Adjusted"
2015-03-26,1023.8,1043,980,987.85,99200,971.4
2015-03-27,973.85,1049,973.85,1037.55,89000,1020.27
2015-03-30,1039.9,1055,990,1004.7,60100,987.97
2015-03-31,1012.8,1028,975.2,984.85,118800,968.45
2015-04-01,999.75,1029.95,990,1016.25,71300,999.32
2015-04-02,1016.25,1016.25,1016.25,1016.25,0,999.32
2015-04-03,1016.25,1016.25,1016.25,1016.25,0,999.32
2015-04-06,1022,1022,981.1,1007.95,33000,991.16
2015-04-07,1000,1018,990.85,1008.45,33900,991.65
2015-04-08,1008.45,1035.55,1001.05,1004.15,60200,987.43
2015-04-09,1009,1024,994.2,1017.45,38200,1000.5
2015-04-10,1017,1020,1006.2,1014.3,112600,997.41
2015-04-13,1020,1060,1014.95,1040.55,123300,1023.22
2015-04-14,1040.55,1040.55,1040.55,1040.55,0,1023.22
2015-04-15,1040,1054.05,999.05,1006.75,99000,989.98
2015-04-16,1010,1019.95,978.25,994.6,106600,978.03
2015-04-17,996.6,999,970,975.45,30000,959.2
2015-04-20,975.45,989.95,945.05,959.15,26100,943.18
2015-04-21,959.15,979.8,949.05,953.7,27500,937.82
2015-04-22,959.9,965,935.2,949.55,59100,933.74
2015-04-23,963.8,974.2,949.55,963.6,64600,947.55
2015-04-24,964,964,906,908.7,96200,893.57
2015-04-27,912,912,850.05,873.7,239800,859.15
2015-04-28,873,873,832.25,851.45,91700,837.27
2015-04-29,864.45,897,852.35,882.4,48000,867.7
2015-04-30,888.35,888.35,812.25,837.1,220000,823.16
2015-05-01,837.1,837.1,837.1,837.1,0,823.16
2015-05-04,852,870,840.6,866,47100,851.58
2015-05-05,865,865,840,843.7,40600,829.65
2015-05-06,858.3,887,825.55,837.65,132200,823.7
2015-05-07,834.95,837,815,821.15,40500,807.47
2015-05-08,832,838.1,820,826.6,26600,812.83
2015-05-11,830,847,822.35,833.7,36200,819.81
2015-05-12,833.75,837,815.4,818.85,29700,805.21
2015-05-13,821,870,821,850.1,53700,835.94
2015-05-14,848.05,876,842.25,857.7,36900,843.42
2015-05-15,867.95,871,855.5,861.8,26300,847.45
2015-05-18,867.55,869.8,850.6,863.1,27500,848.73
2015-05-19,857.3,878,852,858.25,37500,843.96
2015-05-20,856,869.95,855.05,864.45,22400,850.05
2015-05-21,862.35,866.8,841.25,854.05,19500,839.83
2015-05-22,857.65,868,854.95,858.9,19000,844.6
2015-05-25,875,875,845.15,853.95,23500,839.73
2015-05-26,861,861,808.8,830.6,103200,816.77
2015-05-27,829.45,883,810,850.4,106700,836.24
2015-05-28,863.85,893.1,853.05,889.2,109500,874.39
2015-05-29,902.7,934.7,902,923.95,250400,908.56
2015-06-01,919.9,988.85,903.2,935.15,237600,919.58
2015-06-02,934,938.95,885,896.35,129100,881.42
2015-06-03,881,885.15,816.4,849.15,121300,835.01
2015-06-04,856,875.5,829.9,855.55,87600,841.3
2015-06-05,859.8,888.4,855.75,876.3,79200,861.71
2015-06-08,875.8,879.55,853.2,864.65,108400,850.25
2015-06-09,858.7,895.9,840.25,881.65,110500,866.97
2015-06-10,876,887.05,831.15,835.8,169700,821.88
2015-06-11,837.35,854,793.7,805,138700,791.59
2015-06-12,806,810.8,761.05,782.45,134600,769.42
2015-06-15,817,822.4,798,814.6,320800,801.03
2015-06-16,810,828,797.55,817.05,169400,803.44
2015-06-17,818,820,792.05,801.9,115500,788.54
2015-06-18,807.75,807.75,785.1,799.35,197400,786.04
2015-06-19,807.95,808,799.1,800.95,112100,787.61
2015-06-22,803.5,812.45,793,795.95,235300,782.69
2015-06-23,804.8,812.5,790.55,796.45,219700,783.19
2015-06-24,802,803,781.65,785,93200,771.93
2015-06-25,784,792,772.9,780.05,223300,767.06
2015-06-26,790,790,748,763.65,372200,750.93
2015-06-29,757,786,730,752.35,334200,739.82
2015-06-30,751,760.95,731.85,736.1,297300,723.84
2015-07-01,740,748,719,732.85,1118500,720.64
2015-07-02,731.95,758,725,736.5,846600,724.23
2015-07-03,737.95,744,725.25,727.95,288200,715.83
2015-07-06,727.5,744,714.05,739.3,530300,726.99
2015-07-07,745,761.5,741.1,743.45,358500,731.07
2015-07-08,743.45,753,725.1,746.85,356400,734.41
2015-07-09,748,758.95,723.8,728.6,482800,716.47
2015-07-10,732,739.8,728.55,731.85,194800,719.66
2015-07-13,740,743,718.5,731.85,237900,719.66
2015-07-14,735.5,736.9,724.8,730.35,132900,718.19
2015-07-15,738,773.9,735,758.4,651400,745.77
2015-07-16,768.1,777.5,760.1,763.6,355100,750.88
2015-07-17,767,773.75,754,759.15,157300,746.51
2015-07-20,765,766.7,758,761.1,82300,748.42
2015-07-21,765,782,746,751.8,291700,739.28
2015-07-22,752.25,765.65,751.2,757.65,154600,745.03
2015-07-23,760,764.8,750.25,752.1,146100,739.57
2015-07-24,752.1,763.5,746,748.95,156100,736.48
2015-07-27,753.3,753.3,714.15,721,125700,708.99
2015-07-28,720,735,707,717.5,262500,705.55
2015-07-29,717,735,714.05,725.7,125400,713.61
2015-07-30,726.2,740.7,726.2,732.15,251600,719.96
2015-07-31,734,751,734,744.8,187900,732.4
2015-08-03,750.55,760,741.7,748.5,107800,736.03
2015-08-04,749.9,756.4,732.55,735.45,104500,723.2
2015-08-05,737.9,755,733.25,744.95,213800,732.54
2015-08-06,748.9,749,735,737.15,106900,724.87
2015-08-07,738,765.85,730.1,754.9,371200,742.33
2015-08-10,761.55,770,737,741.05,259200,728.71
2015-08-11,741,746.95,716.5,720.2,221000,708.21
2015-08-12,717,721.6,640.35,668.8,532100,657.66
2015-08-13,675,703.7,615.5,629.25,1171200,618.77
2015-08-14,629,647.75,587.5,597.1,1082100,587.16
2015-08-17,593.8,594.55,483.75,497.45,4208100,489.16
2015-08-18,513.7,544.8,505.8,524.35,2368000,515.62
2015-08-19,529.95,531.45,481,492.65,1560200,484.44
2015-08-20,495,515,427.3,485.2,3499700,477.12
2015-08-21,471,483.9,441,468.6,1761900,460.8
2015-08-24,420,450,417,422.6,1186900,417.79
2015-08-25,423.1,459.55,401.25,448.6,954800,443.49
2015-08-26,451.95,491.45,434.5,471,1564100,465.64
2015-08-27,476,499.8,476,493.5,1239700,487.88
2015-08-28,506.35,513.9,481.7,489.15,925500,483.58
2015-08-31,487,498,469.65,490.95,531800,485.36
2015-09-01,488,492.8,472.25,478.45,403700,473
2015-09-02,480.55,489.15,473,474.8,229200,469.4
2015-09-03,480,483.8,432.6,446.85,829800,441.76
2015-09-04,449.85,465,427.7,458.65,1175400,453.43
2015-09-07,458.75,469,446.5,459.5,543300,454.27
2015-09-08,460.5,464.55,434.05,442.35,421100,437.32
2015-09-09,445.1,452.25,438,443.75,446100,438.7
2015-09-10,432.05,447,431.15,445,236300,439.94
2015-09-11,451,462.2,443,446.9,293400,441.81
2015-09-14,445,462,439.2,459.85,428700,454.62
2015-09-15,461.1,486.65,461.1,464.95,652900,459.66
2015-09-16,474.8,479.65,450.05,451.85,378400,446.71
2015-09-17,451.85,451.85,451.85,451.85,0,446.71
2015-09-18,455.1,460.95,434.3,444.3,901100,439.24
2015-09-21,441.45,447.8,436,443.25,284900,440.69
2015-09-22,447.85,449,428.05,432.05,286800,429.55
2015-09-23,425,437,421.05,424.05,322800,424.05
2015-09-24,424.1,429.85,418.5,427.1,522500,427.1
2015-09-25,427.1,427.1,427.1,427.1,0,427.1
2015-09-28,431.9,438,426.05,431.8,296900,431.8
2015-09-29,428,433.5,424.5,426.25,207300,426.25
2015-09-30,431,431.5,421.75,423.95,148300,423.95
2015-10-01,430.8,435.25,425.1,427.85,170200,427.85
2015-10-02,427.85,427.85,427.85,427.85,0,427.85
2015-10-05,432,434.8,426.25,429.65,139300,429.65
2015-10-06,433.8,469.8,428.1,465.05,1031800,465.05
2015-10-07,469,480.75,468,471.8,555700,471.8
2015-10-08,472,480.9,457,465.45,473400,465.45
2015-10-09,469.95,478,465.1,471.75,305000,471.75
2015-10-12,472.8,489,469,477.5,460000,477.5
2015-10-13,473,498,473,493.2,392000,493.2
2015-10-14,494.95,502.9,482.1,491,503000,491
2015-10-15,489,489,472.1,475,285700,475
2015-10-16,465.1,484.9,459.2,463.3,358500,463.3
2015-10-19,460.3,494.8,460.3,492.2,612700,492.2
2015-10-20,494.95,496.65,480.55,485.55,188900,485.55
2015-10-21,488.75,508.95,488.65,496.95,557900,496.95
2015-10-22,496.95,496.95,496.95,496.95,0,496.95
2015-10-23,500.95,504.6,494.35,500.95,243100,500.95
2015-10-26,504.8,522.8,497.1,517.4,558700,517.4
2015-10-27,519,539.8,515,535.05,826600,535.05
2015-10-28,534.9,543.6,507.05,517.8,630100,517.8
2015-10-29,518,529.05,511.05,525.7,450800,525.7
2015-10-30,528.8,528.8,501.05,505.35,193400,505.35
2015-11-02,505.2,510,471.4,481.25,563500,481.25
