"Date","COALINDIA.NS.Open","COALINDIA.NS.High","COALINDIA.NS.Low","COALINDIA.NS.Close","COALINDIA.NS.Volume","COALINDIA.NS.Adjusted"
2015-06-05,392.05,409.75,392.05,405.35,9218900,348.56
2015-06-08,406.35,413.95,399.4,400.95,6610200,344.77
2015-06-09,398.95,404,395.15,401.3,3662600,345.08
2015-06-10,401.7,406.8,401.25,404.9,4448300,348.17
2015-06-11,406.3,409,399,400.1,3080400,344.04
2015-06-12,400.1,401,393.6,396.1,3609400,340.6
2015-06-15,397.85,399,391.95,394.3,4389800,339.06
2015-06-16,395,398.5,393.4,397.35,5719100,341.68
2015-06-17,399,402.7,396.75,398.1,4690100,342.32
2015-06-18,402.3,402.3,392.6,394.55,2862600,339.27
2015-06-19,397,399.3,391.6,393.65,2788800,338.5
2015-06-22,395.55,403.8,395.55,399.7,3765600,343.7
2015-06-23,400.4,419.75,399.7,415.4,6294000,357.2
2015-06-24,418.9,421.5,408.75,412.3,5522300,354.53
2015-06-25,410.9,414.1,409.05,411.35,6149500,353.72
2015-06-26,411.4,416,408,411.4,2521000,353.76
2015-06-29,408.75,414.25,399.4,407.7,2017800,350.58
2015-06-30,409.8,422.6,409.45,421.25,9240000,362.23
2015-07-01,422.55,429.3,422,425.5,7247000,365.88
2015-07-02,426.45,427.45,419.5,424.05,4018000,364.64
2015-07-03,424.05,424.5,415,417.5,2469500,359.01
2015-07-06,415,422.6,413.7,419.75,4931600,360.94
2015-07-07,420.75,430.7,419.2,428.9,5529000,368.81
2015-07-08,427.25,427.8,414.5,417.15,5123400,358.7
2015-07-09,420,422.7,416.45,417.15,2934600,358.7
2015-07-10,421,425,418.7,419.95,3748100,361.11
2015-07-13,421.95,422,416.1,419.95,2023400,361.11
2015-07-14,421.4,435.45,420.1,434.15,6061800,373.32
2015-07-15,439,440.8,435.6,436.65,3890000,375.47
2015-07-16,438.4,441.2,437,438.3,2685400,376.89
2015-07-17,438.4,438.45,429,430.15,1939100,369.88
2015-07-20,432,432,423.9,425.45,3351200,365.84
2015-07-21,428.75,432.5,424.25,428.65,3572100,368.59
2015-07-22,426.25,433.65,426.25,432.35,3028500,371.78
2015-07-23,434.6,437,430.2,431.5,3970300,371.04
2015-07-24,430.5,434.8,425,426.05,4240500,366.36
2015-07-27,426.45,426.65,419.75,423.6,6244000,364.25
2015-07-28,424.95,427.45,417.5,420.85,4224300,361.89
2015-07-29,421.3,424,418.2,420.15,5348600,361.28
2015-07-30,421.65,424,417.2,420.35,7044400,361.46
2015-07-31,425.5,442.8,424.2,439.05,5559400,377.54
2015-08-03,441,442.45,428.6,431.7,2794100,371.22
2015-08-04,435,444.5,431.2,443.4,4990800,381.28
2015-08-05,445,447.1,436.6,438.5,3410300,377.06
2015-08-06,437.05,439.9,430.45,431.4,4162200,370.96
2015-08-07,430.8,434.1,412.15,414.7,7480700,356.6
2015-08-10,417.9,418.05,405.75,407.95,5571800,350.79
2015-08-11,409.5,410,390.35,392.7,8619900,337.68
2015-08-12,394.8,394.8,362.2,371.4,14392500,319.36
2015-08-13,371.9,378.9,365,377.05,7986900,324.22
2015-08-14,377,381.9,373.5,377.55,2980700,324.65
2015-08-17,379.95,381.8,374.4,379.85,2719100,326.63
2015-08-18,380.6,383.6,359.6,364.15,7856800,313.13
2015-08-19,363.6,365.4,354.5,355.65,4342600,305.82
2015-08-20,356.05,361.3,348.25,349.85,4973800,300.83
2015-08-21,347.9,353.05,345.5,348.65,3733600,299.8
2015-08-24,340,343.9,332.45,336.6,9826500,289.44
2015-08-25,341.1,355,340.55,353.6,8086600,304.06
2015-08-26,352.7,362.75,349.7,358.15,4958000,307.97
2015-08-27,362.9,366.4,354.85,361.85,11449900,311.15
2015-08-28,367,367,354.7,357.55,4320700,307.45
2015-08-31,355.95,367.95,351.3,366.35,4502800,315.02
2015-09-01,362,365.5,346.25,354.7,3454700,305
2015-09-02,357,359.2,342.05,344.35,4050900,296.1
2015-09-03,346.25,351.45,339.6,345.3,3216200,296.92
2015-09-04,345,349.3,338,347.5,3506400,298.81
2015-09-07,351.9,351.9,336,337.45,3456000,290.17
2015-09-08,338,340.5,335,337.35,5328800,290.09
2015-09-09,343.8,343.8,337.5,338.95,6479300,291.46
2015-09-10,336.8,340.5,334.1,338.35,3799200,290.95
2015-09-11,340,340.7,333,333.85,1813800,287.08
2015-09-14,335,340.45,331.05,339.3,2800100,291.76
2015-09-15,340,340.7,336.15,338.05,3505800,290.69
2015-09-16,339.9,340.6,336.2,337.45,8157100,290.17
2015-09-17,337.45,337.45,337.45,337.45,0,290.17
2015-09-18,341,345,338.4,343.35,6337300,295.24
2015-09-21,342,343.5,338.5,342.2,3328700,294.26
2015-09-22,344,344.75,322.25,323.6,3776300,278.26
2015-09-23,321,330,317.6,327.8,3327500,281.87
2015-09-24,327.3,328.1,316,318.4,5936300,273.79
2015-09-25,318.4,318.4,318.4,318.4,0,273.79
2015-09-28,321.5,321.5,307.55,308.85,7962400,265.58
2015-09-29,306.85,317.2,300.8,315.4,7414200,271.21
2015-09-30,318,329.1,316.2,327.6,7806100,281.7
2015-10-01,329.55,330.35,324.5,328.35,2815800,282.35
2015-10-02,328.35,328.35,328.35,328.35,0,282.35
2015-10-05,330,333.2,323.7,329.75,3601800,283.55
2015-10-06,333,344.05,329.2,342.7,4666600,294.69
2015-10-07,342.95,348.9,339.6,346.25,3319300,297.74
2015-10-08,346.4,348.7,343.35,346.2,2394700,297.7
2015-10-09,348,348.75,334.55,335.85,3407800,288.8
2015-10-12,337,340,332,334.4,2260800,287.55
2015-10-13,332,341.8,331.5,340.35,1960500,292.66
2015-10-14,339.9,339.9,334.1,334.75,1985300,287.85
2015-10-15,336.25,343.4,333,341.4,2765900,293.57
2015-10-16,342.7,342.8,335.25,338.6,2787000,291.16
2015-10-19,338.6,340.4,335.6,337.8,1741500,290.47
2015-10-20,338,338.5,334,334.95,1736600,288.02
2015-10-21,335.1,339.7,333.85,337.25,7302100,290
2015-10-22,337.25,337.25,337.25,337.25,0,290
2015-10-23,340,343.8,338.5,341.9,2219800,294
2015-10-26,344.4,344.7,332.1,333.4,3866000,286.69
2015-10-27,333.5,335.1,328.1,332.3,3829300,285.74
2015-10-28,330.8,335,327.2,330.2,3432000,283.94
2015-10-29,330.15,332,320.75,321.8,7634700,276.71
2015-10-30,321.1,326.5,318.75,319.9,3556400,275.08
2015-11-02,320,326,316.55,325,2024700,279.47
2015-11-03,326.9,327.95,324.8,325.85,1681500,280.2
2015-11-04,327.1,331.35,325.15,330.45,2142100,284.15
2015-11-05,330.9,339.45,328.35,337.1,3740900,289.87
2015-11-06,338.8,345,333,342.2,3849700,294.26
2015-11-09,335,341,332.5,339.6,2613100,292.02
2015-11-10,336.6,337.75,323.5,326.05,2215300,280.37
2015-11-11,326.05,326.05,326.05,326.05,0,280.37
2015-11-12,326.05,326.05,326.05,326.05,0,280.37
2015-11-13,331.1,341.5,328.95,337.7,6657700,290.39
2015-11-16,334.45,336.95,326.65,330.75,4014100,284.41
2015-11-17,331,334.5,330.05,332.35,1859900,285.79
2015-11-18,333.1,339.6,327.75,335.05,6900500,288.11
2015-11-19,335.5,336.7,330.05,333.7,3658400,286.95
2015-11-20,333.7,337.6,331.9,333.3,1647900,286.6
2015-11-23,334,334,330.65,332.2,2979800,285.66
2015-11-24,332.8,336.5,330.7,332.4,4012500,285.83
2015-11-25,332.4,332.4,332.4,332.4,0,285.83
2015-11-26,331.95,341.55,331.65,335.8,5909600,288.75
2015-11-27,337.45,338.75,334.25,336.5,2109900,289.35
2015-11-30,335.9,337.25,329.55,330.55,4387000,284.24
2015-12-01,331.1,343,331.1,341.55,3623100,293.7
2015-12-02,344.4,346.55,337.5,338.35,2168100,290.95
2015-12-03,337.5,341,334.2,334.8,1780500,287.89
2015-12-04,334,338.65,332,335.25,2023800,288.28
2015-12-07,336.15,338,325.5,327.55,2915000,281.66
2015-12-08,324.9,327,316.85,318,3247700,273.45
2015-12-09,316,324,306,307.6,3961400,264.5
2015-12-10,309.8,312.2,307.85,310.95,3494400,267.38
2015-12-11,311.05,312,306.25,307.75,1918900,264.63
2015-12-14,306,317.65,305,316.15,2456400,271.86
2015-12-15,318.4,318.45,312.55,314.55,1937900,270.48
2015-12-16,316.9,319.4,312,316.8,2194000,272.41
2015-12-17,316.5,318.75,313.6,316.05,4540300,271.77
2015-12-18,316.55,318.75,314.5,316.35,3328900,272.03
2015-12-21,316.35,324.25,316,319.3,2328600,274.56
2015-12-22,319.45,321.9,316.5,319.1,1619100,274.39
2015-12-23,320.5,323.8,319.45,322.5,1438700,277.32
2015-12-24,325.65,328.4,321.4,322.3,1548500,277.14
2015-12-25,322.3,322.3,322.3,322.3,0,277.14
2015-12-28,322.95,326.85,322.1,325.5,2159100,279.9
2015-12-29,325.55,326.5,319.6,321.75,2318300,276.67
