"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2015-04-23,906,911,888.55,892.65,815800,888.7832
2015-04-24,893,909.7,885,896.4,1259800,892.5169
2015-04-27,900.1,905.9,862,868.95,854100,865.1858
2015-04-28,866,873.6,816,861,1536500,857.2702
2015-04-29,843.35,864,842.4,860.25,546000,856.5235
2015-04-30,858.5,894,842.5,890.3,1091300,886.4433
2015-05-01,890.3,890.3,890.3,890.3,0,886.4433
2015-05-04,905,929.5,888.55,906.6,1397400,902.6727
2015-05-05,908.95,916.85,890.15,897.5,886800,893.6121
2015-05-06,891.95,895,842.7,847.9,1280900,844.227
2015-05-07,852.9,852.9,807,825.9,1350700,822.3223
2015-05-08,830.8,854,830.8,835.8,976900,832.1794
2015-05-11,848,873.4,842.4,868.5,635100,864.7378
2015-05-12,873,877.5,848.9,869.1,657600,865.3351
2015-05-13,876,902,869.55,889,1168600,885.149
2015-05-14,904.95,915.95,885.2,913.65,931200,909.6922
2015-05-15,916.4,918.95,881,898.2,1074300,894.3091
2015-05-18,906,910,890.2,906.7,576900,902.7723
2015-05-19,904.9,914,895.5,899.6,465400,895.703
2015-05-20,922,929,904,907,1543800,903.071
2015-05-21,909.7,913.55,890.55,895.95,705600,892.0689
2015-05-22,902.6,905.45,875.55,885.35,720600,881.5147
2015-05-25,886.7,887.7,870,872.05,257200,868.2724
2015-05-26,875,876.75,858.15,865.95,328500,862.1988
2015-05-27,861.7,865.8,852,862.1,698500,858.3655
2015-05-28,865,868.75,850.5,857.45,647900,853.7356
2015-05-29,867.1,880.6,857,875.3,808700,871.5083
2015-06-01,852.2,870.6,819,866.05,1463100,862.2984
2015-06-02,873.15,884.9,853.05,861.2,1172100,857.4694
2015-06-03,870,870,829.5,853.8,624400,850.1014
2015-06-04,855,859,821.2,834.6,748400,830.9846
2015-06-05,835,859.35,831.45,845.15,922900,841.4889
2015-06-08,849.6,861.25,831.75,855.7,605500,851.9932
2015-06-09,853,857,837.2,849,517000,845.3222
2015-06-10,849.05,868,849.05,857.3,394700,853.5863
2015-06-11,864.9,872.7,860.35,866.1,923200,862.3481
2015-06-12,874,881,852.1,879.6,666000,875.7896
