"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2015-05-20,108,108.5,105.2,106.5,9978600,106.5
2015-05-21,106.7,111.35,106,109.6,17173600,109.6
2015-05-22,109.5,110.4,106.05,106.75,10017700,106.75
2015-05-25,107,108.4,105.55,106.4,8445000,106.4
2015-05-26,106.6,110.5,106.4,110.05,12263000,110.05
2015-05-27,108.6,113.3,108,110.35,10715300,110.35
2015-05-28,110.2,111.15,107.3,110.35,9871900,110.35
2015-05-29,110.75,112.4,108.5,109.3,9014800,109.3
2015-06-01,109.4,111.95,107.8,108.8,8714200,108.8
2015-06-02,109.45,110.25,103.1,104.05,13481000,104.05
2015-06-03,104,104.25,86.55,97.2,42270200,97.2
2015-06-04,97,101.3,90.4,100.4,27380000,100.4
2015-06-05,98.1,102.8,97.1,99.3,18801900,99.3
2015-06-08,99.6,100.2,95.4,98.45,12756300,98.45
2015-06-09,97,98.4,93.3,94.6,15306300,94.6
2015-06-10,94.45,97.4,93.75,95.15,11004200,95.15
2015-06-11,96.45,97.5,89.95,90.65,14254000,90.65
2015-06-12,89,90.6,85.05,88.05,16343700,88.05
2015-06-15,88.95,90.8,86.4,88.2,12475300,88.2
2015-06-16,87.5,89.6,85.25,88.95,10726100,88.95
2015-06-17,89.25,91.9,88.05,90.3,14267500,90.3
2015-06-18,90.55,92.45,90,91.6,10031500,91.6
2015-06-19,92.05,92.8,87.6,88.45,10752200,88.45
2015-06-22,89.15,97.95,88.7,95.6,25821100,95.6
2015-06-23,95.8,96.9,93.7,95,13826100,95
2015-06-24,95,95.45,91,92,8360000,92
2015-06-25,91,93.7,88.8,93.05,13678600,93.05
2015-06-26,92,96.7,88.85,93.7,21328100,93.7
2015-06-29,88.4,92.1,87.6,91.25,15841400,91.25
2015-06-30,90.2,92.95,90.2,92.05,10550600,92.05
2015-07-01,92,94.8,92,93.95,8919600,93.95
2015-07-02,94,95.6,92.2,93.15,9378800,93.15
2015-07-03,93.5,94,90.9,93.2,9355800,93.2
2015-07-06,90.25,95.95,89.75,95.5,14006500,95.5
2015-07-07,95,98.6,94.5,96.45,12830400,96.45
2015-07-08,94.25,95.85,90.55,91.05,15416800,91.05
2015-07-09,91.4,93,90.55,91.4,9073200,91.4
2015-07-10,92.4,93.25,89.3,89.8,9347000,89.8
2015-07-13,90.7,91.7,87.8,91.1,12111300,91.1
2015-07-14,91.05,92.45,89.1,89.85,9281100,89.85
2015-07-15,90,91.6,89.25,89.8,7847200,89.8
2015-07-16,90.3,91.5,89.75,90.15,6686000,90.15
2015-07-17,91,91.9,89.65,89.95,6841700,89.95
2015-07-20,90.8,90.9,87.65,88.55,8776500,88.55
2015-07-21,88.7,90.35,86.5,86.95,11268500,86.95
2015-07-22,86.3,89.65,86.05,88.6,8446800,88.6
2015-07-23,88.6,90.35,88,88.8,7558200,88.8
2015-07-24,89,89.8,87,87.4,6930600,87.4
2015-07-27,87.25,87.9,82.75,83.4,9461000,83.4
2015-07-28,83.5,83.9,78.15,78.65,12966300,78.65
2015-07-29,79.7,80.9,77.7,80,9924800,80
2015-07-30,81,84.55,80.2,83.85,12990200,83.85
2015-07-31,84.05,88.2,82.85,86.15,11341200,86.15
2015-08-03,85.95,88.9,85.35,86.45,8312500,86.45
2015-08-04,86.8,87.5,83.35,85.7,9708900,85.7
2015-08-05,86.35,91.85,86.1,89.5,15818700,89.5
2015-08-06,89.85,91.5,88.6,89.35,9707500,89.35
2015-08-07,89,90.4,87.15,89.05,9977400,89.05
2015-08-10,89.3,91.25,87.2,88.2,10612100,88.2
2015-08-11,89.1,90.6,86.3,86.9,10034000,86.9
2015-08-12,86.2,86.5,78.55,79.25,11349300,79.25
2015-08-13,80.4,82.4,74.15,76.1,13529100,76.1
2015-08-14,78,85.25,75.75,84.65,20613000,84.65
2015-08-17,83.1,84.7,81.4,82.05,9062100,82.05
2015-08-18,82.25,83.2,78.15,79.15,12210600,79.15
2015-08-19,79,80.1,76.8,77.55,9461000,77.55
2015-08-20,76.35,78.4,72.6,73.65,14407800,73.65
2015-08-21,72,74.5,70,72.45,11751200,72.45
2015-08-24,68,68.55,58.1,58.65,15932900,58.65
2015-08-25,61,65.95,57.05,62.8,24400900,62.8
2015-08-26,62.65,64,60.2,61.6,12786800,61.6
2015-08-27,64.4,65,62.05,63.1,18934400,63.1
2015-08-28,65,66.65,57.9,59.9,26350800,59.9
2015-08-31,60,61.25,58.1,59.95,13551900,59.95
2015-09-01,58.7,60.95,57.25,58.2,13906600,58.2
2015-09-02,59.2,60.15,57.3,58.55,12980100,58.55
2015-09-03,59.7,63.85,59.4,61.7,20885000,61.7
2015-09-04,61.1,61.25,54.35,57,24401700,57
2015-09-07,57.7,58.4,55.7,56.1,11872300,56.1
2015-09-08,57,60.2,55.1,58.1,16996600,58.1
2015-09-09,60,61.85,59.3,60.5,13939300,60.5
2015-09-10,58.4,60.1,57.25,59.65,13097400,59.65
2015-09-11,60.45,61.6,59.05,59.5,11908400,59.5
2015-09-14,59.65,61.45,59.1,60.95,8599600,60.95
2015-09-15,61.1,63.15,60.5,61.2,16109200,61.2
2015-09-16,62,62.4,59.25,60.1,10442000,60.1
2015-09-17,60.1,60.1,60.1,60.1,0,60.1
2015-09-18,61.5,65.5,61.3,64.15,21381400,64.15
2015-09-21,62.85,65.45,62.35,65.1,10650200,65.1
2015-09-22,65.5,66.35,61.7,62.2,11792200,62.2
2015-09-23,61.05,64.55,60.75,64,10967400,64
2015-09-24,63.5,64.85,62.7,63.75,7510800,63.75
2015-09-25,63.75,63.75,63.75,63.75,0,63.75
2015-09-28,63.75,69.25,63.6,66.2,19719600,66.2
2015-09-29,64.7,73.7,63.7,72.45,35914400,72.45
2015-09-30,73.3,75.9,71.6,73.65,22375000,73.65
2015-10-01,74.25,74.9,71.8,72.3,12856000,72.3
2015-10-02,72.3,72.3,72.3,72.3,0,72.3
2015-10-05,73.4,74.7,72.5,73.6,9025700,73.6
2015-10-06,74.1,75.7,73.6,74.6,11237300,74.6
2015-10-07,74.4,77.6,73.95,75.85,16845100,75.85
2015-10-08,75.6,76.2,72.8,73.5,9311600,73.5
2015-10-09,75,75.7,73.6,74.5,9442400,74.5
2015-10-12,74.9,76.75,73.15,74.3,9420500,74.3
2015-10-13,74.5,77,74.35,76.65,10265000,76.65
2015-10-14,76.35,79.3,75.8,76.4,10747900,76.4
2015-10-15,77,78,76.35,77.1,5119400,77.1
2015-10-16,76.35,77.8,75.55,77.45,7810700,77.45
2015-10-19,77.8,79.95,76.8,79.4,9660400,79.4
2015-10-20,79.6,80,75.25,76.85,8052400,76.85
2015-10-21,77.25,77.75,74.15,75.45,8423800,75.45
2015-10-22,75.45,75.45,75.45,75.45,0,75.45
2015-10-23,76.5,77.55,76,76.65,5980600,76.65
2015-10-26,77.2,77.45,73.5,74.55,6993100,74.55
2015-10-27,74.6,76.15,73.3,75.4,6404900,75.4
2015-10-28,75.4,76.7,74.7,76,6073100,76
2015-10-29,76.15,77.75,75.1,75.65,7301600,75.65
2015-10-30,75.95,76.9,71.75,72.65,8332500,72.65
2015-11-02,72.2,72.2,69.2,69.95,9524900,69.95
2015-11-03,70.45,71.35,69,69.8,6411300,69.8
2015-11-04,70.55,71.1,69.3,69.55,6240900,69.55
2015-11-05,69.5,69.5,67.2,67.6,7451100,67.6
2015-11-06,67.2,68.5,66.55,67.65,6638900,67.65
2015-11-09,64,65.85,63.7,64.6,10143100,64.6
2015-11-10,64,64.35,60.9,61.5,10480300,61.5
2015-11-11,61.5,61.5,61.5,61.5,0,61.5
2015-11-12,61.5,61.5,61.5,61.5,0,61.5
2015-11-13,62.85,64.2,61.65,62.3,9810700,62.3
2015-11-16,61.25,62.8,61.2,62.15,7946200,62.15
2015-11-17,62.8,64.15,62.25,63.8,9908300,63.8
2015-11-18,63.5,65.45,61.75,62.5,11820500,62.5
2015-11-19,63,64.2,62.25,63.85,7068000,63.85
2015-11-20,63.7,65.4,63.6,64.5,7265600,64.5
2015-11-23,64.8,65.45,64.25,64.95,4909600,64.95
2015-11-24,65.3,68.25,64.7,67.15,12499400,67.15
2015-11-25,67.15,67.15,67.15,67.15,0,67.15
2015-11-26,67.5,70.25,66.8,69.7,12871700,69.7
2015-11-27,70.1,70.95,67.85,69.4,9261800,69.4
2015-11-30,69.4,72.25,69.35,71.3,8753000,71.3
2015-12-01,71.75,72.8,70.35,70.9,7924900,70.9
2015-12-02,71.3,71.45,69.1,70.5,6435800,70.5
2015-12-03,69.95,72.4,69.5,70.6,8347500,70.6
2015-12-04,69.8,70.5,68,68.35,5894800,68.35
2015-12-07,69.05,70.75,68.25,69.55,5715800,69.55
2015-12-08,69.2,70.05,64.75,65.1,7987200,65.1
2015-12-09,64.5,65.4,62.9,64.2,10738800,64.2
2015-12-10,65.4,66.8,64.35,65.5,7305000,65.5
2015-12-11,65.95,66.35,62.45,62.9,10571600,62.9
