"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2015-09-15,249.4,251.7,236,239.55,2644500,239.32
2015-09-16,242,243,235.3,240.5,2145600,240.27
2015-09-17,240.5,240.5,240.5,240.5,0,240.27
2015-09-18,234,246.75,233.6,236.65,17540200,236.42
2015-09-21,233.85,240.9,232.95,237.1,1942000,236.87
2015-09-22,238.95,239.55,225,226.85,2267200,226.63
2015-09-23,222.9,227.6,221.1,222.95,2285500,222.74
2015-09-24,223,225.75,219.7,220.7,2086600,220.49
2015-09-25,220.7,220.7,220.7,220.7,0,220.49
2015-09-28,221.15,222.25,204.9,206.85,3593400,206.65
2015-09-29,202,217.4,200.2,212.7,2207200,212.5
2015-09-30,215,218.25,211.5,216.45,2184900,216.24
2015-10-01,218.9,220.5,214.65,218.6,1326300,218.39
2015-10-02,218.6,218.6,218.6,218.6,0,218.39
2015-10-05,222,235,221.8,233.8,4276400,233.57
2015-10-06,236.05,243.8,235.15,242.15,3323400,241.92
2015-10-07,240.5,245.35,237.25,241.9,1573700,241.67
2015-10-08,242.15,246.9,240.15,242.25,1352100,242.02
2015-10-09,244.8,246.7,241.2,244.75,1524200,244.51
2015-10-12,246.7,252.9,243.8,245.9,2578900,245.66
2015-10-13,246.4,252.35,243.3,245.75,1462000,245.51
2015-10-14,244.5,247.25,240.55,241.6,788600,241.37
2015-10-15,244,260,244,259.55,5131700,259.3
2015-10-16,265,266,256.15,260.7,3028000,260.45
2015-10-19,260.7,265.95,258.4,264.55,3394300,264.3
2015-10-20,264,272.7,262.5,270.05,3028000,269.79
2015-10-21,269.75,272.7,267.4,269.25,1745100,268.99
2015-10-22,269.25,269.25,269.25,269.25,0,268.99
2015-10-23,272.9,273.7,270.05,272.8,1582200,272.54
2015-10-26,275.4,276.55,270.8,272.65,1613900,272.39
2015-10-27,272.1,272.85,269.4,269.95,2010700,269.69
2015-10-28,269.9,271.15,265,268.75,1520300,268.49
2015-10-29,268.8,270,262.55,268.8,2574500,268.54
2015-10-30,268.8,270.25,255,260.1,1450200,259.85
2015-11-02,264.2,265.35,260.5,262.9,1361400,262.65
2015-11-03,264.55,265.9,258.25,259.65,709600,259.4
2015-11-04,263.75,272.8,263.75,268.95,3998200,268.69
2015-11-05,270,271.8,265.2,265.9,2960400,265.64
2015-11-06,264.9,266.5,260.5,261.9,1494900,261.65
2015-11-09,250,271.85,249,270.9,4351300,270.64
2015-11-10,269.8,278.9,269,271.55,2666500,271.29
2015-11-11,271.55,271.55,271.55,271.55,0,271.29
2015-11-12,271.55,271.55,271.55,271.55,0,271.29
2015-11-13,287,294,287,290.1,13268700,289.82
2015-11-16,290,295.3,285.1,287.8,5106200,287.52
2015-11-17,291.5,292.45,285.5,287.25,5450800,286.97
2015-11-18,289.7,293.85,285.1,290.25,3703700,289.97
2015-11-19,294,297,292.75,294.4,3848800,294.12
2015-11-20,295.8,300.25,295,295.95,3738500,295.67
2015-11-23,295,301.55,290.8,296.85,5002300,296.56
2015-11-24,296.4,297.25,289.4,293.85,2971900,293.57
2015-11-25,293.85,293.85,293.85,293.85,0,293.57
2015-11-26,294.7,302.65,294,299.75,9022300,299.46
2015-11-27,303,303.75,298.3,299.05,3227200,298.76
2015-11-30,300.55,304.4,294.1,298.8,33636700,298.51
2015-12-01,299.95,299.95,287.8,290.6,2811800,290.32
2015-12-02,291,294,283.9,286.95,2807300,286.67
2015-12-03,285.1,286,279.05,280,1716000,279.73
2015-12-04,281,285.95,279,284.95,2026400,284.68
2015-12-07,288,288,279.3,280.25,1635700,279.98
2015-12-08,281.9,288.9,281.5,283.9,2039700,283.63
2015-12-09,284,286.4,277.55,281.1,1954500,280.83
2015-12-10,286.4,286.4,278.5,284.65,2285800,284.38
2015-12-11,284.65,285.4,273.8,276.3,1710600,276.03
2015-12-14,274.1,274.65,267.65,270.65,2007000,270.39
2015-12-15,271.9,282.2,269.85,281.25,2285600,280.98
2015-12-16,280.05,283.45,278.2,279.9,1384400,279.63
2015-12-17,281,285.05,278.5,282.75,1108300,282.48
2015-12-18,284,284.5,277.4,278.35,2517400,278.08
2015-12-21,277.25,281.65,276.3,280.65,1313800,280.38
2015-12-22,281.65,282,278.35,279.1,670900,278.83
2015-12-23,281.45,282.2,279.5,281.75,893500,281.48
2015-12-24,282.2,284.5,280.65,282.05,819000,281.78
2015-12-25,282.05,282.05,282.05,282.05,0,281.78
2015-12-28,282.5,292.65,282.05,289.05,1587300,288.77
2015-12-29,290.6,291.3,285.75,288.75,1135700,288.47
2015-12-30,289.35,291.4,287.3,289.9,935800,289.62
2015-12-31,291.2,291.95,287.1,289.35,1063900,289.07
2016-01-01,289.4,298.25,289.35,296.6,1131200,296.31
2016-01-04,294.8,294.8,275.25,278.1,2359700,277.83
2016-01-05,281.4,283,276.4,278.95,2346400,278.68
2016-01-06,280,280.45,272.45,273.45,1646500,273.19
2016-01-07,267.9,267.9,254.5,257,2837900,256.75
2016-01-08,260,267.55,259,264.7,2081200,264.45
2016-01-11,259.75,274.4,258.4,271.8,1944200,271.54
2016-01-12,273,275,266.35,270.25,1170500,269.99
2016-01-13,272.6,278.9,266.75,273.7,1965900,273.44
2016-01-14,265,270.25,261.6,267.75,1685200,267.49
2016-01-15,268.85,268.85,256.75,257.9,963000,257.65
2016-01-18,257.5,260.95,252.05,257,1343100,256.75
2016-01-19,260.4,268.9,258.5,263.95,1386000,263.7
2016-01-20,260.5,261.9,251.6,258.6,2119800,258.35
2016-01-21,258,261,246.9,248.25,3015700,248.01
2016-01-22,252.95,262.3,251,257.45,1182200,257.2
2016-01-25,260.8,263.5,255.95,257.6,1088600,257.35
2016-01-26,257.6,257.6,257.6,257.6,0,257.35
2016-01-27,257.8,266.35,257.8,265.45,1531700,265.19
2016-01-28,266.3,276.3,264.1,267.5,3184900,267.24
2016-01-29,266.8,267.95,260.1,265.45,1917200,265.19
2016-02-01,265.55,266.95,261.25,263.2,1109800,262.95
2016-02-02,264.5,264.95,251.7,253.35,3769000,253.11
2016-02-03,252.6,252.6,240.5,243,2740600,242.77
2016-02-04,244.5,246.3,239.5,242.95,2205600,242.72
2016-02-05,243.9,251.8,243.9,248.75,1793100,248.51
2016-02-08,248,248.95,240.1,241.15,827900,240.92
2016-02-09,237.8,242.15,229.1,230.6,3495900,230.38
2016-02-10,229.7,229.7,215.5,223.95,3800300,223.73
2016-02-11,224,227.8,210.1,214.8,1565600,214.59
2016-02-12,214.7,230.5,212.55,226.15,3129700,225.93
2016-02-15,230.8,239.5,227,237.85,1869800,237.62
2016-02-16,241,243.15,227.3,229.25,1941700,229.03
2016-02-17,230,240,226.25,239.15,1625700,238.92
2016-02-18,241.8,242.75,232.6,239.2,1651700,238.97
2016-02-19,237.9,245.95,235.5,244.75,1493000,244.51
2016-02-22,246.7,247.7,238.1,242.1,819900,241.87
2016-02-23,256.2,259.7,245.25,246.75,3997500,246.51
2016-02-24,245.9,248.45,240.1,241.2,1753300,240.97
2016-02-25,241.6,244.2,231.6,232.85,4077600,232.63
2016-02-26,236.1,238.3,230,233.4,2023400,233.18
2016-02-29,232.85,236.45,224.3,234.05,1987100,233.82
2016-03-01,234.3,243.45,234.3,240.45,2685000,240.22
2016-03-02,248.7,248.8,236.65,237.85,2875900,237.62
2016-03-03,242.55,249.3,241.15,247.1,2569500,246.86
2016-03-04,249,250.85,245.7,247.85,2536900,247.61
2016-03-07,247.85,247.85,247.85,247.85,0,247.61
2016-03-08,247,256.5,247,249.95,2079800,249.71
2016-03-09,247.85,253.5,244.15,250.3,2083300,250.06
2016-03-10,253.7,254.5,247.8,250.2,1696900,249.96
2016-03-11,251.7,255.85,247,254.85,1641000,254.6
2016-03-14,258.25,265.55,257.5,263.55,2290500,263.3
2016-03-15,265.7,266.5,262.6,264.85,1526100,264.59
2016-03-16,265,265,258.25,261.2,1038000,260.95
2016-03-17,264.95,266.9,261.35,263.1,1115600,262.85
2016-03-18,264,267.8,262.5,266.55,2358500,266.29
2016-03-21,266.15,275,264.3,274.05,2325700,273.79
2016-03-22,273.7,280.65,271.5,278.6,2800700,278.33
2016-03-23,278.9,283,276.7,281.8,1589400,281.53
2016-03-24,281.8,281.8,281.8,281.8,0,281.53
2016-03-25,281.8,281.8,281.8,281.8,0,281.53
2016-03-28,284.45,285.45,269.75,272.05,3183400,271.79
2016-03-29,273,279.95,271.5,276.85,2533800,276.58
2016-03-30,282,287.5,280.8,284.85,2032800,284.58
2016-03-31,287,304,282.6,288.35,9149500,288.07
2016-04-01,289.7,289.7,281.2,286.05,1989300,285.77
2016-04-04,288.8,289.45,281.8,285.6,2518900,285.32
2016-04-05,284,284,269.8,271.25,2883400,270.99
2016-04-06,273.65,277.5,271.8,276.6,1578500,276.33
2016-04-07,277.9,281.9,269.05,276.35,2801200,276.08
2016-04-08,276.85,280.75,275.85,277,1264600,276.73
2016-04-11,276.2,289.05,275.7,287.05,1995500,286.77
2016-04-12,290,295,289.2,294.15,2589800,293.87
2016-04-13,298.45,300.7,294.55,299.95,3362000,299.66
2016-04-14,299.95,299.95,299.95,299.95,0,299.66
2016-04-15,299.95,299.95,299.95,299.95,0,299.66
2016-04-18,299,302.3,296.7,300.85,1060000,300.56
2016-04-19,300.85,300.85,300.85,300.85,0,300.56
2016-04-20,301.6,305.85,298.7,301.9,1489000,301.61
2016-04-21,303.5,307.7,296.85,300.75,1572000,300.46
2016-04-22,300,305,298.8,303.55,808900,303.26
2016-04-25,303,304.3,295.35,296.15,1978700,295.86
2016-04-26,295.7,307.3,293.25,306.5,2437400,306.2
2016-04-27,306.9,309.75,303.15,304.3,798500,304.01
2016-04-28,305.9,307.2,300.2,301.85,1501700,301.56
2016-04-29,301.75,305.25,294.85,297.8,1598500,297.51
2016-05-02,297,297.55,291.65,295.35,1247100,295.07
2016-05-03,299.35,311.9,298.2,300.35,2811800,300.06
2016-05-04,299.35,299.35,280.05,281.35,1530900,281.08
2016-05-05,283.8,287.05,280.05,283.05,1209400,282.78
2016-05-06,281.8,288,278.45,286.8,1042900,286.52
2016-05-09,289.7,291,285.25,289.3,1066000,289.02
2016-05-10,290.7,290.7,280,281,1362600,280.73
2016-05-11,277,281.9,271.45,273.85,2112100,273.59
2016-05-12,275.65,279.25,274.5,277.65,1155300,277.38
2016-05-13,276.95,280.95,274.65,276.95,1707100,276.68
2016-05-16,277.25,279.75,272.1,275.55,1601400,275.28
2016-05-17,277.7,277.7,271,271.7,2150200,271.44
2016-05-18,268.8,270.3,265.8,268.65,1253100,268.39
2016-05-19,270,273.5,264.3,266.1,2096800,265.84
2016-05-20,266.3,268.45,262,263.1,2076500,262.85
2016-05-23,265.7,266.35,259.1,259.9,1332200,259.65
2016-05-24,260,263.6,258.8,261.35,1440800,261.1
2016-05-25,264,271.2,264,270.55,1455000,270.29
2016-05-26,273,273.7,268.25,269.6,2369200,269.34
2016-05-27,272.35,273.25,269,271.7,2637400,271.44
2016-05-30,272.95,282.35,272.95,281.45,6293800,281.18
2016-05-31,300,317.8,298.7,314.5,16105000,314.2
2016-06-01,318,318,308,309.15,2368600,308.85
2016-06-02,307.25,314.5,305.1,311.7,2392400,311.4
2016-06-03,312.9,323.9,312.9,317.05,4222600,316.74
2016-06-06,319,322,311.25,318.05,4114000,317.74
2016-06-07,322,323.6,318,319.6,3156900,319.29
2016-06-08,321.4,324.45,320.2,322.95,1824400,322.64
2016-06-09,322.15,325.4,321.8,323.3,1193900,322.99
2016-06-10,321.3,321.9,310.6,312.65,3125900,312.35
2016-06-13,308,308.6,297.4,301.75,4371900,301.46
