"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2015-04-08,614,623,613.09998,616.29999,1788900,599.46196
2015-04-09,621.5,624.29999,612.04999,617.15002,1321800,600.28877
2015-04-10,620.25,621.90002,614.54999,617.70001,1075900,600.82373
2015-04-13,618.90002,625.75,614.84998,624.20001,866100,607.14614
2015-04-14,624.20001,624.20001,624.20001,624.20001,0,607.14614
2015-04-15,623,623,600.75,606.65002,1371700,590.07564
2015-04-16,607,608.20001,590.04999,601.95001,2451900,585.50404
2015-04-17,596.04999,596.70001,585,586.84998,1564200,570.81655
2015-04-20,586.84998,591.04999,570.5,575.40002,1485400,559.67943
2015-04-21,568,588.40002,550.54999,578.15002,3946600,562.3543
2015-04-22,562,563.25,542,544.54999,6270100,529.67225
2015-04-23,548.95001,548.95001,532.54999,534.25,3043800,519.65367
2015-04-24,535.54999,538.65002,512.5,523.20001,3565700,508.90558
2015-04-27,528.59998,535.75,518.15002,533.79999,1840500,519.21595
2015-04-28,533,537.54999,525,532.25,3071100,517.70831
2015-04-29,533,546.70001,530.20001,541.65002,2817200,526.85152
2015-04-30,537.04999,542.04999,533.75,538.59998,3178100,523.8848
2015-05-01,538.59998,538.59998,538.59998,538.59998,0,523.8848
2015-05-04,539.09998,544.59998,534.54999,541.15002,987000,526.36518
2015-05-05,545.04999,548.34998,541.25,544.90002,1617400,530.01272
2015-05-06,543.75,543.75,529.45001,532.34998,2779600,517.80556
2015-05-07,531,542.70001,525.09998,538.15002,2274500,523.44714
2015-05-08,541.09998,544.5,536.09998,540.5,1556900,525.73291
2015-05-11,542.95001,544.29999,537.09998,541.5,2101000,526.70559
2015-05-12,542.5,544.40002,530.65002,533.84998,1432100,519.26458
2015-05-13,535,543.40002,529.65002,542.25,1504300,527.4351
2015-05-14,542.79999,542.79999,533.04999,536.5,1025600,521.8422
2015-05-15,536,541.59998,535,538.45001,1010800,523.73893
2015-05-18,539,545,535.40002,544.25,1064800,529.38046
2015-05-19,545,554.75,543.59998,552.59998,2316700,537.5023
2015-05-20,554.75,564.90002,552.65002,564,1471400,548.59087
2015-05-21,566,566.09998,558.5,564.25,1459800,548.83404
2015-05-22,560.54999,562.90002,554.59998,560.5,1983700,545.18649
2015-05-25,561,565.5,557.5,563.09998,1552400,547.71543
2015-05-26,560.54999,563.79999,556.09998,558.25,1204700,542.99796
2015-05-27,556.25,557.70001,546.04999,552.34998,1677300,537.25913
2015-05-28,553.5,557.70001,541.25,554.54999,2317800,539.39904
2015-05-29,554.59998,565,554.59998,561.70001,3310300,546.35372
2015-06-01,560,567.95001,558.75,563.54999,836400,548.15315
2015-06-02,561.95001,562,546.04999,548.79999,1017800,533.80614
2015-06-03,550.25,558.25,544.04999,545.59998,1863400,530.69355
2015-06-04,547,560.90002,547,552.70001,2328400,537.59961
2015-06-05,554.29999,564.95001,550.59998,555.79999,1696600,540.61489
2015-06-08,555.79999,561.70001,550.5,555,1138400,539.83676
2015-06-09,553.20001,557.34998,540.59998,543.54999,1192500,528.69957
2015-06-10,542.5,566.95001,541.70001,562.75,1784300,547.37502
2015-06-11,565,566,543.04999,546.04999,1997700,531.13127
2015-06-12,546.04999,554.40002,529,537.34998,2215400,522.66895
2015-06-15,536,548,531.84998,540.90002,1032800,526.12201
2015-06-16,543,546.45001,535.04999,540.29999,1128700,525.53837
2015-06-17,542,553.95001,541.09998,546.54999,1365100,531.61761
2015-06-18,547.5,560.40002,544.70001,556.09998,1786500,540.90668
2015-06-19,558.45001,577.75,556.79999,561.54999,5166600,546.20779
2015-06-22,559.90002,563.54999,553.04999,560.20001,1515100,544.8947
2015-06-23,564,564,555,557.40002,1067700,542.17121
2015-06-24,558,568,557,565.40002,1423500,549.95264
2015-06-25,563.5,563.90002,549.75,552.15002,2199900,537.06465
2015-06-26,554.09998,561.34998,554.09998,558.65002,782100,543.38706
2015-06-29,553.09998,554.95001,542.25,552.40002,839400,537.30782
2015-06-30,552,554.54999,545,546.70001,1570100,531.76353
2015-07-01,544.04999,556,541.25,552.75,1204600,537.64823
2015-07-02,555.95001,560.5,549.04999,555.75,1005400,540.56627
2015-07-03,553.40002,554.40002,548,549.54999,858500,534.53564
2015-07-06,544.54999,551.75,543.70001,550.04999,725100,535.02198
2015-07-07,553.5,562.29999,552.70001,553.79999,780900,538.66953
2015-07-08,551.09998,558.75,549,552.75,974200,537.64823
2015-07-09,552.70001,556.45001,543.25,544.90002,687000,530.01272
2015-07-10,550,554.40002,545.54999,548.65002,1113600,533.66027
2015-07-13,549.09998,562,549.09998,559.65002,905800,544.35974
2015-07-14,557.5,567.40002,555.90002,565.40002,617600,549.95264
2015-07-15,568,579.79999,566.54999,577.75,1634300,561.9652
2015-07-16,578.90002,582,572.20001,575.29999,869500,559.58212
2015-07-17,577,579.90002,565.20001,568.34998,943900,552.822
2015-07-20,564,572.70001,562,568.59998,748300,559.96185
2015-07-21,567.54999,585.09998,567.34998,576.59998,1564400,567.84032
2015-07-22,580,588.59998,576,584.59998,1026500,575.71878
2015-07-23,587.59998,593.79999,574.65002,589.04999,2229400,580.10119
2015-07-24,583.04999,586,565.20001,566.75,2258500,558.13998
2015-07-27,565,569.75,559.75,561.65002,987600,553.11749
2015-07-28,561.5,562.25,553.5,556.65002,1549800,548.19345
2015-07-29,557,568,556.95001,564.84998,1126500,556.26882
2015-07-30,568,569.70001,555.70001,562,1045800,553.46215
2015-07-31,563,572,562.95001,569.84998,1321300,561.19286
2015-08-03,571,575.90002,569,570.40002,647800,561.73456
2015-08-04,570.90002,570.90002,557.5,559.84998,1459900,551.34478
2015-08-05,561.25,578,559.84998,575.34998,1068000,566.60931
2015-08-06,579,579.75,569,571.59998,941800,562.91628
2015-08-07,571.59998,575.90002,566.04999,569.09998,791200,560.45426
2015-08-10,568.04999,573.45001,560.09998,563.45001,722700,554.89013
2015-08-11,566,567.45001,555.04999,566.15002,1251100,557.54912
2015-08-12,562.25,581.29999,562.25,577.75,1373200,568.97287
2015-08-13,577.54999,579.5,565.79999,571.20001,1033200,562.52239
2015-08-14,571.20001,577.79999,566.65002,575.25,856500,566.51085
2015-08-17,575.79999,579,568.84998,575.84998,414900,567.10171
2015-08-18,577.70001,587.5,568.5,571.15002,1402400,562.47316
2015-08-19,573.70001,586.75,572,584.75,1090300,575.86653
2015-08-20,585,586.34998,573.75,576.75,1204400,567.98806
2015-08-21,574.79999,577,563.70001,576,1384700,567.24946
2015-08-24,568.95001,574,536.09998,544.34998,2228400,536.08026
