"Date","CASTROLIND.NS.Open","CASTROLIND.NS.High","CASTROLIND.NS.Low","CASTROLIND.NS.Close","CASTROLIND.NS.Volume","CASTROLIND.NS.Adjusted"
2015-09-18,432.9,440.9,432.65,438.25,164100,423.6166
2015-09-21,435,438.45,432.05,437.05,115300,422.4567
2015-09-22,439,444.8,435.4,441.2,295100,426.4681
2015-09-23,436.5,445.85,436.5,442.3,133200,427.5314
2015-09-24,443.85,444.8,435,438.25,303700,423.6166
2015-09-25,438.25,438.25,438.25,438.25,0,423.6166
2015-09-28,437.9,439,431.5,437.8,118300,423.1816
2015-09-29,436,436.5,431,435.3,124100,420.7651
2015-09-30,436.85,447.25,436.2,442.55,204300,427.773
2015-10-01,443.1,453,443.1,450.05,115500,435.0226
2015-10-02,450.05,450.05,450.05,450.05,0,435.0226
2015-10-05,451.25,454.45,448.5,450.1,95300,435.071
2015-10-06,451.25,453.95,447.5,450.9,80500,435.8442
2015-10-07,450.5,457.8,448.3,455.6,135400,440.3873
2015-10-08,455,457.8,447.6,450.05,92800,435.0226
2015-10-09,452.2,454.5,441.45,444.45,153900,429.6096
2015-10-12,448.85,449,436.05,438.15,118600,423.52
2015-10-13,438.65,439.1,433.15,434.45,180800,419.9435
2015-10-14,433.45,438,432.5,434.6,95600,420.0885
2015-10-15,436.85,439.85,433.9,436.05,146300,421.4901
2015-10-16,437.95,438.5,433.2,436.25,136800,421.6834
2015-10-19,437.8,439.5,434.1,437.4,112900,422.795
2015-10-20,438.4,450.9,438.4,446.85,336300,431.9295
2015-10-21,447,472.5,446.2,470.2,827100,454.4998
2015-10-22,470.2,470.2,470.2,470.2,0,454.4998
2015-10-23,473.8,474.35,461.05,464.05,304100,448.5551
2015-10-26,468.8,472.7,457.5,466.4,252800,450.8267
2015-10-27,465,469.55,461.25,462.9,131400,447.4435
2015-10-28,463,468,456.7,459.95,145300,444.5921
2015-10-29,459.25,463.5,457.5,459.25,180400,443.9154
2015-10-30,458.1,473,457.25,463,300300,447.5402
2015-11-02,463.3,464.35,451,453,249500,437.8741
2015-11-03,449.9,459.2,446.3,456.2,217200,440.9673
2015-11-04,456.3,462,452.4,453.75,133000,438.5991
2015-11-05,452.2,458.9,450.75,454.05,127900,438.889
2015-11-06,452,454,442.15,445.1,196400,430.2379
2015-11-09,439.55,443.75,435.45,441.6,207700,426.8548
2015-11-10,440.05,446.95,438.5,440,179900,425.3082
2015-11-11,440,440,440,440,0,425.3082
2015-11-12,440,440,440,440,0,425.3082
2015-11-13,442,443.2,435.2,436.4,289600,421.8284
2015-11-16,435,438.5,432.15,435.3,154100,420.7651
2015-11-17,435.3,442.9,435.3,441.45,165100,426.7098
2015-11-18,442,443.3,438.3,439.55,105800,424.8732
2015-11-19,440.15,446.5,439.55,443.8,102500,428.9813
2015-11-20,443.6,448,439.4,441.85,475600,427.0964
2015-11-23,442.5,445,439.3,439.9,97400,425.2115
2015-11-24,439.9,442.2,434.5,435.5,169400,420.9585
2015-11-25,435.5,435.5,435.5,435.5,0,420.9585
2015-11-26,436.65,439.9,426.25,429.2,878200,414.8688
2015-11-27,429.05,437.9,426.55,436.55,530000,421.9734
2015-11-30,438.8,444.2,436.6,441.5,190700,426.7581
2015-12-01,441.5,448.35,440,446,235200,431.1079
2015-12-02,446.45,446.45,440.35,443.45,160600,428.643
2015-12-03,442.9,455.95,442.1,450.65,565900,435.6026
2015-12-04,449.35,454.55,441.9,442.95,223900,428.1597
2015-12-07,444.35,447.9,438.5,439.5,126800,424.8249
2015-12-08,438.45,442.85,431.3,433.05,169300,418.5902
2015-12-09,434,435.55,415.85,419.7,212000,405.686
2015-12-10,420,425.5,418.3,424.1,130700,409.9391
2015-12-11,425,426.45,415,416.05,131800,402.1579
2015-12-14,416,428.8,415.05,427.45,187400,413.1773
2015-12-15,426.1,433.5,425.1,431.2,107000,416.802
2015-12-16,432.1,434,427,427.85,97100,413.5639
2015-12-17,429.95,435.45,427.9,434.3,105000,419.7985
2015-12-18,434,435.05,427.95,429.75,203400,415.4004
2015-12-21,429,439.25,428.55,437.1,191800,422.505
2015-12-22,438.1,442.7,434.4,441.25,371400,426.5165
2015-12-23,442.9,444,437.4,439.9,231700,425.2115
2015-12-24,442,445.45,440.1,442.9,163000,428.1114
2015-12-25,442.9,442.9,442.9,442.9,0,428.1114
2015-12-28,444,444,438.3,440.3,147400,425.5982
2015-12-29,440.05,442.75,439,440.25,84100,425.5498
2015-12-30,442.45,452,441.1,443.7,386300,428.8847
2015-12-31,443.95,448.25,440.05,441.35,291800,426.6131
2016-01-01,441,450.3,441,448.7,173700,433.7177
