"Date","TATAELXSI.NS.Open","TATAELXSI.NS.High","TATAELXSI.NS.Low","TATAELXSI.NS.Close","TATAELXSI.NS.Volume","TATAELXSI.NS.Adjusted"
2016-02-11,1990,2002,1841.5,1861.1,564600,1845.58
2016-02-12,1875,1888,1755,1784.65,750200,1769.76
2016-02-15,1835,1929,1835,1912.5,695800,1896.55
2016-02-16,1945,1967.7,1858,1868.65,627400,1853.06
2016-02-17,1880,1923,1790.75,1906.4,803700,1890.5
2016-02-18,1954,1974,1893,1921.25,610300,1905.22
2016-02-19,1913,1924,1876,1895.15,539500,1879.34
2016-02-22,1915.7,1940,1896.1,1913.25,382300,1897.29
2016-02-23,1919,1921.8,1868.2,1884.05,322500,1868.33
2016-02-24,1860,1903.4,1773.6,1784.75,730900,1769.86
2016-02-25,1791.5,1817.1,1753,1770.45,562700,1755.68
2016-02-26,1805,1829,1656,1682.35,1515700,1668.32
2016-02-29,1672,1730,1595,1694.25,1344900,1680.12
2016-03-01,1710,1812.95,1700,1792.75,1018700,1777.8
2016-03-02,1850,1860,1811,1817,632300,1801.84
2016-03-03,1832.8,1859.5,1810.1,1839.9,726400,1824.55
2016-03-04,1845,1908.55,1805,1874.85,977100,1859.21
2016-03-07,1874.85,1874.85,1874.85,1874.85,0,1859.21
2016-03-08,1865,1902,1848.55,1874.75,537100,1859.11
2016-03-09,1860,1972.8,1847,1960.75,1143800,1944.39
2016-03-10,1978,2012,1948.15,1964.2,840400,1947.82
2016-03-11,1969.7,1988,1935.15,1951.2,587300,1934.92
2016-03-14,1970.9,1984,1947.05,1954.25,348800,1937.95
2016-03-15,1955,1978,1925.3,1936.75,462100,1920.6
2016-03-16,1930,1955,1881.8,1917.45,611400,1901.46
2016-03-17,1938,1953.7,1900,1912.15,400400,1896.2
2016-03-18,1914.8,1931.95,1893.2,1918.25,431100,1902.25
2016-03-21,1925,1969.7,1921.05,1950.25,559200,1933.98
2016-03-22,1959,1963,1930.1,1944.85,357600,1928.63
2016-03-23,1943,1961.9,1921.1,1934,273100,1917.87
2016-03-24,1934,1934,1934,1934,0,1917.87
2016-03-25,1934,1934,1934,1934,0,1917.87
2016-03-28,1934,1949.9,1885.1,1892.95,292700,1877.16
