"Date","HINDZINC.NS.Open","HINDZINC.NS.High","HINDZINC.NS.Low","HINDZINC.NS.Close","HINDZINC.NS.Volume","HINDZINC.NS.Adjusted"
2015-09-02,127,138,124.9,127.95,695600,125.553
2015-09-03,129.95,134.25,127.35,133.35,717900,130.852
2015-09-04,132.5,133.3,129.1,132.1,712300,129.626
2015-09-07,132.9,134,130,130.35,412400,127.908
2015-09-08,130.1,133,129.65,130.5,604800,128.056
2015-09-09,133.5,138.45,133.2,135,914000,132.471
2015-09-10,134.9,134.9,129.2,131.9,843400,129.429
2015-09-11,132,133,129.3,130.05,506600,127.614
2015-09-14,129.25,137,128,135.95,1142600,133.404
2015-09-15,134.15,136.6,132.05,135.45,1222600,132.913
2015-09-16,135.95,135.95,131.7,132.85,694000,130.362
2015-09-17,132.85,132.85,132.85,132.85,0,130.362
2015-09-18,136.7,138.05,133.5,135.85,1299200,133.305
2015-09-21,134.8,137.35,132.25,135.7,574800,133.158
2015-09-22,136.95,137.8,132.7,134.3,627100,131.784
2015-09-23,130,137.4,129.2,135.4,872300,132.864
2015-09-24,136.1,144.7,134.6,143.25,1597000,140.567
2015-09-25,143.25,143.25,143.25,143.25,0,140.567
2015-09-28,144,144,136.4,137.65,359600,135.072
2015-09-29,134.55,137,134.1,134.75,385700,132.226
2015-09-30,136.5,140.8,135,139.8,428300,137.181
2015-10-01,140.4,140.4,136.1,138.4,505800,135.808
2015-10-02,138.4,138.4,138.4,138.4,0,135.808
2015-10-05,139.8,144.9,138.1,143,822900,140.322
2015-10-06,144,144.5,140.35,143.4,672000,140.714
2015-10-07,143.5,150.1,141.9,148.35,995500,145.571
2015-10-08,150,150.4,144,144.95,559100,142.235
2015-10-09,147.7,154.2,147.2,150.45,2589500,147.632
2015-10-12,152,154.7,147.25,148.2,1397700,145.424
2015-10-13,149.45,153.8,146.95,152.8,1575900,149.938
2015-10-14,152.8,154.5,150.35,151.1,1091600,148.27
2015-10-15,151.1,152.05,146.8,147.2,781700,144.443
2015-10-16,147.25,154.7,147.25,154.25,1108700,151.361
2015-10-19,154.5,159.8,153.5,158,1451900,155.041
2015-10-20,161.95,163.75,158.15,159.25,1985700,156.267
2015-10-21,159.1,163.05,158,162.35,804500,159.309
2015-10-22,162.35,162.35,162.35,162.35,0,159.309
2015-10-23,162.5,163,155.25,157.3,1074000,156.181
2015-10-26,159.2,160,156.1,157.3,617700,156.181
2015-10-27,157,160,155.85,159.25,907600,158.118
2015-10-28,159,159.5,156.5,157.75,506900,156.628
2015-10-29,157.2,159.9,153.9,155.65,1343400,154.543
2015-10-30,156,159.35,154.85,157.15,553300,156.033
2015-11-02,156.95,158.25,153.35,155.8,366900,154.692
2015-11-03,157,158.7,156.75,157.75,653300,156.628
2015-11-04,158.7,159.6,155.25,156.85,496500,155.735
2015-11-05,157,157.9,153.85,155.05,372300,153.947
2015-11-06,155.5,156.85,152,153,263200,151.912
2015-11-09,149.9,157.5,149,155.5,337800,154.394
2015-11-10,154.9,154.95,143.65,144.75,1403800,143.721
2015-11-11,144.75,144.75,144.75,144.75,0,143.721
2015-11-12,144.75,144.75,144.75,144.75,0,143.721
2015-11-13,142,145.85,141.65,145.3,871600,144.267
2015-11-16,144,144.95,142.6,144.45,551400,143.423
2015-11-17,145,148.05,144,147.55,863700,146.501
2015-11-18,147.55,147.7,140.3,140.9,759300,139.898
2015-11-19,141.5,145.7,140.4,143.15,957900,142.132
2015-11-20,143,143,140.6,141.75,1629400,140.742
2015-11-23,144,144.1,140.5,142.45,1398200,141.437
2015-11-24,142.25,143,140.85,141.5,742200,140.494
2015-11-25,141.5,141.5,141.5,141.5,0,140.494
2015-11-26,141.8,143.35,140.85,141.95,1083300,140.941
2015-11-27,142.5,144.7,141.6,142.55,487400,141.536
2015-11-30,142.7,144.15,141.7,143.6,492800,142.579
2015-12-01,144.1,150.7,143.6,146.9,1857100,145.855
2015-12-02,148.8,149.8,143.85,144.7,797500,143.671
2015-12-03,145.6,145.6,142.5,143.6,622400,142.579
2015-12-04,143.9,147.9,142.45,147.3,958800,146.253
2015-12-07,147.8,148.5,144.75,146.9,498800,145.855
2015-12-08,146.3,146.4,141.55,142.25,780700,141.238
2015-12-09,141,144.55,140.55,142.8,1111800,141.785
2015-12-10,143.2,143.9,142.05,142.8,475800,141.785
2015-12-11,142.8,143.9,139.5,139.85,734900,138.856
2015-12-14,139,141.9,138.55,141.25,833800,140.246
2015-12-15,141.3,149.2,141.3,145.6,1818300,144.565
2015-12-16,146.5,149.2,143.4,147.85,1129700,146.799
2015-12-17,147.95,149.8,145.1,149.15,846900,148.089
2015-12-18,148.95,148.95,144.95,145.65,927800,144.614
2015-12-21,147,148.75,144,148.25,641900,147.196
2015-12-22,147,151.9,143.4,144.55,872500,143.522
2015-12-23,145.5,148.95,145.1,146.75,620800,145.706
2015-12-24,148,150,146,148.85,507800,147.792
2015-12-25,148.85,148.85,148.85,148.85,0,147.792
2015-12-28,149,149.75,146.6,147.65,309500,146.6
2015-12-29,148.1,148.6,144.75,146,496700,144.962
2015-12-30,147,148.35,145.85,146.45,324700,145.409
2015-12-31,146.45,148.25,145.6,146.4,641400,145.359
2016-01-01,146.4,150,146.15,149.15,632500,148.089
2016-01-04,148.75,150.75,144.5,145.05,720700,144.019
2016-01-05,145.7,153,143.9,151.25,1742700,150.174
2016-01-06,150.25,151.65,145.2,145.7,1160600,144.664
2016-01-07,144,144.3,137.9,139.1,930400,138.111
2016-01-08,140,141.95,138.4,140.85,576200,139.848
2016-01-11,139.9,141,136.8,140.05,755000,139.054
2016-01-12,140.9,142.8,140.1,141.65,934900,140.643
2016-01-13,143,143.35,139.5,141.95,1214000,140.941
2016-01-14,140.15,142.9,139.2,141.9,816000,140.891
2016-01-15,142.6,142.6,137.45,140.2,554700,139.203
2016-01-18,140.2,141.45,137.9,139,976800,138.012
2016-01-19,139.5,141.9,137.65,139,1091800,138.012
2016-01-20,137,140,135.8,139.35,605400,138.359
2016-01-21,138.9,145,137.25,141.6,2182000,140.593
2016-01-22,142.6,148,142.25,144.95,1767700,143.919
2016-01-25,146,152.4,146,151.2,2604300,150.125
2016-01-26,151.2,151.2,151.2,151.2,0,150.125
2016-01-27,152.4,163.5,150.95,159.75,3020600,158.614
2016-01-28,159,173,157.7,164.55,8426800,163.38
2016-01-29,163,163.65,155.05,161,1492800,159.855
2016-02-01,160.5,161.75,157.15,160.05,605000,158.912
2016-02-02,159,160.6,154.5,155.85,564500,154.742
2016-02-03,155.1,156.65,153,154.85,362700,153.749
2016-02-04,155.3,164.95,155.3,161.4,1117900,160.252
2016-02-05,163,169.5,163,168.25,959800,167.054
2016-02-08,168.6,170,165,167.7,580400,166.508
2016-02-09,165,168.45,161.7,164,592300,162.834
2016-02-10,162.1,166.85,159.1,162.35,619300,161.196
2016-02-11,161,163.7,154.6,161.15,1162300,160.004
2016-02-12,161.45,162.3,155.05,158,1403000,156.876
2016-02-15,160,169.9,160,167.95,613400,166.756
2016-02-16,169,170.9,163.6,165.45,1118500,164.274
2016-02-17,163.75,165.65,160.4,163.25,1085400,162.089
2016-02-18,165.5,167.15,162.5,165.45,1533400,164.274
2016-02-19,165,168,162.9,164.2,444300,163.032
2016-02-22,163.85,165,162.9,163.8,451500,162.635
2016-02-23,164.5,165.8,163.2,163.85,536100,162.685
2016-02-24,162.9,164.35,158.1,163.9,1049200,162.735
2016-02-25,164,164.75,161.6,163.85,928700,162.685
2016-02-26,164.1,164.5,159.45,162.85,716200,161.692
2016-02-29,160.5,163.2,156.9,160.35,574700,159.21
2016-03-01,161.1,165.45,160.95,163,1051100,161.841
2016-03-02,164.7,166.8,161.5,162.05,1399000,160.898
2016-03-03,164.55,172.3,161.25,170.2,1758900,168.99
2016-03-04,172.85,176,171.1,173.45,2795200,172.217
2016-03-07,173.45,173.45,173.45,173.45,0,172.217
2016-03-08,172.6,178.25,171.8,174.35,1787500,173.11
2016-03-09,172,174.5,168.65,172.1,1143800,170.876
2016-03-10,173.6,173.85,168.9,169.75,991500,168.543
2016-03-11,169.5,171.75,166.9,169.15,992900,167.947
2016-03-14,170.55,172.2,169.6,170.45,543500,169.238
2016-03-15,169.5,172.9,169.1,171.6,879900,170.38
2016-03-16,170.05,171.9,166.8,169.2,602300,167.997
2016-03-17,170,172.4,168.4,169.1,730500,167.898
2016-03-18,171,173.2,171,171.5,994200,170.281
2016-03-21,170.95,173.2,170.45,171.55,707100,170.33
2016-03-22,171.85,172.65,169.2,170,1001900,168.791
2016-03-23,170.6,172.05,169.05,169.55,1058400,168.344
2016-03-24,169.55,169.55,169.55,169.55,0,168.344
2016-03-25,169.55,169.55,169.55,169.55,0,168.344
2016-03-28,170.15,170.35,166.2,168,868400,166.805
2016-03-29,167.1,171.45,167.1,169.95,1004500,168.742
2016-03-30,171.5,176,171.5,175.05,1975000,173.805
2016-03-31,192.55,196.8,180.7,183.6,20990800,182.294
2016-04-01,183.85,186.45,183.7,184.8,4312500,183.486
2016-04-04,186,189.8,185,188.2,5886000,186.862
2016-04-05,188.5,189.4,185.25,186.75,5053400,185.422
2016-04-06,163,165.4,160.8,162.2,4263100,161.047
2016-04-07,163.3,163.3,159.85,160.5,1953700,159.359
2016-04-08,160,161.4,158.2,160.1,1675400,158.962
2016-04-11,160,161.4,158.55,160.25,1451800,159.11
2016-04-12,160.55,160.9,159,159.55,997000,158.415
2016-04-13,160.4,166.35,160.4,165.95,2443300,164.77
2016-04-14,165.95,165.95,165.95,165.95,0,164.77
2016-04-15,165.95,165.95,165.95,165.95,0,164.77
2016-04-18,166.5,169.5,166,168.95,1449300,167.749
2016-04-19,168.95,168.95,168.95,168.95,0,167.749
2016-04-20,170.15,180.2,170,174.95,3557600,173.706
2016-04-21,176,176.05,171.35,174.15,4553100,172.912
2016-04-22,170.65,173.8,167.85,172.1,3022000,170.876
2016-04-25,172.1,172.15,168.05,169.5,685800,168.295
2016-04-26,169,173.4,168,172.5,2132500,171.273
2016-04-27,173.2,174.45,172.15,172.9,1302900,171.671
2016-04-28,172.75,173.65,169.3,172.1,3523300,170.876
2016-04-29,171.9,173,170.25,172.1,950800,170.876
2016-05-02,171.9,176.1,170.2,174.45,1242200,173.21
2016-05-03,174.75,177,172.2,173.05,972300,171.819
