"Date","ZEEL.NS.Open","ZEEL.NS.High","ZEEL.NS.Low","ZEEL.NS.Close","ZEEL.NS.Volume","ZEEL.NS.Adjusted"
2015-05-12,318.6,318.6,304.9,308.5,1752500,303.586
2015-05-13,312,312,301.5,305.2,6371200,300.339
2015-05-14,305,306.05,301,303.5,2617800,298.666
2015-05-15,306.15,306.15,299.5,301.05,5740200,296.255
2015-05-18,301.15,314.1,300,311.5,25433900,306.539
2015-05-19,312.9,320.2,312.15,316,4224200,310.967
2015-05-20,317.95,320.25,313.6,318.4,1876800,313.329
2015-05-21,317.95,323.5,312.05,317.3,11374300,312.246
2015-05-22,319.9,322.65,317.1,319.45,5925100,314.362
2015-05-25,318.9,321.5,315.2,320.05,1695300,314.952
2015-05-26,320.3,320.95,316.25,319.3,1601200,314.214
2015-05-27,318,322.25,316.15,320,2641000,314.903
2015-05-28,322.4,322.4,317.45,318.15,5902900,313.083
2015-05-29,320.6,326,318.05,323.75,5514700,318.594
2015-06-01,323,323.5,319,320.25,2099300,315.149
2015-06-02,318.65,330,318.65,327.45,3331100,322.235
2015-06-03,328.9,332.45,318,323,2959100,317.855
2015-06-04,323,327.6,320,325.35,1813800,320.168
2015-06-05,324,338,320.7,336.6,3111800,331.239
2015-06-08,338,341.9,331.3,332,3114100,326.712
2015-06-09,332,334.95,325,327.9,1314700,322.677
2015-06-10,330,336.9,326.5,334.4,1276300,329.074
2015-06-11,337.95,340.1,330.2,332.95,1750300,327.647
2015-06-12,335.75,336.1,330.65,333.7,779400,328.385
2015-06-15,334,340,331.25,339.25,1515600,333.847
2015-06-16,338.25,347,334.6,345,2013900,339.505
2015-06-17,346.8,352.75,341.55,351.1,2795100,345.508
2015-06-18,348.65,353.75,345.25,347,1354800,341.473
2015-06-19,347.8,349.25,339,340.1,1234500,334.683
2015-06-22,343.6,346.95,338.8,345.35,939100,339.849
2015-06-23,345.35,347.2,338.85,345.55,1240700,340.046
2015-06-24,345.9,358.95,344.7,355.2,3883800,349.543
2015-06-25,355,362.25,352,358.55,2412200,352.839
2015-06-26,358,360.9,354,359.25,1129200,353.528
2015-06-29,346,357.75,346,356.15,1214400,350.477
2015-06-30,354.6,369.4,354.6,367.9,3053700,362.04
2015-07-01,367.9,368.95,362.05,363.8,1675300,358.006
2015-07-02,363.85,371.4,363.8,369.1,1783100,363.221
2015-07-03,368,370.8,367.2,369.4,771500,363.516
2015-07-06,367,374.65,366.65,373.7,2028800,367.748
2015-07-07,373.05,374.8,365.1,367.6,2027600,361.745
2015-07-08,365,368,354.35,355.85,2585600,350.182
2015-07-09,358.55,358.55,350,353,1249000,349.588
2015-07-10,351.8,364,351.8,361.15,1772400,357.659
2015-07-13,364.7,380,360.4,373.75,1779700,370.137
2015-07-14,374.95,375.5,367.25,374.5,1475500,370.88
2015-07-15,375.65,385.9,373.25,375.6,5729200,371.97
2015-07-16,379.45,382.95,376.05,382.2,1989400,378.506
2015-07-17,384.25,385,373.75,377.3,1389700,373.653
2015-07-20,376.5,381.4,370.8,378.65,1653900,374.99
2015-07-21,377.3,389,377.3,387.2,3689400,383.457
2015-07-22,387,408.2,387,407.25,3606000,403.314
2015-07-23,409,409.3,393.65,395.25,2771700,391.43
2015-07-24,398.9,402.8,388,391.05,2368100,387.27
2015-07-27,394,400.1,389.85,393,1457500,389.201
2015-07-28,392.8,400.6,388.9,392.1,2306500,388.31
2015-07-29,393.7,401.75,392.5,400.5,1611700,396.629
2015-07-30,404.45,404.45,395.5,399.7,3066800,395.837
2015-07-31,401,402.3,394.5,398.8,1641600,394.945
2015-08-03,398.85,402.2,396.5,398.7,667200,394.846
2015-08-04,403,405.3,399.05,403.2,2609800,399.303
2015-08-05,408.4,416.85,406.5,414.5,3415300,410.494
2015-08-06,414.5,416,407.7,415.05,1906600,411.038
2015-08-07,415.25,417.7,406.8,410.4,1647400,406.433
