"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2015-08-17,20630,20750,20348,20664.8,40200,20552.22
2015-08-18,20850.4,21040,20671,20944.6,48800,20830.5
2015-08-19,20985,21360,20750.2,21235.5,52100,21119.81
2015-08-20,21248,21596,20916.4,21017.6,68600,20903.1
2015-08-21,20898,20898,20300,20464.8,74500,20353.31
2015-08-24,19964.8,19965,17821,18585.5,128900,18484.25
2015-08-25,18851.1,19195.9,17900,18698.9,138500,18597.03
2015-08-26,18689.9,19194.9,18499.9,18567,75400,18465.85
2015-08-27,18950,19499.8,18723.2,18771.6,68900,18669.34
2015-08-28,19000,19145.8,18533.1,18919.2,75700,18816.13
2015-08-31,18944,19189.7,18772.1,19014.8,150000,18911.21
2015-09-01,18890,19088,18034.2,18259.3,101000,18159.83
2015-09-02,18435,18720,18230,18377.2,94000,18277.08
2015-09-03,18577,18643,18303.2,18382.7,47500,18282.55
2015-09-04,18382.7,18383.1,17760,18177.7,61500,18078.67
2015-09-07,18215,18300,17290.4,17442.9,73600,17347.88
2015-09-08,17477.8,17477.8,16711.1,17234.2,124800,17140.31
2015-09-09,17500,18027.3,17322.3,17967.3,104800,17869.42
2015-09-10,17750,18694.4,17450.1,18496.9,97700,18396.13
2015-09-11,18590,19024,18590,18882.1,90600,18779.23
2015-09-14,18975,19080,18511.2,18836.5,49500,18733.88
2015-09-15,18829.7,18964.9,18420,18576.3,86000,18475.1
2015-09-16,18650,18750,17628.8,17937,114700,17839.28
2015-09-17,17937,17937,17937,17937,0,17839.28
2015-09-18,18149.7,18475,18110,18234.4,56600,18135.06
2015-09-21,18150,18560,18052.2,18478.2,33100,18377.53
2015-09-22,18579,18746.9,18228.2,18334.9,38400,18235.02
2015-09-23,18100,18599,18100,18254.4,37600,18154.96
2015-09-24,18299.9,18332.8,17703.3,17776.2,99000,17679.36
2015-09-25,17776.2,17776.2,17776.2,17776.2,0,17679.36
2015-09-28,17914.8,17930,17200,17282.6,52400,17188.45
2015-09-29,17100,17788.7,16842,17440.7,83500,17345.69
2015-09-30,17580.2,17844,17183.9,17791.6,92100,17694.68
2015-10-01,18001,18333,17619.8,18286.3,110400,18186.68
2015-10-02,18286.3,18286.3,18286.3,18286.3,0,18186.68
2015-10-05,18440,18800,18400,18772.8,70200,18670.53
2015-10-06,18924.7,18935,18575,18630.2,46600,18528.71
2015-10-07,18550,18988,18542.6,18905.2,57400,18802.21
2015-10-08,19000,19005.2,18607.8,18666.3,36600,18564.61
2015-10-09,18750,18863.2,18252.6,18318.2,63400,18218.41
2015-10-12,18341.1,18518.2,17931,17982.4,47800,17884.44
2015-10-13,17994.8,18182,17652.2,17820.3,67200,17723.22
2015-10-14,17800,18289,17800,18180.2,30700,18081.16
