"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2015-06-25,61.2,63.4,60.7,62.8,3654400,62.54
2015-06-26,62.3,62.85,61.1,62.45,1777600,62.19
2015-06-29,60.95,61.4,59.55,60.1,1870900,59.85
2015-06-30,60.1,62.8,60,61.45,1741800,61.19
2015-07-01,62,65.35,61.25,64.45,3085300,64.18
2015-07-02,64.65,65.25,64.05,64.8,2166400,64.53
2015-07-03,64.6,65,62.6,63.15,1407400,62.89
2015-07-06,63,64.5,61.3,63.85,2079400,63.58
2015-07-07,64.2,64.45,62.6,63.2,1881100,62.94
2015-07-08,62.45,62.45,59,59.4,5936600,59.15
2015-07-09,60,60.2,59.25,59.8,2087900,59.55
2015-07-10,60.05,60.5,58.75,59.1,2908100,58.85
2015-07-13,59.6,59.8,57.1,58.35,3230400,58.11
2015-07-14,58.3,59.3,57.85,58,2144400,57.76
2015-07-15,58.5,58.8,57.35,57.5,2210700,57.26
2015-07-16,57.9,58.25,57.35,57.7,1896300,57.46
2015-07-17,57.95,58.9,57.5,58.2,2391700,57.96
2015-07-20,58.5,58.65,57.6,57.7,1471300,57.46
2015-07-21,57.95,57.95,56.55,56.75,1943600,56.51
2015-07-22,56.7,58.25,56.05,58,1845600,57.76
2015-07-23,58.5,59.65,57.75,58.9,3000400,58.65
2015-07-24,58.9,59.15,57.9,58.15,2158900,57.91
2015-07-27,57.6,57.8,56.3,56.55,1527000,56.31
2015-07-28,56.9,58.2,56,58,3358800,57.76
2015-07-29,58.15,58.75,56.55,58.45,2630000,58.21
2015-07-30,58.5,59.5,58,58.4,5765500,58.16
2015-07-31,58.1,58.85,56,56.2,3966700,55.97
2015-08-03,56.3,57.15,56.2,56.6,1341400,56.36
2015-08-04,56.75,60.1,56.1,58.95,3670100,58.7
2015-08-05,59.7,62,59.7,60.4,4680600,60.15
2015-08-06,60.5,62.1,60.25,61.3,2638800,61.04
2015-08-07,61.45,61.9,60.2,61.15,3090600,60.89
2015-08-10,61.15,61.15,59.6,59.9,4210000,59.65
2015-08-11,60.1,60.5,57.4,58.05,4832000,58.05
2015-08-12,58,60.65,56.85,58.1,7313200,58.1
2015-08-13,58.3,58.45,54.9,56.05,5536000,56.05
2015-08-14,55.85,57.25,53.8,56.55,9945700,56.55
2015-08-17,56.05,58.1,54.1,57.4,5583100,57.4
2015-08-18,57.5,58.2,55.65,57.15,5139100,57.15
2015-08-19,56,58.35,56,57.55,3721500,57.55
2015-08-20,57.15,57.2,55.9,56.25,3814900,56.25
2015-08-21,55.25,56.6,54.75,55.65,2444900,55.65
2015-08-24,54.45,54.65,49.1,50.35,7790600,50.35
2015-08-25,50.65,51.8,47.1,50.95,4660400,50.95
2015-08-26,50.5,50.75,48.75,49.05,6051700,49.05
2015-08-27,50.4,50.9,49.55,50.65,4013900,50.65
2015-08-28,51.6,53,51.05,52.05,3110700,52.05
2015-08-31,51.75,52.6,49.3,49.75,3241000,49.75
2015-09-01,49.4,49.95,46.6,46.95,3243500,46.95
2015-09-02,48,48.4,46.25,46.55,3360900,46.55
2015-09-03,47.3,49.65,47,48.8,3036600,48.8
2015-09-04,49.45,49.45,46.75,47.2,2575500,47.2
2015-09-07,47.35,48.5,46.9,47.65,1683300,47.65
2015-09-08,47.8,52.5,47.3,51.6,5799000,51.6
2015-09-09,52.3,55.15,51.3,54.1,6300400,54.1
2015-09-10,53.05,53.35,51.65,52.15,5706800,52.15
2015-09-11,52.9,53.4,50.6,51.05,4194300,51.05
2015-09-14,51.25,52.95,51.05,52.05,3254700,52.05
2015-09-15,52.8,53.25,50.05,50.3,4183500,50.3
2015-09-16,51.25,52.1,50.3,51.95,3962800,51.95
2015-09-17,51.95,51.95,51.95,51.95,0,51.95
2015-09-18,52.25,52.8,51.1,51.95,3056500,51.95
2015-09-21,52.05,52.5,51.1,51.7,1842200,51.7
2015-09-22,51.95,52.4,50.5,50.7,2132900,50.7
2015-09-23,50.2,51.3,49.25,50.8,2442700,50.8
2015-09-24,50.7,53.8,50.1,53,6414900,53
2015-09-25,53,53,53,53,0,53
