"Date","VOLTAS.NS.Open","VOLTAS.NS.High","VOLTAS.NS.Low","VOLTAS.NS.Close","VOLTAS.NS.Volume","VOLTAS.NS.Adjusted"
2015-06-22,338.5,356.2,336.5,352.3,3173300,347.206
2015-06-23,354,359.9,352.25,358.5,2856500,353.316
2015-06-24,358.9,359,335.4,338.75,4438300,333.852
2015-06-25,336.7,342.25,331.2,338.75,4670300,333.852
2015-06-26,337.8,340.8,334.95,338,1517600,333.113
2015-06-29,332.75,332.75,323.65,328.95,1887800,324.193
2015-06-30,323,325.95,313.5,315.3,4053700,310.741
2015-07-01,316.7,323.4,315,322.25,2906600,317.59
2015-07-02,323.9,329,319.05,320.35,2383100,315.718
2015-07-03,322.8,325.3,315.3,317,1978100,312.416
2015-07-06,312,322.6,311.1,321.6,1342400,316.95
2015-07-07,321.2,325.35,317,318.45,1224100,313.845
2015-07-08,316,323.95,313.05,319.35,1710000,314.732
2015-07-09,321.85,324.9,317.55,319.7,1510700,315.077
2015-07-10,321.5,321.5,310.75,312.45,1559700,310.115
2015-07-13,312.9,315.3,305.25,309.55,2008200,307.236
2015-07-14,310.1,316,310,313.55,1714300,311.206
2015-07-15,314.95,315.4,311.1,312.05,967100,309.718
2015-07-16,313,316.9,312.65,314.6,1398600,312.249
2015-07-17,316.55,318.5,313.65,314.75,1491200,312.397
2015-07-20,315.75,317.4,309.35,314.55,1239100,312.199
2015-07-21,315.3,317.25,306,308.35,1352100,306.045
2015-07-22,310.3,311.9,306.1,308.2,1535500,305.896
2015-07-23,308.5,317,307,315.85,2062800,313.489
2015-07-24,315.95,320.4,313.1,317.6,2425500,315.226
2015-07-27,316,316,303.1,304.75,1287300,302.472
2015-07-28,305.05,309.25,301,307.3,1514100,305.003
2015-07-29,309.45,315.2,308.3,311.95,2225100,309.618
2015-07-30,313.3,315,306.7,313.1,1553000,310.76
2015-07-31,314.95,323,313.1,317.6,2041000,315.226
2015-08-03,318,320.95,316.75,318.6,1840300,316.219
2015-08-04,319,323.75,314.35,320,2946100,317.608
2015-08-05,321,328.1,320.4,325.1,2363600,322.67
2015-08-06,326.3,330.4,322.75,327.6,2263400,325.151
2015-08-07,327.9,329,316.3,317.6,1792300,315.226
2015-08-10,316.6,319.75,303,305.35,2216100,303.068
2015-08-11,306,310,302.7,305.25,1519500,302.968
2015-08-12,304.2,305.85,281.45,298.55,7136600,296.318
2015-08-13,298,307,293,304.2,2715400,301.926
2015-08-14,302,317,302,315.3,2293000,312.943
2015-08-17,313.55,322.1,311.1,314.55,1978800,312.199
2015-08-18,313,318.4,303.75,304.6,1833400,302.323
2015-08-19,303,308.75,298.6,306.35,1243800,304.06
2015-08-20,304.9,304.9,293.4,296.6,3189200,294.383
2015-08-21,291,294.35,283.15,288.9,2854200,286.741
2015-08-24,280.3,281,250.8,264.35,5630300,262.374
2015-08-25,264.5,276.7,245.7,272.45,3855500,270.414
