"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2015-05-01,969.85,969.85,969.85,969.85,0,944.67
2015-05-04,931.2,945,817.6,828,5463800,806.5
2015-05-05,820.05,851.7,798.3,846.7,6022700,824.72
2015-05-06,848,857.7,810.55,814.45,2164200,793.3
2015-05-07,805,821.8,761.05,770.9,1648400,750.88
2015-05-08,776,802.4,766.2,790.05,1585200,769.54
2015-05-11,799.4,827,788.8,823.2,1170000,801.83
2015-05-12,823,823,801.1,806.9,1105900,785.95
2015-05-13,807.35,821.15,791,813.1,1175500,791.99
2015-05-14,811,830,802.15,817.5,864700,796.27
2015-05-15,824,846,819,839.6,670200,817.8
2015-05-18,835.65,847,832.25,844.4,448000,822.48
2015-05-19,846.75,856.5,838,845.6,541500,823.65
2015-05-20,854.5,862,829.8,836.15,1412600,814.44
2015-05-21,838,838,814.95,824.45,706500,803.04
2015-05-22,828,834.15,817.05,824.65,386900,803.24
2015-05-25,824.45,837.6,822,828.45,295000,806.94
2015-05-26,838,844,826.3,835.85,425800,814.15
2015-05-27,834,837.5,821,834.25,647400,812.59
2015-05-28,833.3,843.85,828.15,832.95,909200,811.32
2015-05-29,833.35,850,819.65,823.6,1506800,802.22
2015-06-01,831.25,831.25,816.65,823.2,625600,801.83
2015-06-02,823.5,827.5,802,807.3,1112300,786.34
2015-06-03,812,827.1,805.75,820.65,1289400,799.34
2015-06-04,817.6,825.7,811.85,816.1,758100,794.91
2015-06-05,819.9,835.6,812.3,825.55,330000,804.12
2015-06-08,825.55,834.55,805,815,279300,793.84
2015-06-09,820,826.95,804.2,817.2,479500,795.98
2015-06-10,824.75,837.3,822,832.55,414600,810.93
2015-06-11,835,837.9,778,791.8,715000,771.24
2015-06-12,785,819.75,775.65,814.85,912300,793.69
2015-06-15,818,825,802.15,821.25,703700,799.93
2015-06-16,820,831,817,823.05,1173900,801.68
2015-06-17,829.95,843.85,820.5,831.05,1289000,809.47
2015-06-18,834,897.9,831.05,873.15,1563700,850.48
2015-06-19,877,923.6,875,885.1,3438200,862.12
2015-06-22,888,907,872.5,891.25,1271800,868.11
2015-06-23,886.55,915,886.55,899.9,1136200,876.54
2015-06-24,903,904,886.6,891.8,543000,868.65
2015-06-25,896,898.3,852,878.95,1771400,856.13
2015-06-26,884.65,893.85,874.45,883.2,782200,860.27
2015-06-29,870,879.95,853.25,868.65,457600,846.1
2015-06-30,868.65,875.85,848.25,853.45,863300,831.29
2015-07-01,870,895,868.75,890.65,1623900,867.53
2015-07-02,900,931.5,895.1,927.95,1278800,903.86
2015-07-03,925,935,902.3,906.7,657300,883.16
2015-07-06,891,919.95,891,901.7,687200,878.29
2015-07-07,905,947.9,905,940.7,827800,916.28
2015-07-08,915,964.7,915,947.6,1037700,923
2015-07-09,944.75,944.75,920,928.95,442800,904.83
2015-07-10,936.7,948.95,930.5,939.6,428300,915.2
2015-07-13,948,957,922.05,924.6,526200,900.59
2015-07-14,926,929.2,902,907.45,558300,883.89
2015-07-15,914.7,917.3,879.3,887.8,903900,864.75
2015-07-16,890,900.6,885,889.15,654500,866.06
2015-07-17,894.5,905,888.3,898.6,317600,875.27
2015-07-20,904,910,888,890.25,321100,867.14
2015-07-21,893.9,901.9,871.3,878.45,338400,861.45
2015-07-22,877,887,870,880,295100,868.9
2015-07-23,889.3,903.3,875,879.25,336900,868.16
2015-07-24,880,886.7,870.2,879.65,213100,868.56
2015-07-27,875,883.45,845.55,848.2,462300,837.5
2015-07-28,852,856,840,842.55,439900,831.93
2015-07-29,851.9,871,848,852.6,419500,841.85
2015-07-30,855,883.7,854.05,861.4,507000,850.54
2015-07-31,868.5,898,861.3,891.4,661300,880.16
2015-08-03,900,920.9,872,917.7,789000,906.13
2015-08-04,920,923,900,907.75,450800,896.3
2015-08-05,914,920,899.65,903.45,339500,892.06
2015-08-06,909,914,893,898.5,438500,887.17
2015-08-07,902,904.3,892.75,898.35,337800,887.02
2015-08-10,898,907,880,887.45,275500,876.26
2015-08-11,890,897,872.1,878.15,203000,867.08
2015-08-12,878.15,878.15,878.15,878.15,0,867.08
2015-08-13,863.1,870,819.35,824.9,900500,814.5
2015-08-14,828,870.4,828,867.45,431800,856.51
2015-08-17,868,884.5,849.6,854.55,284000,843.77
2015-08-18,860,875.7,855,856.85,235900,846.05
2015-08-19,863,874.9,855,862.7,229100,851.82
2015-08-20,861.35,873,843.5,850.8,407700,840.07
2015-08-21,835,861,828,848.85,703400,838.15
2015-08-24,829,838.8,790.3,824.25,768000,813.86
2015-08-25,824.9,838,790,813.45,1056900,803.19
2015-08-26,814.9,828,804.6,812.3,671700,802.06
2015-08-27,836,836,814.3,819.35,405900,809.02
2015-08-28,825,834.45,812.1,818.25,410700,807.93
2015-08-31,818.85,827.5,809,813.05,644500,802.8
2015-09-01,814.4,837,810,818.65,354900,808.33
2015-09-02,822,874.5,820.7,861.4,1352000,850.54
2015-09-03,867,873.9,850.65,866,419700,855.08
2015-09-04,874.9,874.9,849,857.05,643000,846.24
2015-09-07,850,860,800.85,803.45,273400,793.32
2015-09-08,805,833,802.95,820.9,421100,810.55
2015-09-09,829,849.5,822,839.3,309000,828.72
2015-09-10,834,882.95,817.2,871,934800,860.02
2015-09-11,884,899.5,874.1,879.1,409600,868.01
2015-09-14,887.85,887.85,865,867.1,212800,856.17
2015-09-15,867.1,867.1,867.1,867.1,0,856.17
2015-09-16,867.7,882,855,873.4,285400,862.39
2015-09-17,873.4,873.4,873.4,873.4,0,862.39
2015-09-18,888,913,877,908.5,1056900,897.04
2015-09-21,907.8,928.9,893.35,909.25,474800,897.78
2015-09-22,912,923,883.4,890.15,314100,878.93
2015-09-23,889.9,891.9,865,881.2,346200,870.09
2015-09-24,885,900.5,865.55,876.6,1888200,865.55
2015-09-25,876.6,876.6,876.6,876.6,0,865.55
2015-09-28,876.9,911.1,872.1,888.95,344400,877.74
2015-09-29,878.95,942.6,871.1,936.25,895800,924.44
2015-09-30,940.7,944.95,905,925.05,756400,913.39
2015-10-01,925.05,940.5,912,929.7,487100,917.98
2015-10-02,929.7,929.7,929.7,929.7,0,917.98
2015-10-05,931.9,949.9,927.5,945,696100,933.08
2015-10-06,952,977,944.2,955.9,638700,943.85
2015-10-07,956,978.6,938.5,973.35,368900,961.08
2015-10-08,962,972,943.85,948.85,623700,936.88
