"Date","AMARAJABAT.NS.Open","AMARAJABAT.NS.High","AMARAJABAT.NS.Low","AMARAJABAT.NS.Close","AMARAJABAT.NS.Volume","AMARAJABAT.NS.Adjusted"
2015-04-10,888.79999,897.65002,857.5,870.09998,156300,862.83452
2015-04-13,871.20001,882,867.04999,875.40002,73900,868.09032
2015-04-14,875.40002,875.40002,875.40002,875.40002,0,868.09032
2015-04-15,882,886.79999,856,865,188500,857.77713
2015-04-16,865,872.20001,853,861.04999,64900,853.86011
2015-04-17,864,870.79999,855.5,864.65002,90000,857.43008
2015-04-20,868.09998,868.09998,831.59998,850.15002,239900,843.05116
2015-04-21,847,847,815,825.75,212300,818.85488
2015-04-22,828,839,826.04999,834.15002,406900,827.18476
2015-04-23,838,839,817,829.90002,166500,822.97025
2015-04-24,828.25,832.65002,815,816.79999,52300,809.9796
2015-04-27,817.5,828,782,790.90002,542500,784.2959
2015-04-28,785.09998,809.90002,777.79999,800.04999,358700,793.36946
2015-04-29,802.29999,806.54999,790,798.84998,71000,792.17947
2015-04-30,787.09998,809,777,794.79999,231000,788.1633
2015-05-01,794.79999,794.79999,794.79999,794.79999,0,788.1633
2015-05-04,800,814.79999,791.20001,798.34998,188300,791.68365
2015-05-05,800.15002,825.79999,800.09998,821.75,163800,814.88828
2015-05-06,820.90002,827.5,795,811.75,156300,804.97178
2015-05-07,827.79999,830.79999,800.29999,824,201200,817.11949
2015-05-08,830.5,830.5,810.59998,817.09998,59100,810.27708
2015-05-11,816.09998,825,803,810.29999,61700,803.53387
2015-05-12,813.34998,822.79999,803,810.34998,79100,803.58344
2015-05-13,815.70001,821,806.59998,815.29999,84800,808.49212
2015-05-14,811.34998,840.79999,811.34998,834.84998,173100,827.87887
2015-05-15,835,850.79999,832.20001,839.95001,125100,832.93632
2015-05-18,847,848,835.40002,842.84998,121200,835.81207
2015-05-19,850,850,837.04999,838.90002,69600,831.8951
2015-05-20,838.09998,846.34998,836,838.5,58000,831.49841
2015-05-21,841.95001,846.79999,830.04999,833.79999,243000,826.83765
2015-05-22,833.79999,871.45001,826,867.15002,422700,859.90921
2015-05-25,872,888.79999,866,883.90002,232100,876.51934
2015-05-26,886.09998,888.79999,862.59998,877.65002,97500,870.32153
