"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2015-08-24,138,138,120.75,122.95,3328500,106.86
2015-08-25,125,131,122,125.85,5451000,109.38
2015-08-26,125.05,133.45,124.7,129.75,2411600,112.77
2015-08-27,132.85,141.4,132.1,139.25,7471900,121.03
2015-08-28,146.35,150.6,142.3,145.6,5933400,126.55
2015-08-31,147,150.3,145.05,148.95,3570200,129.46
2015-09-01,148.5,153,144.5,145.55,2774400,126.5
2015-09-02,145.5,145.5,139.8,141,2198400,122.55
2015-09-03,142.9,150.5,142,149.3,2623800,129.76
2015-09-04,148,148,143.1,146.8,1849100,127.59
2015-09-07,146.9,149.5,145.5,147.35,1154800,128.07
2015-09-08,147,147,141,144.5,1272400,125.59
2015-09-09,148,152.2,146.95,150,2313100,130.37
2015-09-10,145.45,153,144.25,151.5,2363300,131.68
2015-09-11,152,153.5,145,145.65,1211200,126.59
2015-09-14,145.8,145.8,139.8,143.6,1721200,124.81
2015-09-15,143.5,147.55,141.65,145.3,1440400,126.29
2015-09-16,149,149,141.65,144.4,2589600,125.5
2015-09-17,144.4,144.4,144.4,144.4,0,125.5
2015-09-18,143,146,141.15,143.5,4817000,124.72
2015-09-21,142.8,144,142,142.7,2076400,124.03
2015-09-22,145,145.15,141,141.65,3114900,127.59
2015-09-23,140.9,149.8,140.1,148,2033600,133.3
2015-09-24,147,151.1,144.6,150.15,6937100,135.24
2015-09-25,150.15,150.15,150.15,150.15,0,135.24
2015-09-28,149.2,149.6,145.65,147.55,1560700,132.9
2015-09-29,145,147.9,143.65,145.1,1437600,130.69
2015-09-30,148,155.2,145.5,153.35,2665400,138.12
2015-10-01,153.1,155.4,152.15,153.2,1662900,137.99
2015-10-02,153.2,153.2,153.2,153.2,0,137.99
2015-10-05,154,157.25,151.9,154.9,2042000,139.52
2015-10-06,156.4,159.65,153,158.8,1919600,143.03
2015-10-07,161,169,161,166.9,3982500,150.33
2015-10-08,166.8,170.55,164.15,168.65,3186300,151.9
2015-10-09,170.75,172.8,167.5,168.3,2048300,151.59
2015-10-12,168.5,172.45,166.35,167.35,2436400,150.73
2015-10-13,164.1,167.65,163.95,165,1549600,148.62
2015-10-14,163.9,166.7,158.15,158.7,2638200,142.94
2015-10-15,158.7,161.45,158.3,159.85,1588400,143.98
2015-10-16,161.35,161.35,157.15,160.4,1624400,144.47
2015-10-19,160.05,161.9,158.4,159.75,759700,143.89
2015-10-20,158.3,159.5,153,153.55,1609900,138.3
2015-10-21,153,155.1,151.65,154.25,1900500,138.93
2015-10-22,154.25,154.25,154.25,154.25,0,138.93
2015-10-23,152.9,161,152.55,158.05,6345400,142.36
2015-10-26,159.8,160,155.25,158.15,1815100,142.45
2015-10-27,158.15,160,156.2,157.9,1660500,142.22
2015-10-28,154.7,155.85,152,153.6,2410400,138.35
2015-10-29,155.9,157.4,152.8,153.9,2645300,138.62
2015-10-30,154.3,157.7,152.6,153.4,1324500,138.17
2015-11-02,153.6,154,150.6,153.4,1071100,138.17
2015-11-03,153.6,155.95,153.4,154.9,1385500,139.52
2015-11-04,156.1,157.4,152.5,153.1,1365800,137.9
2015-11-05,153,154.25,149.6,150.35,1365300,135.42
2015-11-06,150.5,152.3,149.15,150.8,2193700,135.83
2015-11-09,147.7,149.95,143.35,144.9,1740600,130.51
2015-11-10,145,145.9,136.75,137.9,2529500,124.21
2015-11-11,139,139.95,137,138.25,354500,124.52
2015-11-12,138.25,138.25,138.25,138.25,0,124.52
2015-11-13,137,137,130,130.7,3122600,117.72
2015-11-16,130.25,133.25,129,131.55,2048400,118.49
2015-11-17,133,136.5,132.35,135.75,1759900,122.27
2015-11-18,135.7,137.1,133.8,134.7,1280600,121.33
2015-11-19,140,140,135,135.95,1873100,122.45
2015-11-20,135.5,137.65,133.4,137.05,1426000,123.44
2015-11-23,138.35,139.45,136.05,138.1,1539900,124.39
2015-11-24,137.2,141.35,137.2,138.65,2104600,124.88
2015-11-25,138.65,138.65,138.65,138.65,0,124.88
2015-11-26,139.15,140.1,135.7,138.05,2972700,124.34
2015-11-27,139,139.7,136,136.7,2026800,123.13
2015-11-30,136.1,136.4,133,134.75,3340900,121.37
2015-12-01,135.05,137.75,134.65,137.2,1382700,123.58
