"Date","IDEA.NS.Open","IDEA.NS.High","IDEA.NS.Low","IDEA.NS.Close","IDEA.NS.Volume","IDEA.NS.Adjusted"
2016-04-21,116.75,118.65,115.7,117,3535200,116.17
2016-04-22,115.1,118.5,115,117.65,2569400,116.81
2016-04-25,117.45,119.15,117,118.15,2909000,117.31
2016-04-26,118.1,124.4,118.1,123.75,6112700,122.87
2016-04-27,123.5,127.6,123.05,125,5653100,124.11
2016-04-28,125.05,128.35,125.05,126.5,8621900,125.6
2016-04-29,122.5,124.8,115.3,118.55,14291300,117.71
2016-05-02,118,119.7,116.1,117.7,3489000,116.86
2016-05-03,118,121.25,117,119.9,3611000,119.05
2016-05-04,118.55,121.05,117.35,119.85,2419600,119
2016-05-05,120.8,120.95,111.6,113.5,6199000,112.69
2016-05-06,113,114.8,112.05,114.2,4157200,113.39
2016-05-09,114.5,115.45,112.5,113.45,3561400,112.64
2016-05-10,114.1,114.5,112.25,112.75,3248800,111.95
2016-05-11,112.3,117.45,109.8,110.8,11957300,110.01
2016-05-12,111.8,113.25,111.2,111.95,2993600,111.15
2016-05-13,112.45,114.4,111.95,113.55,4810800,112.74
2016-05-16,113.85,114.05,110.5,112.1,2739600,111.3
2016-05-17,112.8,114.65,110.75,111.2,4272100,110.41
2016-05-18,110.5,111.25,109.35,110.5,2842200,109.71
2016-05-19,110.6,110.95,106.75,107.55,3256000,106.79
2016-05-20,108,111.4,107.45,109.15,4363200,108.37
2016-05-23,109.75,111,108.65,110.2,3785000,109.42
2016-05-24,110,110.9,105.35,107.4,6318700,106.64
2016-05-25,105.3,110.6,105.3,109.55,5384100,108.77
2016-05-26,110,114.8,110,113.8,7679500,112.99
2016-05-27,113.9,115.4,112,113,4327300,112.2
2016-05-30,112.8,117.35,112,113.45,4894800,112.64
2016-05-31,114.45,116.2,111.7,114.95,12823700,114.13
2016-06-01,115.75,118.25,114.45,117.75,4208300,116.91
2016-06-02,115.5,121.8,115.5,118.55,7531300,117.71
