"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2015-03-06,26.45,26.45,26.45,26.45,0,26.45
2015-03-09,26.5,27.6,26.2,26.95,76801500,26.95
2015-03-10,27.3,27.4,26.35,26.65,33397200,26.65
2015-03-11,26.65,26.95,25.15,25.45,36694500,25.45
2015-03-12,25.75,27.4,25.65,27.05,40870600,27.05
2015-03-13,27.6,27.75,26,26.25,53686300,26.25
2015-03-16,26.35,26.85,25.8,26,29328100,26
2015-03-17,26.15,27.1,26.15,26.6,34521700,26.6
2015-03-18,26.65,29.9,26.5,29.5,153494400,29.5
2015-03-19,30,31.35,28.05,28.65,136829000,28.65
2015-03-20,28.55,29.45,26.5,27,102245600,27
2015-03-23,27.35,28.1,26.35,27.3,62410000,27.3
2015-03-24,27.35,27.7,26.75,26.95,34061800,26.95
2015-03-25,27.05,27.35,26.5,26.6,27291600,26.6
2015-03-26,26.4,27.1,26.05,26.3,29714400,26.3
2015-03-27,26.8,27.2,25.8,26.75,38839400,26.75
2015-03-30,27.1,27.95,27.05,27.6,38027600,27.6
2015-03-31,27.8,28.15,27.2,27.35,31109400,27.35
2015-04-01,27.2,27.35,25.65,26.45,85726600,26.45
2015-04-02,26.45,26.45,26.45,26.45,0,26.45
2015-04-03,26.45,26.45,26.45,26.45,0,26.45
2015-04-06,27.4,28.1,27.15,27.6,68514300,27.6
2015-04-07,27.75,29.65,27.35,29.4,120882200,29.4
2015-04-08,29.55,30.25,28.25,28.45,110533200,28.45
2015-04-09,28.95,29.55,27.55,29.15,127159100,29.15
2015-04-10,29.3,29.3,28.15,28.25,43801700,28.25
2015-04-13,28.4,28.7,27.95,28.2,37909400,28.2
2015-04-14,28.2,28.2,28.2,28.2,0,28.2
2015-04-15,28.3,29,27.85,28.3,58737200,28.3
2015-04-16,28.4,28.6,27.3,27.85,43666800,27.85
2015-04-17,27.95,28.5,27.4,27.65,42450100,27.65
2015-04-20,27.55,27.65,26.2,26.4,32372100,26.4
2015-04-21,26.45,26.75,25.85,26,33174300,26
2015-04-22,26.1,26.5,24.9,25.75,42455400,25.75
2015-04-23,26,26.3,25.5,25.7,24380800,25.7
2015-04-24,25.85,25.9,24.3,24.55,45842800,24.55
2015-04-27,24.8,24.9,22.65,22.9,51770800,22.9
2015-04-28,22.3,24.5,22.25,24,37923300,24
2015-04-29,24.2,25.45,23.8,23.95,44977900,23.95
2015-04-30,24,24.35,23.55,23.8,31076900,23.8
2015-05-01,23.8,23.8,23.8,23.8,0,23.8
2015-05-04,24.1,24.9,24.1,24.7,30837300,24.7
2015-05-05,24.8,24.8,23.9,24.05,25408300,24.05
2015-05-06,23.95,24,22.8,23,41375500,23
2015-05-07,23,23.55,22.6,23,39530200,23
2015-05-08,23.5,24.3,23.45,24.05,30983600,24.05
2015-05-11,24.3,24.9,24.25,24.35,24938400,24.35
2015-05-12,24.35,24.45,23.2,23.3,22932200,23.3
2015-05-13,23.5,24.1,23.3,23.95,24880100,23.95
2015-05-14,23.85,24.4,23.5,24.15,20876400,24.15
2015-05-15,24.5,26.1,24.5,25.55,56133600,25.55
2015-05-18,25.6,26.6,24.55,26.15,54680600,26.15
2015-05-19,26.4,26.85,25.95,26.15,52196900,26.15
2015-05-20,26.35,26.45,25.6,25.75,19666500,25.75
2015-05-21,25.6,25.85,25.1,25.25,15942900,25.25
2015-05-22,25.3,25.65,24.9,25,13641400,25
2015-05-25,25,25.45,24.55,24.75,18495400,24.75
2015-05-26,24.75,25.7,24.55,25.15,31884900,25.15
2015-05-27,24.85,25.2,24.65,25.05,16540600,25.05
2015-05-28,25.15,25.85,25.15,25.35,21136900,25.35
2015-05-29,25.45,25.75,24.85,25.2,23004800,25.2
2015-06-01,23.8,24.55,23.6,23.9,31264700,23.9
2015-06-02,23.9,24.15,22.75,22.9,38842800,22.9
2015-06-03,22.95,23.15,20.2,20.85,77666300,20.85
2015-06-04,21.2,21.6,20.65,21.35,28282600,21.35
2015-06-05,21.35,21.8,20.9,21.35,22419100,21.35
2015-06-08,21.4,21.55,20.15,20.5,18259100,20.5
2015-06-09,20.35,20.65,20,20.45,31239100,20.45
2015-06-10,20.5,20.85,20.3,20.65,26527500,20.65
2015-06-11,20.75,21.85,20.6,21.25,40958100,21.25
2015-06-12,21.35,21.95,21.25,21.8,26547900,21.8
2015-06-15,21.7,22.15,21.6,22,21950700,22
2015-06-16,22,22.3,21.45,21.75,16658900,21.75
2015-06-17,22,22.05,21.6,21.75,17228500,21.75
2015-06-18,21.8,22.95,21.7,22.45,33617500,22.45
2015-06-19,22.65,23.2,22.45,22.9,30444200,22.9
2015-06-22,23.25,24.35,23.15,24.15,43320200,24.15
2015-06-23,24.3,24.6,23.4,23.55,25601900,23.55
2015-06-24,23.75,23.75,22.4,22.55,22650500,22.55
2015-06-25,22.55,22.7,21.9,22.6,30059900,22.6
2015-06-26,22.4,22.55,21.9,22,26895300,22
2015-06-29,21,21.65,20.55,21.45,23962900,21.45
2015-06-30,21.55,22.45,21.45,22.2,27247700,22.2
2015-07-01,22.45,23.3,22.3,23.15,33003400,23.15
2015-07-02,23.3,23.3,22.55,22.65,21970500,22.65
2015-07-03,22.7,22.95,22.15,22.25,17466000,22.25
2015-07-06,21.6,22.5,21.6,22.4,19745100,22.4
2015-07-07,22.5,22.7,22.05,22.15,16044200,22.15
2015-07-08,21.75,22.15,21.3,21.7,23634500,21.7
