"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2015-02-25,1983.5,1983.5,1944.3,1946.55,132000,942.58
2015-02-26,1945,1945,1904,1928.6,278700,933.888
2015-02-27,1934,1955,1914,1921.1,183600,930.256
2015-03-02,1955.4,1985,1925,1975.1,243600,956.404
2015-03-03,1976.85,2028,1970.2,2008.56,439000,972.607
2015-03-04,2006.3,2015,1962.5,1981.75,339200,959.625
2015-03-05,1980,2075,1969.5,2070.24,711000,1002.474
2015-03-06,2070.24,2070.24,2070.24,2070.24,0,1002.474
2015-03-09,2060.64,2120,2051.76,2105.86,654300,1019.722
2015-03-10,2107.76,2128.7,2070.9,2088.1,386900,1011.123
2015-03-11,2085.1,2127.6,2085,2110.5,170900,1021.969
2015-03-12,2119.7,2139,2108,2118.64,415600,1025.911
2015-03-13,2125,2125,2056.94,2069.1,192300,1001.922
2015-03-16,2074.9,2074.9,2029.1,2038.2,251600,986.959
2015-03-17,2038.1,2065.7,2032.84,2058.4,266200,996.741
2015-03-18,2060.6,2084,2011,2017.8,185100,977.081
2015-03-19,2035,2057.8,2023.7,2034,177700,984.926
2015-03-20,2029.84,2038.8,1994,2010.3,151600,973.449
2015-03-23,2005.1,2019.24,1976,1979.8,296800,958.68
2015-03-24,1993,2069.94,1980,2057.44,518600,996.276
2015-03-25,2069.7,2073.1,2028.4,2038,223500,986.863
2015-03-26,2033,2053.64,1970.05,1992.65,424900,964.903
2015-03-27,2009.94,2021.1,1962.55,2000.2,172800,968.559
2015-03-30,2019,2034.8,2005.1,2022.06,91500,979.144
2015-03-31,2025,2037,1985.5,2014.3,305100,975.386
2015-04-01,2003.4,2009.9,1990.05,2002.5,185800,969.672
2015-04-02,2002.5,2002.5,2002.5,2002.5,0,969.672
2015-04-03,2002.5,2002.5,2002.5,2002.5,0,969.672
2015-04-06,2009,2060,1996.2,2048.4,302800,991.898
2015-04-07,2049,2108.64,2031.66,2099.44,444900,1016.614
2015-04-08,2099.7,2145,2085.2,2093.36,336600,1021.454
2015-04-09,2100,2182.36,2091,2173.36,435500,1060.49
2015-04-10,2173.36,2178,2135,2143.2,132800,1045.774
2015-04-13,2141.1,2180,2126.36,2149.14,253400,1048.672
2015-04-14,2149.14,2149.14,2149.14,2149.14,0,1048.672
2015-04-15,2153,2198,2136.86,2150,366100,1049.092
2015-04-16,2152.06,2161.5,2116.86,2124.6,220700,1036.698
2015-04-17,2124,2125.06,2060.06,2070.3,169700,1010.202
2015-04-20,2080,2081.4,2000,2012.9,221800,982.194
2015-04-21,2019,2030,1980,1981.8,246800,967.019
2015-04-22,1991.95,2010.5,1910,1953.9,577600,953.405
2015-04-23,1970,2019,1960.5,2011.9,366800,981.706
2015-04-24,2021,2054.5,2003.4,2036.94,803600,993.924
2015-04-27,2036,2044.9,1956.95,1993.05,445300,972.508
2015-04-28,1997,2034,1960.15,2015.66,210000,983.54
2015-04-29,2016.06,2040,2001.3,2011.7,132400,981.608
2015-04-30,2020,2021,1976.15,1988.2,278900,970.141
2015-05-01,1988.2,1988.2,1988.2,1988.2,0,970.141
2015-05-04,1990.3,2049,1990.3,2033.7,229400,992.343
2015-05-05,2031,2073.6,2020.1,2060.76,166400,1005.547
2015-05-06,2071,2088,2005,2023.44,444300,987.337
2015-05-07,2020.5,2027.84,1990.05,2004.94,357900,978.31
2015-05-08,2010,2071.94,2010,2046.3,162300,998.491
2015-05-11,2051.1,2093.76,2051.1,2072.86,147000,1011.451
2015-05-12,2072.2,2072.86,2025,2043.06,120800,996.91
2015-05-13,2055,2075,2027,2039.1,156200,994.978
2015-05-14,2038.9,2063,2020.4,2039.24,222300,995.046
2015-05-15,2043,2088.1,2043,2072.06,213600,1011.061
2015-05-18,2073,2092,2058.7,2072.4,245300,1011.227
2015-05-19,2094,2113.44,2051.64,2074.1,1670500,1012.056
2015-05-20,2090,2095,1992.85,2019.5,695800,985.414
2015-05-21,2025,2037.9,2006.2,2014.4,265400,982.926
2015-05-22,2020,2030,1996,2001.1,281200,976.436
2015-05-25,2000,2017.8,1985.05,1987.65,171100,969.873
2015-05-26,2000,2007.94,1987,1997.15,140600,974.509
2015-05-27,2004.9,2004.9,1950.05,1957.65,404100,955.235
2015-05-28,1957.75,2002.76,1957,1994.25,458400,973.093
2015-05-29,1998.1,2020,1990,2003.8,202500,977.753
2015-06-01,1992,2010,1982.05,1989.25,148100,970.654
2015-06-02,1989.3,1993.1,1946,1950.25,186700,951.624
2015-06-03,1946,1951.5,1890,1907.5,351400,930.764
2015-06-04,1927,1927,1873,1923.3,298800,938.473
2015-06-05,1931.9,1931.9,1893.2,1898.7,213900,926.47
2015-06-08,1904,1918.7,1861,1871.55,185600,913.222
2015-06-09,1872,1912,1861.5,1902.9,147100,928.519
2015-06-10,1904,1919.8,1890.15,1898.35,234900,926.299
2015-06-11,1905,1919,1864.85,1876,151700,915.393
2015-06-12,1877,1910.1,1867.45,1899.5,175400,926.86
2015-06-15,1901.55,1919.9,1884.6,1910.4,100700,932.179
2015-06-16,1913,1940,1886,1936.35,212100,944.841
2015-06-17,1944.7,1969.95,1929.6,1959.75,305000,956.259
2015-06-18,1966,1975,1952,1958,322100,955.405
2015-06-19,1967,1978,1955,1961.5,261500,957.113
2015-06-22,1965,1978.45,1955.05,1963.5,160400,958.089
2015-06-23,1969.9,1974,1939,1957.25,172800,955.039
2015-06-24,1967.9,2033,1959.35,2002.3,677600,977.021
2015-06-25,2007,2027,1980.2,1988.1,478800,970.093
2015-06-26,1999,2026.7,1993.1,2010.34,273900,980.945
2015-06-29,1990,2007.44,1951,1998.75,238800,975.289
2015-06-30,2000,2048.8,2000,2039.76,254800,995.3
2015-07-01,2030.24,2069,2029.94,2055.2,439700,1002.834
2015-07-02,2059.7,2065,2020,2041.3,183100,996.052
2015-07-03,2033,2059,2033,2050.3,202600,1000.443
