"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2015-07-27,38700,40100,38001,38986.1,66400,38867.92
2015-07-28,39387,39570.9,38911.1,39286.1,14600,39167.01
2015-07-29,39445,39800,39301,39504.9,10500,39385.14
2015-07-30,39777,39809.9,39256,39402.7,7500,39283.25
2015-07-31,39550,41179.9,39240,40839.2,16800,40715.4
2015-08-03,41399.9,42750,40910,42554.7,29700,42425.7
2015-08-04,42699,46079.9,42500,45699.9,51000,45561.36
2015-08-05,45699.9,46399,44952,45384.6,31500,45247.02
2015-08-06,45384,45444,44590,44764.8,13200,44632.05
2015-08-07,44801,45499,44621.1,44922.4,18000,44789.18
2015-08-10,44901,45325.6,44250,44510.8,9600,44378.8
2015-08-11,44420,44600,41250,42540.9,23900,42414.74
2015-08-12,42000,42290,41301,41518.9,17400,41395.77
2015-08-13,41690,42640.4,41591.9,41854.2,13000,41730.08
2015-08-14,42088,42920,42030,42567.6,13300,42441.37
2015-08-17,42600,43189.1,42200,42597.4,9300,42471.08
2015-08-18,42942.9,44398,42671.1,44138.1,13400,44007.21
2015-08-19,44266,44500,43651.1,44053.8,13200,43923.16
2015-08-20,44074,44671.6,43210,43446.2,12100,43317.36
2015-08-21,43200,43603.1,41800,43388.6,13100,43259.93
2015-08-24,42700,42700,38000.2,38788.9,24900,38673.87
2015-08-25,39880,40250,36679.1,39882.8,30100,39764.53
2015-08-26,39900,40549.7,38822.6,40069.8,24400,39950.97
2015-08-27,40500,41500,40500,40907.9,17100,40786.59
2015-08-28,41550,41749.9,40699,41007.6,16800,40885.99
2015-08-31,41007.6,41449,39888,40392.2,7600,40272.42
2015-09-01,40199,40237.8,39020.2,39684.5,18600,39566.82
2015-09-02,39858,40544.3,39656.1,40263.4,12200,40144
2015-09-03,40325,40769.9,40150,40258.8,9400,40139.41
2015-09-04,40050,40051,38450,38678.1,17000,38563.4
2015-09-07,38680,38927.6,37768,38005.2,7800,37892.49
2015-09-08,38000,39547.5,37689.3,39328.6,11700,39211.97
2015-09-09,39560,40178.4,39220,39526.6,7500,39409.39
2015-09-10,38731,40800,38501.1,40614,16500,40493.56
2015-09-11,40800,41546.6,40001.1,40536.2,9700,40415.99
2015-09-14,40540.4,41000,40152.4,40815.6,6400,40694.56
2015-09-15,40650,41199,39849.9,40240,10400,40120.67
2015-09-16,40261,40520,39500,39873.4,12600,39755.15
2015-09-17,39873.4,39873.4,39873.4,39873.4,0,39755.15
2015-09-18,40187,40500,40017.6,40166.5,9200,40047.39
2015-09-21,40299,41580,39810,41418.8,16300,41295.97
2015-09-22,41420,41799,40866,41442.6,21200,41319.7
2015-09-23,40759,41228.4,40520.1,40935.4,6300,40814
2015-09-24,40999.9,41544,40872.8,41262.2,7700,41139.84
2015-09-25,41262.2,41262.2,41262.2,41262.2,0,41139.84
2015-09-28,41600,41990,41009.4,41242.9,6600,41120.59
2015-09-29,40700,42068,40700,41574.1,7600,41450.81
2015-09-30,41998,42185,41651,41935.9,6500,41811.54
2015-10-01,42000,42225,41400.1,41629.9,5400,41506.44
2015-10-02,41629.9,41629.9,41629.9,41629.9,0,41506.44
2015-10-05,41724.9,43562,41618,42877.8,14400,42750.65
2015-10-06,43100.1,43500,42455.6,42549.6,10700,42423.42
2015-10-07,42550,42969.9,42400,42587.8,5100,42461.51
