"Date","HEXAWARE.NS.Open","HEXAWARE.NS.High","HEXAWARE.NS.Low","HEXAWARE.NS.Close","HEXAWARE.NS.Volume","HEXAWARE.NS.Adjusted"
2015-10-05,255.6,258,250.5,254.9,598300,243.7783
2015-10-06,257,257.9,252.3,255.45,653200,244.3043
2015-10-07,256.9,256.9,252.3,253.25,795200,242.2003
2015-10-08,252,255.25,248.7,252.15,370000,241.1483
2015-10-09,253.15,255.25,249,250.05,939900,239.1399
2015-10-12,256,256,245,246.4,724200,235.6491
2015-10-13,246.4,246.95,241,243.8,378300,233.1626
2015-10-14,243.95,245.2,239.7,240.95,405100,230.4369
2015-10-15,243.1,246.4,241.45,245.7,594600,234.9797
2015-10-16,248,250.5,245.05,248.2,865300,237.3706
2015-10-19,249.65,251.4,244.1,244.95,1311800,234.2624
2015-10-20,247.1,259.9,247,258.2,1191400,246.9343
2015-10-21,260,261.5,252,254.9,789400,243.7783
2015-10-22,254.9,254.9,254.9,254.9,0,243.7783
2015-10-23,257.5,257.9,251.25,253.25,316200,242.2003
2015-10-26,253.3,254.6,248.5,250.45,398000,239.5224
2015-10-27,250,255.45,249.9,252.8,615000,241.7699
2015-10-28,251.9,254.55,251,253,505800,241.9612
2015-10-29,252.95,259.7,246.6,249.35,1624800,238.4704
2015-10-30,250,251.55,236.8,239.95,1503100,229.4806
2015-11-02,238,239.1,226.7,234.35,1279600,224.1249
2015-11-03,236.6,242.25,230.25,235.4,1387300,225.1291
2015-11-04,237.4,249.7,237,245.4,2943100,234.6928
2015-11-05,246,248.35,242.2,245.05,758700,234.358
2015-11-06,245.5,268.6,243.45,258.4,3534100,247.1256
2015-11-09,255.45,264.55,253.5,263.05,1137900,251.5727
2015-11-10,262.6,267.3,259.5,262.6,857100,251.1423
2015-11-11,262.6,262.6,262.6,262.6,0,251.1423
2015-11-12,262.6,262.6,262.6,262.6,0,251.1423
2015-11-13,259.55,269,258.6,266.65,1239000,255.0156
2015-11-16,265.85,265.85,255.5,256.5,1106100,247.396
2015-11-17,257.55,259.25,250.3,251.65,1417100,242.7181
2015-11-18,250,252,242.35,243.9,1052700,235.2432
2015-11-19,244.7,250.6,244.4,249.25,1025600,240.4033
2015-11-20,249.2,253.2,244.9,249.35,662100,240.4998
2015-11-23,251.4,252.8,246.75,251.15,670900,242.2359
2015-11-24,252,254.95,248.35,249.75,876900,240.8856
2015-11-25,249.75,249.75,249.75,249.75,0,240.8856
2015-11-26,240,250.2,239.6,247.35,1176700,238.5708
2015-11-27,247.6,252.4,247.6,251.75,600900,242.8146
2015-11-30,253,255.45,248.8,249.9,801100,241.0302
2015-12-01,250.25,258.25,250.15,257.4,969200,248.264
2015-12-02,258.7,260.9,254.4,257.85,702000,248.6981
2015-12-03,255.05,257.9,251.9,252.9,507000,243.9238
2015-12-04,250,259,250,253.05,902100,244.0684
2015-12-07,254,256,250.15,250.8,817600,241.8983
2015-12-08,249.95,253.45,245.8,247.9,1310900,239.1012
2015-12-09,248.95,248.95,236.3,237.35,630800,228.9257
2015-12-10,237,241.5,233,240.15,747500,231.6263
2015-12-11,240.1,243.5,234.45,236.2,463300,227.8165
2015-12-14,235.1,239.75,233.1,234.6,522900,226.2733
2015-12-15,236.9,237.8,234.75,235.85,426600,227.4789
2015-12-16,236.55,240,236.55,237.45,402900,229.0221
2015-12-17,239,242.2,237.9,241.25,460400,232.6873
2015-12-18,238,242.95,235.5,241.3,1001900,232.7355
2015-12-21,241.3,246.9,240,245.7,654300,236.9793
2015-12-22,245.5,246,240.3,240.85,319500,232.3015
2015-12-23,243.35,245.5,240.85,242.1,409100,233.5071
2015-12-24,242.4,244.55,241.1,242.05,247600,233.4589
2015-12-25,242.05,242.05,242.05,242.05,0,233.4589
2015-12-28,242.55,244.65,241.05,242.95,230400,234.3269
2015-12-29,243.8,245.85,242.5,244,550800,235.3397
2015-12-30,244.45,245.5,241,241.75,194000,233.1695
2015-12-31,242.55,246.8,241.8,243.4,638100,234.761
2016-01-01,245.1,245.1,242,242.5,245200,233.8929
2016-01-04,242,244.7,232.3,236.55,496700,228.1541
2016-01-05,239.7,260.2,237.6,250.7,1272900,241.8019
2016-01-06,254.6,256.4,242.35,244,2252000,235.3397
2016-01-07,240,243.55,235.7,238.4,853000,229.9384
2016-01-08,239,243.5,237.55,240.4,574900,231.8674
2016-01-11,238,240.9,231.1,237,543200,228.5881
2016-01-12,238.4,238.4,228.35,231.15,627200,222.9457
2016-01-13,234,234.1,217.6,227.2,1098300,219.1359
2016-01-14,219.5,233.5,219.5,228.45,898900,220.3416
2016-01-15,232,232,220,221.25,852400,213.3971
2016-01-18,220,223.75,212.8,216.95,698700,209.2497
2016-01-19,217.4,220,209.6,216.05,1099900,208.3817
2016-01-20,210.25,212.5,204.05,207.5,1104000,200.1352
2016-01-21,208.9,211.95,204.75,207.1,787100,199.7494
2016-01-22,210.75,214.75,208.5,212.35,933900,204.813
2016-01-25,216,219.45,214,217.95,1616900,210.2143
2016-01-26,217.95,217.95,217.95,217.95,0,210.2143
2016-01-27,224.75,224.75,217,223.45,1681700,215.519
2016-01-28,225,227.55,217.05,223.1,3415200,215.1815
2016-01-29,223.6,231,221.8,229.9,920500,221.7401
2016-02-01,230.9,234.4,229.25,232.5,848400,224.2478
2016-02-02,232.7,236,227.75,231.7,942500,223.4762
2016-02-03,228.8,228.8,217.25,222.9,971600,214.9886
2016-02-04,219.5,249.4,217.9,236.3,8131300,227.913
2016-02-05,235,248.6,233.55,246.4,2877400,237.6545
2016-02-08,246,248.8,242.4,246.25,1157200,237.5098
2016-02-09,244,245.25,237.75,243.1,1020200,234.4716
2016-02-10,241.6,245,238.35,243.4,551200,234.761
2016-02-11,241.2,243,229.05,231.2,748000,222.994
2016-02-12,230.2,232.7,217,222.95,1486800,217.2924
2016-02-15,227.95,235.5,225.3,232.85,683900,226.9412
