"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2015-07-16,3698.6,3704,3657.4,3674.75,215900,698.46
2015-07-17,3681.9,3724,3674,3696.9,240800,702.67
2015-07-20,3675,3779,3628,3769.1,433700,716.39
2015-07-21,3760.1,3783,3641,3670.6,284500,697.67
2015-07-22,3670,3750.55,3660,3738.35,206300,710.54
2015-07-23,3730.25,3737.6,3680,3700.3,120500,703.31
2015-07-24,3675.05,3708.9,3662.7,3672.9,110100,698.1
2015-07-27,3650,3725,3640.9,3681.75,258800,699.79
2015-07-28,3674,3737.25,3637.3,3675.75,277000,698.65
2015-07-29,3675,3697.7,3640,3656.65,179800,695.02
2015-07-30,3684,3732.5,3657.7,3720.8,292900,707.21
2015-07-31,3740,3760,3704.1,3716.25,335600,706.34
2015-08-03,3717,3748,3710,3738.25,323700,710.53
2015-08-04,3740,3788.05,3715,3764.75,648400,715.56
2015-08-05,3765,3788.95,3732.65,3762.55,379100,715.14
2015-08-06,3765,3795,3720,3752.15,260200,713.17
2015-08-07,3755,3842.9,3704,3808.7,1695500,723.92
2015-08-10,3824.75,3836.25,3745,3773.35,359700,717.2
2015-08-11,3775.1,3798,3702.35,3720.05,313200,707.07
2015-08-12,3708,3758,3621,3660.95,367700,695.83
2015-08-13,3659.7,3684.8,3574,3605.25,197200,685.25
2015-08-14,3630,3722,3620,3703.75,138600,703.97
2015-08-17,3705,3723,3662.75,3688.5,87700,701.07
2015-08-18,3690.1,3748,3675.5,3710.6,160800,705.27
2015-08-19,3710,3760,3686,3736.45,460700,710.18
2015-08-20,3671,3730.1,3631,3692.95,246200,701.92
2015-08-21,3652,3667,3580.85,3625.25,337100,689.05
2015-08-24,3550,3578.4,3401,3454.25,720400,656.55
2015-08-25,3466.05,3494.95,3362.65,3458.4,432500,657.33
2015-08-26,3457.7,3496.8,3388,3411.9,332300,648.5
2015-08-27,3420,3521.3,3369,3504.15,409700,666.03
2015-08-28,3537,3555.05,3441.6,3449.9,296000,655.72
2015-08-31,3450,3493.55,3419,3446.55,111000,655.08
2015-09-01,3420,3449.8,3373,3420.35,324200,650.1
2015-09-02,3425,3449,3386.5,3414.4,348100,648.97
2015-09-03,3417.8,3440,3390,3423.15,242800,668.25
2015-09-04,3402,3423,3323.2,3374.7,327400,658.79
2015-09-07,3375,3410,3350,3388.7,276100,661.52
2015-09-08,3395,3440,3370.3,3424.1,108700,668.43
2015-09-09,3450.1,3512,3442.3,3504.7,144100,684.17
2015-09-10,3460.05,3480,3425.2,3465.7,281700,676.56
2015-09-11,3460,3515,3440,3463,243100,676.03
2015-09-14,3469,3498.7,3456.3,3477.05,169900,678.77
2015-09-15,3460,3480.65,3447.9,3456.7,219300,674.8
2015-09-16,3466.25,3481.4,3445.25,3466.6,206900,676.73
2015-09-17,3466.6,3466.6,3466.6,3466.6,0,676.73
2015-09-18,3480,3549,3475,3496.9,150300,682.65
2015-09-21,3472,3484,3430,3458.6,200300,675.17
2015-09-22,3462.2,3480,3388.05,3429.2,655000,669.43
2015-09-23,3400,3456,3385,3441.7,169700,671.87
2015-09-24,3429,3468,3417,3432.95,459500,670.16
2015-09-25,3432.95,3432.95,3432.95,3432.95,0,670.16
2015-09-28,3435,3473.9,3425,3450.2,253700,673.53
2015-09-29,3410,3499,3380.1,3440.9,345500,671.71
2015-09-30,3449,3544.05,3435.5,3517.85,396200,686.74
2015-10-01,3536.1,3570,3501.5,3529.15,133900,688.94
2015-10-02,3529.15,3529.15,3529.15,3529.15,0,688.94
2015-10-05,3558.05,3636.5,3537.1,3615.15,323500,705.73
2015-10-06,3619,3664.75,3565,3603.15,274800,703.39
2015-10-07,3600,3650,3580,3644.6,165900,711.48
2015-10-08,3644.9,3671.95,3635.15,3654.15,178300,713.34
2015-10-09,3660.2,3688.75,3630.35,3642.9,183100,711.15
2015-10-12,3654.7,3688.3,3615.3,3622.35,120700,707.14
2015-10-13,3623,3654,3620,3645.2,87400,711.6
2015-10-14,3630,3658.95,3622,3635.6,133000,709.72
2015-10-15,3650,3676,3631.1,3644.5,314000,711.46
2015-10-16,3652,3664,3614.45,3649.05,2e+05,712.35
2015-10-19,3648.25,3648.25,3590,3603.55,219600,703.47
2015-10-20,3607.2,3625,3591,3607.25,231100,704.19
2015-10-21,3611,3648,3591,3637.05,125600,710.01
2015-10-22,3637.05,3637.05,3637.05,3637.05,0,710.01
2015-10-23,3650.25,3692.65,3638.55,3647.45,112300,712.04
2015-10-26,3651.25,3714.8,3620.1,3690.15,164400,720.37
2015-10-27,3685,3720,3671,3686.45,283300,719.65
2015-10-28,3670.3,3711,3670.1,3697.35,164800,721.78
2015-10-29,3692,3699,3643,3672,358000,716.83
2015-10-30,3709,3759,3678.05,3712.05,553000,724.65
2015-11-02,3712.05,3736.85,3650.5,3691.2,97900,720.58
2015-11-03,3704.1,3720,3688,3698.95,294500,722.09
