"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2015-05-13,446.7,461.95,443.7,457.9,1496900,457.9
2015-05-14,452.35,459,440,455.8,999600,455.8
2015-05-15,455,467.5,454.8,459.2,1047100,459.2
2015-05-18,460.75,468,451.25,463.25,930100,463.25
2015-05-19,461.95,473.15,455.55,466.75,1248500,466.75
2015-05-20,467.1,472.75,460.25,461.3,707200,461.3
2015-05-21,462.8,466.35,451.25,459.65,804600,459.65
2015-05-22,461.35,463.95,454.45,456.5,717500,456.5
2015-05-25,456,466.6,456,461.4,733600,461.4
2015-05-26,460.2,462.5,452.35,454.95,623700,454.95
2015-05-27,451,454.9,447,451.3,826100,451.3
2015-05-28,452.7,453.55,440.25,446.25,1429900,446.25
2015-05-29,448.05,468.3,445.95,462.35,1256300,462.35
2015-06-01,462.95,472.5,461.4,469.35,920500,469.35
2015-06-02,470.8,471.7,451.5,455.9,1182800,455.9
2015-06-03,453.2,456,434.4,447.8,1584200,447.8
2015-06-04,452,458.4,441.35,442.65,1494800,442.65
2015-06-05,442.4,448.25,431.5,442.55,1483000,442.55
2015-06-08,444.9,445.8,426,430.7,833000,430.7
2015-06-09,429.7,433,414.9,418.2,1173000,418.2
2015-06-10,420.7,432.1,416,429.35,1014500,429.35
2015-06-11,433.8,438.4,423,425.05,1058900,425.05
2015-06-12,425,429.8,420.1,426.15,578600,426.15
2015-06-15,428.7,436.15,426.85,432.5,508300,432.5
2015-06-16,432.6,441.5,424.4,437,931700,437
2015-06-17,440.3,447.6,438.1,443.9,615200,443.9
2015-06-18,446.3,451.2,443,447.85,490200,447.85
2015-06-19,451,454.5,444.1,446.55,726000,446.55
2015-06-22,449,464.4,447,462,1064200,462
2015-06-23,466,467.2,455,457.8,718500,457.8
2015-06-24,457.15,459.8,444.05,447.25,660600,447.25
2015-06-25,446.95,454.5,445.2,449.15,995200,449.15
2015-06-26,447.3,459.8,446,457.45,833600,457.45
2015-06-29,437.15,469.65,437.15,466.55,994500,466.55
2015-06-30,467.3,474.9,463.5,466.7,797600,466.7
