"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2015-06-11,306.1005,308.4495,300.4005,301.0005,3997800,182.9172
2015-06-12,301.0005,302.9505,299.5005,300.4005,2924400,182.5526
2015-06-15,301.0005,306.9,298.5495,303.9495,4211700,184.7093
2015-06-16,303.9495,305.2995,300,304.4505,3878400,185.0137
2015-06-17,304.9995,307.2495,303.3495,306,7374700,185.9554
2015-06-18,306.4005,315.1995,305.25,312.8505,6067700,190.1184
2015-06-19,314.7495,321,314.1,319.1505,5823900,193.9469
2015-06-22,319.9995,319.9995,313.9995,318.4005,4448200,193.4911
2015-06-23,319.0005,323.4,317.8005,318.9,3509500,193.7947
2015-06-24,319.95,322.9995,316.1505,317.8995,3734500,193.1867
2015-06-25,316.6995,320.2995,311.7,312.9495,7207400,190.1786
2015-06-26,313.0005,315.4995,310.6005,313.2,1821200,190.3308
2015-06-29,309.1005,310.8,306,309.0495,2261200,187.8085
2015-06-30,308.2005,311.3505,307.5,309.6,3225800,188.1431
2015-07-01,309,317.1,308.7,313.9005,4331700,190.7565
2015-07-02,313.9995,315.1005,309.45,310.0005,3314200,188.3865
2015-07-03,312,312.7995,308.3505,309.1995,4952500,187.8997
2015-07-06,305.55,309,304.2,308.25,3164700,187.3227
2015-07-07,308.5005,309.0495,304.6005,304.95,3602200,185.3173
2015-07-08,303,307.7505,301.8,302.9505,3476700,184.1022
2015-07-09,303.2505,304.9005,297.4005,298.6995,5336400,181.5189
2015-07-10,301.8,301.8,291.4005,293.8995,10773600,178.6019
2015-07-13,295.3005,295.9005,287.6505,290.5995,7725900,176.5965
2015-07-14,289.9995,292.9005,287.7,289.6995,4437200,176.0496
2015-07-15,291.2505,295.2495,290.7,291.1995,4577700,176.9611
2015-07-16,291.4995,294.75,290.1,291.6,3341600,177.2045
2015-07-17,292.6995,294.3495,290.85,292.8,2702200,177.9338
2015-07-20,292.9995,294.1005,290.5005,291.8505,1863000,177.3568
2015-07-21,291.7995,291.9,280.2,281.25,4128900,170.9149
2015-07-22,281.5005,287.9505,281.5005,284.85,3767200,173.1026
2015-07-23,285,285.45,279.5505,283.8495,5707300,172.4946
2015-07-24,283.5,285.9,281.6505,282.8505,3961600,171.8875
2015-07-27,282,282.8505,270,271.5,10950800,164.9898
2015-07-28,272.1,272.5005,263.4495,269.85,8345200,163.9871
2015-07-29,271.0005,271.6005,265.0005,269.7495,10220100,163.926
2015-07-30,272.8995,274.3995,270.1005,270.9,5602300,164.6252
2015-07-31,271.5,276.4995,271.2,272.7,3895000,165.7191
2015-08-03,272.8995,277.5,268.05,273.6495,4666600,166.2961
2015-08-04,273.75,273.75,264.7005,266.3505,7648700,161.8605
2015-08-05,268.9995,271.9995,267.9,270,3759000,164.0783
2015-08-06,271.0005,273.4995,269.4495,270.9495,3982400,164.6553
2015-08-07,270,283.95,269.55,282.8505,14143700,171.8875
2015-08-10,283.9995,284.7,274.0005,275.0505,4017800,167.1474
2015-08-11,276.6495,276.6495,269.0505,270.0495,2668000,164.1084
2015-08-12,270,272.5005,265.6005,269.3505,6082600,163.6836
2015-08-13,271.0005,274.0005,265.65,269.7495,6835600,163.926
2015-08-14,272.0505,273.4995,268.05,270.4005,3797300,164.3216
2015-08-17,270.1005,270.15,261.45,264,7815200,160.4321
2015-08-18,265.9995,266.55,259.9995,260.8005,4157300,158.4878
2015-08-19,259.9995,262.8,257.1,260.5995,5711500,158.3656
2015-08-20,258,258.7005,254.1,255.7995,7178700,155.4487
2015-08-21,254.0505,257.4,251.1,255.9495,6613100,155.5398
2015-08-24,250.0005,250.8,226.2,227.7,19008600,138.3727
2015-08-25,230.7495,235.4505,224.25,230.6505,10863100,140.1657
2015-08-26,231,236.5995,223.0005,224.85,7245800,136.6407
2015-08-27,232.0005,233.4,226.05,230.2995,11633000,139.9524
2015-08-28,238.9005,246.4005,237.9,243.6495,10958600,148.0651
2015-08-31,247.6995,248.4,237.7005,239.2995,9689800,145.4217
2015-09-01,242.8005,243.3495,232.6995,234.1005,10033000,142.2622
2015-09-02,234.15,235.5,224.3505,225.1995,9458100,136.8531
2015-09-03,228.75,231.7995,226.5,229.1505,3640300,139.2541
2015-09-04,232.65,232.65,221.25,225.5505,7345200,137.0664
2015-09-07,226.9995,228.3495,223.5495,226.05,5324000,137.8283
2015-09-08,227.9505,230.5005,224.1,229.9005,6841000,140.176
2015-09-09,233.0505,233.5995,229.2495,230.4,11075200,140.4806
2015-09-10,228.4995,229.8495,223.6995,226.9005,6478400,138.3469
2015-09-11,228.6495,231.9,227.2005,228.3495,5834500,139.2303
2015-09-14,229.9005,230.4,226.0005,229.65,3143600,140.0233
2015-09-15,229.9005,231.9,225.7995,229.2495,3661400,139.7791
2015-09-16,232.8,232.8,228.2505,230.5005,4234200,140.5419
2015-09-17,230.5005,230.5005,230.5005,230.5005,0,140.5419
2015-09-18,231.1005,241.2,229.9005,239.2005,9682500,145.8465
2015-09-21,235.8,239.85,235.0005,238.95,2754500,145.6937
2015-09-22,241.8,241.8,233.1495,234.4995,5576600,142.9801
2015-09-23,230.1,237.9495,229.7505,236.55,3247700,144.2304
2015-09-24,236.5995,236.5995,226.0995,227.5005,8968600,138.7127
