"Date","PTC.NS.Open","PTC.NS.High","PTC.NS.Low","PTC.NS.Close","PTC.NS.Volume","PTC.NS.Adjusted"
2015-05-11,69,69.05,68.05,68.55,1187200,63.96
2015-05-12,68.2,68.6,65.9,66.05,1166400,61.63
2015-05-13,66.5,67.5,64.7,66.65,2475400,62.19
2015-05-14,66.75,68.2,65.75,67.6,3502800,63.07
2015-05-15,67.95,68.1,67,67.5,654600,62.98
2015-05-18,67.9,68,66.85,67.2,1873500,62.7
2015-05-19,67.7,70.2,66.9,68.8,2070400,64.19
2015-05-20,69.15,70.25,68.6,68.8,1072700,64.19
2015-05-21,69,69.2,67.35,67.95,1127300,63.4
2015-05-22,68.5,69,67.5,67.75,1014900,63.21
2015-05-25,67.8,68.95,67.5,68.4,830700,63.82
2015-05-26,68.4,68.4,66.65,66.95,1463600,62.47
2015-05-27,66.2,67.35,65.3,67.15,683600,62.65
2015-05-28,67.15,69,66.4,67.95,4566400,63.4
2015-05-29,68.5,69.3,67.85,68.95,1281800,64.33
2015-06-01,68.15,69.8,68.15,69.2,859700,64.57
2015-06-02,69.7,69.7,66.3,66.8,889600,62.33
2015-06-03,66.8,66.85,60.95,63.45,2202800,59.2
2015-06-04,64.35,64.35,61.6,62.3,1545000,58.13
2015-06-05,62,64.2,61.55,63.85,1136000,59.57
2015-06-08,64,64,61.5,62.1,685300,57.94
2015-06-09,61.9,62.45,59.7,60.3,1112900,56.26
2015-06-10,60.7,61.65,60,60.7,905100,56.64
2015-06-11,61,62.35,59.5,59.95,1522900,55.94
2015-06-12,59.5,61,59.05,60.45,1123800,56.4
2015-06-15,60.85,61.8,60.15,61.35,859500,57.24
2015-06-16,61.8,63.6,60.65,63.3,1319700,59.06
2015-06-17,63.4,64.3,62.4,63.2,1101600,58.97
2015-06-18,63.75,66.5,63.3,66.05,3292800,61.63
2015-06-19,66,66.8,64.8,66.05,1679000,61.63
2015-06-22,66.15,67,65.65,66.25,976300,61.81
2015-06-23,66.35,66.75,64.8,65.4,1157400,61.02
2015-06-24,65.7,67.75,65.15,66.6,1217900,62.14
2015-06-25,66.9,69.1,66.1,68.5,1990900,63.91
2015-06-26,68.05,69.75,66.8,69.4,1472300,64.75
2015-06-29,68,68,66.15,66.8,1181600,62.33
2015-06-30,66.85,69.55,66.65,68.7,1024700,64.1
2015-07-01,68.7,71.35,68.5,70.75,1360500,66.01
2015-07-02,71,71.6,69.5,69.95,974700,65.27
2015-07-03,69.9,71.1,69.6,70.55,850300,65.83
2015-07-06,69.55,71.6,68.55,71.4,1134600,66.62
2015-07-07,71.7,74.95,71.55,72.55,2030900,67.69
2015-07-08,71.7,72.4,69.1,70.15,1502300,65.45
2015-07-09,70.1,71.35,69.85,70.45,1114800,65.73
2015-07-10,70.9,71.75,70.2,70.8,736500,66.06
2015-07-13,70.3,72.9,70.25,72.55,1312700,67.69
2015-07-14,72.6,72.85,71.05,71.75,1072600,66.95
2015-07-15,72,72.5,71.15,71.5,653000,66.71
2015-07-16,71.9,72.3,70.55,71.95,2440600,67.13
2015-07-17,72,73.2,71.2,72.4,984300,67.55
2015-07-20,72.5,72.7,70.75,71.1,892700,66.34
2015-07-21,70.7,71.9,69.25,69.55,1059700,64.89
2015-07-22,69.5,71.95,68.15,71.4,1042000,66.62
2015-07-23,71.95,72.2,70.65,71.55,848300,66.76
2015-07-24,71.5,71.85,70.6,70.95,531100,66.2
2015-07-27,70.5,70.55,68,68.4,1028700,63.82
2015-07-28,68.55,69.3,67.4,68.3,804200,63.73
2015-07-29,68.55,68.85,65.2,66.5,1761100,62.05
2015-07-30,66.9,69.15,66,68.45,2444900,63.87
2015-07-31,68.55,70.15,68.25,69.05,840800,64.43
2015-08-03,69.55,72.85,69.55,72.4,1411900,67.55
2015-08-04,73.1,73.55,71.85,72.45,1153200,67.6
2015-08-05,73.05,74,71.75,72.5,1457800,67.65
2015-08-06,72,73.55,69.75,70.8,1814900,66.06
2015-08-07,70.75,71.7,70.25,70.55,515400,65.83
2015-08-10,71,71.5,69.7,70.2,795500,65.5
2015-08-11,70.85,70.85,67.5,67.85,981800,63.31
2015-08-12,67.25,68,66,66.2,919400,61.77
2015-08-13,66.8,67.45,65.3,66.4,1528300,61.95
2015-08-14,67.05,68.5,66.5,68.25,649500,63.68
2015-08-17,68.75,68.95,67.55,68.2,1610900,63.63
2015-08-18,68.5,69.25,67.2,67.45,1403400,62.93
2015-08-19,67.55,68.65,66.75,67.65,1656600,63.12
2015-08-20,67.6,67.9,64,64.35,1469200,60.04
2015-08-21,63.5,63.5,60.8,62,2525400,57.85
2015-08-24,60.1,60.3,53,54.3,4872600,50.66
2015-08-25,56,56.1,50.05,52,3891400,48.52
2015-08-26,52.05,59.6,51.05,55.3,6417000,51.6
2015-08-27,56.6,57.4,55.7,57.1,3171300,53.28
2015-08-28,58,58.45,56.1,57.2,1362300,53.37
2015-08-31,57.5,62.9,56.65,59.95,3433600,55.94
2015-09-01,58.5,59.4,56.7,57.2,2936200,53.37
2015-09-02,57.5,58.8,56.8,57.4,894300,53.56
2015-09-03,58.15,58.7,57.15,58,922300,54.12
2015-09-04,58.15,58.3,55.65,55.95,1182900,52.2
2015-09-07,56.5,60.1,56.05,58.15,2216300,54.26
2015-09-08,58.95,59.9,56.8,58.9,1738700,54.96
2015-09-09,59.9,60.2,58.65,59.25,1166700,55.28
2015-09-10,58.5,59.75,57.55,59.3,756700,55.33
2015-09-11,59.75,60.2,58.1,58.35,905700,54.44
2015-09-14,58.8,59.75,58.1,59.4,1052400,55.42
2015-09-15,59.8,59.8,58.25,58.4,1457200,54.49
2015-09-16,56.75,57,55.75,55.9,2176900,54.2
2015-09-17,55.9,55.9,55.9,55.9,0,54.2
2015-09-18,56.35,59.35,56.15,58.3,2904300,56.53
2015-09-21,57.75,62.35,57.4,61.85,8993800,59.97
2015-09-22,62,62.3,59.2,60.2,7471200,58.37
2015-09-23,59.65,60.7,57.55,58.4,5684800,56.62
2015-09-24,57.7,61.4,52.7,55.95,46292300,54.25
2015-09-25,55.95,55.95,55.95,55.95,0,54.25
2015-09-28,58.65,61.25,58.3,59.95,5286200,58.13
2015-09-29,58.8,60.8,58.1,59.45,3884800,57.64
2015-09-30,59.25,60.45,59,59.55,1395400,57.74
2015-10-01,60.8,61,59.15,59.75,1687400,57.93
2015-10-02,59.75,59.75,59.75,59.75,0,57.93
2015-10-05,60.1,62.55,59.8,61.9,2075800,60.02
2015-10-06,62.25,63.7,61.1,62.9,1710000,60.99
2015-10-07,63.05,64.55,61.8,63.55,1738000,61.62
2015-10-08,63.55,65.4,63.2,64.6,2002600,62.63
2015-10-09,65.2,65.7,64.35,65,859200,63.02
2015-10-12,65.15,67.45,64.3,66.25,2089400,64.23
2015-10-13,66.25,68,66.05,67.4,1434200,65.35
2015-10-14,67.45,68,66.5,67.2,1699800,65.15
2015-10-15,67.35,67.65,65.4,66.1,3100900,64.09
2015-10-16,66.55,67.9,64.9,67.2,2516700,65.15
2015-10-19,67.45,67.55,66.5,66.95,967300,64.91
2015-10-20,67.1,68.65,66.5,67.8,1812800,65.74
2015-10-21,68,68.75,66.15,67.4,1078000,65.35
2015-10-22,67.4,67.4,67.4,67.4,0,65.35
2015-10-23,67.95,68.05,65.7,66.3,1935600,64.28
2015-10-26,66.9,67,65.65,66.1,1280300,64.09
2015-10-27,66.2,66.2,64.4,64.95,2208900,62.97
2015-10-28,64.5,65,63.6,64.2,2563100,62.25
2015-10-29,64.3,64.3,62.5,63.45,5006800,61.52
2015-10-30,63.55,65.3,63.3,64.75,2561200,62.78
2015-11-02,64.75,65.5,63.65,64.8,634600,62.83
2015-11-03,65.05,66.45,63.75,64.4,1108800,62.44
2015-11-04,65.5,66.15,64.75,65.3,1008300,63.31
2015-11-05,65.35,65.9,61.25,62.45,1447600,60.55
2015-11-06,62.7,65.1,61.6,64.45,1626200,62.49
2015-11-09,63.7,64.75,62.1,64.35,577100,62.39
2015-11-10,64.1,64.35,62,62.25,558200,60.36
2015-11-11,62.25,62.25,62.25,62.25,0,60.36
2015-11-12,62.25,62.25,62.25,62.25,0,60.36
2015-11-13,62.3,62.65,61.05,61.8,807200,59.92
2015-11-16,62,63.3,61.25,62.9,512600,60.99
2015-11-17,63.3,65.35,62.5,64.15,1056300,62.2
2015-11-18,64.35,65.55,63.35,63.8,1165800,61.86
2015-11-19,64,65.1,63.85,64.85,542800,62.88
2015-11-20,64.8,65.5,64.5,64.85,447700,62.88
2015-11-23,64.65,65.1,64,64.25,392700,62.29
2015-11-24,63.6,65.5,63.55,65.1,884000,63.12
2015-11-25,65.1,65.1,65.1,65.1,0,63.12
2015-11-26,65.75,68.25,65,67.15,8035600,65.11
2015-11-27,67.15,67.2,65.85,66.2,967700,64.19
2015-11-30,66.3,66.9,65.3,65.5,711000,63.51
2015-12-01,65.6,66.15,65,65.8,971800,63.8
2015-12-02,65.8,66.25,65,65.25,718500,63.26
2015-12-03,65.05,66,64.8,65.05,633700,63.07
2015-12-04,65,65.6,62.4,63.05,864300,61.13
2015-12-07,63.5,63.9,62.85,63.05,340600,61.13
2015-12-08,62.9,63.1,60.05,60.3,984000,58.46
2015-12-09,60,61.6,59.65,60.05,974200,58.22
2015-12-10,60.4,61.2,59.45,60.35,864100,58.51
2015-12-11,60.5,60.65,58.6,59.05,875500,57.25
2015-12-14,59,59.6,58.2,58.75,585900,56.96
2015-12-15,59,59.45,58.5,58.9,443800,57.11
2015-12-16,59.1,60.4,58.8,59.3,806800,57.5
2015-12-17,59.8,62.25,59.8,61.6,1231900,59.73
2015-12-18,61.55,62.9,61.05,62.45,827900,60.55
2015-12-21,62.9,64.75,62.2,64.35,814300,62.39
2015-12-22,64.8,64.8,62.85,63.15,488500,61.23
2015-12-23,63.4,65,63.4,64.55,521800,62.59
2015-12-24,64.95,65.4,63.95,65.25,664400,63.26
2015-12-25,65.25,65.25,65.25,65.25,0,63.26
2015-12-28,65,65.8,64.85,65.3,373100,63.31
2015-12-29,65.2,65.5,64.45,64.6,372300,62.63
2015-12-30,65,66.3,64.5,66,911500,63.99
2015-12-31,65.7,67.75,65.55,66.85,2932800,64.82
2016-01-01,66.35,67.4,65.5,66.6,569800,64.57
2016-01-04,66.8,67.8,66,66.8,1263200,64.77
2016-01-05,66.9,70.45,66.9,70.25,2635400,68.11
2016-01-06,70,71.5,66.9,67.65,2719400,65.59
2016-01-07,66.9,67.35,64.9,65.95,1744000,63.94
2016-01-08,66.15,69.45,66.15,69,733200,66.9
2016-01-11,66.8,70.35,66.8,68.15,1471200,66.08
2016-01-12,68,69.85,67.4,68.1,1752000,66.03
2016-01-13,68.5,70.75,65.5,67.8,2445200,65.74
2016-01-14,66,67.4,64.4,65.15,2197700,63.17
2016-01-15,65.75,66.75,59.25,60.1,1560200,58.27
2016-01-18,60.25,61.75,58.5,59.75,2471300,57.93
2016-01-19,59.5,60.5,58.35,60,2482200,58.17
2016-01-20,59.75,59.75,56.05,58.2,2064400,56.43
2016-01-21,58.5,59.6,56.9,57.7,1471800,55.94
2016-01-22,58.3,60.55,58.3,60.25,1848100,58.42
2016-01-25,61.55,62.65,61,61.9,1892300,60.02
2016-01-26,61.9,61.9,61.9,61.9,0,60.02
2016-01-27,62.5,63.45,61.4,62.75,1066600,60.84
2016-01-28,62.7,63.85,61.1,62.25,5612800,60.36
2016-01-29,62.2,64.75,61.55,64.25,1418700,62.29
2016-02-01,64.4,65.2,63.45,64.25,927900,62.29
2016-02-02,64.3,65.4,61.1,62.15,999200,60.26
2016-02-03,61,61.55,60.15,60.55,585700,58.71
2016-02-04,61,61.75,60.45,60.85,730000,59
2016-02-05,60.9,64.75,60.6,63.75,1532900,61.81
2016-02-08,66,67.4,64.4,64.9,1982900,62.92
2016-02-09,64.8,66.45,64.1,64.95,1773200,62.97
2016-02-10,65.15,65.6,62.1,62.75,1094400,60.84
2016-02-11,62.4,62.9,59.1,60.4,1989100,58.56
2016-02-12,60.5,61,56.15,59.65,1328000,57.83
2016-02-15,60,65.45,60,64.6,1264500,62.63
2016-02-16,64.3,64.6,60.1,61.1,1340800,59.24
2016-02-17,59.4,65,59.4,63.8,2412300,61.86
2016-02-18,64.9,65.3,61,61.45,1747600,59.58
2016-02-19,61.45,62.4,60.55,61.2,1069800,59.34
2016-02-22,61.9,61.9,60.6,60.8,652400,58.95
2016-02-23,61.3,61.3,59.7,59.9,678200,58.08
2016-02-24,59.95,60.7,59,59.55,1099900,57.74
2016-02-25,59.9,61.5,58.6,60.1,2127400,58.27
2016-02-26,60.7,60.75,59.35,59.9,808800,58.08
2016-02-29,60.2,61.05,58.55,59.65,753900,57.83
2016-03-01,60.2,61.3,60,60.95,722000,59.1
2016-03-02,61.6,63.8,61.35,63.3,868800,61.37
2016-03-03,64,64.4,62.35,62.85,3273100,60.94
2016-03-04,63.1,63.9,62.05,62.55,1344300,60.65
2016-03-07,62.55,62.55,62.55,62.55,0,60.65
2016-03-08,62.55,62.95,61.9,62.3,1530900,60.4
2016-03-09,62.45,62.55,61.35,62.4,803200,60.5
2016-03-10,62.85,64.4,62.5,63.35,1224300,61.42
