"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2015-06-09,468.05,473.948,462.999,465.448,220600,310.677
2015-06-10,465.999,472.999,463.999,470.999,259200,314.381
2015-06-11,471.999,474.999,465.299,467.799,267600,312.246
2015-06-12,466.999,474.499,466.999,470.099,368100,313.781
2015-06-15,465.999,469.948,465.999,467.148,624200,311.811
2015-06-16,466.999,475.399,465.999,466.948,200100,311.678
2015-06-17,468.499,470.799,462.499,463.699,192900,309.509
2015-06-18,461.25,471.999,461.25,465.999,545900,311.044
2015-06-19,466.499,472.699,465.999,471.199,309900,314.515
2015-06-22,472.599,474.299,465.999,470.699,207100,314.181
2015-06-23,470.85,477.799,469.099,473.448,443700,316.016
2015-06-24,474.199,477.499,469.999,471.35,284600,314.616
2015-06-25,472.948,472.948,465.199,469.549,363700,313.414
2015-06-26,469.499,469.499,462.948,463.85,232700,309.609
2015-06-29,458.199,461.899,446.099,448.55,545200,299.397
2015-06-30,447.999,451.699,445.099,446.799,470000,298.229
2015-07-01,448.55,452.899,446.999,449.25,377700,299.864
2015-07-02,451.899,459.899,449.299,454.148,273100,303.134
2015-07-03,456.999,457.85,452.099,452.748,146700,302.2
2015-07-06,449.999,451.899,444.099,449.899,327900,300.298
2015-07-07,449.999,450.999,445.05,445.799,827200,297.561
2015-07-08,445.799,445.799,427.05,429.499,738200,286.681
2015-07-09,430.25,431.999,420.499,421.799,712400,281.542
2015-07-10,425.199,440.999,419.448,438.899,767800,292.955
2015-07-13,439.999,443.899,435.85,440.05,264900,293.724
2015-07-14,437.499,440.799,436.648,438.35,279200,292.589
2015-07-15,440.799,445.999,439.999,443.25,246600,295.859
2015-07-16,443.999,446.999,438.999,445.05,206400,297.061
2015-07-17,446.448,446.448,441.55,442.948,199000,295.658
2015-07-20,442.948,443.899,438.999,439.599,259900,293.423
2015-07-21,439.948,441.148,433.499,439.35,194300,293.256
2015-07-22,435.499,440.399,433.199,436.299,209000,291.22
2015-07-23,436.999,443.748,432.599,441.999,275300,295.025
2015-07-24,442.899,449.499,441.448,446.05,297800,297.728
2015-07-27,445.999,445.999,434.748,437.948,421500,292.321
2015-07-28,434.999,436.199,423.999,429.55,343300,286.715
2015-07-29,431.999,433.899,419.999,421.799,1025300,281.542
2015-07-30,427.948,430.499,420.099,422.55,1060800,282.043
2015-07-31,424.999,434.999,423.199,432.35,440300,288.584
2015-08-03,429.999,444.399,426.55,441.899,310000,294.958
2015-08-04,440.05,444.748,436.648,440.299,291400,293.89
2015-08-05,440.499,453.999,439.05,449.399,383500,299.964
2015-08-06,450.899,460.699,447.299,456.399,452400,304.636
2015-08-07,453.148,466.199,451.599,456.35,408900,304.603
2015-08-10,455.999,464.999,454.148,456.748,232200,304.87
2015-08-11,456.999,459.699,447.899,451.85,285700,301.6
2015-08-12,452.85,461.999,443.999,450.399,603500,300.631
2015-08-13,449.399,453.799,445.999,450.148,432400,300.464
2015-08-14,451.999,455.999,448.999,454.499,149300,303.368
2015-08-17,457.748,463.499,450.999,460.648,225100,307.473
2015-08-18,464.999,464.999,458.999,461.148,200800,307.806
2015-08-19,460.999,462.999,459.05,461.199,149400,307.84
2015-08-20,461.999,472.849,454.999,459.599,410800,306.772
2015-08-21,451.55,463.299,445.099,455.85,719500,304.27
2015-08-24,440.999,452.748,424.999,428.85,2285300,286.248
2015-08-25,434.999,449.999,424.399,443.05,493600,295.726
2015-08-26,434.948,455.099,429.199,449.399,677500,299.964
2015-08-27,457.899,460.999,449.999,454.799,1391300,303.568
2015-08-28,464.899,472.999,462.499,468.099,823400,312.446
2015-08-31,468.999,474.899,443.448,449.448,476300,299.997
2015-09-01,451.748,459.499,446.85,452.399,362400,301.966
2015-09-02,450.099,463.799,444.25,455.25,480800,303.869
