"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2015-06-26,361.25,378.2,354.75,370.8,3432600,354.88
2015-06-29,362.5,362.5,351.75,355.7,3287000,340.43
2015-06-30,355,363.9,355,362.65,2258000,347.08
2015-07-01,362.7,368,361.55,364.75,1496100,349.09
2015-07-02,365.55,372.3,362.55,364.1,1712900,348.47
2015-07-03,364.6,368,359.05,361,1308400,345.5
2015-07-06,357,361.8,351.75,359.95,1574900,344.5
2015-07-07,361.4,373.5,360,368.5,3000800,352.68
2015-07-08,364.5,366,354.1,361.15,2247300,345.64
2015-07-09,364,372.3,362.15,366,2056700,350.29
2015-07-10,368.4,372.9,363.4,367.35,1878900,351.58
2015-07-13,368,375.5,366.2,372.55,2292200,356.55
2015-07-14,373.5,376,368.55,370,1434000,354.11
2015-07-15,370.85,373.85,365,367.15,1497100,351.39
2015-07-16,369,374,367.7,371.25,1458200,355.31
2015-07-17,372,384.95,370.2,383.4,3336500,366.94
2015-07-20,387.2,394.5,385.25,392.3,2920400,375.46
2015-07-21,392.2,394.35,377,379.95,2584600,363.64
2015-07-22,378.2,391.5,377.3,389.5,1978300,372.78
2015-07-23,389.4,399.45,386.8,393,2274600,376.13
2015-07-24,391.35,395.6,384.6,387.4,1777200,370.77
2015-07-27,384,386.4,371.25,372.85,1621600,356.84
2015-07-28,374.8,377.7,367.45,373.05,1688600,357.03
2015-07-29,374.25,377.2,366.75,374.85,1317900,358.76
2015-07-30,376.9,394.25,374.5,391.2,3853100,374.4
2015-07-31,393.9,395.8,384.55,390.25,2409300,373.49
2015-08-03,390,406.5,388.2,391.65,2345400,374.83
2015-08-04,392.4,401.6,387.6,393.4,2538200,376.51
2015-08-05,396.1,401,392.25,393.75,2375500,376.84
2015-08-06,394.8,396.4,386.6,388.05,1799200,371.39
2015-08-07,388.05,389.9,380.5,382.55,2050100,366.12
2015-08-10,382.55,388.2,371.5,376.4,1819800,360.24
2015-08-11,375.25,378.8,366.5,369.3,1895500,353.44
2015-08-12,366.25,367.3,345.5,348.4,3004300,333.44
2015-08-13,351.5,356.85,333.5,337.6,3272900,323.1
2015-08-14,341.2,357.7,335.75,351.35,3967000,336.26
2015-08-17,352.5,352.5,332.6,344.4,3352900,329.61
2015-08-18,345.45,349.8,337.7,341.05,2227400,326.41
2015-08-19,340.7,346.5,338.15,339.2,2508700,324.64
2015-08-20,337,339.8,325.2,328.4,2628000,314.3
2015-08-21,320.5,331.9,318.25,329.75,2702400,315.59
2015-08-24,317.4,322.8,280.6,285.35,4554300,273.1
2015-08-25,295,295.7,246.35,282.25,4662100,270.13
2015-08-26,282.5,302.85,275.15,293.05,4376400,280.47
2015-08-27,301.1,307,295.45,304.25,5370700,291.19
2015-08-28,306.4,314.9,299.3,308.05,3494400,294.82
2015-08-31,306.8,323.85,301.35,314.5,3793400,301
2015-09-01,309,313.5,301.3,303.8,3225900,290.76
2015-09-02,308,326.9,308,321.6,4410900,307.79
2015-09-03,324,330.7,320.2,326.5,3142300,312.48
2015-09-04,324.05,324.25,304.1,321.85,3654500,308.03
2015-09-07,323.8,345,323,329.6,3112800,315.45
2015-09-08,332,333.1,312.25,326.05,3642600,312.05
2015-09-09,334.9,342,327.3,337.35,2888300,322.87
2015-09-10,328.5,349.3,326.5,341.8,3060700,327.12
2015-09-11,344.75,347.75,335,338.3,2359600,323.77
2015-09-14,339.75,356,338.8,353.35,2405700,338.18
2015-09-15,350.2,351.65,342.2,344.35,1809800,329.57
2015-09-16,341.9,345.5,332.55,334.8,2006600,329.02
2015-09-17,334.8,334.8,334.8,334.8,0,329.02
2015-09-18,338.2,349.8,336,344.6,2254400,338.66
2015-09-21,341.1,351.55,337.5,348.45,2262100,342.44
2015-09-22,350,351.95,331.25,335.5,2184800,329.71
2015-09-23,328,348.9,328,347.15,2306100,341.16
2015-09-24,344.05,357.5,339.45,355.05,3518500,348.93
2015-09-25,355.05,355.05,355.05,355.05,0,348.93
2015-09-28,354,362.95,350.6,360.35,3017500,354.13
2015-09-29,354,373.9,351.1,366.85,3956800,360.52
2015-09-30,370,377.6,363.75,376.1,3940500,369.61
2015-10-01,380,381.5,369.4,372.55,2537200,366.12
2015-10-02,372.55,372.55,372.55,372.55,0,366.12
2015-10-05,376.05,385,374.4,383.95,1631000,377.33
2015-10-06,386.95,387.4,377.5,380.65,1547900,374.08
2015-10-07,380.1,390.95,376.1,387.8,2225600,381.11
2015-10-08,387.9,387.9,375.4,380.1,1430900,373.54
2015-10-09,383.9,387,375.55,377.6,1488600,371.09
2015-10-12,380,385.85,374.2,378.85,1497900,372.31
2015-10-13,380.95,403.65,377.8,399.2,5840900,392.31
2015-10-14,399.35,404.7,394.05,395.55,2563700,388.73
2015-10-15,397.6,404.9,395.1,403.1,1843300,396.15
2015-10-16,404.7,414.3,400.05,406.75,3308000,399.73
2015-10-19,407.05,409.9,399.8,407.7,2050300,400.67
2015-10-20,405.9,411,396.9,398.95,1862300,392.07
2015-10-21,400.1,416.9,398.2,411.9,4353900,404.79
2015-10-22,411.9,411.9,411.9,411.9,0,404.79
2015-10-23,418,419.5,409.5,414,2514600,406.86
2015-10-26,417,417.8,409.5,414.55,2381900,407.4
2015-10-27,412.8,422,412.8,419.75,1838200,412.51
2015-10-28,417.05,419.5,409.75,412.15,1629300,405.04
2015-10-29,412.75,415.45,408.35,409.9,2612100,402.83
2015-10-30,411.2,428.3,411,422.4,3111600,415.11
2015-11-02,423.3,425.8,412.2,417.65,3413300,410.45
2015-11-03,420,427,417.5,423.3,2617600,416
2015-11-04,425.4,427.7,413.55,415.6,1720300,408.43
2015-11-05,414,424.65,414,421,2877100,413.74
2015-11-06,420.1,423.75,406.15,409.9,2131600,402.83
2015-11-09,398,420,397.05,418.2,2097500,410.99
2015-11-10,415.9,423.9,401,402.8,2610400,395.85
2015-11-11,402.8,402.8,402.8,402.8,0,395.85
2015-11-12,402.8,402.8,402.8,402.8,0,395.85
2015-11-13,401,418,400,409.65,2118700,402.58
2015-11-16,408.35,417,404.8,408.25,3028100,401.21
2015-11-17,411.5,412.85,399.95,405.75,1846300,398.75
2015-11-18,406.5,409.8,391.4,393.35,2325500,386.56
2015-11-19,396,403.4,389.85,401.65,2699600,394.72
2015-11-20,402.5,409.85,402,404.35,1988400,397.37
2015-11-23,406.7,411.75,403.25,408.3,1432600,401.26
2015-11-24,406.9,426.8,406.4,424,3368800,416.69
2015-11-25,424,424,424,424,0,416.69
2015-11-26,426.9,435.65,426.55,434.05,2936300,426.56
