"Date","GAIL.NS.Open","GAIL.NS.High","GAIL.NS.Low","GAIL.NS.Close","GAIL.NS.Volume","GAIL.NS.Adjusted"
2015-03-25,392.399,392.399,378.999,380.199,2929900,269.06
2015-03-26,385.999,387.05,380.099,381.199,2331100,269.767
2015-03-27,382.948,382.948,372.148,379.25,2393600,268.388
2015-03-30,378.999,381.948,373.899,380.05,1015300,268.954
2015-03-31,381.399,389.999,378.399,387.799,3294700,274.438
2015-04-01,388.899,389.05,379.25,384.799,1975500,272.315
2015-04-02,384.799,384.799,384.799,384.799,0,272.315
2015-04-03,384.799,384.799,384.799,384.799,0,272.315
2015-04-06,386.948,404.999,381.499,399.899,1117000,283.001
2015-04-07,399.999,407.899,395.499,400.148,1587000,283.177
2015-04-08,399.899,414.748,396.099,410.399,1081600,290.432
2015-04-09,411.748,412.999,395.05,397.199,1515700,281.09
2015-04-10,397.55,401.799,394.148,399.148,1789400,282.47
2015-04-13,396.35,397.999,384.699,395.25,3107500,279.711
2015-04-14,395.25,395.25,395.25,395.25,0,279.711
2015-04-15,394.999,402.999,390.448,394.85,1241200,279.428
2015-04-16,393.799,398.35,391.899,396.299,1686900,280.453
2015-04-17,396.799,398.748,386.999,388.85,1385700,275.182
2015-04-20,389.399,392.799,382.748,385.148,679600,272.562
2015-04-21,385.999,388.199,374.899,376.05,1402600,266.123
2015-04-22,376.099,378.499,369.799,375.999,1806500,266.087
2015-04-23,375.999,378.999,371.599,375.599,1005900,265.804
2015-04-24,374.999,376.448,366.448,368.148,1331400,260.532
2015-04-27,369.499,370.399,360.148,361.499,1185400,255.826
2015-04-28,360.599,364.148,353.35,357.899,1203100,253.278
2015-04-29,357.999,368.999,356.099,365.85,1344800,258.905
2015-04-30,365.448,365.55,358.099,360.299,2449000,254.977
2015-05-01,360.299,360.299,360.299,360.299,0,254.977
2015-05-04,361.999,369.099,359.699,366.799,919400,259.577
2015-05-05,367.299,374.448,364.099,373.35,1667300,264.213
2015-05-06,373.599,373.599,361.648,365.899,1207500,258.94
2015-05-07,361.648,369.899,357.35,368.05,1133800,260.462
2015-05-08,369.999,373.448,363.999,369.099,979700,261.204
2015-05-11,371.148,374.999,365.499,373.05,1196500,264
2015-05-12,373.999,377.799,363.099,367.25,1300500,259.896
2015-05-13,372.899,382.499,369.999,378.399,1988700,267.786
2015-05-14,378.399,400.999,372.748,383.35,1360400,271.289
2015-05-15,383.299,384.799,377.05,380.148,1687700,269.024
2015-05-18,381.748,396.899,380.55,394.648,986800,279.285
2015-05-19,393.999,395.999,385.748,391.899,1057800,277.34
2015-05-20,393.948,397.199,388.799,394.099,931700,278.896
2015-05-21,394.35,395.25,386.05,392.448,867400,277.728
2015-05-22,396.05,399.748,392.699,397.099,1075900,281.019
2015-05-25,394.999,398.948,385.199,386.85,603300,273.766
2015-05-26,386.899,395.799,386.899,388.299,1551600,274.792
2015-05-27,386.999,388.899,370.448,380.948,3414200,269.59
2015-05-28,371.999,384.999,369.999,379.948,2496800,268.882
2015-05-29,382.699,396.399,376.25,388.85,5699200,275.182
2015-06-01,389.948,392.799,382.448,391.299,1241900,276.915
2015-06-02,388.199,391.199,385.748,388.999,972100,275.287
2015-06-03,386.199,397.999,372.499,374.899,1330200,265.309
2015-06-04,373.999,383.448,369.199,374.148,1418700,264.778
2015-06-05,374.148,388.799,372.05,386.148,1596100,273.27
2015-06-08,386.999,391.599,382.999,386.35,1051500,273.412
2015-06-09,388.899,393.748,377.999,390.748,1679900,276.525
2015-06-10,391.199,396.999,387.148,395.499,2005000,279.887
2015-06-11,397.999,399.999,389.999,394.599,2331200,279.25
2015-06-12,394.099,397.748,390.05,396.148,1746100,280.347
2015-06-15,394.999,399.999,391.899,397.099,1017500,281.019
2015-06-16,396.099,405.948,394.599,398.799,1239200,282.223
2015-06-17,398.55,401.999,395.648,399.999,1487400,283.072
2015-06-18,400.499,403.748,397.25,399.448,706700,282.682
2015-06-19,398.899,402.799,392.148,396.05,1074100,280.277
2015-06-22,396.899,403.499,394.25,401.399,934700,284.062
2015-06-23,401.399,408.499,396.35,403.799,1191100,285.761
2015-06-24,402.799,405.499,395.999,399.25,1218400,282.541
2015-06-25,398.499,417.899,391.25,412.748,2959300,292.094
2015-06-26,407.35,408.999,397.699,399.499,1171500,282.718
2015-06-29,395.999,399.499,392.599,397.148,1116000,281.054
2015-06-30,397.999,399.999,388.55,392.199,1520000,277.552
2015-07-01,391.999,401.199,388.748,390.148,2310400,276.101
2015-07-02,390.199,394.999,385.099,386.55,1111100,273.554
2015-07-03,385.999,389.748,383.148,385.25,713100,272.634
2015-07-06,381.748,387.699,381.05,386.299,692200,273.377
2015-07-07,386.999,389.699,383.999,384.448,583100,272.067
2015-07-08,381.799,382.599,370.599,372.399,1026300,263.54
2015-07-09,373.399,375.299,365.748,367.148,1011500,259.824
2015-07-10,367.899,368.05,358.148,360.899,1841800,255.401
2015-07-13,362.799,374.299,361.699,372.748,1537500,263.787
2015-07-14,374.999,378.499,369.05,373.099,1489100,264.035
2015-07-15,372.999,375.948,369.099,373.748,1259600,264.495
2015-07-16,375.55,375.899,371.499,371.999,1074800,263.257
2015-07-17,374.699,374.699,370.25,371.799,731900,263.115
2015-07-20,371.799,372.999,367.599,370.499,1167800,262.195
2015-07-21,371.799,372.55,363.599,364.999,1089400,258.303
2015-07-22,363.899,371.85,360.899,369.25,766000,261.311
2015-07-23,374.999,376.999,368.099,370.199,1989300,261.983
2015-07-24,360.999,363.599,357.099,361.099,2275600,255.543
2015-07-27,359.999,360.299,351.55,353.999,1479800,250.518
2015-07-28,353.25,354.699,349.599,351.948,1920700,249.067
2015-07-29,349.999,355.699,345.099,346.599,2243300,245.282
