"Date","RCOM.NS.Open","RCOM.NS.High","RCOM.NS.Low","RCOM.NS.Close","RCOM.NS.Volume","RCOM.NS.Adjusted"
2016-07-11,51.05,51.8,51,51.5,13288300,51.5
2016-07-12,51.85,52.65,51.3,52.15,12717600,52.15
2016-07-13,52.4,52.4,50.3,50.75,13312600,50.75
2016-07-14,50.9,51.75,50.35,51.25,10517600,51.25
2016-07-15,51.6,52.2,50.4,51.6,17449600,51.6
2016-07-18,51.6,52.05,48.8,49.45,15320100,49.45
2016-07-19,49.5,49.9,48.6,49,13644700,49
2016-07-20,49.2,50.9,48.8,50.35,28251000,50.35
2016-07-21,50.75,51.55,49.75,50.15,16629700,50.15
2016-07-22,50.25,52,49.95,51.45,16567300,51.45
2016-07-25,51.6,51.9,51,51.55,9262300,51.55
2016-07-26,51.8,52.7,50.4,50.75,22565500,50.75
2016-07-27,51.35,52.35,50.95,51.5,18645500,51.5
2016-07-28,51.95,52.15,51.25,51.4,19412200,51.4
2016-07-29,51.65,53.35,51.3,52.6,29595900,52.6
2016-08-01,53.1,53.4,51.3,51.85,21644300,51.85
2016-08-02,52,52.1,50.2,50.75,19781300,50.75
2016-08-03,50.7,51.3,49.05,49.35,17660200,49.35
2016-08-04,49.8,49.8,48.45,49.2,12551000,49.2
2016-08-05,49.6,51,49.3,50.7,17444600,50.7
2016-08-08,50.9,52,50.45,51.45,16073400,51.45
2016-08-09,51.15,51.15,49.95,50.1,11057600,50.1
2016-08-10,50.15,50.4,48.5,48.65,16076700,48.65
2016-08-11,48.5,49,48,48.7,10962900,48.7
2016-08-12,48.8,49.55,48.05,49.05,12441200,49.05
2016-08-15,49.05,49.05,49.05,49.05,0,49.05
2016-08-16,48.95,48.95,47.25,47.85,15961600,47.85
2016-08-17,47.75,49.9,47.75,49.6,18391300,49.6
2016-08-18,49.7,50.7,49.2,50.2,15025000,50.2
2016-08-19,50,51.2,49.6,50.15,15778000,50.15
2016-08-22,50.1,50.9,49.05,50.55,16515800,50.55
2016-08-23,50.35,51.65,50.25,51.35,26796700,51.35
2016-08-24,51.3,52.15,51.2,52,17114000,52
2016-08-25,52.2,52.75,51.2,51.4,18584300,51.4
2016-08-26,51.6,54.65,51.05,53.95,42143700,53.95
2016-08-29,54.15,55,52.65,53.85,28444100,53.85
2016-08-30,54.25,54.65,53.55,53.75,16469000,53.75
2016-08-31,54.25,55.35,53.45,53.95,22776100,53.95
2016-09-01,54.2,55,48.4,49.1,62631000,49.1
2016-09-02,49,49.9,47.35,49.25,30703900,49.25
2016-09-05,49.25,49.25,49.25,49.25,0,49.25
2016-09-06,49.5,49.95,48.35,49.65,18863900,49.65
2016-09-07,49.75,50.7,49.1,49.95,15035600,49.95
2016-09-08,50.45,51.15,49.5,50.5,14116500,50.5
2016-09-09,51.5,52.3,50.6,50.8,19151000,50.8
2016-09-12,49.8,50.7,48.2,49.75,15530700,49.75
2016-09-13,49.75,49.75,49.75,49.75,0,49.75
2016-09-14,50.7,51.6,50,51.15,20850000,51.15
2016-09-15,52.2,53,49.1,49.8,48404000,49.8
2016-09-16,49.8,50.4,48,48.25,32036100,48.25
2016-09-19,48.75,49.3,48.4,48.85,13690900,48.85
2016-09-20,49,49.05,48.2,48.4,9732200,48.4
2016-09-21,48.45,48.6,47.7,47.85,11856300,47.85
2016-09-22,48.3,48.8,48.1,48.6,12389100,48.6
2016-09-23,48.5,48.85,47.75,47.85,10959700,47.85
2016-09-26,47.9,48.25,46.65,47.45,18758300,47.45
2016-09-27,47.85,48.8,47.1,48.05,22355300,48.05
2016-09-28,48.5,48.65,47.7,47.85,15887200,47.85
2016-09-29,48,48.25,42.1,42.35,48546700,42.35
