"Date","INDUSINDBK.NS.Open","INDUSINDBK.NS.High","INDUSINDBK.NS.Low","INDUSINDBK.NS.Close","INDUSINDBK.NS.Volume","INDUSINDBK.NS.Adjusted"
2016-09-13,1195.8,1195.8,1195.8,1195.8,0,1195.8
2016-09-14,1185,1200.8,1182,1189.7,1892800,1189.7
2016-09-15,1193.7,1194.8,1176,1181.15,1007700,1181.15
2016-09-16,1187.5,1196.1,1161.9,1169.65,2514400,1169.65
2016-09-19,1173.2,1207,1165.1,1205.1,1267700,1205.1
2016-09-20,1205.4,1207.05,1182.1,1184.3,948800,1184.3
2016-09-21,1185.4,1192.5,1182,1185,1050600,1185
2016-09-22,1198,1226,1198,1219.6,1207400,1219.6
2016-09-23,1220,1230.7,1209.2,1220.8,1080400,1220.8
2016-09-26,1209,1214.3,1196.2,1201.65,835900,1201.65
2016-09-27,1201.9,1214.85,1193,1208.6,933000,1208.6
2016-09-28,1206.9,1225.25,1200.1,1222.05,802700,1222.05
2016-09-29,1226,1231.9,1190.2,1197.85,1750300,1197.85
2016-09-30,1190,1206.9,1181.55,1195.95,752700,1195.95
2016-10-03,1201,1240,1193.9,1232.9,1151900,1232.9
2016-10-04,1234.9,1237,1215.05,1224.3,1229600,1224.3
2016-10-05,1229.1,1233,1209.8,1215.9,278500,1215.9
2016-10-06,1215,1234.7,1205.55,1222.15,570700,1222.15
2016-10-07,1223,1228,1208.15,1220.85,488600,1220.85
