"Date","PEL.NS.Open","PEL.NS.High","PEL.NS.Low","PEL.NS.Close","PEL.NS.Volume","PEL.NS.Adjusted"
2015-06-11,982.95,982.95,935.6,944.7,61600,907.0055
2015-06-12,949.95,962.9,932,937.95,45000,900.5249
2015-06-15,932,947,928,933.05,51500,895.8203
2015-06-16,945.4,945.4,922.2,927.2,38000,890.2038
2015-06-17,923,944.95,923,940,85300,902.493
2015-06-18,945.95,964,935.55,955.35,107300,917.2305
2015-06-19,962,979,919.5,927.55,146200,890.5398
2015-06-22,932,939.5,925.05,929.75,41300,892.652
2015-06-23,931,939.35,920.5,926.7,28700,889.7237
2015-06-24,938.5,938.5,920,921.6,28600,884.8272
2015-06-25,934.8,949,922.45,937.7,74800,900.2848
2015-06-26,922.15,944.35,922.15,930.8,32200,893.6601
2015-06-29,939.8,939.8,921.05,931.55,32900,894.3802
2015-06-30,939.7,939.7,922.8,928.05,68100,891.0198
2015-07-01,932.9,943.95,929,932.1,54400,894.9082
2015-07-02,938.95,970,937.1,955.55,111600,917.4226
2015-07-03,954.4,969.9,954.4,966.05,42500,927.5036
2015-07-06,951,970,951,963.55,23600,925.1034
2015-07-07,978,983.9,960.25,971.55,29300,932.7842
2015-07-08,987,987,970.1,975.05,141400,936.1445
2015-07-09,983,985.05,940,951.1,40000,913.1501
2015-07-10,965,970.9,923,940.55,110300,903.0211
2015-07-13,953.25,964.1,940.05,953.8,38900,915.7424
2015-07-14,964,975,953.1,971.8,41800,933.0242
2015-07-15,963.5,993.9,963.5,975.25,93800,936.3365
2015-07-16,977.3,994,971,972.95,55800,934.1283
2015-07-17,970.05,994.9,970.05,975.65,72400,936.7206
2015-07-20,984.95,989.45,967.65,973.95,31100,935.0884
2015-07-21,987,987,956.6,959.85,37600,921.551
2015-07-22,963,968.95,936.6,939.4,76500,901.917
2015-07-23,946.4,946.4,930,933.75,52800,896.4924
2015-07-24,940,963,924.05,927.45,98600,890.4438
2015-07-27,943.35,943.35,920,923.4,49900,886.5554
2015-07-28,918,923.8,880.1,888.9,100100,872.3258
2015-07-29,901.2,936,900.45,928.65,175200,911.3346
2015-07-30,934.95,938.5,891,901.65,99400,884.8381
2015-07-31,911.65,923.5,905,920.2,97700,903.0422
2015-08-03,925,925,895.1,901.05,76100,884.2492
2015-08-04,919,919.95,890,905.15,102700,888.2728
2015-08-05,915,951.2,910,944.05,182500,926.4475
2015-08-06,940,960,925.1,934.15,175800,916.7321
2015-08-07,940,948.9,927,936.4,151200,918.9401
2015-08-10,949,955.9,930,936.75,44800,919.2836
2015-08-11,936,939.8,907,914.4,811000,897.3503
2015-08-12,913.85,922.95,901,903.1,53100,886.261
2015-08-13,912.25,937.45,905,925.4,82500,908.1452
2015-08-14,948,948,916,921.35,41500,904.1707
2015-08-17,922,935,907.65,930.25,31100,912.9048
2015-08-18,939.9,943.9,929.1,932.7,40500,915.3091
2015-08-19,939.9,947.5,918.95,924.2,85300,906.9676
2015-08-20,928,930.15,900,901.75,66100,884.9362
2015-08-21,902,930,897.55,924.15,79900,906.9185
2015-08-24,917.1,917.1,865,870.35,76400,854.1216
2015-08-25,886,910.05,862.05,874.6,132500,858.2924
2015-08-26,892,899.95,866.8,874.9,87500,858.5868
2015-08-27,896,905,882.9,893.25,141700,876.5947
2015-08-28,902.8,939,902.8,932.25,148800,914.8675
2015-08-31,929.9,990.7,929.8,973.85,251600,955.6918
2015-09-01,968,977,935.05,936.65,96100,919.1855
2015-09-02,937.4,946.95,885.05,893.8,150800,877.1344
2015-09-03,894.95,908,881.5,885.8,136100,869.2836
2015-09-04,884.9,903.5,870,877.35,93400,860.9911
2015-09-07,888,896.95,852.65,858.4,48500,842.3945
