"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2015-02-25,1311,1349.55,1311,1340.55,2729900,1305.1351
2015-02-26,1348,1374.2,1336.2,1345.7,3132300,1310.149
2015-02-27,1354.9,1368.75,1335.6,1347.4,4151200,1311.8041
2015-03-02,1342.1,1370,1319,1339.95,4429000,1304.5509
2015-03-03,1341,1373,1341,1368.05,2482100,1331.9086
2015-03-04,1390,1402.3,1355.5,1367.7,3801100,1331.5678
2015-03-05,1367.7,1402.15,1366.4,1394.8,4689200,1357.9519
2015-03-06,1394.8,1394.8,1394.8,1394.8,0,1357.9519
2015-03-09,1397.5,1397.5,1351.8,1368.35,3448600,1332.2006
2015-03-10,1365.1,1365.15,1307.15,1312.4,5116600,1277.7288
2015-03-11,1320.8,1338.5,1310.35,1322.75,3331100,1287.8053
2015-03-12,1332.9,1343.45,1316.35,1332.85,3304200,1297.6385
2015-03-13,1351,1368,1322,1328.05,4002100,1292.9653
2015-03-16,1327,1327,1293.6,1305.7,3706300,1271.2057
2015-03-17,1311.9,1347.65,1307.1,1339.45,2149300,1304.0641
2015-03-18,1340.9,1343.65,1315,1322.05,2027400,1287.1239
2015-03-19,1336,1354.6,1317.4,1327.7,5042400,1292.6245
2015-03-20,1324,1343.85,1308,1338.45,3871300,1303.0905
2015-03-23,1332.2,1348.9,1327.5,1345.7,1772800,1310.149
2015-03-24,1337.55,1386.75,1337.25,1358.85,4545700,1322.9516
2015-03-25,1362,1380.95,1342.2,1354.55,3628800,1320.7092
2015-03-26,1339.3,1339.3,1273,1283.7,6239900,1251.6291
2015-03-27,1290.65,1299,1257.45,1262.7,3115000,1231.1538
2015-03-30,1274.9,1308.9,1271.15,1306.2,2242500,1273.567
2015-03-31,1314,1322.95,1297.75,1315.7,2877700,1282.8297
2015-04-01,1318.95,1341.9,1305.5,1337.05,1492100,1303.6464
2015-04-02,1337.05,1337.05,1337.05,1337.05,0,1303.6464
2015-04-03,1337.05,1337.05,1337.05,1337.05,0,1303.6464
2015-04-06,1354.15,1354.15,1303.3,1330.6,2076100,1297.3575
2015-04-07,1332.65,1341.75,1312.55,1328.7,1946100,1295.5049
2015-04-08,1330.25,1335.3,1297.1,1299.7,2589400,1267.2294
2015-04-09,1309.9,1316.55,1286.5,1303.05,3333900,1270.4958
2015-04-10,1304.7,1308.65,1282.95,1290.35,2003300,1258.113
2015-04-13,1299.9,1312,1291.2,1305.25,2030700,1272.6408
2015-04-14,1305.25,1305.25,1305.25,1305.25,0,1272.6408
2015-04-15,1313,1313.5,1279.6,1290.45,2830500,1258.2105
2015-04-16,1294.8,1310,1281.1,1306.8,3456400,1274.1521
2015-04-17,1306.7,1315.95,1297.2,1306.7,2204800,1274.0545
2015-04-20,1295,1305.75,1256.2,1268.65,2966600,1236.9552
2015-04-21,1266.65,1276.8,1243.3,1258.15,2954400,1226.7175
2015-04-22,1261.1,1285,1258,1277.2,2774200,1245.2915
2015-04-23,1283,1297.65,1267,1276.05,3429200,1244.1704
2015-04-24,1271,1275,1234.1,1245.15,1693900,1214.0423
2015-04-27,1251.9,1255,1196.65,1211.75,3816200,1181.4767
2015-04-28,1214,1236.4,1188.6,1228.25,3962000,1197.5645
2015-04-29,1225,1237,1191.1,1201.15,4661400,1171.1416
2015-04-30,1199.3,1200,1160.1,1170,7207700,1140.7698
2015-05-01,1170,1170,1170,1170,0,1140.7698
2015-05-04,1179.9,1205.75,1173.45,1202.2,4151800,1172.1653
2015-05-05,1197,1201.8,1178.1,1180.35,2910200,1150.8612
2015-05-06,1179.95,1179.95,1151.2,1163.6,5476400,1134.5296
2015-05-07,1161.65,1172.85,1147,1154.25,3674300,1125.4132
2015-05-08,1167.45,1200,1160.6,1185.35,3665400,1155.7362
2015-05-11,1195,1230.55,1191.6,1226.1,3535700,1195.4682
2015-05-12,1223,1223,1184.45,1191.35,3890400,1161.5864
2015-05-13,1195.5,1228.7,1187.85,1219.4,2388300,1188.9356
2015-05-14,1224.4,1224.4,1192,1209.7,1592200,1179.4779
2015-05-15,1215,1236.45,1205.75,1234.3,1926000,1203.4634
2015-05-18,1234,1271,1227,1264.3,1779600,1232.7139
2015-05-19,1258,1264.2,1232.25,1240.55,1645200,1209.5573
2015-05-20,1245,1273.4,1242.3,1270.05,1538200,1238.3203
2015-05-21,1266.2,1273.4,1245.25,1255.95,1869500,1224.5724
2015-05-22,1256.4,1292.95,1252.1,1288.05,1816900,1255.8706
2015-05-25,1280,1288,1250,1252.65,1035800,1221.3549
