"Date","LUPIN.NS.Open","LUPIN.NS.High","LUPIN.NS.Low","LUPIN.NS.Close","LUPIN.NS.Volume","LUPIN.NS.Adjusted"
2015-07-14,1885,1920.55,1880.05,1916.3,795600,1907.852
2015-07-15,1928,1948,1920,1942.95,639100,1934.384
2015-07-16,1951,1960,1937.6,1954.8,598400,1946.182
2015-07-17,1967,1983,1960,1973,630700,1964.302
2015-07-20,1973.5,1983.5,1963.9,1978.25,467400,1969.529
2015-07-21,1970,1970,1875.8,1885.3,993400,1876.989
2015-07-22,1885,1911.5,1817,1823.95,1701300,1815.909
2015-07-23,1835.7,1835.7,1711.15,1728.25,4976900,1720.631
2015-07-24,1735,1750.75,1657,1672.1,3491000,1664.728
2015-07-27,1684.9,1689.95,1602.75,1617.55,3030400,1610.419
2015-07-28,1636,1642,1597.2,1609.35,2565500,1602.255
2015-07-29,1613,1644.8,1590.05,1640.1,1992500,1632.87
2015-07-30,1649.95,1657.85,1621,1626.85,1562900,1619.678
2015-07-31,1636.95,1707.7,1628.8,1696.7,1663400,1689.22
2015-08-03,1700,1711,1658.65,1664,738300,1656.664
2015-08-04,1670,1675.35,1634.1,1640.5,1327400,1633.268
2015-08-05,1651,1685,1645.15,1680.4,1020600,1672.992
2015-08-06,1690,1716.9,1683.45,1705.6,1080100,1698.081
2015-08-07,1710,1710,1682.5,1694.4,630400,1686.93
2015-08-10,1704.95,1725,1685,1695.95,678400,1688.473
2015-08-11,1699.9,1710,1680.45,1698.15,586900,1690.664
2015-08-12,1698,1734.95,1682.6,1722.15,1272300,1714.558
2015-08-13,1730,1773.8,1716.4,1758.1,1226600,1750.349
2015-08-14,1777,1798,1768.95,1793.45,1634000,1785.543
2015-08-17,1804.95,1807.8,1761,1796.9,797000,1788.978
2015-08-18,1806.5,1811,1746.55,1751.05,1178500,1743.33
2015-08-19,1758.5,1807.15,1753.15,1795.4,770100,1787.485
2015-08-20,1813,1942.6,1813,1890.55,3332600,1882.215
2015-08-21,1888.9,1919.35,1852.65,1877.8,1366800,1869.522
2015-08-24,1810,1863,1783.1,1803.65,1468400,1795.699
2015-08-25,1802.3,1857.6,1715.1,1828.55,1993400,1820.489
2015-08-26,1838,1895,1800,1810.4,1920700,1802.419
2015-08-27,1860,1911.45,1835,1899.85,1631200,1891.474
2015-08-28,1925,1935.25,1838,1860.85,1513400,1852.646
2015-08-31,1875,1945,1862,1935.55,1830500,1927.017
2015-09-01,1910,1924.95,1851,1860.5,1202800,1852.298
2015-09-02,1884.9,1908.8,1870,1880.4,1207000,1872.11
2015-09-03,1893,1894.5,1850,1862.35,1015900,1854.14
2015-09-04,1876,1894.45,1840.3,1859.6,1962200,1851.402
2015-09-07,1876,1877,1798.55,1804.9,718400,1796.943
2015-09-08,1810.1,1839.4,1755.75,1820.7,905100,1812.673
2015-09-09,1845.05,1875,1817,1836.1,744400,1828.005
2015-09-10,1817.2,1829.9,1785.1,1818.2,712200,1810.184
