"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2015-03-04,139.9,140.9,133.8,134.4,1008100,132.98
2015-03-05,134.8,137.3,134.05,135.85,566600,134.42
2015-03-06,135.85,135.85,135.85,135.85,0,134.42
2015-03-09,132.25,140.2,132.25,136.15,944400,134.71
2015-03-10,136.8,137.45,134.1,134.9,580200,133.48
2015-03-11,135.75,137.8,134.3,135.95,611100,134.51
2015-03-12,136.5,140.45,136.25,139.1,1025300,137.63
2015-03-13,140.4,145.55,137.7,140.4,3166200,138.92
2015-03-16,141.4,141.85,135.35,137.6,920200,136.15
2015-03-17,138,139.4,135.4,138.2,576900,136.74
2015-03-18,138.7,138.7,135.6,137.75,426100,136.3
2015-03-19,138.5,142,135.5,137.05,866500,135.6
2015-03-20,136.6,137.1,131,131.4,590900,130.01
2015-03-23,132.4,134.75,130.7,131.3,425700,129.91
2015-03-24,131.3,134,130.55,131.45,411500,130.06
2015-03-25,132.2,133.45,131,132.35,589800,130.95
2015-03-26,131.5,132,127.55,128.8,419100,127.44
2015-03-27,129.4,130.6,124.4,125.55,434600,124.22
2015-03-30,126.7,129.25,126.3,127.8,265100,126.45
2015-03-31,128.75,130.3,126.5,127.35,406100,126
2015-04-01,127.95,128.6,124.75,126.95,650000,125.61
2015-04-02,126.95,126.95,126.95,126.95,0,125.61
2015-04-03,126.95,126.95,126.95,126.95,0,125.61
2015-04-06,127.2,127.6,125.15,125.8,352100,124.47
2015-04-07,126.8,137.1,126.35,135.55,2074200,134.12
2015-04-08,136.8,143,135.65,138.95,1811500,137.48
2015-04-09,139.6,139.65,134.3,135.8,596200,134.37
2015-04-10,136.35,136.35,133.3,133.75,458200,132.34
2015-04-13,134,140.9,133.8,138.45,1635500,136.99
2015-04-14,138.45,138.45,138.45,138.45,0,136.99
2015-04-15,138.5,139.7,134.35,135.1,525200,133.67
2015-04-16,135.45,141.8,134,137.7,1531900,136.25
2015-04-17,137.85,138.9,131.75,132.15,622800,130.75
2015-04-20,132.5,133.2,126.8,128.9,608800,127.54
2015-04-21,129.55,134.55,127.95,132.2,795100,130.8
2015-04-22,133.6,134.3,128.45,132.7,618300,131.3
2015-04-23,132.3,137.8,132,133.25,722100,131.84
2015-04-24,133.8,133.85,126.75,127.45,665000,126.1
2015-04-27,129.4,129.85,120.5,121.25,551000,119.97
2015-04-28,122,123.9,120,122.65,432700,121.35
2015-04-29,123.6,124.9,122.15,122.65,354000,121.35
2015-04-30,123,125.2,121,123.75,441400,122.44
2015-05-01,123.75,123.75,123.75,123.75,0,122.44
2015-05-04,125.45,125.85,121.8,124.35,533700,123.04
2015-05-05,124.8,127.3,124,124.35,376400,123.04
2015-05-06,124.35,125.05,120.2,121.75,475500,120.46
2015-05-07,121.8,121.8,115.3,116.15,499400,114.92
2015-05-08,117.8,119.5,115,115.6,495600,114.38
2015-05-11,116.8,119.3,116.5,118.1,350800,116.85
2015-05-12,118.4,118.45,113.25,113.8,476500,112.6
2015-05-13,113.8,116.4,113.8,114.95,312800,113.74
2015-05-14,116,117.45,114.6,116.9,327700,115.67
2015-05-15,117.45,119.5,115.5,116.35,413800,115.12
2015-05-18,116.7,118.3,114.8,116,367900,114.77
2015-05-19,116.3,117.6,115.15,115.75,423300,114.53
2015-05-20,116.7,116.9,114.1,114.6,324200,113.39
2015-05-21,114.55,115.4,113.25,113.8,277900,112.6
2015-05-22,114.6,116.25,113.25,113.7,385600,112.5
2015-05-25,114.15,114.6,112.25,112.45,374200,111.26
2015-05-26,113,114,111.25,112.1,341100,110.92
2015-05-27,110.4,112.65,110.15,111.35,382500,110.17
2015-05-28,111.9,117.8,110,115.35,1974100,114.13
2015-05-29,114,114,110,111.35,749400,110.17
2015-06-01,112.35,115.5,111.7,113.45,1054900,112.25
2015-06-02,113.95,114.9,110.1,111,490800,109.83
2015-06-03,111,111.25,104,108.2,572200,107.06
2015-06-04,109.6,109.65,105,107.35,423400,106.22
2015-06-05,106.9,108.35,105.5,106.8,526200,105.67
2015-06-08,107.2,109.75,105.6,106.1,510100,104.98
2015-06-09,106,106,103.9,104.9,381400,103.79
2015-06-10,105.4,107.8,105.1,105.6,375800,104.48
2015-06-11,106.9,107.1,103.25,104,549700,102.9
2015-06-12,104.3,105.05,102.1,102.85,462300,101.76
2015-06-15,103,105.6,101.4,102.8,435200,101.71
2015-06-16,103.45,104.4,101.65,103.4,367600,102.31
2015-06-17,104.05,107.75,104.05,106.5,664600,105.38
2015-06-18,107,109,106,106.3,476200,105.18
2015-06-19,107.5,117.7,107.3,115.05,3616600,113.83
