"Date","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
2015-05-22,1395,1402.8,1365,1373.9,218200,1358.78
2015-05-25,1374,1376.35,1342,1351.55,158500,1336.676
2015-05-26,1349,1364,1333.05,1353,149400,1338.11
2015-05-27,1344,1382,1336,1361.6,270000,1346.615
2015-05-28,1362,1395,1342,1387.15,293900,1371.884
2015-05-29,1389,1405,1362,1368.6,534100,1353.538
2015-06-01,1367.7,1378.25,1356.2,1366.05,125100,1351.016
2015-06-02,1367,1387,1322.15,1335.55,183900,1320.852
2015-06-03,1341.9,1341.9,1286.1,1323.35,209500,1308.786
2015-06-04,1325,1362,1311.05,1343.9,220800,1329.11
2015-06-05,1352.5,1374.1,1344.05,1351.9,218100,1337.022
2015-06-08,1351.9,1364.35,1290,1301.35,290000,1287.028
2015-06-09,1295,1329.35,1289.2,1316.15,217800,1301.665
2015-06-10,1312.7,1349.9,1305,1334.5,203800,1319.813
2015-06-11,1346.8,1363.5,1279.4,1294.95,291800,1280.698
2015-06-12,1295,1307.65,1281,1292.75,171300,1278.523
2015-06-15,1295,1321.65,1288.85,1318.4,191600,1303.89
2015-06-16,1315,1323.55,1300,1316.3,199900,1301.813
2015-06-17,1329,1339,1313,1321.25,306400,1306.709
2015-06-18,1327.4,1372.15,1314.4,1364.15,378600,1349.137
2015-06-19,1376.3,1395,1367.2,1371.55,309900,1356.455
2015-06-22,1375,1388.6,1350,1376.75,305500,1361.598
2015-06-23,1383.4,1406.5,1369.2,1391.7,357200,1376.384
2015-06-24,1395,1401.75,1350.2,1358,258800,1343.055
2015-06-25,1360,1382,1355,1370.25,324800,1355.17
2015-06-26,1361.3,1390,1360,1369.55,214800,1354.477
2015-06-29,1355,1358,1305,1330.4,255700,1315.758
2015-06-30,1331.1,1352.9,1319.5,1348.85,273000,1334.005
2015-07-01,1354,1389.95,1354,1383.3,294500,1368.076
2015-07-02,1395,1422,1390,1412.85,577300,1397.301
2015-07-03,1421.3,1440,1415.65,1428.35,324500,1412.63
2015-07-06,1414,1446.55,1395.5,1442.25,347300,1426.377
2015-07-07,1445,1468.95,1442.25,1450.1,429100,1434.141
2015-07-08,1432.5,1445.5,1408,1423.45,312500,1407.784
2015-07-09,1430.05,1456.5,1415,1443.25,350000,1427.366
2015-07-10,1450,1463.1,1436.05,1440.95,368100,1425.092
2015-07-13,1441.05,1474,1441.05,1461.7,465000,1445.613
2015-07-14,1470,1488,1464.25,1472.75,294400,1456.542
2015-07-15,1480.1,1492,1465.9,1473.7,282400,1457.481
2015-07-16,1485.95,1489.8,1474,1479.9,295300,1463.613
2015-07-17,1485,1507.8,1479.5,1495.15,313300,1478.695
2015-07-20,1500,1506.4,1480.8,1489.5,260000,1473.107
2015-07-21,1491.1,1499,1446.3,1453.35,174700,1437.355
2015-07-22,1445,1476,1429,1468.75,282400,1452.586
2015-07-23,1479,1486,1447.85,1454.7,196300,1438.69
2015-07-24,1454,1468,1435,1441,155600,1425.141
2015-07-27,1437,1439.25,1376.6,1384.2,173800,1368.966
2015-07-28,1390,1400,1376.5,1380.8,171500,1365.604
2015-07-29,1385,1457.75,1385,1450.8,291800,1434.833
2015-07-30,1460,1465,1421.85,1426.85,399600,1411.147
2015-07-31,1438.95,1468,1427.15,1455.25,232400,1439.234
2015-08-03,1459,1488,1452,1475.35,297000,1459.113
2015-08-04,1486.45,1486.45,1448,1476.1,270100,1459.855
2015-08-05,1489.95,1509,1477,1497.25,389100,1480.772
2015-08-06,1523.8,1559.7,1515,1526,934200,1509.206
2015-08-07,1533.75,1538.7,1501,1507.05,215300,1490.464
2015-08-10,1510,1530,1490.15,1499.55,236700,1483.047
2015-08-11,1501.4,1505.5,1465,1469.35,162700,1453.179
2015-08-12,1465.1,1479.95,1432.3,1436.75,179800,1420.938
2015-08-13,1443.6,1465,1401,1405.55,282100,1390.081
2015-08-14,1407.1,1453.9,1395,1445.4,416200,1429.493
2015-08-17,1457,1459.95,1422.45,1432,241200,1416.24
2015-08-18,1441.7,1455,1432.8,1437.6,210900,1421.778
2015-08-19,1447,1472,1425,1454.45,267500,1438.443
2015-08-20,1450,1474,1410,1415.7,375400,1400.119
2015-08-21,1410,1418,1390,1399.95,256900,1384.543
2015-08-24,1370,1370,1201.75,1226.6,625300,1213.101
2015-08-25,1250.7,1281.4,1105.65,1242.2,596200,1228.529
2015-08-26,1240.2,1271.9,1205.1,1224.9,412200,1211.419
2015-08-27,1262,1269.35,1214.55,1251.25,425500,1237.479
2015-08-28,1265.1,1323,1262.2,1280.1,537300,1266.012
2015-08-31,1275,1294.95,1259.8,1264.85,335600,1250.93
2015-09-01,1249.45,1266.2,1225.25,1241.55,402900,1227.886
2015-09-02,1275,1280,1192.4,1203.8,608200,1190.552
2015-09-03,1216.7,1232.5,1197,1206.7,439700,1193.42
2015-09-04,1203.1,1209.9,1162,1180.8,513600,1167.805
2015-09-07,1190,1194,1137.05,1142.85,393400,1130.272
2015-09-08,1160.55,1194,1145.55,1186.1,430700,1173.046
2015-09-09,1208,1237,1196.4,1232.7,318700,1219.133
2015-09-10,1224.8,1258,1185.2,1249.85,381700,1236.095
2015-09-11,1269.8,1284.7,1256,1276.1,495600,1262.056
2015-09-14,1292.8,1305.95,1275,1300.65,319000,1286.336
2015-09-15,1307.95,1313,1272.2,1282,292300,1267.891
2015-09-16,1295.7,1300,1273.75,1290.3,240500,1276.1
2015-09-17,1290.3,1290.3,1290.3,1290.3,0,1276.1
2015-09-18,1300,1325,1291.55,1296.75,295800,1282.479
2015-09-21,1284.7,1332,1277.1,1325.9,241200,1311.308
2015-09-22,1331,1340.15,1281,1292.85,314500,1278.621
2015-09-23,1277,1305.7,1260,1295.35,228900,1281.094
2015-09-24,1297.8,1317.5,1288.25,1312.25,199600,1297.808
2015-09-25,1312.25,1312.25,1312.25,1312.25,0,1297.808
2015-09-28,1291,1298.8,1261.55,1276.8,292100,1262.748
2015-09-29,1251.5,1311.5,1251.5,1284.3,247000,1270.166
2015-09-30,1307.25,1334.65,1290.35,1325.95,342400,1311.357
2015-10-01,1338,1354.4,1330.3,1343.9,357800,1329.11
2015-10-02,1343.9,1343.9,1343.9,1343.9,0,1329.11
2015-10-05,1353,1384.5,1352.1,1366.05,471400,1351.016
2015-10-06,1377,1379.55,1355.2,1369.65,249900,1354.576
2015-10-07,1380,1391.9,1370.2,1374.35,330000,1359.225
2015-10-08,1374,1377,1339.75,1345.2,221600,1330.395
2015-10-09,1367,1367,1329.55,1346.35,213500,1331.533
2015-10-12,1354,1375,1350.25,1370,204100,1354.922
2015-10-13,1371,1385,1346.05,1362.25,199700,1347.258
2015-10-14,1365,1375,1362,1369.7,117800,1354.626
2015-10-15,1380,1384.95,1371.2,1374.55,165000,1359.422
2015-10-16,1380.1,1389.95,1368,1381.9,285800,1366.691
2015-10-19,1380,1388,1361,1369.95,188500,1354.873
2015-10-20,1368,1382,1350,1356.65,207500,1341.719
2015-10-21,1358,1369.5,1321,1349.45,201500,1334.599
2015-10-22,1349.45,1349.45,1349.45,1349.45,0,1334.599
2015-10-23,1363,1375,1352.5,1371.05,218500,1355.961
2015-10-26,1371.2,1390,1358,1386.6,199300,1371.34
2015-10-27,1380,1396.4,1370,1385.45,192200,1370.202
2015-10-28,1379,1387.95,1350.5,1358.5,231300,1343.549
2015-10-29,1356,1370,1341.25,1357.2,223600,1342.263
2015-10-30,1361,1362.6,1317.55,1327.25,150900,1312.643
2015-11-02,1327.25,1334.65,1290.4,1314.65,164800,1300.182
2015-11-03,1314.15,1344,1314,1338,148300,1323.275
2015-11-04,1343.1,1359.6,1298,1302.9,262900,1288.561
2015-11-05,1307,1309.9,1267.6,1273.05,231300,1259.039
2015-11-06,1271,1284.5,1245.5,1258.3,149700,1244.452
2015-11-09,1230,1279.95,1215.4,1262.85,181200,1248.952
2015-11-10,1260,1260,1226,1231.55,137600,1217.996
2015-11-11,1231.55,1231.55,1231.55,1231.55,0,1217.996
2015-11-12,1231.55,1231.55,1231.55,1231.55,0,1217.996
2015-11-13,1238.5,1259.95,1225.9,1249.35,142000,1235.6
2015-11-16,1242.1,1259.1,1224,1236.7,236100,1223.089
2015-11-17,1243.2,1255,1204,1219.95,222000,1206.524
2015-11-18,1219.9,1231.8,1210,1217.25,130300,1203.854
2015-11-19,1224,1237.7,1220,1230.25,170900,1216.71
2015-11-20,1235,1259.05,1231.05,1240.05,193800,1226.403
2015-11-23,1245.3,1250,1230.5,1239.15,103300,1225.513
2015-11-24,1232.1,1247.2,1205.85,1211.55,246100,1198.216
2015-11-25,1211.55,1211.55,1211.55,1211.55,0,1198.216
2015-11-26,1208.1,1222,1202,1218.35,384000,1204.941
2015-11-27,1219.7,1237,1210,1229.35,241400,1215.82
2015-11-30,1225,1256.45,1213.35,1244,579300,1230.309
2015-12-01,1246.1,1250.05,1223,1227.15,172100,1213.645
2015-12-02,1230.1,1232.4,1208.1,1212.15,145800,1198.81
2015-12-03,1200,1213.55,1185.1,1190.75,284700,1177.645
2015-12-04,1180,1189.8,1160,1163.1,300400,1150.299
2015-12-07,1165.1,1189.15,1152.3,1176.95,343900,1163.997
2015-12-08,1180,1187.95,1163.25,1169.5,235900,1156.629
2015-12-09,1163.1,1171.9,1143.5,1148.75,230000,1136.107
2015-12-10,1146.1,1155.5,1121.1,1146.3,202500,1133.684
2015-12-11,1158.4,1162,1138.5,1145.5,352400,1132.893
2015-12-14,1141,1163.8,1131.1,1155.05,342100,1142.338
2015-12-15,1160,1173.8,1146,1161.75,255000,1148.964
2015-12-16,1173,1182.6,1163,1177.45,284000,1164.492
2015-12-17,1178.75,1191.5,1174.35,1179.5,248000,1166.519
2015-12-18,1180,1184.5,1171.15,1178.95,231400,1165.975
2015-12-21,1178,1191.35,1171.55,1175.45,124000,1162.514
2015-12-22,1180.25,1185,1172.4,1178.95,138000,1165.975
2015-12-23,1180.25,1204.4,1179.45,1201.15,282300,1187.931
2015-12-24,1204.35,1218,1189.1,1192.8,341100,1179.673
2015-12-25,1192.8,1192.8,1192.8,1192.8,0,1179.673
2015-12-28,1192.5,1204.1,1182.5,1197.85,138100,1184.667
2015-12-29,1200,1205,1186.5,1192.05,195000,1178.931
2015-12-30,1189.7,1209.3,1189.7,1193.65,164300,1180.513
2015-12-31,1193.65,1210,1193.65,1200.65,275100,1187.436
2016-01-01,1202.25,1214.95,1194.3,1202.65,132000,1189.414
2016-01-04,1198,1211.15,1183.65,1190.25,149500,1177.151
2016-01-05,1195.2,1201.95,1186.05,1195.8,165300,1182.64
2016-01-06,1198.85,1225.65,1197.05,1205.3,356100,1192.035
2016-01-07,1195,1195,1124.45,1132.05,257600,1119.591
2016-01-08,1137,1152.15,1132.05,1140.6,203100,1128.047
2016-01-11,1135.1,1148,1114.3,1127.85,178400,1115.437
2016-01-12,1134,1145,1121.7,1125.6,122700,1113.212
2016-01-13,1132,1138.9,1091.2,1122.3,282100,1109.949
2016-01-14,1109,1117.1,1087.7,1104.75,146400,1092.592
2016-01-15,1112,1112,1051.25,1058.4,170100,1046.752
2016-01-18,1068,1070.45,1008.85,1013.7,221900,1002.544
2016-01-19,1018,1043,1000.35,1035.15,189400,1023.758
2016-01-20,1028,1028,988,1009.25,268500,998.143
2016-01-21,1013,1029,968.6,974.75,369100,969.788
2016-01-22,992.8,1009,975.55,1000.5,252000,995.407
2016-01-25,1013,1024.5,1002.1,1008.1,172700,1002.968
2016-01-26,1008.1,1008.1,1008.1,1008.1,0,1002.968
2016-01-27,1020,1023.65,992.25,1010,301600,1004.858
2016-01-28,1011,1020,976.9,984.1,330700,979.09
2016-01-29,992.95,1037,969.15,1020.8,1128000,1015.603
2016-02-01,1020.8,1047,976,1035.2,414600,1029.93
2016-02-02,1036,1047,1024,1031.75,320000,1026.498
2016-02-03,1013,1028.5,995,1012,302600,1006.848
2016-02-04,1026.1,1065.2,1012.2,1048.15,504900,1042.814
2016-02-05,1060,1064.9,1026.15,1037.6,269200,1032.318
2016-02-08,1040,1068,1032.7,1050.9,244300,1045.55
2016-02-09,1045.5,1057.85,1018,1021.25,189000,1016.051
2016-02-10,1025.95,1032.5,1001.75,1017.45,192600,1012.27
2016-02-11,1011.5,1018,970,982.8,259400,977.797
2016-02-12,993,1006,970.6,995.65,481300,990.581
2016-02-15,1000,1046,1000,1042.45,183600,1037.143
2016-02-16,1040.05,1048.8,990.05,994.45,296800,989.387
2016-02-17,998,1038.45,972.5,1028.9,327300,1023.662
2016-02-18,1041.25,1047,1016.05,1031.15,241200,1025.901
2016-02-19,1034,1045,1016.35,1041.2,141900,1035.899
2016-02-22,1042.1,1058.25,1032.05,1036.4,227700,1031.124
2016-02-23,1036.5,1039.95,1006.55,1016.95,191800,1011.773
2016-02-24,1005.1,1015,987,993.35,329200,988.293
2016-02-25,997,1092,978,992.25,493700,987.199
2016-02-26,1004.8,1009,986,993.4,172000,988.343
2016-02-29,994.5,999.95,971.8,986,253600,980.98
2016-03-01,992,1032.45,990,1025.55,254700,1020.329
2016-03-02,1045,1074,1040.5,1053.6,409900,1048.236
2016-03-03,1059.7,1066,1033,1049.35,415500,1044.008
2016-03-04,1055,1059.4,1038.15,1044.1,366500,1038.785
2016-03-07,1044.1,1044.1,1044.1,1044.1,0,1038.785
2016-03-08,1055,1066,1029.25,1046.7,516200,1041.371
2016-03-09,1051.9,1051.9,1027.2,1041.95,253700,1036.646
2016-03-10,1050,1052.8,1024,1035.4,244400,1030.129
2016-03-11,1034,1039.9,1027,1032.95,159700,1027.691
2016-03-14,1039,1047.5,1026.2,1034.6,160900,1029.333
2016-03-15,1035,1039.5,1016,1021.8,168800,1016.598
2016-03-16,1021.9,1024.95,991,1004.6,319200,999.486
2016-03-17,1011.1,1033.8,1011.1,1025.45,298600,1020.23
2016-03-18,1025.45,1061,1025.4,1052.45,452600,1047.092
2016-03-21,1052,1075,1052,1071.85,194800,1066.393
2016-03-22,1078,1086.5,1058,1072.55,243800,1067.09
2016-03-23,1071,1096.9,1064.1,1093.45,271800,1087.883
2016-03-24,1093.45,1093.45,1093.45,1093.45,0,1087.883
2016-03-25,1093.45,1093.45,1093.45,1093.45,0,1087.883
2016-03-28,1099,1106.95,1062,1072.45,184300,1066.99
2016-03-29,1056,1082.85,1056,1071.7,171400,1066.244
2016-03-30,1086,1101.05,1070.75,1096.25,289200,1090.669
2016-03-31,1095,1104.9,1084,1099.7,498000,1094.102
2016-04-01,1095,1128.9,1091,1122.9,284600,1117.184
2016-04-04,1130,1130.5,1110.25,1121.6,119200,1115.89
2016-04-05,1118,1125,1094.3,1104.7,158700,1099.076
2016-04-06,1105.4,1136,1104,1130.7,238600,1124.944
2016-04-07,1176,1176,1108.25,1115.05,225100,1109.374
2016-04-08,1108,1135,1104.2,1132.2,144900,1126.436
2016-04-11,1140,1146.5,1116.55,1141.3,169600,1135.49
2016-04-12,1135,1174.85,1135,1168.6,257300,1162.651
2016-04-13,1172,1188,1162.35,1170.45,246900,1164.491
2016-04-14,1170.45,1170.45,1170.45,1170.45,0,1164.491
2016-04-15,1170.45,1170.45,1170.45,1170.45,0,1164.491
2016-04-18,1169.9,1183.5,1160,1178.45,141400,1172.451
2016-04-19,1178.45,1178.45,1178.45,1178.45,0,1172.451
2016-04-20,1181,1198.7,1173.3,1181.35,208200,1175.336
2016-04-21,1189,1195,1172,1179.8,113800,1173.794
2016-04-22,1174,1180,1161.3,1173.5,85400,1167.526
2016-04-25,1180,1180,1147.25,1151.1,129800,1145.24
2016-04-26,1144.05,1180.8,1141.6,1174.9,317300,1168.919
2016-04-27,1175,1195.5,1157.4,1182.35,225700,1176.331
2016-04-28,1182.35,1186.35,1145,1147.95,408000,1142.106
2016-04-29,1157.5,1164.7,1120.4,1137.8,361000,1132.008
2016-05-02,1129.9,1151,1122.1,1144.05,234600,1138.226
2016-05-03,1145.45,1176,1145.45,1151.95,300800,1146.086
2016-05-04,1147,1156.45,1131.2,1136.85,189900,1131.063
2016-05-05,1148,1180.5,1136.3,1173.95,426600,1167.974
2016-05-06,1180,1188.6,1164,1177.1,410000,1171.108
2016-05-09,1199,1199,1148.7,1176.85,751600,1170.859
2016-05-10,1179,1189,1165.55,1170.3,309500,1164.342
2016-05-11,1159.8,1177,1152.45,1162,224400,1156.085
2016-05-12,1168,1178,1155,1172.65,210300,1166.68
2016-05-13,1169.9,1180.8,1151.85,1155.8,223100,1149.916
2016-05-16,1157.7,1163,1136.5,1150.9,235100,1145.041
2016-05-17,1155.2,1168.9,1143,1160.35,478900,1154.443
2016-05-18,1154.9,1158.6,1142.25,1152.95,249200,1147.081
2016-05-19,1153.25,1164.8,1120.1,1137.7,284500,1131.908
2016-05-20,1136,1142.7,1124,1134.4,308100,1128.625
2016-05-23,1136.65,1145,1121.6,1127.85,257800,1122.108
2016-05-24,1127.85,1135,1120.5,1126.45,157900,1120.715
2016-05-25,1133.1,1157.45,1126,1144.2,406700,1138.375
2016-05-26,1148.1,1193.7,1148.1,1186.15,365000,1180.112
2016-05-27,1191,1220.95,1190,1202.75,275700,1196.627
2016-05-30,1202.8,1231,1198.1,1222.35,304600,1216.127
2016-05-31,1222.6,1236,1198.6,1204.2,474900,1198.07
2016-06-01,1205,1234.75,1198.55,1214.85,384600,1208.665
2016-06-02,1212,1221.9,1202.4,1213.2,213700,1207.024
2016-06-03,1214,1223.9,1206,1216.65,203700,1210.456
2016-06-06,1215.5,1223.25,1202,1207.7,151000,1201.552
2016-06-07,1215,1224.7,1194.2,1206.5,362300,1200.358
2016-06-08,1210.85,1259,1202,1256.55,653100,1250.153
2016-06-09,1267.95,1276.7,1243.4,1248.9,433000,1242.542
2016-06-10,1249.9,1269.6,1235,1243.6,268000,1237.269
2016-06-13,1235,1250,1215.75,1244.45,224400,1238.115
2016-06-14,1250,1254.75,1238.55,1247.25,163700,1240.901
2016-06-15,1250,1261.4,1241,1257.6,219900,1251.198
2016-06-16,1259.5,1260,1238.1,1252.7,218400,1246.323
2016-06-17,1265.2,1272.55,1254.2,1262.35,267500,1255.924
2016-06-20,1248,1270.75,1246.35,1266.15,181900,1259.704
2016-06-21,1266.5,1273.95,1257.7,1265.55,202800,1259.107
2016-06-22,1266,1274,1257,1265.7,202300,1259.257
2016-06-23,1272,1272,1260,1266.25,123900,1259.804
2016-06-24,1242.25,1267.2,1215.1,1257.4,227700,1250.999
2016-06-27,1257.4,1270,1251.2,1255.45,191100,1249.059
2016-06-28,1270,1298.5,1265.1,1293.4,374300,1286.816
2016-06-29,1297,1300.05,1280.25,1285.25,235500,1278.707
2016-06-30,1288,1320,1287,1309.7,679300,1303.033
2016-07-01,1311,1327.25,1298.05,1302.55,264300,1295.919
2016-07-04,1305.05,1313.6,1285.5,1288.75,234600,1282.189
2016-07-05,1292,1296.95,1276,1284.95,172000,1278.409
2016-07-06,1284.95,1284.95,1284.95,1284.95,0,1278.409
2016-07-07,1286.35,1290,1272,1276.35,156500,1269.852
2016-07-08,1276,1294.3,1272.3,1276,162300,1269.504
2016-07-11,1288.95,1311.5,1282.7,1299.2,364900,1292.586
2016-07-12,1304,1308.5,1291,1302.45,156300,1295.819
2016-07-13,1307,1313.5,1293.5,1306.45,193800,1299.799
2016-07-14,1294.5,1319.05,1294.5,1311.45,159000,1304.774
2016-07-15,1307.5,1319,1301.45,1310.35,122900,1303.679
2016-07-18,1312,1312.95,1282,1289.45,131600,1282.886
2016-07-19,1290,1310.2,1287.65,1306.25,110700,1299.6
2016-07-20,1309,1353,1305.95,1343.9,470500,1337.059
2016-07-21,1335,1344,1317.35,1323.95,141600,1317.21
2016-07-22,1328.3,1349.7,1319.05,1342.4,207400,1335.566
2016-07-25,1338.9,1356,1331.05,1347.85,170500,1340.988
2016-07-26,1345,1346.85,1325.4,1328.15,130600,1321.389
2016-07-27,1329.7,1343.6,1324.15,1332.9,140900,1326.115
2016-07-28,1332,1341.55,1305.1,1313,615200,1306.316
2016-07-29,1326.7,1331.95,1303.25,1318.5,360200,1311.788
2016-08-01,1325.2,1353,1323.1,1338.45,299900,1331.636
2016-08-02,1339,1350,1277,1280.6,335800,1274.081
2016-08-03,1280,1288,1235.9,1245.4,236500,1239.06
2016-08-04,1251.15,1270.9,1236.05,1255.7,310900,1249.307
2016-08-05,1262.95,1305,1261,1293.75,473900,1287.164
2016-08-08,1298.85,1325,1286.15,1321.35,244200,1314.623
2016-08-09,1324,1330.15,1302,1324.95,171000,1318.205
2016-08-10,1327,1328.6,1290,1294.45,250400,1287.86
2016-08-11,1296,1322.3,1281.5,1314.85,141900,1308.156
2016-08-12,1289.9,1309.9,1274.65,1299.15,169900,1292.536
2016-08-15,1299.15,1299.15,1299.15,1299.15,0,1292.536
2016-08-16,1294.65,1306.95,1283,1295.25,132400,1288.656
2016-08-17,1293.5,1297.8,1281,1291.5,119300,1284.925
