"Date","MFSL.NS.Open","MFSL.NS.High","MFSL.NS.Low","MFSL.NS.Close","MFSL.NS.Volume","MFSL.NS.Adjusted"
2015-04-27,425.5,425.7,404.3,409.5,843800,406.136
2015-04-28,410,436,407.05,427.95,185400,424.434
2015-04-29,427.35,429.1,419,427.2,90400,423.691
2015-04-30,429.9,433.75,405.8,428.3,84200,424.782
2015-05-01,428.3,428.3,428.3,428.3,0,424.782
2015-05-04,432,458.4,426.1,455.1,243400,451.361
2015-05-05,452.35,457.35,439,440.65,91100,437.03
2015-05-06,441.5,441.5,421.25,424.9,166300,421.409
2015-05-07,423,444.7,423,429.8,352900,426.269
2015-05-08,432,434.25,421.3,424.15,146900,420.666
2015-05-11,425.35,433.5,420.25,423.15,140900,419.674
2015-05-12,426.65,433.45,419.5,426.85,205000,423.343
2015-05-13,429,437.9,426.55,433.75,190300,430.187
2015-05-14,433.9,478,429.75,454.35,728800,450.618
2015-05-15,457.2,459.25,445.75,447.95,86000,444.27
2015-05-18,449.9,464.8,445,452,176900,448.287
2015-05-19,452,470.7,446.15,468.05,202800,464.205
2015-05-20,465.65,472,460.35,468.25,168800,464.403
2015-05-21,468.7,470.45,456,458.95,83100,455.18
2015-05-22,465.75,469.5,451.6,456.1,172300,452.353
2015-05-25,457,476.25,456,474.15,273800,470.255
2015-05-26,478.05,478.8,462.1,465.2,184200,461.378
2015-05-27,464,485,458.3,480.3,1082700,476.354
2015-05-28,479.9,482,465.1,472.9,255800,469.015
2015-05-29,474.95,482,465.2,469.8,316900,465.941
2015-06-01,470.3,490,465.5,488.1,359800,484.09
2015-06-02,489,498.85,481,484.8,445200,480.817
2015-06-03,484.7,508.4,475.1,485.65,604400,481.66
2015-06-04,479.9,483.8,465.1,477.5,246600,473.577
2015-06-05,470,493,469.05,486.95,194800,482.95
2015-06-08,483.1,485,474.7,483,164900,479.032
2015-06-09,481,488.5,478.15,483.5,323300,479.528
2015-06-10,480.1,487.9,478.1,484.5,119500,480.52
2015-06-11,484.5,489,479.5,481.4,181000,477.445
2015-06-12,479,481.2,464,467.2,269600,463.362
2015-06-15,467.2,478.25,462,469.1,334100,465.246
2015-06-16,472.9,483.7,463.1,480.55,107900,476.602
2015-06-17,481.3,487.05,475.95,484.25,174200,480.272
2015-06-18,482,488.7,481.1,483.15,83200,479.181
2015-06-19,485.15,486.85,476,484.55,120100,480.569
2015-06-22,485,491,484.6,489.45,154200,485.429
2015-06-23,492.9,493,486,489.65,110200,485.628
2015-06-24,489.65,491,486,489.3,248800,485.28
2015-06-25,491.9,501,486.75,496.85,381300,492.768
2015-06-26,492.4,496.65,481.25,486.75,181200,482.751
2015-06-29,481.9,493,469.65,489.4,134700,485.38
2015-06-30,490,491.45,480,483.2,282600,479.231
2015-07-01,480,487.5,480,486.05,90700,482.057
2015-07-02,489,507.7,486.9,489.1,195800,485.082
2015-07-03,489.5,509,486.05,504.05,217600,499.909
2015-07-06,492,545,492,517.15,627800,512.902
2015-07-07,516,521.35,502.6,506.5,174400,502.339
2015-07-08,499,516.5,486.35,492.45,305500,488.405
2015-07-09,496,504.95,486.05,489.8,162100,485.776
