"Date","IBULHSGFIN.NS.Open","IBULHSGFIN.NS.High","IBULHSGFIN.NS.Low","IBULHSGFIN.NS.Close","IBULHSGFIN.NS.Volume","IBULHSGFIN.NS.Adjusted"
2015-09-22,722,727.85,692.55,701.3,3826100,652.38
2015-09-23,693,738.7,693,732.8,9899400,681.69
2015-09-24,724,731.85,716.95,721.55,6831900,671.22
2015-09-25,721.55,721.55,721.55,721.55,0,671.22
2015-09-28,720,731.4,720,727.35,1084400,676.62
2015-09-29,720,749.05,703,745.05,3903100,693.08
2015-09-30,752.85,799.9,750,794.05,3155700,738.67
2015-10-01,799.85,815,777.8,795.95,1743900,740.43
2015-10-02,795.95,795.95,795.95,795.95,0,740.43
2015-10-05,796,805.5,784.8,788.3,1264500,733.32
2015-10-06,793,796,783.1,787.85,1166800,732.9
2015-10-07,791.3,807,780,784.35,1722400,729.64
2015-10-08,780.7,780.7,750.5,754.6,1464800,701.97
2015-10-09,751.55,769.4,738.25,743.25,1734600,691.41
2015-10-12,747.75,748,731,739.95,930000,688.34
2015-10-13,743.4,743.4,725.1,733.25,1174100,682.11
2015-10-14,736.8,750.05,730.25,744.25,857900,692.34
2015-10-15,750.5,753.5,741.95,744.85,879600,692.9
2015-10-16,749.8,750.9,719.25,729.65,2142300,678.76
2015-10-19,735.95,746.45,734,744.2,838900,692.29
2015-10-20,747.6,748.7,732.35,737.4,529800,685.97
2015-10-21,740.6,747.75,728.3,736,2200600,684.66
2015-10-22,736,736,736,736,0,684.66
2015-10-23,744.9,758.85,739.95,744,1670400,692.11
2015-10-26,746.1,748.9,732,744.85,1023800,692.9
2015-10-27,744.75,749.9,741.05,747.5,841400,695.36
2015-10-28,748.35,751.25,733.5,739.55,1305000,687.97
2015-10-29,740.1,741,719.25,725.4,2673800,674.8
2015-10-30,725.1,738.35,715.25,720.55,1187000,670.29
2015-11-02,716,724.9,705.55,721.95,937600,680.09
2015-11-03,727.8,727.9,717,725.4,552300,683.34
2015-11-04,726.3,730.7,712,714.85,837700,673.4
2015-11-05,716.95,718,705,706.7,707300,665.72
2015-11-06,710,712.1,700.25,704.85,715100,663.98
2015-11-09,683.7,704.35,681.55,699.85,1070700,659.27
2015-11-10,693.15,707,690.75,698.15,653400,657.67
2015-11-11,698.15,698.15,698.15,698.15,0,657.67
2015-11-12,698.15,698.15,698.15,698.15,0,657.67
2015-11-13,711,711,584,643.5,16460100,606.19
2015-11-16,647.5,647.5,619.1,629.45,5525600,592.95
2015-11-17,635,639,619,620.95,2529200,584.95
2015-11-18,618,618,596.55,603.8,4440600,568.79
2015-11-19,606.85,626.25,602.65,615.35,4762400,579.67
2015-11-20,617.9,670,617.9,654.35,6098900,616.41
2015-11-23,659.5,683,649.25,679.2,3275200,639.82
2015-11-24,680,698.8,675.75,692.5,2351400,652.35
2015-11-25,692.5,692.5,692.5,692.5,0,652.35
2015-11-26,697.3,697.4,675.5,680.75,3239300,641.28
2015-11-27,684.8,693.75,681,687.45,1036700,647.59
2015-11-30,690.8,693.5,671.25,693.35,2985000,653.15
2015-12-01,692,722.8,689.15,718.3,2640300,676.65
2015-12-02,719.95,725.05,710,719.05,2155000,677.36
2015-12-03,712.5,720,711.25,714.2,1161600,672.79
2015-12-04,706.25,714.9,702.8,708.15,780800,667.09
2015-12-07,710.5,711.5,690.05,694.4,1941900,654.14
2015-12-08,691,693.9,676,677.65,878800,638.36
2015-12-09,680.6,693.4,663.7,668.5,1202800,629.74
2015-12-10,674.8,679.6,652.65,672.8,1173800,633.79
2015-12-11,673.55,679.75,651.6,661.25,865000,622.91
2015-12-14,654,681.75,653,668.85,987200,630.07
2015-12-15,671.3,679.15,666,671.8,964500,632.85
2015-12-16,678.9,698.4,675.1,687.95,1234700,648.06
2015-12-17,697.5,715,688.5,712.3,1137400,671
2015-12-18,711.4,719.4,700.55,702.65,960100,661.91
2015-12-21,705.45,714.5,695.15,703.5,910300,662.71
2015-12-22,704.7,711.4,697,700.2,648000,659.6
2015-12-23,704.1,707.7,696.35,700.8,445100,660.17
2015-12-24,705,709.4,699.75,707.2,293000,666.19
2015-12-25,707.2,707.2,707.2,707.2,0,666.19
2015-12-28,708.75,715.95,707.25,710.9,401100,669.68
2015-12-29,711.6,739.25,709.45,732.3,1424900,689.84
2015-12-30,735.1,742.2,726.25,730.5,961000,688.14
2015-12-31,732,742,722,736.7,2671800,693.98
2016-01-01,736.4,740.95,725.25,735.65,380200,692.99
2016-01-04,730.15,736,718.7,723.45,738000,681.5
2016-01-05,725.25,736,723.75,733.4,938500,690.87
2016-01-06,736,749.95,728.45,735.85,1508600,693.18
2016-01-07,725,734.55,706.2,717.3,1255600,675.71
2016-01-08,718.55,739.3,718.55,735.25,872400,692.62
2016-01-11,726,745,724.95,736.2,1289700,693.51
2016-01-12,728.7,744,705.3,713.9,1470600,672.51
2016-01-13,718.05,726.15,675.25,716.85,1237000,675.28
2016-01-14,692.2,707,687.3,692.05,1108500,651.92
2016-01-15,695.25,704.45,656.45,665.1,1343700,626.54
2016-01-18,663.9,684.45,641.85,656.8,1878100,618.72
2016-01-19,658,703.6,658,696.95,1079700,656.54
2016-01-20,689.5,695,667.35,689.65,1188800,649.66
2016-01-21,714,725,693.65,698.35,1934900,657.86
2016-01-22,710,719.8,700.6,708.65,1648900,667.56
2016-01-25,712.1,717.3,706.25,708.15,1392900,667.09
2016-01-26,708.15,708.15,708.15,708.15,0,667.09
2016-01-27,714.3,716.65,700.25,704.05,1508700,663.23
2016-01-28,707.8,724.7,695,697.3,1180100,656.87
2016-01-29,696.5,712,696,706.95,1519300,665.96
2016-02-01,703.3,710,699,708.45,658900,675.98
2016-02-02,714.3,718.5,689.75,693.85,1075100,662.05
2016-02-03,685,689.85,667.65,676.1,1319000,645.11
2016-02-04,680,689,645.1,659.6,1058100,629.37
2016-02-05,662.9,685.4,662.9,682.3,850100,651.03
2016-02-08,683.95,689.55,668.1,672.25,673800,641.44
2016-02-09,662.25,667.5,623.25,627.05,1963600,598.31
2016-02-10,622.1,634.2,605,625.2,1503100,596.54
2016-02-11,626,637.5,603.95,614.35,1504200,586.19
2016-02-12,614.9,618,585.25,601.25,2067700,573.69
2016-02-15,612,639.95,600.7,634.6,1912200,605.51
2016-02-16,634.6,643.2,609.25,615.85,1213500,587.62
2016-02-17,618.05,619,585.25,611.5,1911900,583.47
2016-02-18,616,624.2,600.25,607,1499600,579.18
2016-02-19,604,610.6,595.35,597.5,1607900,570.11
2016-02-22,597.45,597.45,578.55,583.25,1317500,556.52
2016-02-23,583.35,584.8,557.45,565.65,2709400,539.72
2016-02-24,560.8,568.35,551.1,552.9,1571700,527.56
2016-02-25,558,575.75,553.6,560.2,1997900,534.52
2016-02-26,565.1,581.5,565.1,575.5,2126100,549.12
2016-02-29,579.05,588,560.1,575.35,2596000,548.98
2016-03-01,579.95,628.75,577.55,623.65,2520600,595.06
2016-03-02,626.1,670,625.1,649.4,3305600,619.63
2016-03-03,652,659.7,640.1,649.4,2265900,619.63
2016-03-04,652,674.7,643.4,669.3,2216900,638.62
2016-03-07,669.3,669.3,669.3,669.3,0,638.62
2016-03-08,667.85,684.75,650.25,661.25,2320400,630.94
2016-03-09,661,667.45,649.2,655.85,1477900,625.79
2016-03-10,656,662,650,654.9,1757200,624.88
2016-03-11,655.95,656.5,643,647.2,971800,617.53
2016-03-14,650,656.95,646,652.75,581900,622.83
2016-03-15,652.9,659.7,643.95,649.65,1026800,619.87
2016-03-16,645.15,649.3,622.85,636.05,1441500,606.9
2016-03-17,640.4,648.35,631.3,635.75,1139600,606.61
2016-03-18,628.75,632.9,606.1,612.35,5949700,592.67
2016-03-21,620,651,618.25,645.6,2012000,624.85
2016-03-22,649.4,651.75,638.25,645.15,1360000,624.42
2016-03-23,647,648.95,640.4,644.25,806300,623.55
2016-03-24,644.25,644.25,644.25,644.25,0,623.55
2016-03-25,644.25,644.25,644.25,644.25,0,623.55
2016-03-28,647.6,651.2,630,631.15,810200,610.87
2016-03-29,631.6,633.4,613.05,614.8,835200,595.04
2016-03-30,615.55,641,615.55,639.6,1023000,619.05
2016-03-31,640,654.95,629.1,649.9,1722900,629.02
2016-04-01,650.95,660,638.2,646.7,943800,625.92
2016-04-04,649.4,650,602.5,631.75,991500,611.45
2016-04-05,624.95,632.45,612.5,616.25,1234300,596.45
2016-04-06,616.9,629,600,623.7,1390700,603.66
2016-04-07,627.15,629.7,611.05,614.3,637500,594.56
2016-04-08,613,618.65,605.1,607.75,733100,588.22
2016-04-11,612.6,627,608.4,625.25,1180500,605.16
2016-04-12,625,631.15,616.5,620.75,793400,600.8
2016-04-13,630,635,624.4,627.05,1029100,606.9
2016-04-14,627.05,627.05,627.05,627.05,0,606.9
2016-04-15,627.05,627.05,627.05,627.05,0,606.9
2016-04-18,633.15,646.4,621.6,641.6,2761300,620.98
2016-04-19,641.6,641.6,641.6,641.6,0,620.98
2016-04-20,646.2,667.9,642,655.6,1870200,634.53
2016-04-21,658.95,668.85,656.25,665.6,1384200,644.21
2016-04-22,661.85,676.85,659,673.95,1371100,652.29
2016-04-25,675.95,741.3,613,663.65,3820600,642.32
2016-04-26,684,688.5,662.3,680.1,3945200,658.25
2016-04-27,677.3,706.85,677,702.85,1256300,680.26
2016-04-28,704.95,709.35,685.25,697.1,2685900,674.7
2016-04-29,688.7,701.8,666.45,693.25,1112400,670.97
2016-05-02,690,704.7,689,693.55,743300,671.26
2016-05-03,697.8,701.3,673.5,684.05,1125100,662.07
2016-05-04,679,680.4,661.1,670.25,1615800,648.71
2016-05-05,672.3,685,663.75,669.1,3427000,647.6
2016-05-06,669.9,679.9,666.65,676.45,787500,654.71
2016-05-09,678,695.3,677.1,691.45,1108000,669.23
2016-05-10,693.15,693.15,681.25,686.35,758500,664.29
2016-05-11,671,687.3,671,680.65,1094500,658.78
2016-05-12,681.2,718,681.1,712.85,4586400,689.94
2016-05-13,711.05,727.65,711,716.1,1499100,693.09
2016-05-16,717.4,738,714.8,724.7,1938100,701.41
2016-05-17,725.35,735.85,719.1,720.7,1000900,697.54
2016-05-18,718,730.25,714.8,729,1914400,705.57
2016-05-19,729,731.85,685.9,693,2886500,670.73
2016-05-20,693.3,699.65,683.05,687.8,849400,665.7
2016-05-23,693.3,708.95,686.2,691.3,923400,669.09
2016-05-24,693,694.4,671.3,682.6,795500,660.66
2016-05-25,694.85,700.65,690.05,696.25,402300,673.88
2016-05-26,702.3,721.65,700.3,718.95,1170200,695.85
2016-05-27,719.9,759.2,715.25,743.75,2067300,719.85
2016-05-30,750,754.25,730.25,738.15,678000,714.43
2016-05-31,737.5,740.3,712.45,718.45,1811400,695.36
2016-06-01,718.5,734.5,718.45,726.3,593800,702.96
2016-06-02,728,741,726,731.4,961800,707.9
2016-06-03,736,756.35,732.55,751.35,1097000,727.21
2016-06-06,756,764.9,740.25,744.75,981600,720.82
2016-06-07,745,752,735.1,737.85,871100,714.14
2016-06-08,737.85,744.4,732.2,740.6,586000,716.8
2016-06-09,743.95,747,733.05,736.85,660100,713.17
2016-06-10,737.45,738.95,708.2,711.7,1067800,688.83
2016-06-13,698,703.95,687.05,696.85,1200200,674.46
2016-06-14,697.55,702.25,689.05,693.55,844700,671.26
2016-06-15,694,711.4,694,706.3,804500,683.6
2016-06-16,705,706,690,698.85,528200,676.39
2016-06-17,705,705.35,691,695.35,515100,673.01
2016-06-20,691.1,702.85,685,699.95,523600,677.46
2016-06-21,701.9,705.45,691.75,694.6,796000,672.28
2016-06-22,691.9,697.9,685.25,691.05,1404100,668.84
2016-06-23,694.45,694.95,680,683.35,697800,661.39
2016-06-24,660,668.75,616,656,2019200,634.92
2016-06-27,654,668.8,652.65,659.3,687200,638.11
2016-06-28,660.1,669.5,650.2,665.4,1447400,644.02
2016-06-29,666.45,667.95,654,661.75,2076200,640.48
2016-06-30,667,676,657.35,671.05,3036200,649.49
2016-07-01,675,688.8,674.5,679.7,713700,657.86
2016-07-04,685,690.7,676.05,687.4,1241100,665.31
2016-07-05,688,688.2,674.55,678.7,709200,656.89
2016-07-06,678.7,678.7,678.7,678.7,0,656.89
2016-07-07,679.7,684.85,673.15,675.7,1210500,653.99
2016-07-08,676.7,689.9,672.05,688.2,2019900,666.08
2016-07-11,695,724.5,692.7,715.2,2466800,692.22
2016-07-12,719.95,746.95,717.6,744.1,2579900,720.19
2016-07-13,749.45,755.95,685,714.15,9452500,691.2
2016-07-14,703.4,710,688.85,696.6,4886200,674.21
2016-07-15,704,720,698.2,708.05,2864200,685.3
2016-07-18,712,725.5,706.6,709.9,2664800,687.09
2016-07-19,712,714.8,698.9,711.65,1186500,688.78
2016-07-20,706.1,716.8,706.1,713.35,704000,690.43
2016-07-21,719.8,720,710.5,714.05,1116600,691.1
2016-07-22,716.5,739.4,712.5,735.5,1059200,711.86
2016-07-25,739.95,769.25,724.55,742.75,3840800,718.88
2016-07-26,749.45,774.8,745.05,764.1,3482300,739.55
2016-07-27,768,786,766.1,775.35,2098600,750.43
2016-07-28,776.95,783,767.2,770.5,1246800,745.74
