"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2015-07-09,283.5,287.4,279.6,280.5,6214700,266.4925
2015-07-10,282.9,284.5,278.75,280.9,4021300,266.8726
2015-07-13,283.5,285.7,279,284.45,3436800,270.2453
2015-07-14,284.75,286.7,280.5,281.15,3430700,267.1101
2015-07-15,282.7,284.8,279.1,280.4,3679700,266.3975
2015-07-16,285.1,286.5,280.1,280.8,6313300,266.7775
2015-07-17,282,286.35,280,284.05,6449900,269.8652
2015-07-20,285,287.7,283,283.55,3733700,269.3902
2015-07-21,284.1,284.1,273.85,274.7,5095100,260.9822
2015-07-22,271.25,281,268.7,280.4,5910800,266.3975
2015-07-23,274,274.45,269.3,269.9,6961200,263.9526
2015-07-24,269.7,271.65,264.2,265.05,3810200,259.2095
2015-07-27,263,263.2,250.05,250.75,7648400,245.2246
2015-07-28,251,252.45,246.4,249.25,5538500,243.7576
2015-07-29,251,254.65,249.4,250.55,4003400,245.029
2015-07-30,252.9,253,247.55,248.15,5169000,242.6819
2015-07-31,250,252.7,245,246.9,8848100,241.4594
2015-08-03,246.9,250.8,245.3,247.95,3556200,242.4863
2015-08-04,249.7,259.75,246.05,256.3,9723300,250.6523
2015-08-05,260,268.5,259.95,262.3,7979000,256.5201
2015-08-06,262.35,265.4,256.25,261,6376700,255.2487
2015-08-07,261,264.55,260.15,262.05,3791600,256.2756
2015-08-10,262.9,265,260,261.15,3401100,255.3954
2015-08-11,259.95,260,245.7,246.8,8827200,241.3616
2015-08-12,254.4,257.9,246.1,249.05,15172600,243.5621
2015-08-13,253.35,253.9,232.3,233.6,13764500,228.4525
2015-08-14,234.25,239.2,229,237.6,9065300,232.3644
2015-08-17,238.5,248.5,234.2,246.75,8524400,241.3127
2015-08-18,248.1,254.9,246.6,252.35,9805000,246.7893
2015-08-19,250.1,253.35,246.75,249.8,4304000,244.2955
2015-08-20,247.7,248.4,240.5,241.55,4626300,236.2273
2015-08-21,238.5,238.5,231.5,237.25,5247000,232.0221
2015-08-24,229.3,229.3,202.65,206.1,11711400,201.5585
2015-08-25,210,217.9,200.1,213.45,14206900,208.7465
2015-08-26,213,219.7,208.95,215.65,8336600,210.898
2015-08-27,220,229.8,215.1,226.4,14227100,221.4111
2015-08-28,232.6,234.6,223.2,228.95,9387200,223.905
2015-08-31,225.3,228.7,223.65,225.4,5782300,220.4332
2015-09-01,222,226.25,213.05,216.3,6475200,211.5337
2015-09-02,218.9,225.9,210.3,219.5,8909700,214.6632
2015-09-03,223.4,232.7,222.1,229.75,7083000,224.6873
2015-09-04,228.9,228.9,217,218.9,7229800,214.0764
2015-09-07,221.25,224,215.15,215.85,4933800,211.0936
2015-09-08,218.6,233,217.3,228.75,8236900,223.7094
2015-09-09,236,241.8,232.35,239.5,8824000,234.2225
2015-09-10,236.35,243,231.6,240.2,7252300,234.9071
2015-09-11,243.35,243.5,230.9,232.95,5909500,227.8168
2015-09-14,234,243.25,234,241.8,7159100,236.4718
2015-09-15,241.75,243.85,228.5,228.6,9148200,223.5627
2015-09-16,232,233.35,227.1,230.5,7191600,225.4208
2015-09-17,230.5,230.5,230.5,230.5,0,225.4208
2015-09-18,234,235.4,227.4,228.1,7629700,223.0737
2015-09-21,226.3,229.3,223.1,226.45,5374400,221.46
2015-09-22,228,228.9,219.2,220.1,5098400,215.25
2015-09-23,214.4,224.05,214,221,7194500,216.1301
2015-09-24,220,220.75,214.3,215.15,5634400,210.409
2015-09-25,215.15,215.15,215.15,215.15,0,210.409
2015-09-28,217.7,218.45,208.5,209.25,5730600,204.6391
2015-09-29,205,206.7,199.7,201.4,12085600,196.962
2015-09-30,206.9,214.4,205.5,212.6,9291800,207.9153
2015-10-01,215,215.5,210.25,212.25,4872900,207.573
2015-10-02,212.25,212.25,212.25,212.25,0,207.573
2015-10-05,214.9,225.8,214.2,225,8121300,220.042
2015-10-06,227.7,229,223.15,227.5,7359800,222.4869
2015-10-07,225,237.7,223.6,236.8,9838500,231.582
2015-10-08,237.9,242.7,236.2,240.8,8915500,235.4938
2015-10-09,242.4,253,242.2,251.1,10520000,245.5669
2015-10-12,255.1,261.95,249.8,250.85,10570000,245.3224
2015-10-13,248,248.65,243.25,245,5821200,239.6013
2015-10-14,244,253,243.55,248.35,6290100,242.8775
2015-10-15,249.15,257.2,248.05,255.25,7008000,249.6254
2015-10-16,255.9,256.7,248.4,253,5326500,247.425
2015-10-19,253.1,254.1,246.75,248.4,4478300,242.9264
2015-10-20,247.05,248.9,240,240.8,5248500,235.4938
2015-10-21,241.7,246.45,238.25,244.4,8042200,239.0145
2015-10-22,244.4,244.4,244.4,244.4,0,239.0145
2015-10-23,247.4,251.6,244.15,246,5005800,240.5793
2015-10-26,247.35,251.55,246.25,249.65,4188000,244.1488
2015-10-27,248.85,250.3,244.05,245.95,3403600,240.5304
2015-10-28,244.5,248.5,244,247.15,3436900,241.7039
2015-10-29,246.3,251.45,244.7,247.6,4589000,242.144
2015-10-30,248.4,254.8,245.15,246.6,6173200,241.166
2015-11-02,246.5,246.6,236.3,238.9,4909500,233.6357
2015-11-03,241.7,243,234.9,235.7,4492700,230.5062
2015-11-04,239.15,240,233.85,235.4,4861300,230.2128
2015-11-05,236,236,224.3,225.4,8801600,220.4332
2015-11-06,218.9,221.85,215.1,220.25,9906300,215.3967
2015-11-09,215,224.4,212.65,222.25,6272600,217.3526
2015-11-10,220.8,222.25,217.15,218.05,4536400,213.2452
2015-11-11,218.05,218.05,218.05,218.05,0,213.2452
2015-11-12,218.05,218.05,218.05,218.05,0,213.2452
2015-11-13,218.7,223.6,216.6,222.65,4426900,217.7438
2015-11-16,222.85,231.9,220.2,230.6,6923300,225.5186
2015-11-17,231.9,235.75,230.9,234.55,5240900,229.3816
2015-11-18,234.1,235,225.2,225.85,5283600,220.8733
2015-11-19,227.5,229.7,225.6,228.75,3661100,223.7094
2015-11-20,228.1,232.75,228.1,230,3859400,224.9318
2015-11-23,230.85,230.85,223.1,224.45,4102300,219.5041
2015-11-24,223.35,226.4,222.5,224.35,4179000,219.4063
2015-11-25,224.35,224.35,224.35,224.35,0,219.4063
2015-11-26,225.5,230,224.2,227.9,4588000,222.8781
2015-11-27,227.9,235,227.55,231.25,5393000,226.1543
2015-11-30,232.4,234.4,228.8,229,4556700,223.9539
2015-12-01,230.8,238.5,230.3,237.55,6586500,232.3155
2015-12-02,239.95,245.9,238.1,243.85,8858300,238.4766
2015-12-03,240.15,243.5,236.8,240.15,7107800,234.8582
2015-12-04,238.05,244.25,237.1,240.25,5538100,234.956
2015-12-07,244.8,247.5,242.45,243.55,4936400,238.1832
2015-12-08,242.05,243.05,233.5,234.75,4545900,229.5772
2015-12-09,234,235.85,224.9,226.85,4727600,221.8512
2015-12-10,227.25,234.75,226.5,233,4804800,227.8657
2015-12-11,235.1,243.9,235.1,240.9,11922400,235.5916
2015-12-14,239,248.9,238.45,245,11314400,239.6013
2015-12-15,247,247.25,241.25,244.35,5218800,238.9656
2015-12-16,246.55,248.6,242.1,244.7,5759800,239.3079
2015-12-17,246.9,257.95,246.05,257.1,12112200,251.4347
2015-12-18,256.5,257.95,254,255.65,6944200,250.0166
2015-12-21,255.5,261.4,254.65,258.45,6195200,252.7549
2015-12-22,259,261.8,256.55,257.4,4544200,251.728
2015-12-23,262.25,266.4,262.25,264.45,7702900,258.6227
2015-12-24,266,266,260.6,263.35,3843700,257.5469
2015-12-25,263.35,263.35,263.35,263.35,0,257.5469
2015-12-28,263.95,264.3,253,254.1,5317600,248.5008
2015-12-29,255.8,257.15,253.35,255.3,3800500,249.6743
2015-12-30,256.4,261.8,255.1,258.7,6812700,252.9994
2015-12-31,260,260.8,256.95,259.8,4446600,254.0752
2016-01-01,259,259.9,253.4,257.4,3151500,251.728
2016-01-04,255,263.2,253.1,256.9,6981400,251.2391
2016-01-05,257.55,276.4,257.55,274.3,15008900,268.2556
2016-01-06,272.8,274.6,266,268.75,7454700,262.8279
2016-01-07,263,263.3,248.2,249.9,9503700,244.3933
2016-01-08,252,256.3,249.05,253.6,6299400,248.0118
2016-01-11,247,253.35,244.25,251.65,6085300,246.1048
2016-01-12,253.05,255.3,243.15,245.75,5425300,240.3348
2016-01-13,248.5,251.8,237,246.6,7482400,241.166
2016-01-14,235,242.55,231.5,238.75,8884800,233.489
2016-01-15,242.5,243,228.1,229.7,5991600,224.6384
2016-01-18,229.8,244,225.2,235.9,8417400,230.7018
2016-01-19,237.55,240.95,231.25,238,6304100,232.7555
2016-01-20,232.8,234,226.5,232,5486800,226.8878
2016-01-21,234.7,239.35,231.25,235.6,6245300,230.4084
2016-01-22,238.3,250.8,237.65,247.8,6510700,242.3396
2016-01-25,249,256.4,248.8,254.9,5576500,249.2831
2016-01-26,254.9,254.9,254.9,254.9,0,249.2831
2016-01-27,255,259.9,253.4,257.6,6235600,251.9237
2016-01-28,257,258.45,252.4,254.2,6016700,248.5986
2016-01-29,254.65,258.8,247.45,249.7,6747900,244.1977
2016-02-01,248.9,254.95,246.5,249.3,4420700,243.8065
