"Date","INDIANB.NS.Open","INDIANB.NS.High","INDIANB.NS.Low","INDIANB.NS.Close","INDIANB.NS.Volume","INDIANB.NS.Adjusted"
2016-04-21,98.3,102.45,98.1,100.25,420200,99.14
2016-04-22,100.5,103.15,99.65,100.65,425200,99.54
2016-04-25,101,102.1,99.2,99.9,109800,98.79
2016-04-26,99.9,100.9,98.35,100.5,369300,99.39
2016-04-27,100.5,101.5,99.65,100.1,268400,98.99
2016-04-28,100.8,100.8,98.75,98.9,69600,97.81
2016-04-29,98.1,98.75,96.4,97.5,99700,96.42
2016-05-02,97.7,97.7,95.55,96.15,87500,95.09
2016-05-03,96.75,97.7,95.5,95.85,104000,94.79
2016-05-04,95.65,96.2,94.6,95.35,137000,94.29
2016-05-05,95.5,96.2,90.6,91.65,138500,90.64
2016-05-06,91.6,92,90,91.1,128200,90.09
2016-05-09,91.9,93.2,91.1,92.8,79200,91.77
2016-05-10,93.25,94.1,92.6,93.6,67000,92.56
2016-05-11,92.95,93.75,89,90.05,1086400,89.05
2016-05-12,91,91,84.9,86.2,467800,85.25
2016-05-13,86.2,91.5,85.9,91,440600,89.99
2016-05-16,90.05,91,89.5,90.65,586400,89.65
2016-05-17,90.75,92,90.05,91.05,90700,90.04
2016-05-18,91.6,91.6,90.35,91.2,99000,90.19
2016-05-19,91.25,92.2,90,90.05,93500,89.05
2016-05-20,90.75,91.6,90,90.15,71300,89.15
2016-05-23,91.15,91.95,90,90.4,102100,89.4
2016-05-24,90.45,90.45,90,90.05,70000,89.05
2016-05-25,90.6,91.65,88.25,89.6,667800,88.61
2016-05-26,89.9,90.5,88.5,89.4,205600,88.41
2016-05-27,89.85,93.4,89.2,92.4,292300,91.38
2016-05-30,93.4,94.2,92.5,93.2,118900,92.17
2016-05-31,94.4,94.4,90.1,90.85,679300,89.84
2016-06-01,91.4,92.25,90,90.6,137800,89.6
2016-06-02,90.75,92.1,90.05,91.75,985900,90.73
2016-06-03,92,92.7,90.1,92.1,548600,91.08
2016-06-06,92,95.6,91.4,95.15,186200,94.1
2016-06-07,95.05,99.2,95.05,97.4,274700,96.32
2016-06-08,102.8,104.5,98.4,103.8,354000,102.65
2016-06-09,103.15,106,101,105.75,390600,104.58
2016-06-10,105,107,102.9,104.95,242200,103.79
2016-06-13,104,106.8,102.5,105.45,127300,104.28
2016-06-14,105,107.75,104.9,106.9,183400,105.72
2016-06-15,107.25,121,107.25,119.1,1946700,117.78
2016-06-16,118.9,125.9,115,121.35,1718400,120.01
2016-06-17,122,125,121.6,124,575800,122.63
2016-06-20,124,147.4,116.95,141.7,1763600,140.13
2016-06-21,140.5,143,137,141.25,2039700,139.69
2016-06-22,141.7,142.25,134.45,135.5,513500,134
2016-06-23,134,140.75,129.55,137.6,1000700,137.6
2016-06-24,130,135.5,125.5,133.6,621500,133.6
2016-06-27,133.9,145,131.5,140.35,1102200,140.35
2016-06-28,141.7,144,139.55,140.85,431900,140.85
2016-06-29,143.4,143.4,139.9,140,335600,140
2016-06-30,141,142.4,140.15,141.2,334200,141.2
2016-07-01,141.5,142.45,141,141.55,191600,141.55
2016-07-04,142,155.4,139.45,151.3,1881400,151.3
2016-07-05,151,154.35,144.5,149.75,1033700,149.75
2016-07-06,149.75,149.75,149.75,149.75,0,149.75
2016-07-07,151,154,147.9,151.05,710200,151.05
2016-07-08,152.8,152.8,146.25,150.5,357800,150.5
2016-07-11,152,154.9,149.25,152.6,591400,152.6
2016-07-12,153,154.25,151.05,153.05,429800,153.05
2016-07-13,153.05,157.8,149.2,154.6,671900,154.6
2016-07-14,153,160,152.1,158.05,855300,158.05
2016-07-15,156.05,162.35,155.75,157.45,430300,157.45
2016-07-18,158.75,165.9,157.5,159.5,569100,159.5
2016-07-19,158.45,159.8,154.15,154.75,402500,154.75
2016-07-20,156.3,157,154,154.8,165400,154.8
2016-07-21,155.45,155.6,148.05,148.85,192500,148.85
2016-07-22,149.9,149.9,144.55,145.85,225900,145.85
2016-07-25,145.75,155,142.85,152.7,667500,152.7
2016-07-26,151.9,155,150.15,152.9,285600,152.9
2016-07-27,151.55,153.85,151.55,153.05,216000,153.05
2016-07-28,152.65,158.5,152.65,155.1,394900,155.1
2016-07-29,155,159.3,154.15,157.95,360200,157.95
2016-08-01,158,160,152,155.3,361000,155.3
2016-08-02,153.3,186.35,145,186.35,7287900,186.35
2016-08-03,194,199,177.7,180.1,4381300,180.1
2016-08-04,180.75,213.8,178.6,197.8,11695300,197.8
2016-08-05,200.7,204.5,193.25,202,3502400,202
2016-08-08,203,206.2,195.2,197.4,1840900,197.4
2016-08-09,197.05,205.05,195.8,203.4,2885400,203.4
2016-08-10,204.15,204.35,197,198.55,866300,198.55
2016-08-11,199,202.7,186.4,192.9,896400,192.9
2016-08-12,194.2,205.8,193.95,204.2,1385000,204.2
2016-08-15,204.2,204.2,204.2,204.2,0,204.2
2016-08-16,203.9,206.5,200.2,204.8,1138600,204.8
2016-08-17,204.1,219.7,202.95,217.4,2798800,217.4
