"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2015-08-20,1280.1,1326,1280.1,1312.25,217900,1304.14
2015-08-21,1311.95,1351.5,1263.3,1306.8,143100,1298.72
2015-08-24,1290,1293.95,1202,1221.95,164200,1214.39
2015-08-25,1227,1308.45,1227,1258.35,297900,1250.57
2015-08-26,1250.1,1307,1215,1232.85,261200,1225.23
2015-08-27,1267.4,1309.95,1241.05,1249.2,254400,1241.48
2015-08-28,1273.9,1320.7,1260.05,1307.4,270700,1299.32
2015-08-31,1320.1,1376,1317.5,1332.35,510800,1324.11
2015-09-01,1323.7,1350,1312.35,1336.6,186900,1328.34
2015-09-02,1342,1409.85,1286.5,1321.55,371400,1313.38
2015-09-03,1324,1332.55,1281,1303.95,644200,1295.89
2015-09-04,1301,1301,1218,1221.2,872900,1213.65
2015-09-07,1248.95,1248.95,1146.9,1169.45,399400,1162.22
2015-09-08,1173.9,1220,1155,1162.9,152600,1155.71
2015-09-09,1184,1217.65,1152.5,1165.55,212800,1158.34
2015-09-10,1180.8,1230,1165,1208.65,562400,1201.18
2015-09-11,1225,1245,1201,1223.05,299700,1215.49
2015-09-14,1220.2,1260,1204,1249.3,117400,1241.57
2015-09-15,1269.9,1287,1255.15,1275,137000,1267.12
2015-09-16,1280,1287.5,1225,1233.65,112500,1226.02
2015-09-17,1233.65,1233.65,1233.65,1233.65,0,1226.02
2015-09-18,1260,1260,1171,1188.35,306400,1181
2015-09-21,1188.4,1213.8,1168.6,1180.1,179300,1172.8
2015-09-22,1181,1197.8,1165,1175.6,170300,1168.33
2015-09-23,1188,1188,1155,1169.65,124200,1162.42
2015-09-24,1162,1186,1160.15,1174.5,218900,1167.24
2015-09-25,1174.5,1174.5,1174.5,1174.5,0,1167.24
2015-09-28,1178.3,1191.6,1150.5,1170.1,105000,1162.86
2015-09-29,1164,1192.5,1162.8,1176.5,135800,1169.23
2015-09-30,1189,1225,1166.5,1219.85,372400,1212.31
2015-10-01,1231.85,1246.45,1215,1228.9,113500,1221.3
2015-10-02,1228.9,1228.9,1228.9,1228.9,0,1221.3
2015-10-05,1234,1344.95,1234,1312.25,359600,1304.14
2015-10-06,1312.15,1341.5,1312.15,1322.15,123900,1313.97
2015-10-07,1323.6,1324.45,1277,1287.65,134400,1279.69
2015-10-08,1290,1297.7,1262.1,1267.5,74300,1259.66
2015-10-09,1267.25,1288.9,1248.9,1256.05,141000,1248.28
2015-10-12,1259,1259,1242.15,1249.9,52800,1242.17
2015-10-13,1258.8,1263.95,1216.15,1237.15,113300,1229.5
2015-10-14,1235.5,1270.25,1231.1,1245,78500,1237.3
2015-10-15,1245,1245,1220.8,1224.85,124700,1217.28
2015-10-16,1225,1240,1200.1,1205.4,138400,1197.95
2015-10-19,1208,1282,1200,1209.35,535600,1201.87
2015-10-20,1219.9,1244.3,1206.4,1236.3,144400,1228.66
2015-10-21,1236,1250.05,1225,1244.25,74500,1236.56
2015-10-22,1244.25,1244.25,1244.25,1244.25,0,1236.56
2015-10-23,1247,1258,1243.65,1255.6,118000,1247.84
2015-10-26,1275,1298,1265,1286.2,690900,1278.25
2015-10-27,1282,1305,1265,1292.5,194600,1284.51
2015-10-28,1299.8,1303.45,1252.65,1286.7,237200,1278.74
2015-10-29,1295.4,1300,1261.55,1293.25,188600,1285.25
2015-10-30,1299.8,1322,1254.05,1262,150600,1255.17
2015-11-02,1279.7,1279.7,1250,1274.55,47100,1267.65
2015-11-03,1279.9,1298,1279.1,1286,105200,1279.04
2015-11-04,1297.95,1297.95,1264.2,1283.65,239600,1276.7
2015-11-05,1288.6,1305.25,1232,1247.6,230100,1240.84
2015-11-06,1249.9,1323.55,1240.05,1302.9,252100,1295.85
2015-11-09,1281,1368,1270,1351.65,270700,1344.33
2015-11-10,1349,1357.5,1303.3,1320.55,88500,1313.4
2015-11-11,1320.55,1320.55,1320.55,1320.55,0,1313.4
2015-11-12,1320.55,1320.55,1320.55,1320.55,0,1313.4
2015-11-13,1321.8,1359.9,1250,1255.8,344800,1249
2015-11-16,1255.8,1259.9,1200.05,1204.1,185500,1197.58
2015-11-17,1211.9,1228.2,1207,1217.15,88500,1210.56
2015-11-18,1227.85,1240,1206,1210.5,98300,1203.95
2015-11-19,1213.05,1244.8,1213.05,1232.45,248300,1225.78
2015-11-20,1239.9,1239.9,1214.1,1221.05,162800,1214.44
2015-11-23,1229,1244.05,1216,1228.25,107400,1221.6
2015-11-24,1230,1259.5,1226.4,1254.8,99500,1248.01
2015-11-25,1254.8,1254.8,1254.8,1254.8,0,1248.01
2015-11-26,1259.9,1269.95,1248.5,1262.65,226000,1255.81
2015-11-27,1270,1298.95,1252.1,1284,417400,1277.05
2015-11-30,1291.55,1296,1216.2,1235,542800,1228.31
2015-12-01,1241,1266.5,1238.5,1253.8,277900,1247.01
2015-12-02,1265.9,1267,1238.1,1259.65,115200,1252.83
2015-12-03,1250.1,1268.6,1217.2,1221.9,140700,1215.28
2015-12-04,1216,1223,1201.25,1205.75,128500,1199.22
2015-12-07,1211,1234,1211,1226.9,322000,1220.26
2015-12-08,1222,1275,1222,1241.95,352200,1235.23
2015-12-09,1253.8,1257.9,1224,1239.45,226900,1232.74
2015-12-10,1238.8,1259.9,1238.8,1241.95,74800,1235.23
2015-12-11,1248.5,1282,1242.75,1261.45,560300,1254.62
2015-12-14,1258.85,1275,1250.2,1267.85,176200,1260.99
2015-12-15,1275,1324,1268.1,1313.7,645200,1306.59
2015-12-16,1320.9,1329,1302.8,1321.1,220500,1313.95
2015-12-17,1330,1339.8,1275.1,1297.05,255500,1290.03
2015-12-18,1301.95,1320,1280.1,1307.55,326300,1300.47
2015-12-21,1308,1316.65,1272.1,1287.4,97800,1280.43
2015-12-22,1287.5,1322,1278,1318.15,157500,1311.01
2015-12-23,1312,1329.65,1290.05,1295.5,105500,1288.49
2015-12-24,1302,1306,1275.05,1278.8,52000,1271.88
2015-12-25,1278.8,1278.8,1278.8,1278.8,0,1271.88
2015-12-28,1278,1311,1277.7,1299.7,242800,1292.66
2015-12-29,1299.7,1315.6,1290,1301.75,150700,1294.7
2015-12-30,1309.9,1309.9,1276.15,1280.05,61300,1273.12
2015-12-31,1303.1,1329,1292.55,1319.4,259300,1312.26
2016-01-01,1327.95,1374.9,1298.3,1342.05,244900,1334.78
2016-01-04,1327.6,1350,1325.6,1329.75,111700,1322.55
2016-01-05,1329.7,1333.9,1309.55,1315.9,217500,1308.78
2016-01-06,1330,1337,1295,1306.15,128100,1299.08
2016-01-07,1305,1308,1239.05,1260.9,208100,1254.07
2016-01-08,1264,1282.4,1233,1244.3,195200,1237.56
2016-01-11,1244.3,1254,1229.95,1231.25,262200,1224.58
2016-01-12,1248,1283.25,1235,1269.25,242700,1262.38
2016-01-13,1275,1284,1241,1272.05,118200,1265.16
2016-01-14,1265.9,1293,1252,1282.8,302100,1275.85
