"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2016-02-18,87.15,89.75,84.2,85.65,3507800,85.65
2016-02-19,84,88.5,82.2,87.4,3873300,87.4
2016-02-22,87.55,88.3,85.6,86.85,1901700,86.85
2016-02-23,86.4,86.9,84,84.65,2336800,84.65
2016-02-24,84,87.95,83.2,85.8,3142400,85.8
2016-02-25,86.25,87.9,83.2,83.8,3016100,83.8
2016-02-26,85,85.4,82.75,83.7,3101800,83.7
2016-02-29,84.1,87.1,81.3,83.3,5882500,83.3
2016-03-01,84.05,87,84.05,86.65,3090000,86.65
2016-03-02,92,95.3,90.55,93.1,5978700,93.1
2016-03-03,95,95.5,90.9,92.9,3014700,92.9
2016-03-04,93.9,97.5,91.5,94.4,7441700,94.4
2016-03-07,94.4,94.4,94.4,94.4,0,94.4
2016-03-08,94.25,95.45,92,92.5,3793100,92.5
2016-03-09,91.75,94.9,90.8,94.2,3026300,94.2
2016-03-10,93.75,95.75,92.8,93.7,2638900,93.7
2016-03-11,92.3,94.2,91.6,93.3,2889200,93.3
2016-03-14,95,95.5,92.9,93.8,2525100,93.8
2016-03-15,94,96.5,93.7,95,3189100,95
2016-03-16,94.95,96.05,93.05,95.4,3170900,95.4
2016-03-17,96.5,96.9,94.45,94.85,2445600,94.85
2016-03-18,95.2,97.1,94.6,96.6,2818000,96.6
2016-03-21,97.3,99.35,97.2,98.95,2923200,98.95
2016-03-22,98.9,99.6,96.8,98.05,2322700,98.05
2016-03-23,97.65,98,96.2,96.55,1658400,96.55
2016-03-24,96.55,96.55,96.55,96.55,0,96.55
2016-03-25,96.55,96.55,96.55,96.55,0,96.55
2016-03-28,96.9,96.9,93,93.55,2173900,93.55
2016-03-29,94.7,96,93.75,93.95,2285000,93.95
2016-03-30,95.1,98.9,94,96.5,6930300,96.5
2016-03-31,96.5,100.15,95.2,97.05,8190100,97.05
2016-04-01,96.8,101,96.3,100.5,5687600,100.5
2016-04-04,101.65,101.8,98.5,99.75,3643200,99.75
2016-04-05,99.2,99.85,93.6,94.2,5511200,94.2
2016-04-06,93.85,94.45,91.45,92.85,3821300,92.85
2016-04-07,93.05,93.2,90.35,90.8,4521800,90.8
2016-04-08,90.15,91.6,89.35,91.15,3272700,91.15
2016-04-11,91.6,93.4,90.4,92.95,2881300,92.95
2016-04-12,93.15,95.05,92.75,93.95,3428000,93.95
2016-04-13,95.2,97.2,94.2,94.65,4140100,94.65
2016-04-14,94.65,94.65,94.65,94.65,0,94.65
2016-04-15,94.65,94.65,94.65,94.65,0,94.65
2016-04-18,94.65,94.95,92.05,92.6,2407900,92.6
2016-04-19,92.6,92.6,92.6,92.6,0,92.6
2016-04-20,93,95.2,91.55,94.7,3497700,94.7
2016-04-21,95.6,99.2,95.4,97.1,5315200,97.1
2016-04-22,96.5,99.2,96.2,97.35,4757800,97.35
2016-04-25,97.45,98.4,95.5,96.5,3301700,96.5
2016-04-26,96.1,98.5,95.8,97.4,3772700,97.4
2016-04-27,97.45,98.45,96.35,96.8,2207400,96.8
2016-04-28,97.3,98.2,95.6,95.85,3534900,95.85
2016-04-29,96.15,96.4,91.5,92.5,4159000,92.5
2016-05-02,91.9,92,89.8,90.1,3435400,90.1
2016-05-03,90.3,91.05,87.4,87.65,4279700,87.65
2016-05-04,87.2,88.8,85.2,85.65,3387400,85.65
2016-05-05,85.2,87.2,84.8,85.95,2863200,85.95
2016-05-06,85.65,87,85.25,86.55,3140200,86.55
2016-05-09,87,89.5,86.75,89.2,2429500,89.2
2016-05-10,89.5,89.5,87.9,89,1754300,89
2016-05-11,87.8,88.75,85.9,86.65,3328300,86.65
2016-05-12,87.3,87.85,85.8,87,2159500,87
2016-05-13,87,87.1,85.4,85.7,2005400,85.7
2016-05-16,85.1,85.25,81.8,83,3676700,83
2016-05-17,83.65,85.8,82.75,84.05,3100100,84.05
2016-05-18,83.3,85.5,82.5,85.25,3549400,85.25
2016-05-19,85.75,86.1,82.15,82.4,3226300,82.4
2016-05-20,82.25,82.45,80.6,81.25,4284000,81.25
2016-05-23,81.8,82.05,79.4,80.85,3642900,80.85
2016-05-24,81,81,79.05,80.45,3124800,80.45
2016-05-25,79.95,83.75,78.4,83.1,9275100,83.1
2016-05-26,83,85.95,81.45,85.25,4093500,85.25
2016-05-27,85,88.3,85,86.95,3391900,86.95
2016-05-30,87.55,88.45,85.5,86.35,2839100,86.35
2016-05-31,85.1,87.2,83.1,86.65,6867400,86.65
2016-06-01,87.35,88.2,85.35,85.95,3296400,85.95
2016-06-02,85.8,86.9,83.95,86.6,3368400,86.6
2016-06-03,87,87.5,83.6,84.1,3156300,84.1
2016-06-06,84.1,85.6,83.65,84.5,2249200,84.5
2016-06-07,84.95,86.95,84.45,85.65,3706700,85.65
2016-06-08,85.95,89,85.4,88.45,5130300,88.45
2016-06-09,88,91.6,87.9,89.85,5332100,89.85
2016-06-10,89.55,90.6,88.25,89,3243000,89
2016-06-13,88,88.1,86.3,87.3,2262200,87.3
2016-06-14,88.1,90.9,87.8,90.45,5200900,90.45
2016-06-15,91.55,92.4,90.35,91.15,6180700,91.15
2016-06-16,90.6,93.6,89.3,93.1,8124500,93.1
2016-06-17,93.7,94.4,91.85,93.9,5707500,93.9
2016-06-20,92.9,97.4,91.9,96.65,8091100,96.65
2016-06-21,96.8,98.1,95.8,96.2,6725900,96.2
2016-06-22,96.75,97.25,95.1,95.65,3647900,95.65
2016-06-23,96.2,96.85,95.4,96.4,2971300,96.4
2016-06-24,93,95.45,89.6,94.95,8110600,94.95
2016-06-27,95.3,99.7,94.5,98.9,7054500,98.9
2016-06-28,99.05,100.9,98.95,99.9,5285200,99.9
2016-06-29,100.65,101.4,99.8,100.05,3567300,100.05
2016-06-30,100.75,101.95,100.6,101.25,3488100,101.25
2016-07-01,101.95,105.6,101.1,104.2,7381600,104.2
2016-07-04,105.25,110.7,105.05,109.4,9114000,109.4
2016-07-05,109.7,113.45,109.2,110.4,6019500,110.4
2016-07-06,110.4,110.4,110.4,110.4,0,110.4
2016-07-07,111,112.95,108.7,109.45,5879000,109.45
2016-07-08,111.45,111.45,105.8,108.1,5909000,108.1
2016-07-11,112.2,114,111.1,113.7,7056400,113.7
2016-07-12,114.7,116,112.25,113.95,8414200,113.95
2016-07-13,114.1,114.9,110.45,112.1,4787600,112.1
2016-07-14,112.95,117.7,112.2,116.95,11716100,116.95
2016-07-15,117.4,117.65,113.9,114.65,7489500,114.65
2016-07-18,115.7,115.95,110,110.65,5720700,110.65
2016-07-19,111.4,113.7,108.1,111.65,9708000,111.65
2016-07-20,111.75,111.75,109.2,109.75,4743600,109.75
2016-07-21,109.45,111.7,106.55,107.15,5398700,107.15
2016-07-22,105.5,107.3,104,106.25,5457400,106.25
2016-07-25,105.5,110.9,104.5,109.85,8368000,109.85
2016-07-26,110,114.8,109.85,110.55,7756100,110.55
2016-07-27,111,113.35,110,112.3,5446900,112.3
2016-07-28,113.2,114,109.8,110.65,5517000,110.65
2016-07-29,110.9,112.45,109.25,111.65,4549200,111.65
2016-08-01,111.9,113,108.5,109.8,4396800,109.8
2016-08-02,109.5,111.6,108.6,109.75,4180400,109.75
2016-08-03,109.5,112.9,108,108.8,5656300,108.8
2016-08-04,110,111.3,108.25,110.35,6201200,110.35
2016-08-05,111.9,112.7,110.75,111.45,3711700,111.45
2016-08-08,112,112.3,109.75,110.15,3683400,110.15
2016-08-09,110.4,112.45,110.1,110.4,3974800,110.4
2016-08-10,111,111,105.75,106.3,4694300,106.3
2016-08-11,104.25,105.8,102.65,103.6,3910400,103.6
2016-08-12,102.5,115.65,101.3,114.1,26181400,114.1
2016-08-15,114.1,114.1,114.1,114.1,0,114.1
2016-08-16,114.9,115.7,111.15,112,10481400,112
2016-08-17,111.95,113.85,110.15,112.6,6706000,112.6
2016-08-18,113.3,114.15,112.3,112.65,3901700,112.65
2016-08-19,112.8,114.2,111.4,113.25,6000500,113.25
2016-08-22,113.9,114.8,112.4,113.8,4430800,113.8
2016-08-23,114,115.5,112.5,115.05,5748000,115.05
2016-08-24,114.8,115.95,113.35,114.4,5505600,114.4
2016-08-25,114.75,115.8,112,113.05,5726400,113.05
2016-08-26,113.4,114.4,110.55,110.9,4246000,110.9
2016-08-29,110.9,111.7,109.9,111.35,3146900,111.35
2016-08-30,111.9,117.4,111.9,116.5,7659200,116.5
2016-08-31,116.95,119.3,116.5,117.25,7450000,117.25
2016-09-01,116.7,118,113,114.15,4153500,114.15
2016-09-02,114.65,117.6,114.15,117.05,4086300,117.05
2016-09-05,117.05,117.05,117.05,117.05,0,117.05
2016-09-06,118.4,120.2,117.2,119.4,6265800,119.4
2016-09-07,120,125.9,118.7,123,11115300,123
2016-09-08,123.9,126.1,123.1,124.1,5174200,124.1
2016-09-09,124,124.95,121.5,123.4,5397600,123.4
2016-09-12,120.1,121.85,114.9,115.9,4984000,115.9
2016-09-13,115.9,115.9,115.9,115.9,0,115.9
2016-09-14,116.1,121.8,115.3,121.3,5154300,121.3
2016-09-15,121.5,121.5,117.5,119.15,4407900,119.15
2016-09-16,120.3,123.4,116.1,116.55,8715400,116.55
2016-09-19,118.4,118.6,116.6,117.15,3379200,117.15
2016-09-20,117.8,118.45,116.4,116.8,3136600,116.8
2016-09-21,117.5,117.9,115.2,115.85,2754100,115.85
2016-09-22,119.6,119.9,117.2,119.65,4352400,119.65
2016-09-23,120,120.5,118.2,118.45,4061300,118.45
2016-09-26,117.95,119.75,117.1,117.7,3760100,117.7
2016-09-27,118.3,118.75,116.1,116.55,3026900,116.55
2016-09-28,116.7,121.15,116.6,120,4807900,120
2016-09-29,121.2,121.8,109.55,110.15,9674900,110.15
2016-09-30,110.4,114,108,112.5,6582300,112.5
2016-10-03,113.95,116.8,113.7,116.4,3656500,116.4
2016-10-04,117,121.3,115.4,119.05,6860600,119.05
2016-10-05,120,121.85,119.05,119.65,5434900,119.65
2016-10-06,119.4,120.45,115.7,116.65,4672700,116.65
2016-10-07,117.25,118.25,116,116.95,4269800,116.95
2016-10-10,117.7,118.5,115.75,116.1,2102500,116.1
2016-10-11,116.1,116.1,116.1,116.1,0,116.1
2016-10-12,116.1,116.1,116.1,116.1,0,116.1
