"Date","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
2015-05-07,1209,1218,1179.1,1205.2,154800,1157.989
2015-05-08,1205,1226.8,1185,1197.6,57700,1150.686
2015-05-11,1198,1215,1177.7,1193.85,64900,1147.083
2015-05-12,1190,1190,1166.05,1179.4,62200,1133.199
2015-05-13,1191,1294,1180.35,1263.3,311000,1213.813
2015-05-14,1279.7,1284.9,1245.95,1254.35,66700,1205.213
2015-05-15,1254.35,1271,1235.95,1257.55,115200,1208.288
2015-05-18,1182.6,1245,1176.25,1226.45,367700,1178.406
2015-05-19,1230,1290,1230,1274.9,173900,1224.958
2015-05-20,1276,1281.75,1230.25,1245.6,85800,1196.806
2015-05-21,1255,1255,1234.5,1245.7,58000,1196.902
2015-05-22,1236,1254.9,1234.8,1239,61400,1190.465
2015-05-25,1243.85,1245.2,1230,1236.4,16600,1187.967
2015-05-26,1248,1250.35,1236,1239.8,12600,1191.233
2015-05-27,1239.8,1241.05,1232.2,1239.3,35300,1190.753
2015-05-28,1239.95,1245,1230,1238.85,145600,1190.321
2015-05-29,1233,1236.95,1199.9,1204.75,280500,1157.556
2015-06-01,1220,1242,1169.05,1222.65,89500,1174.755
2015-06-02,1222.65,1241.5,1205,1210.05,177300,1162.649
2015-06-03,1219,1231.05,1190,1203.6,139700,1156.451
2015-06-04,1212.45,1229.15,1192,1210.15,523300,1162.745
2015-06-05,1200,1243.9,1200,1231.55,79600,1183.307
2015-06-08,1244,1249.7,1208.7,1229,40200,1180.856
2015-06-09,1235.75,1248,1219.95,1241.05,37400,1192.434
2015-06-10,1245,1280,1240.1,1269.75,75500,1220.01
2015-06-11,1284.6,1309,1272.35,1287.35,86700,1236.921
2015-06-12,1290,1290.15,1256.25,1280.6,40700,1230.435
2015-06-15,1290,1290,1269,1278.95,26900,1234.877
2015-06-16,1263,1269.8,1243.05,1256.35,23300,1213.055
2015-06-17,1268,1324.75,1255.05,1297.25,126600,1252.546
2015-06-18,1343.4,1368.5,1329,1337.7,357000,1291.602
2015-06-19,1348,1348,1315,1334.65,144500,1288.657
2015-06-22,1338.9,1360,1336,1346.25,67200,1299.857
2015-06-23,1340,1358,1335,1343.7,135300,1297.395
2015-06-24,1350.5,1355,1341.95,1346.3,135700,1299.906
2015-06-25,1354,1370,1332,1344.2,167300,1297.878
2015-06-26,1340,1347.8,1325.15,1340.05,49700,1293.871
2015-06-29,1332.95,1332.95,1277,1294,68900,1249.408
2015-06-30,1292,1315,1281,1301.45,185400,1256.601
2015-07-01,1317.5,1336,1317.3,1322.9,98400,1277.312
2015-07-02,1342,1354.9,1311,1316.45,90700,1271.084
2015-07-03,1327.5,1329.8,1311,1321.7,166000,1276.153
2015-07-06,1320,1349.5,1294.95,1319.9,220100,1274.415
2015-07-07,1330,1330.05,1319.8,1324.85,124300,1279.195
2015-07-08,1329.95,1330,1307,1317,67400,1271.615
2015-07-09,1315,1329.95,1286,1291.9,66700,1247.38
