"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2015-04-22,80.35,80.9,76.2,78.5,2111400,72.94
2015-04-23,79.15,79.4,76.6,76.8,2004700,71.36
2015-04-24,77,77,74.55,74.9,2211900,69.59
2015-04-27,75.05,79.5,73.6,76,9743700,70.61
2015-04-28,76.75,77.7,75,76.65,3989900,71.22
2015-04-29,77,77.25,75.7,76,1622600,70.61
2015-04-30,76.05,76.9,75.55,76.4,3996700,70.98
2015-05-01,76.4,76.4,76.4,76.4,0,70.98
2015-05-04,77.25,79.85,77.1,79.55,2628900,73.91
2015-05-05,79.8,79.8,77.9,78.4,1976000,72.84
2015-05-06,78.2,78.8,73.55,74.05,3057200,68.8
2015-05-07,73.7,74,71.85,72.65,2958900,67.5
2015-05-08,73.95,75.75,73.6,75.25,2993200,69.92
2015-05-11,75.85,78.35,75,77.8,2909500,72.28
2015-05-12,77.8,77.8,73.2,73.85,3113400,68.61
2015-05-13,74.15,76.8,74.15,76.15,3010900,70.75
2015-05-14,76.15,79.95,75.3,79.65,3623600,74
2015-05-15,80.5,80.5,78.3,78.7,2941300,73.12
2015-05-18,78.7,79.45,77.25,77.8,1979600,72.28
2015-05-19,77.8,79.8,77.55,78.95,2883600,73.35
2015-05-20,79,80.25,78.75,79.05,2063000,73.45
2015-05-21,79.4,79.45,77.45,77.6,1722600,72.1
2015-05-22,77.55,78.85,76.5,76.9,1848400,71.45
2015-05-25,77,77.5,76.35,76.9,771200,71.45
2015-05-26,76.85,77.2,76.1,76.45,845900,71.03
2015-05-27,76,78.5,75.75,78.25,1566800,72.7
2015-05-28,78.45,82,78.05,80.55,8008000,74.84
2015-05-29,80.6,81.3,79.4,80.1,2166600,74.42
2015-06-01,80.1,80.8,79.35,79.6,1155800,73.96
2015-06-02,79.8,80.2,74.9,75.2,3818300,69.87
2015-06-03,75.45,75.5,69.8,71.2,3597800,66.15
2015-06-04,71.7,71.85,69.05,70.35,3066000,65.36
2015-06-05,70.3,72,69.95,70.7,1867800,65.69
2015-06-08,70.3,70.9,68.3,68.5,1697600,63.64
2015-06-09,68.45,69.7,68.15,69.15,1598200,64.25
2015-06-10,69.3,70.75,69.3,70,1312900,65.04
2015-06-11,70.7,70.75,67.9,68.15,1964300,63.32
2015-06-12,67.95,69.25,67.35,68.7,1320500,63.83
2015-06-15,68.35,69.5,68,68.15,1039100,63.32
2015-06-16,68.1,69.15,67.7,68.75,1167400,63.88
2015-06-17,69.2,69.75,68.5,69.2,1343600,64.29
2015-06-18,69.65,70.75,69.3,69.75,1243500,64.81
2015-06-19,70.35,71.2,69.3,70.9,1442400,65.87
2015-06-22,71.35,73.6,71.05,72.75,1641600,67.59
2015-06-23,73.2,74.8,72.9,73.35,1915000,68.15
2015-06-24,73.35,73.75,71.45,71.9,1301600,66.8
2015-06-25,71.85,72.75,70.95,72.25,2682100,67.13
2015-06-26,71.6,72,70,71.4,1512400,66.34
2015-06-29,68.45,70.05,67.95,69.8,2014200,66.72
2015-06-30,67.9,68.6,67.3,68,2070600,66.92
2015-07-01,68,70.5,67.95,69.95,2096600,68.84
2015-07-02,70.2,70.5,69.05,69.2,1350400,68.1
2015-07-03,69.2,69.6,68.55,68.85,1270600,67.75
2015-07-06,67.5,70.25,67.3,70.05,2238800,68.94
2015-07-07,70.1,71.1,69.55,70,1477600,68.89
2015-07-08,69,69.7,67.8,69.2,2166600,68.1
2015-07-09,69.5,71.75,69.25,70.8,2568300,69.67
2015-07-10,71.4,71.8,70.55,71,1226000,69.87
