"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2015-05-12,606.099,607.8,582.15,586.35,4621800,149.6672
2015-05-13,589.65,591.6,564.999,584.151,3516000,149.1059
2015-05-14,588.501,602.199,579.549,599.049,4020700,152.9086
2015-05-15,605.001,608.001,596.199,603.75,2765300,154.1086
2015-05-18,615,632.901,610.35,628.299,4387800,160.3748
2015-05-19,627.099,632.799,620.001,628.65,2713400,160.4643
2015-05-20,635.001,643.8,626.001,630.099,2397500,160.8342
2015-05-21,627.9,631.5,613.8,615.6,3415300,157.1333
2015-05-22,612.999,624,611.001,613.05,1835300,156.4824
2015-05-25,612.999,628.401,612.501,621.399,2318300,158.6135
2015-05-26,624.501,624.549,608.001,615.849,1872600,157.1969
2015-05-27,620.001,631.95,615.999,630,3812000,160.8089
2015-05-28,633.9,642.801,625.701,635.85,7826100,162.3022
2015-05-29,661.2,678.951,651.999,674.85,8405200,172.257
2015-06-01,674.901,697.749,662.001,694.551,5186500,177.2857
2015-06-02,692.301,699.6,678.3,680.949,3961100,173.8138
2015-06-03,681.249,694.899,659.601,674.7,4660400,172.2187
2015-06-04,679.899,682.599,666.75,678.651,5223900,173.2272
2015-06-05,684,691.95,675.6,682.95,4120100,174.3245
2015-06-08,682.899,689.499,668.301,670.149,1996800,171.0571
2015-06-09,669.999,701.4,668.151,697.701,5178100,178.0898
2015-06-10,695.799,707.4,690.201,698.349,3753800,178.2552
2015-06-11,698.001,705.651,687.999,691.05,3210000,176.3921
2015-06-12,686.151,699.75,680.649,689.049,2335200,175.8813
2015-06-15,692.25,700.8,688.8,692.649,2699100,176.8002
2015-06-16,694.701,711,693.351,702.951,7159200,179.4298
2015-06-17,705.249,708,691.401,693.9,2528000,177.1196
2015-06-18,697.401,719.901,697.401,714.549,3556300,182.3903
2015-06-19,717,737.001,710.301,733.05,5077300,187.1127
2015-06-22,737.001,740.001,728.751,734.751,3575700,187.5469
2015-06-23,738.849,745.8,729.099,737.4,3070700,188.223
2015-06-24,737.949,743.499,723.201,725.85,2902400,185.2749
2015-06-25,724.251,738.351,723.651,726.849,3426400,185.5299
2015-06-26,726.999,738.501,723.6,731.049,2296500,186.6019
2015-06-29,726,741.999,716.151,729.099,5393900,186.1042
2015-06-30,729.999,739.8,725.799,729.15,2709700,186.1172
2015-07-01,735,742.899,728.049,738.549,2666900,188.5163
2015-07-02,746.049,783.45,745.251,780.651,10536200,199.263
2015-07-03,780.951,785.85,768.951,771.9,3531100,197.0292
2015-07-06,776.001,806.001,775.5,800.001,6005200,204.2021
2015-07-07,810.201,829.899,800.799,824.499,10637100,210.4553
2015-07-08,824.001,848.001,818.751,823.149,8337500,210.1107
2015-07-09,825,828.9,798.6,805.05,4984900,205.4909
2015-07-10,803.4,814.95,788.799,804.249,5528600,205.2864
2015-07-13,810.501,824.001,805.251,820.899,3137100,209.5363
2015-07-14,822.999,857.349,821.751,848.799,5853600,216.6579
2015-07-15,848.799,855.75,835.449,849,3920900,216.7092
2015-07-16,851.001,873.699,851.001,868.851,4119400,221.7762
2015-07-17,870,881.25,861.9,868.599,3103600,221.7119
2015-07-20,876,881.1,869.499,878.151,3265700,224.1501
2015-07-21,880.101,883.8,867.999,872.349,4176400,222.6691
2015-07-22,870,909,869.499,901.8,6469500,230.1865
2015-07-23,909,918,899.901,904.35,5094200,230.8374
2015-07-24,908.901,926.001,905.451,913.299,5618300,233.1217
2015-07-27,913.299,927.399,912.699,920.451,5902500,234.9472
2015-07-28,926.001,938.349,921.099,935.301,6013700,238.7377
2015-07-29,937.899,946.401,918.849,930.549,5506400,237.5248
2015-07-30,930.999,945,919.599,938.949,7086000,239.6689
2015-07-31,939.999,944.949,915.249,921.651,4415100,235.2535
2015-08-03,936.999,936.999,899.25,909.15,6248100,232.0626
2015-08-04,919.551,924.399,906.201,915,4564600,233.5558
2015-08-05,920.001,923.4,899.7,907.551,3008200,231.6545
2015-08-06,905.601,919.749,903.999,908.7,2398200,231.9477
2015-08-07,912.099,979.5,910.599,970.449,8588800,247.7093
2015-08-10,977.901,990.951,957,963.801,6074700,246.0124
2015-08-11,971.901,976.8,925.35,954,7568300,243.5107
2015-08-12,954.999,960.15,873.201,882.051,15347200,225.1455
2015-08-13,883.95,893.7,859.2,878.349,7805500,224.2006
2015-08-14,889.899,891.651,870.399,874.851,4251800,223.3077
2015-08-17,879.75,891.501,860.25,865.851,9489300,221.0104
2015-08-18,870.699,897.501,867.15,888.099,5036600,226.6893
2015-08-19,889.401,898.95,872.7,877.449,3129700,223.9709
2015-08-20,888.999,894.801,861.849,868.95,4971200,221.8015
2015-08-21,855.999,867.549,824.301,860.4,3881500,219.6191
2015-08-24,836.949,840.501,760.5,772.101,6900500,197.0805
2015-08-25,789,837.501,752.499,821.301,9177700,209.639
2015-08-26,821.001,841.5,804.45,808.05,3938600,206.2566
2015-08-27,819.999,839.799,813.399,831.3,10787900,212.1912
2015-08-28,828.699,844.899,816.75,829.101,7364500,211.6299
2015-08-31,827.049,849,816.999,843.501,5940400,215.3055
2015-09-01,841.851,841.851,804.249,814.851,4018000,207.9926
2015-09-02,807,810.999,784.101,789.351,3287700,221.4594
2015-09-03,797.001,806.001,773.799,798.951,3847200,224.1528
2015-09-04,797.001,804,768,783.249,3351500,219.7474
2015-09-07,784.8,795,765.051,769.35,2678100,215.848
2015-09-08,775.899,775.899,746.001,764.1,4556900,214.375
2015-09-09,774,797.4,771.651,784.599,4899100,220.1262
2015-09-10,783.201,803.7,775.2,789.699,4440200,221.557
2015-09-11,797.949,802.35,781.299,788.4,2383500,221.1926
2015-09-14,796.95,812.001,793.551,806.799,2867100,226.3546
2015-09-15,809.199,816.999,798,806.799,2557600,226.3546
2015-09-16,809.4,813.249,771.999,775.749,3231500,217.6432
2015-09-17,775.749,775.749,775.749,775.749,0,217.6432
2015-09-18,786,786,753.6,759.801,5824400,213.1689
2015-09-21,759.999,771,753,767.049,2910900,215.2024
2015-09-22,774,784.5,758.451,766.599,4532100,215.0761
2015-09-23,758.001,792.501,757.851,788.85,4175800,221.3189
2015-09-24,792,798.3,772.551,776.4,5398600,217.8259
2015-09-25,776.4,776.4,776.4,776.4,0,217.8259
2015-09-28,779.901,782.451,764.301,776.949,3285900,217.9799
2015-09-29,771,772.05,752.001,765.549,3129000,214.7815
2015-09-30,770.1,788.049,765.6,773.949,4814200,217.1382
2015-10-01,780.999,790.8,768.849,776.451,3446500,217.8402
2015-10-02,776.451,776.451,776.451,776.451,0,217.8402
2015-10-05,782.001,785.001,768.999,783.399,2925600,219.7895
2015-10-06,785.001,813.45,783.9,806.901,4434000,226.3832
2015-10-07,801.999,803.55,783.051,791.001,3239000,221.9223
2015-10-08,794.901,798.951,782.25,789.45,3018400,221.4872
2015-10-09,789.999,792,764.1,768.75,3555800,215.6796
