"Date","SANWARIA.NS.Open","SANWARIA.NS.High","SANWARIA.NS.Low","SANWARIA.NS.Close","SANWARIA.NS.Volume","SANWARIA.NS.Adjusted"
2016-10-24,6.15,6.65,6.15,6.55,250600,6.55
2016-10-25,6.6,6.6,6.25,6.55,109000,6.55
2016-10-26,6.4,6.55,6.25,6.45,104700,6.45
2016-10-27,6.4,6.75,6.25,6.35,69200,6.35
2016-10-28,6.25,6.75,6.25,6.45,322100,6.45
2016-10-31,6.45,6.45,6.45,6.45,0,6.45
2016-11-01,6.7,6.7,6.35,6.5,189600,6.5
2016-11-02,6.3,6.65,6.25,6.6,110700,6.6
2016-11-03,6.6,6.65,6.25,6.3,226700,6.3
2016-11-04,6.3,6.4,5.55,6.15,299400,6.15
2016-11-07,6.2,6.3,5.6,6,133800,6
2016-11-08,6.25,6.5,5.85,6.35,123800,6.35
2016-11-09,5.6,6.25,5.5,6.05,168900,6.05
2016-11-10,6.05,6.5,6.05,6.3,117300,6.3
2016-11-11,6.15,6.3,6.1,6.25,69600,6.25
2016-11-14,6.25,6.25,6.25,6.25,0,6.25
2016-11-15,6.05,6.3,5.65,5.8,152900,5.8
2016-11-16,6.25,6.25,5.7,5.8,57100,5.8
2016-11-17,5.95,5.95,5.6,5.6,93100,5.6
2016-11-18,5.6,5.7,5.4,5.45,105900,5.45
2016-11-21,5.6,5.6,5.35,5.4,102700,5.4
2016-11-22,5.5,5.5,5.2,5.25,98100,5.25
2016-11-23,5.4,5.45,5.2,5.4,38300,5.4
2016-11-24,5.25,5.9,4.8,5.2,303700,5.2
2016-11-25,5.2,5.6,5.2,5.5,99500,5.5
2016-11-28,5.55,5.55,5.4,5.4,20300,5.4
2016-11-29,5.3,5.7,5.3,5.5,72900,5.5
2016-11-30,5.7,5.7,5.45,5.55,36100,5.55
2016-12-01,5.5,5.75,5.45,5.55,112900,5.55
2016-12-02,5.45,5.55,5.4,5.4,106900,5.4
2016-12-05,5.35,5.55,5.35,5.4,29700,5.4
2016-12-06,5.4,5.4,5,5.3,97900,5.3
2016-12-07,5.25,5.4,5.15,5.25,42300,5.25
2016-12-08,5.45,5.45,5.25,5.35,97100,5.35
2016-12-09,5.3,5.5,5.3,5.35,54300,5.35
2016-12-12,5.2,5.4,5.2,5.35,59100,5.35
2016-12-13,5.2,5.45,5.2,5.3,32600,5.3
2016-12-14,5.3,5.4,5.3,5.35,40700,5.35
2016-12-15,5.3,5.4,5.25,5.3,61300,5.3
2016-12-16,5.35,5.35,5.1,5.2,69700,5.2
2016-12-19,5.2,5.25,5.1,5.2,44600,5.2
2016-12-20,5.25,5.35,5.1,5.1,139100,5.1
2016-12-21,5.2,5.3,5.1,5.15,54200,5.15
2016-12-22,5.1,5.25,4.95,5,93900,5
2016-12-23,5,5.05,4.5,4.9,116000,4.9
2016-12-26,4.9,5,4.7,4.8,109200,4.8
2016-12-27,4.95,4.95,4.85,4.9,27200,4.9
2016-12-28,4.9,5,4.8,4.85,111300,4.85
2016-12-29,5,5.1,4.75,4.9,42900,4.9
2016-12-30,5.05,5.1,4.9,5,59900,5
2017-01-02,4.9,5.25,4.9,5.1,66200,5.1
2017-01-03,5.1,5.5,5,5.45,116900,5.45
2017-01-04,5.5,6.5,5.5,6.5,1838200,6.5
2017-01-05,6.95,7.25,6.6,7.1,2485700,7.1
2017-01-06,7.35,7.4,6.9,7.15,816100,7.15
2017-01-09,7.3,7.85,7.25,7.85,1372000,7.85
2017-01-10,8.1,8.6,7.1,8.2,1811200,8.2
2017-01-11,8.4,8.5,7.75,7.9,1006700,7.9
2017-01-12,7.9,7.95,7.2,7.35,862300,7.35
2017-01-13,7.45,7.45,7,7.1,309400,7.1
2017-01-16,7.1,7.7,6.7,7.4,561600,7.4
2017-01-17,7.3,7.9,7.25,7.35,259500,7.35
2017-01-18,7.4,7.5,7.1,7.15,175400,7.15
2017-01-19,7,7.25,7,7.1,134800,7.1
2017-01-20,7.05,7.15,6.7,6.75,337000,6.75
2017-01-23,6.7,7.15,6.65,6.95,171000,6.95
2017-01-24,6.9,7.6,6.9,7.55,564800,7.55
2017-01-25,7.6,7.65,7.25,7.3,302100,7.3
2017-01-26,7.3,7.3,7.3,7.3,0,7.3
2017-01-27,7.3,7.75,7,7.35,349100,7.35
2017-01-30,7.4,7.6,7,7.1,196700,7.1
2017-01-31,7.1,7.25,7,7.1,140200,7.1
2017-02-01,7.1,7.35,7,7.1,148600,7.1
2017-02-02,7.1,7.5,7,7.05,130800,7.05
2017-02-03,7.15,7.25,7,7.1,197300,7.1
2017-02-06,7.1,7.4,7,7.25,202900,7.25
2017-02-07,7.35,8.3,7.3,8,1152500,8
2017-02-08,8.4,8.65,8.15,8.45,865500,8.45
2017-02-09,8.7,8.95,8.4,8.8,1111200,8.8
2017-02-10,9,10.3,8.75,9.85,3227500,9.85
2017-02-13,9.85,10.3,9,9.4,1274400,9.4
2017-02-14,9.4,9.95,8.9,9.8,1189100,9.8
2017-02-15,9.65,10.25,9.05,9.1,842500,9.1
2017-02-16,9.35,9.7,9,9.05,415500,9.05
2017-02-17,9.25,9.25,8.65,8.7,493100,8.7
2017-02-20,8.6,9.5,8.6,9.2,528000,9.2
2017-02-21,9.3,9.4,9,9.15,394500,9.15
2017-02-22,9.15,9.6,8.9,9,244800,9
2017-02-23,9.05,9.15,8.7,8.8,289700,8.8
2017-02-24,8.8,8.8,8.8,8.8,0,8.8
2017-02-27,9,9,8.35,8.4,557900,8.4
2017-02-28,8.4,8.6,7.8,8.25,304600,8.25
2017-03-01,8.3,8.85,7.1,8.6,622400,8.6
2017-03-02,8.6,8.9,8.25,8.35,270000,8.35
2017-03-03,8.35,8.55,8.1,8.3,273900,8.3
2017-03-06,8.25,9,8.25,8.65,284200,8.65
2017-03-07,8.8,9.5,8.5,9.25,1084600,9.25
2017-03-08,9.3,9.6,9.05,9.25,479100,9.25
2017-03-09,9.25,9.75,9.2,9.55,835900,9.55
2017-03-10,9.5,9.8,9,9.05,450100,9.05
2017-03-13,9.05,9.05,9.05,9.05,0,9.05
2017-03-14,9.3,9.5,8.9,9.05,411100,9.05
2017-03-15,9.1,9.15,8.8,8.9,203300,8.9
2017-03-16,8.9,9.2,8.25,8.9,444100,8.9
2017-03-17,8.75,9,8.6,8.7,292600,8.7
2017-03-20,8.7,8.85,8.4,8.5,261300,8.5
2017-03-21,8.5,8.8,8.25,8.6,281900,8.6
2017-03-22,8.45,8.7,8.3,8.5,207300,8.5
2017-03-23,8.5,8.7,8.3,8.45,262100,8.45
2017-03-24,8.35,8.55,8.2,8.3,286100,8.3
2017-03-27,8.3,8.5,8.1,8.2,191000,8.2
2017-03-28,8.3,8.55,8.15,8.25,192500,8.25
2017-03-29,8.4,8.45,7.8,7.95,328600,7.95
2017-03-30,7.8,8.2,7.8,7.9,141700,7.9
2017-03-31,8.2,8.25,7.75,8,283600,8
2017-04-03,8.2,8.55,7.85,8.45,427900,8.45
2017-04-04,8.45,8.45,8.45,8.45,0,8.45
2017-04-05,8.45,9.65,8.45,9.1,1149200,9.1
2017-04-06,9.25,9.8,9.05,9.65,956600,9.65
2017-04-07,9.5,11.3,9.5,10.9,3311700,10.9
2017-04-10,11.2,12.15,11,11.85,2740700,11.85
2017-04-11,11.85,13,11.65,12.95,3721500,12.95
2017-04-12,13.05,13.5,12.2,12.45,2761400,12.45
2017-04-13,12.55,12.55,12.05,12.15,864900,12.15
2017-04-14,12.15,12.15,12.15,12.15,0,12.15
2017-04-17,12.15,13.1,12.1,12.85,1162800,12.85
2017-04-18,13.3,14.1,12.85,14.1,3169700,14.1
2017-04-19,14.35,14.85,13.3,14.2,1876700,14.2
2017-04-20,14.2,15.6,13.8,15.6,2910300,15.6
2017-04-21,15.9,16.35,15.05,15.55,3064100,15.55
2017-04-24,15.95,16.25,15,15.8,2589600,15.8
